"var","categoria","Alta","Media","Baja"
"P43","Mala",0.122,0.155,0.153
"P43","Muy mala",0.27,0.391,0.631
"P43","No sabe",0.018,0.026,0.022
"P44","Muy buena",0.077,0.038,0.169
"P44","Buena",0.067,0.126,0.136
"P44","Ni buena ni mala",0.133,0.27,0.251
"P44","Mala",0.15,0.183,0.145
"P44","Muy mala",0.542,0.349,0.263
"P44","No sabe",0.031,0.034,0.036
"P45","Muy buena",0.092,0.159,0.218
"P45","Buena",0.094,0.183,0.248
"P45","Ni buena ni mala",0.117,0.205,0.183
"P45","Mala",0.13,0.12,0.126
"P45","Muy mala",0.554,0.32,0.207
"P45","No sabe",0.013,0.013,0.018
"P46","Muy buena",0.09,0.06,0.06
"P46","Buena",0.294,0.151,0.076
"P46","Ni buena ni mala",0.205,0.221,0.135
"P46","Mala",0.108,0.118,0.121
"P46","Muy mala",0.287,0.413,0.593
"P46","No sabe",0.016,0.037,0.015
"P47","Muy buena",0.046,0.038,0.038
"P47","Buena",0.066,0.148,0.133
"P47","Ni buena ni mala",0.207,0.34,0.329
"P47","Mala",0.164,0.143,0.111
"P47","Muy mala",0.423,0.211,0.292
"P47","No sabe",0.094,0.12,0.097
