"var","categoria","A Gustavo Menéndez por el Frente de Todos","A Raúl Othacehé por el Frente de Todos","A David Zencich por Juntos por el Cambio","A Pablo Cocuzza por Juntos por el Cambio","Al candidato de Javier Milei por La Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P13","Puede que lo vote",0.165,0.178,0.12,0.113,0.089,0.264,0,0.027
"P13","Nunca lo votaría",0.507,0.27,0.677,0.641,0.71,0.736,0.8,0.418
"P13","No sabe",0.045,0.026,0.058,0.141,0.047,0,0.171,0.507
"P14","Lo votaría",0.066,0.125,0.595,0.444,0.073,0.09,0.04,0
"P14","Puede que lo vote",0.116,0.364,0.143,0.22,0.213,0.052,0.08,0.065
"P14","Nunca lo votaría",0.71,0.329,0.2,0.216,0.594,0.82,0.692,0.48
"P14","No sabe",0.108,0.182,0.062,0.12,0.12,0.038,0.188,0.455
"P15","Lo votaría",0.017,0.088,0.386,0.363,0.038,0.093,0,0.005
"P15","Puede que lo vote",0.133,0.342,0.299,0.316,0.147,0.165,0.042,0.12
"P15","Nunca lo votaría",0.705,0.325,0.256,0.116,0.589,0.696,0.832,0.379
"P15","No sabe",0.145,0.245,0.059,0.205,0.226,0.046,0.126,0.496
"P16","Lo votaría",0.36,0.099,0.037,0.027,0.022,0.05,0,0.015
"P16","Puede que lo vote",0.235,0.082,0.161,0.06,0.085,0.177,0.167,0.316
"P16","Nunca lo votaría",0.304,0.676,0.756,0.672,0.732,0.766,0.75,0.38
"P16","No sabe",0.101,0.143,0.046,0.241,0.161,0.007,0.083,0.289
"P17","Lo votaría",0.195,0.073,0.04,0,0.034,0.094,0.028,0
"P17","Puede que lo vote",0.17,0.066,0.133,0.113,0.122,0.191,0.354,0.075
"P17","Nunca lo votaría",0.417,0.557,0.702,0.545,0.671,0.664,0.496,0.236
"P17","No sabe",0.218,0.304,0.125,0.342,0.173,0.051,0.122,0.689
"P18","Lo votaría",0.07,0.007,0.015,0,0.031,0.147,0,0
"P18","Puede que lo vote",0.216,0.08,0.075,0.088,0.06,0.151,0.379,0.024
"P18","Nunca lo votaría",0.478,0.685,0.685,0.499,0.643,0.463,0.522,0.274
"P18","No sabe",0.236,0.228,0.225,0.413,0.266,0.239,0.099,0.702
"P19","Lo votaría",0.061,0.028,0.137,0.08,0.051,0.145,0,0.026
"P19","Puede que lo vote",0.119,0.132,0.138,0.191,0.084,0.154,0.372,0.084
"P19","Nunca lo votaría",0.542,0.606,0.548,0.249,0.578,0.572,0.498,0.252
"P19","No sabe",0.278,0.234,0.177,0.48,0.287,0.129,0.13,0.638
"P20","La seguridad",0.193,0.024,0.104,0.032,0.056,0,0,0.017
"P20","El tránsito",0,0.011,0.038,0.127,0.01,0.011,0,0.022
"P20","El arreglo de las calles",0.361,0.138,0.09,0.084,0.142,0.217,0.123,0.024
"P20","El estado de las escuelas y la educación",0.213,0.235,0.268,0.3,0.212,0.146,0.358,0.212
"P20","El sistema de salud",0.036,0.068,0.026,0.006,0,0,0.248,0.032
"P20","El deporte y la cultura",0.03,0.018,0.014,0.028,0.005,0.046,0,0.009
"P20","La obra pública",0.056,0.09,0.094,0.006,0.054,0.238,0,0.238
"P20","La luminaria",0.044,0.014,0.046,0.041,0.013,0.018,0,0.031
"P20","No sabe",0.067,0.402,0.32,0.376,0.508,0.324,0.271,0.415
"P21","La seguridad",0.345,0.251,0.537,0.434,0.393,0.337,0.727,0.611
"P21","El tránsito",0.04,0.037,0,0.006,0.033,0.041,0,0.009
"P21","El arreglo de las calles",0.269,0.165,0.198,0.204,0.259,0.086,0.119,0.091
"P21","El estado de las escuelas y la educación",0.099,0.082,0.021,0.074,0.17,0.029,0,0.061
"P21","El sistema de salud",0.077,0.194,0.105,0.116,0.073,0.163,0.13,0.026
"P21","El deporte y la cultura",0.01,0.025,0.018,0.054,0.004,0,0,0.047
"P21","La obra pública",0.023,0,0.005,0.079,0.005,0.147,0,0.023
"P21","La luminaria",0.054,0.024,0.019,0,0,0,0,0
"P21","No sabe",0.083,0.222,0.097,0.033,0.063,0.197,0.024,0.132
"P22","Agua corriente y cloacas",0.498,0.462,0.48,0.636,0.552,0.393,0.509,0.698
"P22","Energía eléctrica",0.038,0.043,0.096,0.06,0.16,0.036,0.091,0.059
"P22","Red de gas natural",0.169,0.091,0.102,0.138,0.104,0.085,0.039,0.073
"P22","Recolección de residuos",0.136,0.185,0.233,0.136,0.047,0.455,0.295,0.035
"P22","Ninguno",0.159,0.219,0.089,0.03,0.137,0.031,0.066,0.135
"P23","Los robos",0.663,0.401,0.64,0.626,0.632,0.49,0.653,0.425
"P23","El narcotráfico",0.106,0.234,0.164,0.212,0.091,0.155,0.039,0.056
"P23","La ausencia de patrulleros y personal policial",0.09,0.249,0.14,0.1,0.169,0.154,0.208,0.428
"P23","Otro",0.105,0.089,0.043,0.062,0.013,0.191,0.1,0.049
"P23","Ninguno",0.036,0.027,0.013,0,0.095,0.01,0,0.042
"P24","Muy buena",0.38,0.053,0.016,0.222,0.089,0,0,0.061
"P24","Buena",0.205,0.231,0.073,0.048,0.046,0.121,0.139,0.069
"P24","Ni buena ni mala",0.196,0.115,0.382,0.334,0.277,0.346,0.32,0.637
"P24","Mala",0.065,0.41,0.242,0.144,0.254,0.294,0.336,0.053
"P24","Muy mala",0.06,0.094,0.282,0.215,0.257,0.228,0.205,0.12
"P24","No sabe",0.094,0.097,0.005,0.037,0.077,0.011,0,0.06
"P25","Muy buena",0.339,0.011,0.047,0,0.01,0,0,0.047
"P25","Buena",0.23,0.168,0.054,0.018,0.069,0.086,0.024,0.148
"P25","Ni buena ni mala",0.217,0.163,0.335,0.446,0.175,0.378,0.245,0.595
"P25","Mala",0.075,0.288,0.183,0.174,0.292,0.308,0.526,0.068
"P25","Muy mala",0.056,0.32,0.357,0.354,0.348,0.218,0.205,0.069
"P25","No sabe",0.083,0.05,0.024,0.008,0.106,0.01,0,0.073
"P26","Muy buena",0.43,0.011,0.019,0.008,0.01,0,0,0.015
"P26","Buena",0.307,0.051,0.012,0.078,0.087,0.009,0.024,0.03
"P26","Ni buena ni mala",0.144,0.27,0.195,0.362,0.104,0.334,0.032,0.464
"P26","Mala",0.063,0.252,0.286,0.115,0.287,0.118,0.392,0.246
"P26","Muy mala",0.056,0.412,0.469,0.428,0.497,0.529,0.466,0.078
"P26","No sabe",0,0.004,0.019,0.009,0.015,0.01,0.086,0.167
"P27","Muy buena",0.101,0.029,0.219,0.113,0.004,0,0,0.062
"P27","Buena",0.048,0.1,0.221,0.199,0.042,0,0.028,0
"P27","Ni buena ni mala",0.294,0.307,0.301,0.299,0.302,0.433,0.327,0.225
"P27","Mala",0.145,0.208,0.079,0.084,0.171,0.043,0.149,0.167
"P27","Muy mala",0.161,0.144,0.167,0.193,0.208,0.345,0.406,0.108
"P27","No sabe",0.251,0.212,0.013,0.112,0.273,0.179,0.09,0.438
"P28","Muy buena",0.233,0.033,0.008,0.109,0.007,0,0,0.03
"P28","Buena",0.262,0.128,0.124,0.036,0.018,0.015,0.028,0.043
"P28","Ni buena ni mala",0.311,0.204,0.219,0.27,0.251,0.472,0.287,0.409
"P28","Mala",0.033,0.316,0.238,0.145,0.261,0.13,0.129,0.226
"P28","Muy mala",0.07,0.251,0.393,0.389,0.306,0.335,0.465,0.058
"P28","No sabe",0.091,0.068,0.018,0.051,0.157,0.048,0.091,0.234
"P29","Muy buena",0.036,0.004,0.044,0.251,0.008,0.013,0,0.009
"P29","Buena",0.073,0.071,0.216,0.307,0.011,0,0,0.013
"P29","Ni buena ni mala",0.397,0.484,0.431,0.282,0.434,0.354,0.339,0.295
"P29","Mala",0.128,0.096,0.072,0.047,0.213,0.172,0.142,0.323
"P29","Muy mala",0.163,0.179,0.147,0.054,0.203,0.364,0.428,0.094
"P29","No sabe",0.203,0.166,0.09,0.059,0.131,0.097,0.091,0.266
"P30","Muy buena",0.033,0.219,0.062,0.151,0.006,0.046,0,0.009
"P30","Buena",0.046,0.153,0.029,0.177,0.087,0.048,0,0.1
"P30","Ni buena ni mala",0.335,0.33,0.272,0.305,0.206,0.322,0.206,0.12
"P30","Mala",0.241,0.131,0.278,0.168,0.264,0.134,0.218,0.239
"P30","Muy mala",0.286,0.146,0.329,0.199,0.328,0.45,0.485,0.175
"P30","No sabe",0.059,0.021,0.03,0,0.109,0,0.091,0.357
"P31","Muy buena",0.017,0.081,0.135,0.089,0.02,0.046,0,0
"P31","Buena",0.105,0.072,0.062,0.041,0.072,0,0,0.119
"P31","Ni buena ni mala",0.258,0.421,0.397,0.397,0.29,0.464,0.58,0.34
"P31","Mala",0.116,0.143,0.052,0.162,0.17,0.087,0.117,0.129
"P31","Muy mala",0.227,0.127,0.245,0.077,0.142,0.259,0.209,0.014
"P31","No sabe",0.277,0.156,0.109,0.234,0.306,0.144,0.094,0.398
"P32","Muy buena",0.022,0.019,0.005,0,0,0.041,0,0.009
"P32","Buena",0.056,0.051,0.058,0.01,0.024,0,0,0.062
"P32","Ni buena ni mala",0.271,0.462,0.475,0.504,0.372,0.348,0.628,0.362
"P32","Mala",0.119,0.133,0.061,0.091,0.16,0.205,0.074,0.051
"P32","Muy mala",0.094,0.081,0.128,0.051,0.056,0.245,0.212,0.014
"P32","No sabe",0.438,0.254,0.273,0.344,0.388,0.161,0.086,0.502
"P33","Muy buena",0.029,0,0,0,0,0,0,0
"P33","Buena",0.037,0.037,0.011,0,0.046,0,0,0.014
"P33","Ni buena ni mala",0.412,0.506,0.484,0.486,0.391,0.304,0.58,0.399
"P33","Mala",0.066,0.112,0.097,0.11,0.164,0.204,0.074,0.052
"P33","Muy mala",0.094,0.081,0.122,0.044,0.082,0.331,0.212,0.029
"P33","No sabe",0.362,0.264,0.286,0.36,0.317,0.161,0.134,0.506
"P34","Muy buena",0.132,0.03,0.03,0.155,0,0.064,0,0
"P34","Buena",0.214,0.179,0.012,0,0.056,0.131,0.03,0.043
"P34","Ni buena ni mala",0.3,0.365,0.122,0.152,0.132,0.157,0.509,0.348
"P34","Mala",0.169,0.18,0.198,0.193,0.259,0.08,0.199,0.077
"P34","Muy mala",0.089,0.152,0.622,0.463,0.44,0.568,0.175,0.229
"P34","No sabe",0.096,0.094,0.016,0.037,0.113,0,0.087,0.303
"P35","Muy buena",0.043,0.052,0.126,0.256,0.037,0,0,0.01
"P35","Buena",0.031,0.115,0.327,0.177,0.236,0.047,0.045,0.069
"P35","Ni buena ni mala",0.039,0.197,0.178,0.198,0.264,0.097,0.173,0.125
"P35","Mala",0.216,0.143,0.07,0.146,0.263,0.221,0.133,0.248
"P35","Muy mala",0.637,0.48,0.292,0.223,0.165,0.635,0.563,0.442
"P35","No sabe",0.034,0.013,0.007,0,0.035,0,0.086,0.106
"P36","Muy buena",0.473,0.141,0.084,0.183,0.065,0.743,0.03,0.291
"P36","Buena",0.122,0.075,0.049,0.034,0.042,0.073,0.134,0.041
"P36","Ni buena ni mala",0.062,0.067,0.056,0.026,0.105,0.112,0.209,0.144
"P36","Mala",0.038,0.183,0.209,0.166,0.178,0.029,0.133,0.205
"P36","Muy mala",0.298,0.534,0.602,0.581,0.584,0.043,0.408,0.271
"P36","No sabe",0.007,0,0,0.01,0.026,0,0.086,0.048
"P37","Muy buena",0.058,0.086,0.268,0.088,0.061,0.256,0,0.024
"P37","Buena",0.022,0.126,0.185,0.275,0.126,0,0,0.05
"P37","Ni buena ni mala",0.126,0.298,0.272,0.191,0.309,0.225,0.234,0.451
"P37","Mala",0.285,0.095,0.083,0.121,0.219,0.179,0.144,0.042
"P37","Muy mala",0.501,0.39,0.192,0.315,0.259,0.34,0.536,0.32
"P37","No sabe",0.008,0.005,0,0.01,0.026,0,0.086,0.113
"P38","Muy buena",0.08,0.039,0.087,0.116,0.035,0.11,0,0
"P38","Buena",0.332,0.145,0.184,0.052,0.099,0.087,0.03,0.209
"P38","Ni buena ni mala",0.307,0.243,0.067,0.23,0.217,0.093,0.353,0.345
"P38","Mala",0.087,0.262,0.181,0.148,0.212,0.085,0.117,0.14
"P38","Muy mala",0.194,0.311,0.481,0.454,0.411,0.598,0.414,0.225
"P38","No sabe",0,0,0,0,0.026,0.027,0.086,0.081
"P39","Muy buena",0.028,0.179,0.431,0.247,0.1,0,0,0.03
"P39","Buena",0.064,0.065,0.219,0.123,0.257,0.031,0,0.08
"P39","Ni buena ni mala",0.028,0.16,0.141,0.128,0.289,0.027,0.173,0.256
"P39","Mala",0.175,0.307,0.044,0.059,0.175,0.173,0.133,0.143
"P39","Muy mala",0.705,0.289,0.165,0.331,0.153,0.73,0.608,0.395
"P39","No sabe",0,0,0,0.112,0.026,0.039,0.086,0.096
"P40","Muy buena",0.018,0.081,0.193,0.129,0.359,0,0,0
"P40","Buena",0.004,0.171,0.131,0.094,0.226,0,0,0
"P40","Ni buena ni mala",0.012,0.145,0.384,0.385,0.161,0.114,0,0.346
"P40","Mala",0.299,0.299,0.144,0.158,0.087,0.097,0.239,0.063
"P40","Muy mala",0.627,0.28,0.148,0.165,0.136,0.789,0.761,0.466
"P40","No sabe",0.04,0.024,0,0.069,0.031,0,0,0.125
