"var","categoria","Mariel Fernández a intendente por Unión por la Patria","Damián Contreras a intendente por Unión por la Patria","Giselle Agosttineli a intendente por Juntos por el Cambio","Aníbal Assef a intendente por Juntos por el Cambio","Andrea Vera a intendente por la Libertad Avanza","Alguno de los candidatos a intendente de la Izquierda","Otros","No sabe"
"PRESIDENTE","Otros",0.043,0.021,0,0.014,0.023,0.068,0.168,0.054
"PRESIDENTE","No sabe",0.14,0.024,0.035,0.086,0.124,0,0.07,0.332
"INTENDENTE","Mariel Fernández a intendente por Unión por la Patria",1,0,0,0,0,0,0,0
"INTENDENTE","Damián Contreras a intendente por Unión por la Patria",0,1,0,0,0,0,0,0
"INTENDENTE","Giselle Agosttineli a intendente por Juntos por el Cambio",0,0,1,0,0,0,0,0
"INTENDENTE","Aníbal Assef a intendente por Juntos por el Cambio",0,0,0,1,0,0,0,0
"INTENDENTE","Andrea Vera a intendente por la Libertad Avanza",0,0,0,0,1,0,0,0
"INTENDENTE","Alguno de los candidatos a intendente de la Izquierda",0,0,0,0,0,1,0,0
"INTENDENTE","Otros",0,0,0,0,0,0,1,0
"INTENDENTE","No sabe",0,0,0,0,0,0,0,1
