"var","categoria","Totalmente seguro.","Bastante seguro","Algo seguro","Para nada seguro"
"PRESIDENTE","Javier Milei a presidente, Carolina Piparo a gobernadora por la Libertad Avanza",0.251,0.135,0.166,0.102
"PRESIDENTE","Alguno de los candidatos a presidente y gobernador de la Izquierda",0.005,0.025,0.008,0.044
"PRESIDENTE","Otros",0.026,0.008,0.019,0.056
"PRESIDENTE","No sabe",0.018,0.085,0.183,0.427
"INTENDENTE","Mariel Fernández a intendente por Unión por la Patria",0.336,0.47,0.41,0.241
"INTENDENTE","Damián Contreras a intendente por Unión por la Patria",0.111,0.066,0.157,0.067
"INTENDENTE","Giselle Agosttineli a intendente por Juntos por el Cambio",0.131,0.137,0.102,0.045
"INTENDENTE","Aníbal Assef a intendente por Juntos por el Cambio",0.135,0.107,0.076,0.053
"INTENDENTE","Andrea Vera a intendente por la Libertad Avanza",0.206,0.084,0.168,0.068
"INTENDENTE","Alguno de los candidatos a intendente de la Izquierda",0.008,0.028,0.009,0.052
"INTENDENTE","Otros",0.033,0.019,0.008,0.035
"INTENDENTE","No sabe",0.04,0.089,0.07,0.439
