"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador por Unión por la Patria","Juan Grabois a presidente, Axel Kicillof a gobernador por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora por la Libertad Avanza","Alguno de los candidatos a presidente y gobernador de la Izquierda","Otros","No sabe"
"P25","No sabe",0.161,0.008,0.072,0.054,0.095,0.263,0.148,0.427
"P26","Lo votaría",0.178,0.314,0.035,0.015,0.046,0,0,0.006
"P26","Puede que lo vote",0.186,0.125,0.002,0,0.022,0.279,0.098,0.044
"P26","Nunca lo votaría",0.479,0.517,0.894,0.921,0.881,0.597,0.767,0.566
"P26","No sabe",0.157,0.044,0.069,0.064,0.051,0.124,0.135,0.384
"P26","Lo votaría",0.178,0.314,0.035,0.015,0.046,0,0,0.006
"P26","Puede que lo vote",0.186,0.125,0.002,0,0.022,0.279,0.098,0.044
"P26","Nunca lo votaría",0.479,0.517,0.894,0.921,0.881,0.597,0.767,0.566
"P26","No sabe",0.157,0.044,0.069,0.064,0.051,0.124,0.135,0.384
"P27","Lo votaría",0.099,0.121,0.624,0.065,0.096,0.121,0.054,0.021
"P27","Puede que lo vote",0.036,0.056,0.149,0.383,0.216,0,0.037,0.036
"P27","Nunca lo votaría",0.774,0.788,0.136,0.473,0.57,0.879,0.835,0.619
"P27","No sabe",0.091,0.035,0.091,0.079,0.118,0,0.074,0.324
"P28","Lo votaría",0.077,0.009,0.185,0.587,0.047,0,0.034,0.007
"P28","Puede que lo vote",0.067,0.09,0.407,0.263,0.158,0,0.029,0.05
"P28","Nunca lo votaría",0.782,0.864,0.288,0.096,0.736,0.59,0.788,0.598
"P28","No sabe",0.074,0.037,0.12,0.054,0.059,0.41,0.149,0.345
"P29","Lo votaría",0.087,0.014,0.098,0.081,0.677,0,0,0.014
"P29","Puede que lo vote",0.038,0.105,0.176,0.19,0.125,0,0,0.052
"P29","Nunca lo votaría",0.806,0.842,0.601,0.608,0.187,1,0.963,0.628
"P29","No sabe",0.069,0.039,0.125,0.121,0.011,0,0.037,0.306
"P30","Si",0.408,0.412,0.374,0.325,0.498,0,0.594,0.21
"P30","No",0.592,0.588,0.626,0.675,0.502,1,0.406,0.79
"INTENDENTE","Mariel Fernández a intendente por Unión por la Patria",0.709,0.599,0.139,0.19,0.088,0.253,0.314,0.205
"INTENDENTE","Damián Contreras a intendente por Unión por la Patria",0.187,0.259,0.046,0.079,0.035,0,0.048,0.014
"INTENDENTE","Giselle Agosttineli a intendente por Juntos por el Cambio",0.024,0.051,0.562,0.028,0.02,0,0,0.015
"INTENDENTE","Aníbal Assef a intendente por Juntos por el Cambio",0.016,0.023,0.174,0.546,0.062,0,0.038,0.051
"INTENDENTE","Andrea Vera a intendente por la Libertad Avanza",0.015,0.013,0.027,0.039,0.703,0,0.046,0.049
"INTENDENTE","Alguno de los candidatos a intendente de la Izquierda",0.007,0.01,0.006,0.005,0.014,0.652,0.024,0
"INTENDENTE","Otros",0.02,0.019,0.003,0.051,0.002,0,0.411,0.012
"INTENDENTE","No sabe",0.022,0.026,0.043,0.062,0.076,0.095,0.119,0.654
