"var","categoria","Tiene Decidido que va a ir a votar.","Tiene dudas sobre si va a ir a  votar","Tiene Decidido que no va a ir a votar"
"P18","Aníbal Assef a intendente por Juntos por el Cambio",0.135,0.097,0.019
"P18","Andrea Vera a intendente por la Libertad Avanza",0.123,0.008,0.085
"P18","Alguno de los candidatos a intendente de la Izquierda",0.01,0.116,0.055
"P18","Otros",0.036,0.067,0.07
"P18","No sabe",0.113,0.208,0.083
"P21","Totalmente seguro.",0.641,0.211,0.217
"P21","Bastante seguro",0.183,0.245,0.004
"P21","Algo seguro",0.086,0.241,0.299
"P21","Para nada seguro",0.09,0.303,0.48
"P23","Lo votaría",0.365,0.163,0.141
"P23","Puede que lo vote",0.086,0.159,0.172
"P23","Nunca lo votaría",0.477,0.369,0.411
"P23","No sabe",0.072,0.309,0.276
"P24","Lo votaría",0.15,0.147,0.105
"P24","Puede que lo vote",0.108,0.178,0.131
"P24","Nunca lo votaría",0.648,0.474,0.492
"P24","No sabe",0.094,0.201,0.272
"P25","Lo votaría",0.184,0.124,0.076
"P25","Puede que lo vote",0.092,0.185,0.132
"P25","Nunca lo votaría",0.614,0.517,0.407
"P25","No sabe",0.11,0.174,0.385
"P26","Lo votaría",0.096,0.196,0.069
"P26","Puede que lo vote",0.088,0.039,0.012
"P26","Nunca lo votaría",0.716,0.609,0.563
"P26","No sabe",0.1,0.156,0.356
"P26","Lo votaría",0.096,0.196,0.069
"P26","Puede que lo vote",0.088,0.039,0.012
"P26","Nunca lo votaría",0.716,0.609,0.563
"P26","No sabe",0.1,0.156,0.356
"P27","Lo votaría",0.196,0.124,0.016
"P27","Puede que lo vote",0.132,0.124,0.123
"P27","Nunca lo votaría",0.579,0.5,0.696
"P27","No sabe",0.093,0.252,0.165
"P28","Lo votaría",0.136,0.065,0.087
"P28","Puede que lo vote",0.177,0.137,0.019
"P28","Nunca lo votaría",0.604,0.61,0.608
"P28","No sabe",0.083,0.188,0.286
"P29","Lo votaría",0.203,0.111,0.233
"P29","Puede que lo vote",0.105,0.157,0
"P29","Nunca lo votaría",0.62,0.542,0.539
"P29","No sabe",0.072,0.19,0.228
"P30","Si",0.404,0.415,0.265
"P30","No",0.596,0.585,0.735
"PRESIDENTE","Sergio Massa a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.304,0.209,0.166
"PRESIDENTE","Juan Grabois a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.109,0.084,0.015
"PRESIDENTE","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador por Juntos por el Cambio",0.172,0.145,0.111
"PRESIDENTE","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador por Juntos por el Cambio",0.107,0.06,0.163
"PRESIDENTE","Javier Milei a presidente, Carolina Piparo a gobernadora por la Libertad Avanza",0.207,0.131,0.165
"PRESIDENTE","Alguno de los candidatos a presidente y gobernador de la Izquierda",0.01,0,0.022
"PRESIDENTE","Otros",0.022,0.074,0.018
"PRESIDENTE","No sabe",0.069,0.297,0.34
"INTENDENTE","Mariel Fernández a intendente por Unión por la Patria",0.368,0.248,0.288
"INTENDENTE","Damián Contreras a intendente por Unión por la Patria",0.104,0.161,0.022
"INTENDENTE","Giselle Agosttineli a intendente por Juntos por el Cambio",0.124,0.084,0.098
"INTENDENTE","Aníbal Assef a intendente por Juntos por el Cambio",0.119,0.045,0.132
"INTENDENTE","Andrea Vera a intendente por la Libertad Avanza",0.17,0.071,0.163
"INTENDENTE","Alguno de los candidatos a intendente de la Izquierda",0.007,0.055,0.042
"INTENDENTE","Otros",0.026,0.05,0.041
"INTENDENTE","No sabe",0.082,0.286,0.214
