"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Mariel Fernández a intendente por Unión por la Patria","Sergio Massa a presidente, Axel Kicillof a gobernador y Damián Contreras a intendente por Unión por la Patria","Juan Grabois a presidente, Axel Kicillof a gobernador y Mariel Fernández a intendente por Unión por la Patria","Juan Grabois a presidente, Axel Kicillof a gobernador y Damián Contreras a intendente por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Gisele Agosttineli a intendente por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Anibal Assef a intendente por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora  y Andrea Vera a intendente por la Libertad Avanza","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda","Otros","No sabe"
"P18","Aníbal Assef a intendente por Juntos por el Cambio",0.027,0.02,0.145,0.107,0.318,0.243,0.097,0.084,0.042,0.024
"P18","Andrea Vera a intendente por la Libertad Avanza",0.083,0.027,0.023,0.072,0.112,0.066,0.304,0.324,0.044,0.013
"P18","Alguno de los candidatos a intendente de la Izquierda",0.022,0.022,0.057,0,0.011,0,0.015,0.082,0.023,0
"P18","Otros",0.016,0.008,0,0,0.003,0.11,0,0.123,0.252,0.069
"P18","No sabe",0.046,0.195,0.056,0,0.061,0.121,0.117,0.032,0.14,0.543
"P21","Totalmente seguro.",0.573,0.634,0.448,0.744,0.64,0.659,0.699,0.089,0.645,0.101
"P21","Bastante seguro",0.232,0.088,0.374,0.013,0.178,0.157,0.15,0.253,0.055,0.084
"P21","Algo seguro",0.127,0.137,0.136,0.135,0.114,0.106,0.091,0.084,0.029,0.092
"P21","Para nada seguro",0.068,0.141,0.042,0.108,0.068,0.078,0.06,0.574,0.271,0.723
"P22","Tiene Decidido que va a ir a votar.",0.925,0.801,0.87,0.97,0.891,0.894,0.908,0.651,0.836,0.473
"P22","Tiene dudas sobre si va a ir a  votar",0.038,0.11,0.116,0.03,0.076,0.031,0.038,0.234,0.128,0.292
"P22","Tiene Decidido que no va a ir a votar",0.037,0.089,0.014,0,0.033,0.075,0.054,0.115,0.036,0.235
"P23","Lo votaría",0.771,0.409,0.534,0.509,0.101,0.086,0.155,0,0.048,0.02
"P23","Puede que lo vote",0.125,0.061,0.227,0.084,0.068,0.079,0.075,0.131,0.158,0.036
"P23","Nunca lo votaría",0.075,0.4,0.162,0.387,0.776,0.791,0.679,0.756,0.745,0.341
"P23","No sabe",0.029,0.13,0.077,0.02,0.055,0.044,0.091,0.113,0.049,0.603
"P24","Lo votaría",0.216,0.492,0.23,0.435,0.09,0.011,0.052,0,0,0
"P24","Puede que lo vote",0.196,0.209,0.233,0.265,0.025,0.073,0.047,0.03,0.121,0.026
"P24","Nunca lo votaría",0.487,0.223,0.449,0.3,0.8,0.883,0.838,0.773,0.826,0.411
"P24","No sabe",0.101,0.076,0.088,0,0.085,0.033,0.063,0.197,0.053,0.563
"P25","Lo votaría",0.343,0.128,0.584,0.418,0.089,0,0.04,0.049,0,0
"P25","Puede que lo vote",0.185,0.207,0.207,0.012,0.034,0.042,0.022,0.029,0.075,0.099
"P25","Nunca lo votaría",0.298,0.527,0.188,0.57,0.815,0.937,0.832,0.724,0.871,0.398
"P25","No sabe",0.174,0.138,0.021,0,0.062,0.021,0.106,0.198,0.054,0.503
"P26","Lo votaría",0.102,0.293,0.188,0.561,0.081,0,0.053,0,0,0
"P26","Puede que lo vote",0.147,0.147,0.203,0.064,0.022,0.014,0.023,0,0.197,0
"P26","Nunca lo votaría",0.585,0.379,0.547,0.363,0.827,0.964,0.865,0.889,0.749,0.58
"P26","No sabe",0.166,0.181,0.062,0.012,0.07,0.022,0.059,0.111,0.054,0.42
"P26","Lo votaría",0.102,0.293,0.188,0.561,0.081,0,0.053,0,0,0
"P26","Puede que lo vote",0.147,0.147,0.203,0.064,0.022,0.014,0.023,0,0.197,0
"P26","Nunca lo votaría",0.585,0.379,0.547,0.363,0.827,0.964,0.865,0.889,0.749,0.58
"P26","No sabe",0.166,0.181,0.062,0.012,0.07,0.022,0.059,0.111,0.054,0.42
"P27","Lo votaría",0.044,0.136,0.095,0.198,0.676,0.053,0.089,0.053,0.083,0.023
"P27","Puede que lo vote",0.023,0.099,0.041,0,0.134,0.412,0.225,0.031,0.049,0.107
"P27","Nunca lo votaría",0.79,0.726,0.842,0.802,0.115,0.489,0.571,0.807,0.811,0.486
"P27","No sabe",0.143,0.039,0.022,0,0.075,0.046,0.115,0.109,0.057,0.384
"P28","Lo votaría",0.033,0.135,0.057,0.009,0.217,0.619,0.04,0,0,0.012
"P28","Puede que lo vote",0.074,0.076,0.063,0.186,0.445,0.283,0.099,0.084,0.021,0.072
"P28","Nunca lo votaría",0.791,0.684,0.838,0.805,0.248,0.072,0.784,0.804,0.922,0.5
"P28","No sabe",0.102,0.105,0.042,0,0.09,0.026,0.077,0.112,0.057,0.416
"P29","Lo votaría",0.047,0.125,0.047,0.011,0.124,0.108,0.679,0,0.144,0
"P29","Puede que lo vote",0.04,0.105,0.029,0.279,0.185,0.181,0.065,0.55,0.048,0.076
"P29","Nunca lo votaría",0.83,0.694,0.924,0.71,0.577,0.664,0.226,0.236,0.808,0.478
"P29","No sabe",0.083,0.076,0,0,0.114,0.047,0.03,0.214,0,0.446
"P30","Si",0.387,0.534,0.417,0.313,0.388,0.361,0.434,0.592,0.428,0.2
"P30","No",0.613,0.466,0.583,0.687,0.612,0.639,0.566,0.408,0.572,0.8
"PRESIDENTE","Sergio Massa a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.765,0.72,0.15,0.108,0.065,0.012,0.048,0.073,0.082,0.044
"PRESIDENTE","Juan Grabois a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.076,0.029,0.634,0.867,0.007,0.01,0.031,0,0.035,0
"PRESIDENTE","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador por Juntos por el Cambio",0.024,0.045,0.04,0.025,0.8,0.033,0.049,0.048,0.198,0.039
"PRESIDENTE","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador por Juntos por el Cambio",0.024,0.077,0.028,0,0.016,0.851,0.008,0.101,0,0.029
"PRESIDENTE","Javier Milei a presidente, Carolina Piparo a gobernadora por la Libertad Avanza",0.052,0.114,0.018,0,0.041,0.033,0.848,0.164,0.021,0.006
"PRESIDENTE","Alguno de los candidatos a presidente y gobernador de la Izquierda",0.003,0,0.045,0,0.003,0.014,0.003,0.452,0,0
"PRESIDENTE","Otros",0,0.011,0.06,0,0.002,0.016,0,0.08,0.605,0.018
"PRESIDENTE","No sabe",0.056,0.004,0.025,0,0.066,0.031,0.013,0.082,0.059,0.864
"INTENDENTE","Mariel Fernández a intendente por Unión por la Patria",0.875,0.102,0.79,0.029,0.124,0.144,0.092,0.033,0.209,0.122
"INTENDENTE","Damián Contreras a intendente por Unión por la Patria",0.027,0.716,0.032,0.915,0.014,0.06,0.036,0.085,0.153,0.003
"INTENDENTE","Giselle Agosttineli a intendente por Juntos por el Cambio",0.006,0.017,0,0,0.576,0.036,0.066,0.079,0,0.01
"INTENDENTE","Aníbal Assef a intendente por Juntos por el Cambio",0.014,0.014,0.091,0.034,0.182,0.613,0.044,0.044,0.035,0.011
"INTENDENTE","Andrea Vera a intendente por la Libertad Avanza",0.035,0.019,0.018,0.022,0.058,0.037,0.703,0.174,0.036,0.006
"INTENDENTE","Alguno de los candidatos a intendente de la Izquierda",0.011,0.015,0.034,0,0.006,0,0.007,0.501,0.019,0
"INTENDENTE","Otros",0.009,0.007,0,0,0.002,0.044,0,0.065,0.435,0.03
"INTENDENTE","No sabe",0.023,0.11,0.035,0,0.038,0.066,0.052,0.019,0.113,0.818
