"var","categoria","Cristina Fernández de Kirchner por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P27","Javier Milei por los liberales libertarios",0.007,0.056,0.769,0.002,0.039,0.068
"P27","Nicolás del Caño por la izquierda",0.004,0.005,0.009,0.648,0.033,0.042
"P27","Otro candidato",0.019,0.13,0.019,0.055,0.482,0.08
"P27","Aún no lo tengo decidido",0.037,0.072,0.016,0.186,0.165,0.575
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.132,0.742,0.039,0.03,0.047,0.07
"P29","Wado de Pedro por el Frente de Todos",0.623,0.086,0.014,0.209,0.076,0.08
"P29","Javier Milei por los liberales libertarios",0.023,0.043,0.884,0.044,0.07,0.049
"P29","Nicolás del Caño por la izquierda",0.018,0.002,0.004,0.573,0.023,0.024
"P29","Otro candidato",0.075,0.075,0.031,0.024,0.647,0.081
"P29","Aún no lo tengo decidido",0.129,0.052,0.028,0.12,0.137,0.696
"P31","Sergio Massa por el Frente de Todos",0.631,0.101,0.013,0.134,0.12,0.087
"P31","Patricia Bullrich por Juntos por el Cambio",0.086,0.726,0.235,0.038,0.357,0.188
"P31","Javier Milei por los liberales libertarios",0.013,0.055,0.712,0.039,0.037,0.048
"P31","Nicolás del Caño por la izquierda",0.031,0.006,0.003,0.641,0.013,0.032
"P31","Otro candidato",0.125,0.061,0.017,0.054,0.404,0.054
"P31","Aún no lo tengo decidido",0.114,0.051,0.02,0.094,0.069,0.591
"P33","Sergio Massa por el Frente de Todos",0.593,0.113,0.032,0.153,0.132,0.074
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.131,0.782,0.032,0.022,0.062,0.052
"P33","Javier Milei por los liberales libertarios",0.02,0.023,0.888,0.003,0.048,0.055
"P33","Nicolás del Caño por la izquierda",0.026,0.001,0.014,0.785,0.007,0.035
"P33","Otro candidato",0.13,0.041,0.018,0.026,0.666,0.089
"P33","Aún no lo tengo decidido",0.1,0.04,0.016,0.011,0.085,0.695
"P36","Sergio Massa por el Frente de Todos",0.68,0.075,0.009,0.146,0.111,0.071
"P36","Mauricio Macri por Juntos por el Cambio",0.055,0.744,0.153,0.017,0.188,0.149
"P36","Javier Milei por los liberales libertarios",0.014,0.045,0.801,0,0.057,0.032
"P36","Nicolás del Caño por la izquierda",0.026,0.005,0.002,0.782,0.02,0.021
"P36","Otro candidato",0.138,0.077,0.014,0.055,0.578,0.063
"P36","Aún no lo tengo decidido",0.087,0.054,0.021,0,0.046,0.664
"P37","Wado de Pedro por el Frente de Todos",0.692,0.042,0.006,0.225,0.075,0.07
"P37","Mauricio Macri por Juntos por el Cambio",0.055,0.748,0.186,0.008,0.219,0.163
"P37","Javier Milei por los liberales libertarios",0.022,0.045,0.779,0.008,0.072,0.041
"P37","Nicolás del Caño por la izquierda",0.02,0.01,0.003,0.617,0.01,0.019
"P37","Otro candidato",0.092,0.101,0.011,0.068,0.572,0.063
"P37","Aún no lo tengo decidido",0.119,0.054,0.015,0.074,0.052,0.644
"P38","Wado de Pedro por el Frente de Todos",0.699,0.052,0.002,0.203,0.078,0.054
"P38","Patricia Bullrich por Juntos por el Cambio",0.064,0.744,0.287,0.024,0.372,0.197
"P38","Javier Milei por los liberales libertarios",0.014,0.049,0.685,0.003,0.044,0.034
"P38","Nicolás del Caño por la izquierda",0.017,0.01,0.006,0.657,0.012,0.001
"P38","Otro candidato",0.1,0.084,0.005,0.01,0.449,0.102
"P38","Aún no lo tengo decidido",0.106,0.061,0.015,0.103,0.045,0.612
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.864,0.049,0.006,0.173,0.076,0.073
"P39","Patricia Bullrich por Juntos por el Cambio",0.07,0.758,0.289,0.015,0.413,0.216
"P39","Javier Milei por los liberales libertarios",0.004,0.059,0.683,0.003,0.03,0.03
"P39","Nicolás del Caño por la izquierda",0.004,0.007,0.005,0.676,0.024,0.005
"P39","Otro candidato",0.03,0.083,0.005,0.065,0.396,0.092
"P39","Aún no lo tengo decidido",0.028,0.044,0.012,0.068,0.061,0.584
"P40","Cristina Fernández de Kirchner por el Frente de Todos",0.83,0.106,0.056,0.64,0.195,0.191
"P40","Mauricio Macri por Juntos por el Cambio",0.145,0.759,0.566,0.079,0.394,0.224
"P40","No sabe",0.025,0.135,0.378,0.281,0.411,0.585
"P41","Wado de Pedro por el Frente de Todos",0.757,0.049,0.021,0.498,0.133,0.107
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.08,0.894,0.43,0.055,0.285,0.219
"P41","No sabe",0.163,0.057,0.549,0.447,0.582,0.674
"P42","Sergio Massa por el Frente de Todos",0.74,0.071,0.024,0.369,0.19,0.128
"P42","Patricia Bullrich por Juntos por el Cambio",0.077,0.826,0.668,0.018,0.487,0.305
"P42","No sabe",0.183,0.103,0.308,0.613,0.323,0.567
"P43","Sergio Massa por el Frente de Todos",0.766,0.075,0.03,0.435,0.186,0.13
"P43","Mauricio Macri por Juntos por el Cambio",0.075,0.817,0.656,0.03,0.448,0.279
"P43","No sabe",0.159,0.108,0.314,0.535,0.366,0.591
"P44","Sergio Massa por el Frente de Todos",0.771,0.075,0.009,0.352,0.167,0.133
"P44","Javier Milei por los liberales libertarios",0.057,0.466,0.896,0.015,0.36,0.156
"P44","No sabe",0.172,0.459,0.095,0.633,0.473,0.711
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.404,0.457,0.026,0.183,0.222,0.186
"P45","Javier Milei por los liberales libertarios",0.063,0.233,0.917,0.023,0.288,0.144
"P45","No sabe",0.533,0.31,0.057,0.794,0.49,0.67
"P46","Patricia Bullrich por Juntos por el Cambio",0.13,0.792,0.612,0.059,0.529,0.295
"P46","Wado de Pedro por el Frente de Todos",0.658,0.074,0.155,0.489,0.103,0.096
"P46","No sabe",0.212,0.134,0.233,0.452,0.368,0.609
"P47","Patricia Bullrich por Juntos por el Cambio",0.105,0.855,0.732,0.039,0.583,0.376
"P47","Cristina Fernández de Kirchner por el Frente de Todos",0.866,0.043,0.037,0.569,0.13,0.161
"P47","No sabe",0.029,0.102,0.231,0.392,0.287,0.463
"P48","Muy buena",0.148,0.102,0.098,0,0.101,0.084
"P48","Buena",0.401,0.028,0.02,0.229,0.034,0.03
"P48","Ni buena ni mala",0.278,0.053,0.066,0.388,0.156,0.257
"P48","Mala",0.095,0.108,0.048,0.205,0.128,0.216
"P48","Muy mala",0.064,0.707,0.765,0.163,0.578,0.387
"P48","No sabe",0.014,0.002,0.003,0.015,0.003,0.026
"P49","Muy buena",0.149,0.006,0.021,0.05,0.043,0.026
"P49","Buena",0.332,0.029,0.01,0.255,0.027,0.052
"P49","Ni buena ni mala",0.328,0.037,0.046,0.392,0.138,0.268
"P49","Mala",0.095,0.182,0.073,0.173,0.125,0.176
"P49","Muy mala",0.091,0.74,0.845,0.13,0.628,0.453
"P49","No sabe",0.005,0.006,0.005,0,0.039,0.025
"P50","Muy buena",0.684,0.017,0.015,0.206,0.059,0.062
"P50","Buena",0.169,0.015,0.013,0.167,0.042,0.07
"P50","Ni buena ni mala",0.068,0.016,0.028,0.364,0.126,0.18
"P50","Mala",0.008,0.09,0.04,0.138,0.072,0.126
"P50","Muy mala",0.068,0.86,0.901,0.125,0.694,0.529
"P50","No sabe",0.003,0.002,0.003,0,0.007,0.033
"P51","Muy buena",0.118,0.334,0.133,0.021,0.187,0.094
"P51","Buena",0.053,0.283,0.228,0.105,0.189,0.148
"P51","Ni buena ni mala",0.034,0.167,0.234,0.06,0.184,0.182
"P51","Mala",0.157,0.066,0.154,0.188,0.138,0.204
"P51","Muy mala",0.628,0.15,0.247,0.626,0.295,0.315
"P51","No sabe",0.01,0,0.004,0,0.007,0.057
"P52","Muy buena",0.046,0.374,0.053,0.034,0.091,0.042
"P52","Buena",0.054,0.381,0.21,0.11,0.174,0.181
"P52","Ni buena ni mala",0.107,0.177,0.282,0.1,0.384,0.311
"P52","Mala",0.193,0.037,0.174,0.198,0.154,0.108
"P52","Muy mala",0.565,0.031,0.268,0.52,0.19,0.2
"P52","No sabe",0.035,0,0.013,0.038,0.007,0.158
"P53","Muy buena",0.17,0.057,0.018,0.104,0.067,0.053
"P53","Buena",0.349,0.078,0.03,0.158,0.047,0.1
"P53","Ni buena ni mala",0.258,0.126,0.085,0.173,0.213,0.184
"P53","Mala",0.091,0.176,0.162,0.279,0.159,0.186
"P53","Muy mala",0.115,0.56,0.697,0.248,0.504,0.374
"P53","No sabe",0.017,0.003,0.008,0.038,0.01,0.103
"P54","Muy buena",0.081,0.439,0.301,0.014,0.324,0.179
"P54","Buena",0.071,0.262,0.246,0.1,0.142,0.128
"P54","Ni buena ni mala",0.076,0.134,0.188,0.073,0.123,0.197
"P54","Mala",0.122,0.059,0.067,0.173,0.102,0.151
"P54","Muy mala",0.638,0.098,0.188,0.602,0.278,0.259
"P54","No sabe",0.012,0.008,0.01,0.038,0.031,0.086
"P55","Muy buena",0.035,0.082,0.568,0.006,0.097,0.04
"P55","Buena",0.048,0.205,0.286,0.065,0.163,0.1
"P55","Ni buena ni mala",0.092,0.396,0.122,0.134,0.34,0.357
"P55","Mala",0.131,0.156,0.005,0.109,0.154,0.136
"P55","Muy mala",0.663,0.137,0.013,0.686,0.231,0.234
"P55","No sabe",0.031,0.024,0.006,0,0.015,0.133
"P56","Muy buena",0.035,0.356,0.192,0.028,0.192,0.091
"P56","Buena",0.032,0.358,0.244,0.073,0.19,0.129
"P56","Ni buena ni mala",0.081,0.168,0.218,0.055,0.247,0.295
"P56","Mala",0.161,0.055,0.149,0.206,0.126,0.198
"P56","Muy mala",0.667,0.05,0.188,0.638,0.238,0.181
"P56","No sabe",0.024,0.013,0.009,0,0.007,0.106
"P57","Muy buena",0.361,0.052,0.027,0.066,0.094,0.021
"P57","Buena",0.281,0.052,0.051,0.177,0.088,0.063
"P57","Ni buena ni mala",0.149,0.178,0.185,0.409,0.253,0.204
"P57","Mala",0.053,0.223,0.132,0.095,0.148,0.197
"P57","Muy mala",0.105,0.434,0.537,0.229,0.363,0.327
"P57","No sabe",0.051,0.061,0.068,0.024,0.054,0.188
"P58","Muy buena",0.092,0.1,0.054,0.149,0.144,0.036
"P58","Buena",0.121,0.196,0.101,0.103,0.154,0.167
"P58","Ni buena ni mala",0.352,0.351,0.314,0.264,0.312,0.331
"P58","Mala",0.177,0.178,0.165,0.1,0.163,0.154
"P58","Muy mala",0.184,0.133,0.302,0.215,0.176,0.153
"P58","No sabe",0.074,0.042,0.064,0.169,0.051,0.159
"P59","Muy buena",0.024,0.116,0.049,0.015,0.066,0.017
"P59","Buena",0.042,0.232,0.104,0.066,0.195,0.079
"P59","Ni buena ni mala",0.214,0.353,0.275,0.189,0.316,0.467
"P59","Mala",0.167,0.12,0.176,0.173,0.116,0.106
"P59","Muy mala",0.475,0.091,0.288,0.304,0.202,0.159
"P59","No sabe",0.078,0.088,0.108,0.253,0.105,0.172
"P60","Siempre",0.311,0.292,0.256,0.211,0.247,0.19
"P60","Casi siempre",0.383,0.36,0.393,0.574,0.424,0.368
"P60","Casi nunca",0.209,0.242,0.244,0.126,0.249,0.28
"P60","Nunca, pero esta es una excepción",0.097,0.106,0.107,0.089,0.08,0.162
"P61","Si",0.62,0.545,0.555,0.599,0.593,0.427
"P61","No",0.38,0.455,0.445,0.401,0.407,0.573
