"var","categoria","Cristina Fernández de Kirchner por el Frente de Todos","Mauricio Macri por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.114,0.623,0.048,0.028,0.242,0.14
"P29","Wado de Pedro por el Frente de Todos",0.647,0.105,0.002,0.062,0.046,0.041
"P29","Javier Milei por los liberales libertarios",0.017,0.126,0.898,0.099,0.036,0.079
"P29","Nicolás del Caño por la izquierda",0.016,0.003,0,0.578,0.013,0.022
"P29","Otro candidato",0.077,0.074,0.025,0.08,0.575,0.12
"P29","Aún no lo tengo decidido",0.129,0.069,0.027,0.153,0.088,0.598
"P31","Sergio Massa por el Frente de Todos",0.62,0.05,0.025,0.145,0.184,0.127
"P31","Patricia Bullrich por Juntos por el Cambio",0.068,0.795,0.151,0.064,0.325,0.206
"P31","Javier Milei por los liberales libertarios",0.017,0.074,0.776,0.097,0.029,0.043
"P31","Nicolás del Caño por la izquierda",0.033,0.005,0.005,0.59,0.014,0.011
"P31","Otro candidato",0.14,0.031,0.014,0.052,0.383,0.091
"P31","Aún no lo tengo decidido",0.122,0.045,0.029,0.052,0.065,0.522
"P33","Sergio Massa por el Frente de Todos",0.597,0.081,0.026,0.131,0.137,0.132
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.081,0.638,0.073,0.038,0.323,0.151
"P33","Javier Milei por los liberales libertarios",0.019,0.142,0.844,0.091,0.038,0.049
"P33","Nicolás del Caño por la izquierda",0.031,0.007,0.003,0.593,0.014,0.03
"P33","Otro candidato",0.152,0.077,0.024,0.085,0.418,0.12
"P33","Aún no lo tengo decidido",0.12,0.055,0.03,0.062,0.07,0.518
"P35","Cristina Fernández de Kirchner por el Frente de Todos",0.893,0.062,0.011,0.049,0.058,0.105
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.049,0.658,0.071,0.05,0.349,0.185
"P35","Javier Milei por los liberales libertarios",0.008,0.153,0.872,0.086,0.047,0.035
"P35","Nicolás del Caño por la izquierda",0.007,0,0,0.538,0.011,0.037
"P35","Otro candidato",0.024,0.072,0.018,0.127,0.464,0.151
"P35","Aún no lo tengo decidido",0.019,0.055,0.028,0.15,0.071,0.487
"P36","Sergio Massa por el Frente de Todos",0.675,0.034,0.02,0.128,0.153,0.151
"P36","Mauricio Macri por Juntos por el Cambio",0.025,0.869,0.053,0.02,0.139,0.083
"P36","Javier Milei por los liberales libertarios",0.017,0.057,0.862,0.092,0.051,0.062
"P36","Nicolás del Caño por la izquierda",0.031,0.002,0.004,0.541,0.014,0.039
"P36","Otro candidato",0.152,0.023,0.023,0.106,0.549,0.142
"P36","Aún no lo tengo decidido",0.1,0.015,0.038,0.113,0.094,0.523
"P37","Wado de Pedro por el Frente de Todos",0.724,0.013,0.009,0.083,0.093,0.098
"P37","Mauricio Macri por Juntos por el Cambio",0.022,0.912,0.041,0.021,0.131,0.089
"P37","Javier Milei por los liberales libertarios",0.013,0.038,0.885,0.091,0.054,0.076
"P37","Nicolás del Caño por la izquierda",0.019,0.006,0.003,0.546,0.022,0.021
"P37","Otro candidato",0.099,0.017,0.025,0.155,0.607,0.171
"P37","Aún no lo tengo decidido",0.123,0.014,0.037,0.104,0.093,0.545
"P38","Wado de Pedro por el Frente de Todos",0.737,0.017,0.013,0.072,0.082,0.07
"P38","Patricia Bullrich por Juntos por el Cambio",0.014,0.862,0.176,0.054,0.314,0.233
"P38","Javier Milei por los liberales libertarios",0.005,0.052,0.775,0.09,0.03,0.053
"P38","Nicolás del Caño por la izquierda",0.021,0.001,0.004,0.553,0.023,0.021
"P38","Otro candidato",0.101,0.031,0.01,0.093,0.473,0.16
"P38","Aún no lo tengo decidido",0.122,0.037,0.022,0.138,0.078,0.463
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.914,0.017,0.003,0.109,0.08,0.073
"P39","Patricia Bullrich por Juntos por el Cambio",0.019,0.85,0.19,0.065,0.369,0.272
"P39","Javier Milei por los liberales libertarios",0.005,0.056,0.762,0.111,0.034,0.045
"P39","Nicolás del Caño por la izquierda",0.003,0.005,0.01,0.518,0.019,0.026
"P39","Otro candidato",0.025,0.037,0.019,0.039,0.424,0.152
"P39","Aún no lo tengo decidido",0.034,0.035,0.016,0.158,0.074,0.432
"P40","Cristina Fernández de Kirchner por el Frente de Todos",0.868,0.098,0.052,0.443,0.152,0.181
"P40","Mauricio Macri por Juntos por el Cambio",0.116,0.875,0.494,0.034,0.321,0.208
"P40","No sabe",0.016,0.027,0.454,0.523,0.527,0.611
"P41","Wado de Pedro por el Frente de Todos",0.806,0.018,0.017,0.332,0.139,0.093
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.025,0.821,0.444,0.179,0.51,0.308
"P41","No sabe",0.169,0.161,0.539,0.489,0.351,0.599
"P42","Sergio Massa por el Frente de Todos",0.756,0.022,0.052,0.31,0.221,0.164
"P42","Patricia Bullrich por Juntos por el Cambio",0.034,0.908,0.614,0.097,0.436,0.352
"P42","No sabe",0.21,0.07,0.334,0.593,0.343,0.484
"P43","Sergio Massa por el Frente de Todos",0.793,0.015,0.052,0.343,0.227,0.181
"P43","Mauricio Macri por Juntos por el Cambio",0.025,0.964,0.574,0.085,0.355,0.235
"P43","No sabe",0.182,0.021,0.374,0.572,0.418,0.584
"P44","Sergio Massa por el Frente de Todos",0.802,0.025,0.02,0.297,0.227,0.167
"P44","Javier Milei por los liberales libertarios",0.017,0.584,0.859,0.204,0.273,0.195
"P44","No sabe",0.181,0.391,0.121,0.499,0.5,0.638
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.404,0.332,0.053,0.314,0.372,0.264
"P45","Javier Milei por los liberales libertarios",0.032,0.379,0.881,0.133,0.191,0.162
"P45","No sabe",0.564,0.289,0.066,0.553,0.437,0.574
"P46","Patricia Bullrich por Juntos por el Cambio",0.077,0.87,0.566,0.109,0.444,0.363
"P46","Wado de Pedro por el Frente de Todos",0.701,0.055,0.155,0.362,0.137,0.104
"P46","No sabe",0.222,0.075,0.279,0.529,0.419,0.533
"P47","Patricia Bullrich por Juntos por el Cambio",0.028,0.955,0.678,0.111,0.533,0.413
"P47","Cristina Fernández de Kirchner por el Frente de Todos",0.939,0.01,0.041,0.423,0.12,0.155
"P47","No sabe",0.033,0.035,0.281,0.466,0.347,0.432
"P48","Muy buena",0.128,0.111,0.097,0.019,0.121,0.107
"P48","Buena",0.427,0.003,0.036,0.154,0.041,0.046
"P48","Ni buena ni mala",0.293,0.037,0.085,0.417,0.162,0.178
"P48","Mala",0.108,0.066,0.061,0.2,0.162,0.205
"P48","Muy mala",0.028,0.78,0.72,0.21,0.511,0.443
"P48","No sabe",0.016,0.003,0.001,0,0.003,0.021
"P49","Muy buena",0.142,0.014,0.021,0.058,0.029,0.057
"P49","Buena",0.351,0.007,0.024,0.159,0.037,0.066
"P49","Ni buena ni mala",0.358,0.018,0.058,0.363,0.159,0.175
"P49","Mala",0.103,0.126,0.08,0.226,0.197,0.188
"P49","Muy mala",0.04,0.825,0.811,0.168,0.573,0.486
"P49","No sabe",0.006,0.01,0.006,0.026,0.005,0.028
"P50","Muy buena",0.715,0.009,0.017,0.113,0.043,0.094
"P50","Buena",0.184,0.009,0.019,0.144,0.036,0.042
"P50","Ni buena ni mala",0.074,0.01,0.034,0.281,0.117,0.164
"P50","Mala",0.012,0.059,0.048,0.152,0.129,0.098
"P50","Muy mala",0.015,0.91,0.881,0.31,0.662,0.572
"P50","No sabe",0,0.003,0.001,0,0.013,0.03
"P51","Muy buena",0.111,0.428,0.071,0.032,0.055,0.029
"P51","Buena",0.04,0.314,0.222,0.041,0.156,0.129
"P51","Ni buena ni mala",0.024,0.096,0.266,0.113,0.311,0.248
"P51","Mala",0.168,0.026,0.189,0.201,0.17,0.203
"P51","Muy mala",0.647,0.136,0.249,0.613,0.302,0.339
"P51","No sabe",0.01,0,0.003,0,0.006,0.052
"P52","Muy buena",0.013,0.327,0.086,0.033,0.128,0.116
"P52","Buena",0.021,0.382,0.189,0.111,0.241,0.212
"P52","Ni buena ni mala",0.116,0.209,0.262,0.179,0.298,0.291
"P52","Mala",0.199,0.049,0.174,0.201,0.152,0.097
"P52","Muy mala",0.617,0.028,0.282,0.442,0.15,0.18
"P52","No sabe",0.034,0.005,0.007,0.034,0.031,0.104
"P53","Muy buena",0.171,0.044,0.038,0.089,0.057,0.067
"P53","Buena",0.33,0.065,0.033,0.068,0.133,0.136
"P53","Ni buena ni mala",0.277,0.086,0.105,0.261,0.202,0.194
"P53","Mala",0.101,0.159,0.161,0.23,0.164,0.201
"P53","Muy mala",0.104,0.643,0.657,0.318,0.411,0.339
"P53","No sabe",0.017,0.003,0.006,0.034,0.033,0.063
"P54","Muy buena",0.045,0.529,0.234,0.044,0.229,0.205
"P54","Buena",0.048,0.265,0.248,0.072,0.203,0.132
"P54","Ni buena ni mala",0.084,0.076,0.245,0.112,0.18,0.168
"P54","Mala",0.127,0.032,0.072,0.205,0.13,0.168
"P54","Muy mala",0.686,0.092,0.178,0.519,0.233,0.272
"P54","No sabe",0.01,0.006,0.023,0.048,0.025,0.055
"P55","Muy buena",0.021,0.154,0.577,0.029,0.046,0.05
"P55","Buena",0.027,0.247,0.264,0.103,0.14,0.123
"P55","Ni buena ni mala",0.072,0.366,0.136,0.2,0.295,0.399
"P55","Mala",0.14,0.121,0.005,0.097,0.221,0.11
"P55","Muy mala",0.712,0.089,0.01,0.558,0.252,0.242
"P55","No sabe",0.028,0.023,0.008,0.013,0.046,0.076
"P56","Muy buena",0.008,0.371,0.206,0.06,0.121,0.132
"P56","Buena",0.016,0.354,0.221,0.037,0.241,0.18
"P56","Ni buena ni mala",0.058,0.179,0.217,0.183,0.259,0.272
"P56","Mala",0.169,0.059,0.135,0.244,0.169,0.145
"P56","Muy mala",0.727,0.027,0.21,0.462,0.198,0.182
"P56","No sabe",0.022,0.01,0.011,0.014,0.012,0.089
"P57","Muy buena",0.361,0.058,0.028,0.083,0.061,0.065
"P57","Buena",0.287,0.061,0.047,0.089,0.081,0.064
"P57","Ni buena ni mala",0.151,0.151,0.198,0.386,0.216,0.3
"P57","Mala",0.054,0.19,0.139,0.115,0.229,0.155
"P57","Muy mala",0.101,0.509,0.488,0.191,0.324,0.27
"P57","No sabe",0.046,0.031,0.1,0.136,0.089,0.146
"P58","Muy buena",0.091,0.078,0.086,0.147,0.115,0.07
"P58","Buena",0.116,0.175,0.09,0.046,0.231,0.175
"P58","Ni buena ni mala",0.348,0.329,0.317,0.271,0.301,0.421
"P58","Mala",0.185,0.192,0.159,0.187,0.159,0.076
"P58","Muy mala",0.189,0.199,0.262,0.108,0.126,0.14
"P58","No sabe",0.071,0.027,0.086,0.241,0.068,0.118
"P59","Muy buena",0.016,0.103,0.052,0.031,0.082,0.053
"P59","Buena",0.025,0.236,0.083,0.018,0.209,0.136
"P59","Ni buena ni mala",0.204,0.35,0.304,0.221,0.302,0.386
"P59","Mala",0.171,0.126,0.159,0.192,0.139,0.107
"P59","Muy mala",0.501,0.123,0.269,0.21,0.182,0.142
"P59","No sabe",0.083,0.062,0.133,0.328,0.086,0.176
"P60","Siempre",0.317,0.308,0.228,0.205,0.221,0.225
"P60","Casi siempre",0.381,0.373,0.389,0.533,0.407,0.375
"P60","Casi nunca",0.207,0.22,0.258,0.153,0.279,0.285
"P60","Nunca, pero esta es una excepción",0.095,0.099,0.125,0.109,0.093,0.115
"P61","Si",0.639,0.562,0.549,0.501,0.501,0.481
"P61","No",0.361,0.438,0.451,0.499,0.499,0.519
