"var","categoria","Sergio Massa por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P37","Nicolás del Caño por la izquierda",0.016,0.009,0.005,0.505,0.01,0.009
"P37","Otro candidato",0.091,0.1,0.012,0.063,0.457,0.076
"P37","Aún no lo tengo decidido",0.079,0.043,0.022,0.063,0.084,0.582
"P38","Wado de Pedro por el Frente de Todos",0.67,0.097,0.01,0.286,0.254,0.129
"P38","Patricia Bullrich por Juntos por el Cambio",0.115,0.721,0.261,0.091,0.268,0.188
"P38","Javier Milei por los liberales libertarios",0.02,0.045,0.708,0,0.024,0.034
"P38","Nicolás del Caño por la izquierda",0.021,0.007,0.001,0.509,0.006,0.006
"P38","Otro candidato",0.1,0.086,0.005,0.063,0.345,0.106
"P38","Aún no lo tengo decidido",0.074,0.044,0.015,0.051,0.103,0.537
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.768,0.09,0.014,0.375,0.356,0.253
"P39","Patricia Bullrich por Juntos por el Cambio",0.109,0.745,0.257,0.073,0.285,0.229
"P39","Javier Milei por los liberales libertarios",0.02,0.053,0.7,0.011,0.008,0.03
"P39","Nicolás del Caño por la izquierda",0.017,0.005,0.009,0.413,0.004,0.003
"P39","Otro candidato",0.054,0.074,0.007,0.062,0.275,0.07
"P39","Aún no lo tengo decidido",0.032,0.033,0.013,0.066,0.072,0.415
"P40","Cristina Fernández de Kirchner por el Frente de Todos",0.817,0.136,0.048,0.643,0.373,0.329
"P40","Mauricio Macri por Juntos por el Cambio",0.123,0.747,0.559,0.126,0.364,0.255
"P40","No sabe",0.06,0.117,0.393,0.231,0.263,0.416
"P41","Wado de Pedro por el Frente de Todos",0.729,0.096,0.029,0.538,0.296,0.204
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.115,0.845,0.429,0.103,0.245,0.206
"P41","No sabe",0.156,0.059,0.542,0.359,0.459,0.59
"P42","Sergio Massa por el Frente de Todos",0.832,0.11,0.037,0.381,0.187,0.134
"P42","Patricia Bullrich por Juntos por el Cambio",0.114,0.783,0.648,0.096,0.37,0.334
"P42","No sabe",0.054,0.107,0.315,0.523,0.443,0.532
"P43","Sergio Massa por el Frente de Todos",0.845,0.11,0.032,0.377,0.236,0.167
"P43","Mauricio Macri por Juntos por el Cambio",0.115,0.797,0.622,0.105,0.331,0.286
"P43","No sabe",0.04,0.093,0.346,0.518,0.433,0.547
"P44","Sergio Massa por el Frente de Todos",0.842,0.121,0.015,0.396,0.224,0.136
"P44","Javier Milei por los liberales libertarios",0.086,0.46,0.877,0.17,0.212,0.2
"P44","No sabe",0.072,0.419,0.108,0.434,0.564,0.664
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.441,0.454,0.025,0.314,0.202,0.203
"P45","Javier Milei por los liberales libertarios",0.079,0.233,0.913,0.122,0.19,0.183
"P45","No sabe",0.48,0.313,0.062,0.564,0.608,0.614
"P46","Patricia Bullrich por Juntos por el Cambio",0.142,0.77,0.61,0.114,0.341,0.373
"P46","Wado de Pedro por el Frente de Todos",0.646,0.093,0.143,0.516,0.312,0.189
"P46","No sabe",0.212,0.137,0.247,0.37,0.347,0.438
"P47","Patricia Bullrich por Juntos por el Cambio",0.151,0.821,0.703,0.11,0.417,0.382
"P47","Cristina Fernández de Kirchner por el Frente de Todos",0.791,0.088,0.047,0.599,0.388,0.329
"P47","No sabe",0.058,0.091,0.25,0.291,0.195,0.289
"P48","Muy buena",0.181,0.112,0.075,0.016,0.095,0.079
"P48","Buena",0.364,0.068,0.023,0.181,0.135,0.114
"P48","Ni buena ni mala",0.275,0.046,0.073,0.38,0.177,0.275
"P48","Mala",0.082,0.101,0.062,0.265,0.131,0.156
"P48","Muy mala",0.092,0.666,0.765,0.136,0.456,0.348
"P48","No sabe",0.006,0.007,0.002,0.022,0.006,0.028
"P49","Muy buena",0.155,0.02,0.019,0.074,0.051,0.04
"P49","Buena",0.323,0.054,0.011,0.133,0.1,0.12
"P49","Ni buena ni mala",0.308,0.049,0.055,0.343,0.233,0.227
"P49","Mala",0.084,0.159,0.079,0.264,0.129,0.18
"P49","Muy mala",0.129,0.71,0.821,0.174,0.479,0.413
"P49","No sabe",0.001,0.008,0.015,0.012,0.008,0.02
"P50","Muy buena",0.599,0.057,0.021,0.294,0.306,0.219
"P50","Buena",0.133,0.034,0.024,0.221,0.063,0.102
"P50","Ni buena ni mala",0.094,0.018,0.039,0.167,0.085,0.115
"P50","Mala",0.047,0.079,0.035,0.107,0.035,0.059
"P50","Muy mala",0.126,0.809,0.88,0.199,0.504,0.478
"P50","No sabe",0.001,0.003,0.001,0.012,0.007,0.027
"P51","Muy buena",0.109,0.331,0.126,0.082,0.143,0.155
"P51","Buena",0.049,0.283,0.216,0.075,0.17,0.137
"P51","Ni buena ni mala",0.039,0.151,0.243,0.049,0.156,0.149
"P51","Mala",0.199,0.065,0.174,0.091,0.097,0.134
"P51","Muy mala",0.601,0.17,0.239,0.687,0.426,0.364
"P51","No sabe",0.003,0,0.002,0.016,0.008,0.061
"P52","Muy buena",0.064,0.35,0.065,0,0.067,0.036
"P52","Buena",0.063,0.377,0.199,0.091,0.126,0.17
"P52","Ni buena ni mala",0.139,0.166,0.272,0.111,0.295,0.268
"P52","Mala",0.203,0.044,0.173,0.233,0.133,0.132
"P52","Muy mala",0.512,0.063,0.281,0.527,0.353,0.244
"P52","No sabe",0.019,0,0.01,0.038,0.026,0.15
"P53","Muy buena",0.236,0.061,0.013,0.033,0.033,0.025
"P53","Buena",0.38,0.103,0.036,0.103,0.064,0.101
"P53","Ni buena ni mala",0.227,0.113,0.094,0.217,0.251,0.259
"P53","Mala",0.051,0.171,0.156,0.272,0.197,0.199
"P53","Muy mala",0.097,0.548,0.697,0.337,0.439,0.32
"P53","No sabe",0.009,0.004,0.004,0.038,0.016,0.096
"P54","Muy buena",0.099,0.442,0.288,0.037,0.219,0.174
"P54","Buena",0.062,0.268,0.233,0.124,0.133,0.124
"P54","Ni buena ni mala",0.067,0.128,0.195,0.077,0.128,0.168
"P54","Mala",0.127,0.053,0.079,0.064,0.106,0.145
"P54","Muy mala",0.634,0.103,0.186,0.672,0.399,0.323
"P54","No sabe",0.011,0.006,0.019,0.026,0.015,0.066
"P55","Muy buena",0.056,0.087,0.557,0.024,0.074,0.049
"P55","Buena",0.046,0.194,0.297,0.114,0.122,0.103
"P55","Ni buena ni mala",0.121,0.361,0.126,0.1,0.271,0.297
"P55","Mala",0.132,0.169,0.005,0.106,0.123,0.119
"P55","Muy mala",0.614,0.167,0.014,0.643,0.394,0.311
"P55","No sabe",0.031,0.022,0.001,0.013,0.016,0.121
"P56","Muy buena",0.053,0.334,0.199,0.053,0.097,0.137
"P56","Buena",0.041,0.349,0.244,0.061,0.146,0.101
"P56","Ni buena ni mala",0.121,0.142,0.206,0.084,0.205,0.244
"P56","Mala",0.167,0.079,0.146,0.145,0.102,0.164
"P56","Muy mala",0.603,0.083,0.198,0.657,0.42,0.271
"P56","No sabe",0.015,0.013,0.007,0,0.03,0.083
"P57","Muy buena",0.344,0.076,0.028,0.133,0.166,0.09
"P57","Buena",0.257,0.073,0.054,0.177,0.169,0.081
"P57","Ni buena ni mala",0.181,0.152,0.186,0.33,0.166,0.268
"P57","Mala",0.061,0.22,0.131,0.062,0.131,0.132
"P57","Muy mala",0.115,0.424,0.53,0.213,0.328,0.246
"P57","No sabe",0.042,0.055,0.071,0.085,0.04,0.183
"P58","Muy buena",0.069,0.119,0.066,0.052,0.126,0.043
"P58","Buena",0.134,0.196,0.093,0.121,0.138,0.141
"P58","Ni buena ni mala",0.343,0.338,0.327,0.253,0.296,0.406
"P58","Mala",0.189,0.168,0.156,0.185,0.188,0.14
"P58","Muy mala",0.189,0.142,0.287,0.222,0.215,0.123
"P58","No sabe",0.076,0.037,0.071,0.167,0.037,0.147
"P59","Muy buena",0.027,0.117,0.046,0.004,0.059,0.007
"P59","Buena",0.057,0.218,0.095,0.041,0.144,0.107
"P59","Ni buena ni mala",0.21,0.357,0.299,0.128,0.258,0.382
"P59","Mala",0.189,0.117,0.166,0.215,0.123,0.106
"P59","Muy mala",0.418,0.122,0.287,0.379,0.343,0.221
"P59","No sabe",0.099,0.069,0.107,0.233,0.073,0.177
"P60","Siempre",0.324,0.284,0.26,0.288,0.263,0.197
"P60","Casi siempre",0.368,0.377,0.403,0.412,0.362,0.431
"P60","Casi nunca",0.216,0.233,0.226,0.205,0.285,0.242
"P60","Nunca, pero esta es una excepción",0.092,0.106,0.111,0.095,0.09,0.13
"P61","Si",0.621,0.549,0.55,0.553,0.551,0.564
"P61","No",0.379,0.451,0.45,0.447,0.449,0.436
