"var","categoria","Wado de Pedro por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P23","No sabe",0.072,0.038,0.166,0.207,0.181,0.262
"P24","Lo votaría",0.064,0.082,0.047,0,0.06,0.015
"P24","Puede que lo vote",0.098,0.282,0.105,0.165,0.184,0.128
"P24","Nunca lo votaría",0.737,0.552,0.681,0.686,0.562,0.489
"P24","No sabe",0.101,0.084,0.167,0.149,0.194,0.368
"P25","Mauricio Macri por Juntos por el Cambio",0.017,0.339,0.046,0.026,0.054,0.079
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.014,0.128,0.071,0.12,0.146,0.081
"P25","Patricia Bullrich por Juntos por el Cambio",0.009,0.421,0.075,0.024,0.042,0.064
"P25","Facundo Manes por Juntos por el Cambio",0.018,0.029,0.023,0.07,0.151,0.036
"P25","Alberto Fernández por el Frente de Todos",0.084,0.01,0.006,0.082,0.119,0.14
"P25","Cristina Fernández de Kirchner por el Frente de Todos",0.786,0.005,0.014,0.25,0.186,0.237
"P25","Javier Milei por los liberales libertarios",0.002,0.021,0.741,0,0.014,0.021
"P25","Nicolás del Caño por la izquierda",0.005,0.001,0.006,0.337,0.005,0.009
"P25","Otros candidatos",0.032,0.012,0.007,0.01,0.199,0.049
"P25","Aún no lo tengo decidido",0.033,0.034,0.011,0.081,0.084,0.284
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.014,0.214,0.089,0.095,0.126,0.11
"P26","Patricia Bullrich por Juntos por el Cambio",0.02,0.593,0.088,0.062,0.08,0.093
"P26","Facundo Manes por Juntos por el Cambio",0.014,0.113,0.04,0.025,0.178,0.053
"P26","Wado de Pedro por el Frente de Todos",0.479,0.007,0.005,0.079,0.081,0.04
"P26","Sergio Massa por el Frente de Todos",0.374,0.007,0.008,0.189,0.201,0.192
"P26","Javier Milei por los liberales libertarios",0.018,0.032,0.659,0.025,0.049,0.039
"P26","Nicolás del Caño por la izquierda",0.006,0.003,0.087,0.331,0.008,0.011
"P26","Otros candidatos",0.028,0.009,0.008,0.107,0.158,0.035
"P26","Aún no lo tengo decidido",0.047,0.022,0.016,0.087,0.119,0.427
