"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Patricia Bullrich por Juntos por el Cambio","Facundo Manes por Juntos por el Cambio","Wado de Pedro por el Frente de Todos","Sergio Massa por el Frente de Todos","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otros candidatos","Aún no lo tengo decidido"
"P29","Wado de Pedro por el Frente de Todos",0.081,0.065,0.094,0.829,0.505,0.033,0.056,0.083,0.099
"P29","Javier Milei por los liberales libertarios",0.086,0.22,0.175,0.019,0.03,0.883,0.568,0.037,0.057
"P29","Nicolás del Caño por la izquierda",0.006,0.006,0.018,0.011,0.034,0.001,0.224,0.122,0.022
"P29","Otro candidato",0.034,0.145,0.285,0.036,0.149,0.018,0.054,0.586,0.121
"P29","Aún no lo tengo decidido",0.065,0.103,0.138,0.035,0.155,0.035,0.062,0.128,0.636
"P31","Sergio Massa por el Frente de Todos",0.084,0.046,0.086,0.583,0.794,0.042,0.027,0.106,0.106
"P31","Patricia Bullrich por Juntos por el Cambio",0.546,0.827,0.455,0.08,0.045,0.055,0.066,0.037,0.077
"P31","Javier Milei por los liberales libertarios",0.13,0.067,0.119,0.015,0.012,0.852,0.508,0.051,0.06
"P31","Nicolás del Caño por la izquierda",0.034,0.007,0.009,0.055,0.01,0.003,0.284,0.091,0.019
"P31","Otro candidato",0.085,0.027,0.222,0.171,0.059,0.015,0.086,0.598,0.143
"P31","Aún no lo tengo decidido",0.121,0.026,0.109,0.096,0.08,0.033,0.029,0.117,0.595
"P33","Sergio Massa por el Frente de Todos",0.103,0.055,0.122,0.575,0.747,0.028,0.033,0.105,0.108
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.715,0.499,0.352,0.066,0.109,0.028,0.005,0.048,0.072
"P33","Javier Milei por los liberales libertarios",0.084,0.216,0.143,0.011,0.016,0.88,0.568,0.022,0.046
"P33","Nicolás del Caño por la izquierda",0.016,0.008,0.005,0.054,0.004,0.014,0.306,0.099,0.047
"P33","Otro candidato",0.04,0.14,0.244,0.204,0.053,0.022,0.047,0.569,0.15
"P33","Aún no lo tengo decidido",0.042,0.082,0.134,0.09,0.071,0.028,0.041,0.157,0.577
"P35","Cristina Fernández de Kirchner por el Frente de Todos",0.078,0.067,0.105,0.837,0.744,0.05,0.132,0.298,0.31
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.752,0.513,0.325,0.045,0.098,0.021,0.02,0.055,0.087
"P35","Javier Milei por los liberales libertarios",0.073,0.23,0.21,0.019,0.01,0.871,0.588,0.058,0.036
"P35","Nicolás del Caño por la izquierda",0.005,0.008,0.003,0.026,0.014,0.002,0.231,0.072,0.031
"P35","Otro candidato",0.033,0.126,0.246,0.044,0.072,0.029,0.006,0.384,0.116
"P35","Aún no lo tengo decidido",0.059,0.056,0.111,0.029,0.062,0.027,0.023,0.133,0.42
"P36","Sergio Massa por el Frente de Todos",0.07,0.025,0.095,0.605,0.853,0.037,0.031,0.116,0.139
"P36","Mauricio Macri por Juntos por el Cambio",0.611,0.667,0.324,0.028,0.036,0.077,0.033,0.042,0.079
"P36","Javier Milei por los liberales libertarios",0.122,0.159,0.172,0.017,0.013,0.821,0.535,0.045,0.039
"P36","Nicolás del Caño por la izquierda",0.026,0.006,0.004,0.038,0.011,0.003,0.326,0.125,0.039
"P36","Otro candidato",0.105,0.099,0.251,0.221,0.034,0.038,0.058,0.514,0.16
"P36","Aún no lo tengo decidido",0.066,0.044,0.154,0.091,0.053,0.024,0.017,0.158,0.544
"P37","Wado de Pedro por el Frente de Todos",0.037,0.01,0.058,0.857,0.647,0.029,0.045,0.19,0.124
"P37","Mauricio Macri por Juntos por el Cambio",0.647,0.683,0.373,0.026,0.021,0.066,0.046,0.079,0.093
"P37","Javier Milei por los liberales libertarios",0.106,0.153,0.159,0.006,0.019,0.851,0.556,0.046,0.043
"P37","Nicolás del Caño por la izquierda",0.03,0.009,0.006,0.012,0.032,0.002,0.253,0.078,0.015
"P37","Otro candidato",0.111,0.093,0.274,0.074,0.141,0.031,0.077,0.396,0.151
"P37","Aún no lo tengo decidido",0.069,0.052,0.13,0.025,0.14,0.021,0.023,0.211,0.574
"P38","Wado de Pedro por el Frente de Todos",0.027,0.02,0.046,0.866,0.643,0.029,0.049,0.195,0.138
"P38","Patricia Bullrich por Juntos por el Cambio",0.611,0.833,0.522,0.017,0.017,0.076,0.032,0.094,0.092
"P38","Javier Milei por los liberales libertarios",0.137,0.067,0.099,0.007,0.011,0.828,0.572,0.042,0.036
"P38","Nicolás del Caño por la izquierda",0.018,0.006,0.008,0.014,0.032,0.004,0.276,0.073,0.025
"P38","Otro candidato",0.11,0.034,0.25,0.064,0.151,0.035,0.029,0.485,0.153
"P38","Aún no lo tengo decidido",0.097,0.04,0.075,0.032,0.146,0.028,0.042,0.111,0.556
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.041,0.015,0.065,0.87,0.809,0.048,0.132,0.345,0.327
"P39","Patricia Bullrich por Juntos por el Cambio",0.577,0.867,0.59,0.02,0.022,0.065,0.049,0.08,0.11
"P39","Javier Milei por los liberales libertarios",0.154,0.056,0.073,0.012,0.012,0.831,0.596,0.042,0.03
"P39","Nicolás del Caño por la izquierda",0.027,0.006,0.008,0.008,0.016,0.009,0.199,0.089,0.017
"P39","Otro candidato",0.112,0.026,0.188,0.054,0.082,0.035,0.007,0.315,0.12
"P39","Aún no lo tengo decidido",0.089,0.03,0.076,0.036,0.059,0.012,0.017,0.129,0.396
"P40","Cristina Fernández de Kirchner por el Frente de Todos",0.102,0.071,0.238,0.864,0.78,0.087,0.317,0.461,0.381
"P40","Mauricio Macri por Juntos por el Cambio",0.683,0.807,0.469,0.081,0.15,0.465,0.26,0.135,0.177
"P40","No sabe",0.215,0.122,0.293,0.055,0.07,0.448,0.423,0.404,0.442
"P41","Wado de Pedro por el Frente de Todos",0.016,0.02,0.044,0.932,0.729,0.067,0.182,0.253,0.217
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.876,0.738,0.633,0.016,0.042,0.339,0.31,0.165,0.137
"P41","No sabe",0.108,0.242,0.323,0.052,0.229,0.594,0.508,0.582,0.646
"P42","Sergio Massa por el Frente de Todos",0.07,0.016,0.092,0.749,0.878,0.073,0.153,0.337,0.204
"P42","Patricia Bullrich por Juntos por el Cambio",0.731,0.918,0.625,0.013,0.047,0.551,0.382,0.113,0.147
"P42","No sabe",0.199,0.066,0.283,0.238,0.075,0.376,0.465,0.55,0.649
"P43","Sergio Massa por el Frente de Todos",0.057,0.016,0.099,0.777,0.907,0.08,0.163,0.373,0.248
"P43","Mauricio Macri por Juntos por el Cambio",0.75,0.862,0.649,0.012,0.023,0.539,0.397,0.16,0.171
"P43","No sabe",0.193,0.122,0.252,0.211,0.07,0.381,0.44,0.467,0.581
"P44","Sergio Massa por el Frente de Todos",0.07,0.024,0.099,0.776,0.897,0.057,0.177,0.303,0.218
"P44","Javier Milei por los liberales libertarios",0.454,0.614,0.5,0.013,0.033,0.833,0.517,0.172,0.107
"P44","No sabe",0.476,0.362,0.401,0.211,0.07,0.11,0.306,0.525,0.675
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.43,0.292,0.268,0.37,0.434,0.062,0.123,0.308,0.206
"P45","Javier Milei por los liberales libertarios",0.268,0.456,0.377,0.03,0.033,0.867,0.643,0.121,0.087
"P45","No sabe",0.302,0.252,0.355,0.6,0.533,0.071,0.234,0.571,0.707
"P46","Patricia Bullrich por Juntos por el Cambio",0.69,0.898,0.59,0.058,0.077,0.521,0.293,0.128,0.186
"P46","Wado de Pedro por el Frente de Todos",0.059,0.041,0.137,0.835,0.601,0.128,0.48,0.369,0.212
"P46","No sabe",0.251,0.061,0.273,0.107,0.322,0.351,0.227,0.503,0.602
"P47","Patricia Bullrich por Juntos por el Cambio",0.774,0.957,0.746,0.013,0.043,0.589,0.497,0.231,0.211
"P47","Cristina Fernández de Kirchner por el Frente de Todos",0.031,0.013,0.075,0.924,0.87,0.09,0.265,0.426,0.392
"P47","No sabe",0.195,0.03,0.179,0.063,0.087,0.321,0.238,0.343,0.397
"P48","Muy buena",0.122,0.092,0.199,0.106,0.132,0.049,0.195,0.217,0.083
"P48","Buena",0.009,0.004,0.025,0.413,0.45,0.036,0.09,0.147,0.144
"P48","Ni buena ni mala",0.104,0.029,0.062,0.327,0.289,0.088,0.199,0.25,0.266
"P48","Mala",0.129,0.066,0.145,0.126,0.081,0.051,0.137,0.144,0.194
"P48","Muy mala",0.635,0.807,0.551,0.024,0.025,0.773,0.371,0.242,0.293
"P48","No sabe",0.001,0.002,0.018,0.004,0.023,0.003,0.008,0,0.02
"P49","Muy buena",0.005,0.021,0.003,0.106,0.165,0.013,0.092,0.179,0.079
"P49","Buena",0.016,0.007,0.036,0.337,0.361,0.034,0.051,0.161,0.137
"P49","Ni buena ni mala",0.076,0.027,0.067,0.411,0.322,0.078,0.117,0.181,0.263
"P49","Mala",0.176,0.114,0.205,0.104,0.104,0.062,0.125,0.141,0.179
"P49","Muy mala",0.714,0.827,0.682,0.042,0.036,0.794,0.615,0.338,0.316
"P49","No sabe",0.013,0.004,0.007,0,0.012,0.019,0,0,0.026
"P50","Muy buena",0.016,0.019,0.072,0.785,0.519,0.055,0.095,0.438,0.24
"P50","Buena",0.021,0.004,0.021,0.128,0.21,0.026,0.092,0.057,0.156
"P50","Ni buena ni mala",0.047,0.013,0.033,0.046,0.171,0.033,0.098,0.073,0.161
"P50","Mala",0.095,0.052,0.071,0.018,0.055,0.041,0.077,0.09,0.05
"P50","Muy mala",0.817,0.911,0.789,0.023,0.035,0.842,0.638,0.342,0.372
"P50","No sabe",0.004,0.001,0.014,0,0.01,0.003,0,0,0.021
"P51","Muy buena",0.297,0.344,0.13,0.083,0.118,0.089,0.016,0.156,0.075
"P51","Buena",0.263,0.311,0.248,0.035,0.032,0.18,0.161,0.067,0.085
"P51","Ni buena ni mala",0.167,0.163,0.168,0.025,0.042,0.278,0.097,0.17,0.156
"P51","Mala",0.071,0.06,0.149,0.143,0.233,0.182,0.164,0.14,0.158
"P51","Muy mala",0.199,0.122,0.289,0.709,0.559,0.267,0.562,0.467,0.471
"P51","No sabe",0.003,0,0.016,0.005,0.016,0.004,0,0,0.055
"P52","Muy buena",0.515,0.198,0.15,0.015,0.027,0.06,0.004,0.07,0.027
"P52","Buena",0.316,0.358,0.352,0.011,0.037,0.167,0.158,0.075,0.122
"P52","Ni buena ni mala",0.101,0.281,0.324,0.063,0.146,0.255,0.208,0.236,0.279
"P52","Mala",0.012,0.095,0.064,0.182,0.236,0.179,0.196,0.198,0.15
"P52","Muy mala",0.053,0.056,0.076,0.712,0.508,0.33,0.434,0.417,0.283
"P52","No sabe",0.003,0.012,0.034,0.017,0.046,0.009,0,0.004,0.139
"P53","Muy buena",0.071,0.037,0.035,0.092,0.289,0.026,0.042,0.108,0.042
"P53","Buena",0.084,0.054,0.097,0.353,0.363,0.047,0.024,0.1,0.14
"P53","Ni buena ni mala",0.184,0.075,0.175,0.342,0.159,0.099,0.108,0.302,0.281
"P53","Mala",0.191,0.155,0.153,0.105,0.078,0.157,0.217,0.168,0.203
"P53","Muy mala",0.467,0.668,0.517,0.096,0.088,0.665,0.609,0.318,0.251
"P53","No sabe",0.003,0.011,0.023,0.012,0.023,0.006,0,0.004,0.083
"P54","Muy buena",0.277,0.624,0.284,0.017,0.072,0.16,0.083,0.113,0.062
"P54","Buena",0.32,0.235,0.187,0.025,0.052,0.284,0.156,0.056,0.081
"P54","Ni buena ni mala",0.168,0.053,0.168,0.068,0.11,0.243,0.203,0.222,0.184
"P54","Mala",0.074,0.026,0.121,0.078,0.19,0.075,0.117,0.092,0.202
"P54","Muy mala",0.139,0.062,0.236,0.8,0.55,0.214,0.441,0.51,0.385
"P54","No sabe",0.022,0,0.004,0.012,0.026,0.024,0,0.007,0.086
"P55","Muy buena",0.111,0.159,0.15,0.015,0.022,0.642,0.362,0.133,0.026
"P55","Buena",0.195,0.301,0.161,0.014,0.042,0.203,0.225,0.09,0.044
"P55","Ni buena ni mala",0.424,0.34,0.346,0.042,0.108,0.083,0.101,0.224,0.256
"P55","Mala",0.114,0.11,0.155,0.113,0.169,0.01,0.025,0.103,0.19
"P55","Muy mala",0.142,0.059,0.163,0.81,0.615,0.056,0.287,0.438,0.359
"P55","No sabe",0.014,0.031,0.025,0.006,0.044,0.006,0,0.012,0.125
"P56","Muy buena",0.453,0.292,0.176,0.014,0.005,0.158,0.191,0.093,0.049
"P56","Buena",0.29,0.347,0.33,0.005,0.018,0.197,0.13,0.1,0.101
"P56","Ni buena ni mala",0.147,0.235,0.225,0.025,0.117,0.195,0.113,0.193,0.209
"P56","Mala",0.045,0.07,0.144,0.127,0.223,0.16,0.163,0.133,0.207
"P56","Muy mala",0.053,0.036,0.113,0.818,0.613,0.278,0.403,0.451,0.349
"P56","No sabe",0.012,0.02,0.012,0.011,0.024,0.012,0,0.03,0.085
"P57","Muy buena",0.089,0.041,0.032,0.56,0.205,0.038,0.035,0.157,0.055
"P57","Buena",0.068,0.035,0.147,0.276,0.278,0.053,0.045,0.108,0.164
"P57","Ni buena ni mala",0.207,0.152,0.227,0.05,0.249,0.191,0.345,0.241,0.233
"P57","Mala",0.187,0.187,0.23,0.019,0.091,0.116,0.177,0.124,0.136
"P57","Muy mala",0.361,0.555,0.305,0.086,0.11,0.488,0.347,0.348,0.189
"P57","No sabe",0.088,0.03,0.059,0.009,0.067,0.114,0.051,0.022,0.223
"P58","Muy buena",0.108,0.056,0.288,0.076,0.097,0.062,0.041,0.006,0.045
"P58","Buena",0.204,0.153,0.193,0.123,0.164,0.095,0.018,0.091,0.116
"P58","Ni buena ni mala",0.348,0.354,0.251,0.33,0.333,0.335,0.315,0.399,0.346
"P58","Mala",0.125,0.201,0.14,0.194,0.178,0.136,0.3,0.183,0.118
"P58","Muy mala",0.139,0.21,0.106,0.241,0.134,0.286,0.224,0.255,0.151
"P58","No sabe",0.076,0.026,0.022,0.036,0.094,0.086,0.102,0.066,0.224
"P59","Muy buena",0.118,0.07,0.144,0.019,0.007,0.06,0.011,0.045,0.026
"P59","Buena",0.207,0.228,0.206,0.037,0.034,0.059,0.038,0.09,0.079
"P59","Ni buena ni mala",0.332,0.365,0.356,0.121,0.285,0.259,0.279,0.284,0.324
"P59","Mala",0.094,0.153,0.088,0.144,0.209,0.159,0.158,0.17,0.128
"P59","Muy mala",0.109,0.138,0.104,0.626,0.36,0.312,0.337,0.365,0.248
"P59","No sabe",0.14,0.046,0.102,0.053,0.105,0.151,0.177,0.046,0.195
"P60","Siempre",0.323,0.276,0.218,0.324,0.284,0.257,0.182,0.274,0.244
"P60","Casi siempre",0.316,0.407,0.379,0.438,0.361,0.362,0.379,0.464,0.391
"P60","Casi nunca",0.244,0.211,0.304,0.181,0.271,0.257,0.231,0.163,0.232
"P60","Nunca, pero esta es una excepción",0.117,0.106,0.099,0.057,0.084,0.124,0.208,0.099,0.133
"P61","Si",0.509,0.573,0.542,0.635,0.623,0.553,0.476,0.612,0.495
"P61","No",0.491,0.427,0.458,0.365,0.377,0.447,0.524,0.388,0.505
