"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires","Fernandez","Macri","Lavagna"
"CFK","Negativa",0.637,0.662,0.614,0.66,0.602,0.657,0.667,0.577,0.671,0.65,0.656,0.684,0.552,0.613,0.193,0.917,0.775
"CFK","No sabe",0.005,0.002,0.007,0,0.002,0.003,0.017,0.008,0.005,0.002,0.005,0,0.002,0.007,0.001,0.002,0.016
"Wado de Pedro","Positiva",0.266,0.248,0.282,0.214,0.29,0.26,0.264,0.252,0.258,0.287,0.269,0.231,0.345,0.267,0.529,0.112,0.139
"Wado de Pedro","Neutra",0.183,0.169,0.198,0.188,0.199,0.173,0.163,0.205,0.181,0.168,0.178,0.233,0.171,0.171,0.187,0.177,0.239
"Wado de Pedro","Negativa",0.484,0.53,0.439,0.489,0.447,0.522,0.503,0.459,0.48,0.509,0.493,0.421,0.451,0.505,0.237,0.664,0.429
"Wado de Pedro","No sabe",0.067,0.053,0.081,0.109,0.064,0.045,0.07,0.084,0.081,0.036,0.06,0.115,0.033,0.057,0.047,0.047,0.193
"Facundo Manes","Positiva",0.231,0.23,0.232,0.155,0.246,0.245,0.242,0.221,0.226,0.245,0.208,0.237,0.214,0.25,0.195,0.264,0.355
"Facundo Manes","Neutra",0.336,0.309,0.361,0.268,0.344,0.331,0.381,0.357,0.336,0.317,0.308,0.359,0.371,0.347,0.362,0.329,0.331
"Facundo Manes","Negativa",0.366,0.404,0.329,0.479,0.339,0.372,0.321,0.332,0.355,0.407,0.411,0.305,0.365,0.351,0.372,0.364,0.193
"Facundo Manes","No sabe",0.067,0.057,0.078,0.098,0.071,0.052,0.056,0.09,0.083,0.031,0.073,0.099,0.05,0.052,0.071,0.043,0.121
"Sergio Massa","Positiva",0.23,0.211,0.248,0.222,0.213,0.222,0.281,0.276,0.221,0.2,0.232,0.193,0.214,0.244,0.425,0.114,0.184
"Sergio Massa","Neutra",0.168,0.156,0.18,0.108,0.197,0.16,0.169,0.152,0.173,0.176,0.162,0.197,0.19,0.159,0.241,0.118,0.246
"Sergio Massa","Negativa",0.586,0.618,0.555,0.635,0.578,0.606,0.535,0.551,0.583,0.619,0.592,0.585,0.579,0.582,0.313,0.762,0.556
"Sergio Massa","No sabe",0.016,0.015,0.017,0.035,0.012,0.012,0.015,0.021,0.023,0.005,0.014,0.025,0.017,0.015,0.021,0.006,0.014
"Alberto Fernandez","Positiva",0.179,0.161,0.195,0.122,0.194,0.179,0.192,0.24,0.161,0.146,0.158,0.191,0.208,0.189,0.405,0.045,0.133
"Alberto Fernandez","Neutra",0.158,0.15,0.165,0.155,0.181,0.157,0.112,0.177,0.145,0.156,0.153,0.146,0.211,0.16,0.313,0.054,0.113
"Alberto Fernandez","Negativa",0.654,0.678,0.632,0.706,0.617,0.66,0.684,0.571,0.681,0.695,0.685,0.642,0.579,0.64,0.277,0.894,0.72
"Alberto Fernandez","No sabe",0.009,0.011,0.008,0.017,0.008,0.004,0.012,0.012,0.013,0.003,0.004,0.021,0.002,0.011,0.005,0.007,0.034
