"var","categoria","Totalmente seguro.","Bastante seguro","Algo seguro","Para nada seguro"
"GOBERNADOR","En blanco",0.011,0.06,0.006,0.008
"GOBERNADOR","No sabe",0.015,0.024,0.247,0.42
"INTENDENTE","Julio Zamora a intendente por Unión por la Patria.",0.486,0.396,0.541,0.378
"INTENDENTE","Segundo Cernadas a intendente por Juntos por el Cambio",0.296,0.399,0.257,0.081
"INTENDENTE","Claudio Baumgarten a intendente por la Libertad Avanza",0.181,0.125,0.135,0.01
"INTENDENTE","Paula Akerfeld a intendenta por el Frente de Izquierda",0.025,0.006,0.013,0.151
"INTENDENTE","En blanco",0.008,0.04,0.004,0.088
"INTENDENTE","No sabe",0.004,0.034,0.05,0.292
"CORTA_PRESIDENTE","Si",0.108,0.22,0.234,0.473
"CORTA_PRESIDENTE","No",0.892,0.78,0.766,0.527
"CORTA_GOBERNADOR","Si",0.157,0.246,0.315,0.606
"CORTA_GOBERNADOR","No",0.843,0.754,0.685,0.394
"CORTA_INTENDENTE","Si",0.202,0.4,0.493,0.395
"CORTA_INTENDENTE","No",0.798,0.6,0.507,0.605
"P13_imputada","Sergio Massa a presidente, Axel Kicillof a gobernador y Julio Zamora a intendente por Unión por la Patria.",0.425,0.217,0.293,0.557
"P13_imputada","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.272,0.439,0.206,0.057
"P13_imputada","Javier Milei a presidente, Carolina Piparo a gobernadora y Claudio Baumgarten a intendente por la Libertad Avanza",0.251,0.24,0.364,0.071
"P13_imputada","Myriam Bregman a presidenta, Rubén Sobrero a gobernador y Paula Akerfeld a intendenta por el Frente de Izquierda",0.018,0.038,0.113,0.047
"P13_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.017,0.048,0.015,0.18
"P13_imputada","En blanco",0.017,0.018,0.009,0.088
"P17_imputada","Sergio Massa a presidente por Unión por la Patria.",0.281,0.115,0.286,0.298
"P17_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.362,0.447,0.362,0.017
"P17_imputada","Javier Milei a presidente por la Libertad Avanza",0.313,0.359,0.292,0.33
"P17_imputada","Myriam Bregman a presidenta por el Frente de Izquierda",0.021,0.022,0.034,0.147
"P17_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.009,0.057,0.026,0.038
"P17_imputada","En blanco",0.014,0,0,0.17
"P20_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.257,0.207,0.117,0.432
"P20_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.415,0.315,0.568,0.232
"P20_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.281,0.317,0.253,0.066
"P20_imputada","El candidato a gobernador de la Izquierda",0.037,0.051,0.027,0.257
"P20_imputada","En blanco",0.01,0.11,0.035,0.013
"P23_imputada","Julio Zamora a intendente por Unión por la Patria.",0.465,0.55,0.466,0.517
"P23_imputada","Segundo Cernadas a intendente por Juntos por el Cambio",0.386,0.295,0.348,0.106
"P23_imputada","Claudio Baumgarten a intendente por la Libertad Avanza",0.098,0.079,0.16,0
"P23_imputada","Paula Akerfeld a intendenta por el Frente de Izquierda",0.047,0.008,0.02,0.207
"P23_imputada","En blanco",0.004,0.068,0.006,0.17
"PRESIDENTE_imputada","Sergio Massa a presidente por Unión por la Patria.",0.414,0.196,0.419,0.436
"PRESIDENTE_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.289,0.489,0.315,0.048
"PRESIDENTE_imputada","Javier Milei a presidente por la Libertad Avanza",0.265,0.271,0.224,0.266
"PRESIDENTE_imputada","Myriam Bregman a presidenta por el Frente de Izquierda",0.015,0.012,0.027,0.138
"PRESIDENTE_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.006,0.03,0.015,0.024
"PRESIDENTE_imputada","En blanco",0.011,0.002,0,0.088
"GOBERNADOR_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.403,0.24,0.29,0.505
"GOBERNADOR_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.31,0.437,0.467,0.229
"GOBERNADOR_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.256,0.232,0.2,0.069
"GOBERNADOR_imputada","El candidato a gobernador de la Izquierda",0.02,0.031,0.023,0.189
"GOBERNADOR_imputada","En blanco",0.011,0.06,0.02,0.008
"INTENDENTE_imputada","Julio Zamora a intendente por Unión por la Patria.",0.489,0.416,0.553,0.628
"INTENDENTE_imputada","Segundo Cernadas a intendente por Juntos por el Cambio",0.296,0.412,0.289,0.105
"INTENDENTE_imputada","Claudio Baumgarten a intendente por la Libertad Avanza",0.182,0.126,0.134,0.028
"INTENDENTE_imputada","Paula Akerfeld a intendenta por el Frente de Izquierda",0.025,0.006,0.02,0.151
"INTENDENTE_imputada","En blanco",0.008,0.04,0.004,0.088
