"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna"
"Horacio Rodriguez Larreta","Buena",0.144,0.151,0.137,0.155,0.129,0.147,0.158,0.13,0.154,0.152,0.217,0.078,0.294,0.19,0.168,0.053,0.06,0.263,0.189
"Horacio Rodriguez Larreta","Ni buena ni mala",0.224,0.233,0.214,0.178,0.241,0.245,0.225,0.283,0.217,0.11,0.17,0.205,0.154,0.322,0.263,0.257,0.174,0.278,0.374
"Horacio Rodriguez Larreta","Mala",0.176,0.175,0.177,0.134,0.168,0.234,0.18,0.203,0.128,0.231,0.169,0.235,0.141,0.058,0.112,0.224,0.262,0.062,0.136
"Horacio Rodriguez Larreta","Muy mala",0.287,0.316,0.257,0.358,0.273,0.245,0.266,0.238,0.317,0.321,0.216,0.323,0.264,0.276,0.263,0.323,0.406,0.109,0.103
"Horacio Rodriguez Larreta","No sabe",0.013,0.005,0.022,0,0.02,0.012,0.021,0.004,0.026,0.004,0.025,0.016,0,0,0.004,0.021,0.016,0.006,0
"CFK","Muy buena",0.317,0.296,0.339,0.328,0.236,0.366,0.434,0.328,0.296,0.344,0.37,0.347,0.291,0.202,0.314,0.317,0.524,0.11,0.04
"CFK","Buena",0.096,0.104,0.088,0.103,0.087,0.102,0.101,0.078,0.128,0.061,0.071,0.102,0.071,0.162,0.019,0.114,0.135,0.02,0
"CFK","Ni buena ni mala",0.11,0.078,0.143,0.062,0.163,0.101,0.067,0.151,0.102,0.041,0.052,0.146,0.029,0.088,0.157,0.139,0.119,0.088,0.142
"CFK","Mala",0.083,0.074,0.093,0.153,0.044,0.074,0.081,0.041,0.124,0.081,0.153,0.062,0.01,0.087,0.051,0.122,0.058,0.078,0.135
"CFK","Muy mala",0.381,0.446,0.314,0.354,0.465,0.355,0.244,0.38,0.343,0.47,0.346,0.332,0.561,0.456,0.453,0.292,0.157,0.693,0.683
"CFK","No sabe",0.013,0.002,0.023,0,0.005,0.002,0.073,0.022,0.007,0.003,0.008,0.011,0.038,0.005,0.006,0.016,0.007,0.011,0
"Patricia Bullrich","Muy buena",0.183,0.182,0.185,0.197,0.148,0.235,0.169,0.205,0.155,0.202,0.219,0.17,0.185,0.189,0.301,0.095,0.035,0.462,0.103
"Patricia Bullrich","Buena",0.147,0.173,0.121,0.093,0.202,0.131,0.126,0.174,0.137,0.114,0.144,0.103,0.219,0.244,0.068,0.163,0.079,0.248,0.156
"Patricia Bullrich","Ni buena ni mala",0.154,0.172,0.136,0.14,0.181,0.149,0.115,0.152,0.19,0.074,0.129,0.142,0.076,0.129,0.279,0.209,0.119,0.124,0.472
"Patricia Bullrich","Mala",0.161,0.124,0.197,0.206,0.119,0.15,0.206,0.161,0.151,0.182,0.105,0.212,0.047,0.116,0.078,0.275,0.222,0.046,0.105
"Patricia Bullrich","Muy mala",0.331,0.324,0.338,0.364,0.321,0.294,0.356,0.259,0.355,0.428,0.391,0.341,0.394,0.322,0.268,0.243,0.505,0.119,0.164
"Patricia Bullrich","No sabe",0.024,0.025,0.023,0,0.029,0.041,0.028,0.049,0.012,0,0.012,0.032,0.079,0,0.006,0.015,0.04,0.001,0
"Alberto Fernandez","Muy buena",0.133,0.073,0.195,0.16,0.117,0.109,0.168,0.153,0.138,0.081,0.224,0.153,0.017,0.073,0.131,0.125,0.204,0.062,0
"Alberto Fernandez","Buena",0.162,0.139,0.187,0.11,0.112,0.233,0.276,0.182,0.154,0.14,0.098,0.208,0.284,0.143,0.129,0.082,0.242,0.035,0.052
"Alberto Fernandez","Ni buena ni mala",0.202,0.193,0.211,0.273,0.208,0.132,0.171,0.174,0.236,0.181,0.171,0.202,0.121,0.133,0.166,0.381,0.257,0.141,0.244
"Alberto Fernandez","Mala",0.129,0.148,0.109,0.089,0.131,0.145,0.168,0.136,0.098,0.185,0.169,0.097,0.217,0.154,0.102,0.091,0.135,0.13,0.273
"Alberto Fernandez","Muy mala",0.366,0.445,0.285,0.368,0.425,0.364,0.207,0.355,0.362,0.398,0.326,0.331,0.35,0.492,0.466,0.321,0.152,0.626,0.431
"Alberto Fernandez","No sabe",0.008,0.002,0.013,0,0.007,0.017,0.01,0,0.012,0.015,0.012,0.009,0.011,0.005,0.006,0,0.01,0.006,0
"Mauricio Macri","Muy buena",0.129,0.128,0.129,0.181,0.101,0.116,0.128,0.132,0.131,0.116,0.128,0.14,0.167,0.085,0.135,0.112,0.041,0.314,0
"Mauricio Macri","Buena",0.106,0.099,0.113,0.081,0.109,0.139,0.091,0.119,0.086,0.126,0.144,0.069,0.017,0.267,0.121,0.055,0.027,0.214,0.038
"Mauricio Macri","Ni buena ni mala",0.159,0.193,0.124,0.141,0.189,0.145,0.134,0.17,0.166,0.118,0.106,0.101,0.182,0.213,0.308,0.192,0.053,0.279,0.429
"Mauricio Macri","Mala",0.223,0.21,0.236,0.23,0.211,0.229,0.232,0.233,0.246,0.147,0.187,0.273,0.125,0.149,0.101,0.36,0.29,0.072,0.04
"Mauricio Macri","Muy mala",0.356,0.352,0.362,0.34,0.363,0.37,0.347,0.304,0.349,0.488,0.386,0.41,0.357,0.286,0.332,0.281,0.552,0.114,0.493
"Mauricio Macri","No sabe",0.027,0.018,0.036,0.027,0.027,0.001,0.068,0.042,0.022,0.005,0.049,0.007,0.152,0,0.003,0,0.037,0.007,0
