"var","categoria","Wado de Pedro a presidente, Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda ","En blanco","No sabe"
"P11","Wado de Pedro a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.378,0.112,0.034,0.253,0.221,0.097
"P11","Wado de Pedro a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.403,0.059,0,0.027,0.086,0.041
"P11","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.096,0.502,0.174,0.048,0.18,0.226
"P11","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.047,0.236,0.074,0.036,0.084,0.012
"P11","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.053,0.036,0.619,0.054,0.127,0.087
"P11","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.003,0,0,0.271,0.039,0.019
"P11","En blanco",0,0,0.036,0,0.123,0.004
"P11","No sabe",0.02,0.055,0.063,0.311,0.14,0.514
"P13","Wado de Pedro a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.613,0.048,0.036,0.064,0.03,0.097
"P13","Wado de Pedro a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.208,0.088,0.01,0.133,0.259,0.043
"P13","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y su candidato a intendente por Unión por la Patria",0.046,0.057,0.174,0.11,0.079,0.035
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.073,0.487,0.123,0.102,0.199,0.234
"P13","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.031,0.245,0.152,0,0.08,0.018
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.01,0.051,0.427,0.014,0.042,0.057
"P13","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0,0,0.036,0.428,0.088,0
"P13","En blanco",0.005,0.005,0,0.149,0.2,0.201
"P13","No sabe",0.014,0.019,0.042,0,0.023,0.315
"P14","Wado de Pedro a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.761,0.073,0.022,0.197,0.244,0.089
"P14","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.039,0.725,0.191,0.048,0.201,0.231
"P14","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.01,0.081,0.684,0,0.015,0.038
"P14","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda ",0.005,0.007,0.028,0.554,0.126,0
"P14","En blanco",0.047,0.017,0.037,0.037,0.297,0.026
"P14","No sabe",0.138,0.097,0.038,0.164,0.117,0.616
"P15","Wado de Pedro a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.788,0.058,0.015,0.363,0.244,0.095
"P15","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.037,0.83,0.109,0.037,0.129,0.068
"P15","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.008,0.052,0.815,0,0.034,0.046
"P15","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.001,0.002,0.015,0.388,0.066,0.011
"P15"," En blanco",0.062,0.017,0.002,0.102,0.417,0.053
"P15","No sabe",0.104,0.041,0.044,0.11,0.11,0.727
"P16","Wado de Pedro a presidente, Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria",0.911,0.042,0.031,0,0.042,0.047
"P16","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.032,0.804,0.163,0.379,0.176,0.208
"P16","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.017,0.06,0.755,0,0.029,0.027
"P16","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda ",0.004,0.001,0.015,0.511,0.091,0.002
"P16","En blanco",0.011,0.038,0,0,0.59,0.037
"P16","No sabe",0.025,0.055,0.036,0.11,0.072,0.679
"P18","Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.777,0.061,0.059,0.224,0.288,0.089
"P18","Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.066,0.719,0.154,0,0.181,0.193
"P18","Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.014,0.057,0.648,0,0.027,0
"P18","Al candidato a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.005,0.026,0.002,0.646,0.085,0
"P18","En blanco",0.047,0.05,0.066,0,0.301,0.033
"P18","No sabe",0.091,0.087,0.071,0.13,0.118,0.685
"P19","Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.784,0.087,0.031,0.256,0.319,0.047
"P19","Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.054,0.796,0.156,0,0.11,0.121
"P19","Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.006,0.025,0.66,0,0,0.033
"P19","Al candidato a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.004,0,0.004,0.744,0.062,0
"P19","En blanco",0.054,0.052,0.084,0,0.371,0.038
"P19","No sabe",0.098,0.04,0.065,0,0.138,0.761
"P20","Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria",0.846,0.028,0.032,0,0.096,0.081
"P20","Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.079,0.797,0.143,0,0.232,0.174
"P20","Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.014,0.033,0.663,0,0.041,0.033
"P20","Al candidato a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.012,0.008,0.051,0.971,0.07,0.026
"P20","En blanco",0.007,0.04,0.027,0.029,0.532,0.01
"P20","No sabe",0.042,0.094,0.084,0,0.029,0.676
"P21","Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria",0.915,0.028,0.063,0,0.076,0.096
"P21","Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.044,0.833,0.15,0,0.199,0.146
"P21","Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.002,0.032,0.672,0,0.048,0
"P21","Al candidato a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.007,0.014,0.006,0.967,0.081,0.031
"P21","En blanco",0.008,0.043,0.031,0.033,0.537,0.023
"P21","No sabe",0.024,0.05,0.078,0,0.059,0.704
"P22","Lo votaría",0.469,0.278,0.17,0.55,0.363,0.184
"P22","Puede que lo vote",0.367,0.2,0.197,0.208,0.236,0.128
"P22","Nunca lo votaría",0.13,0.351,0.538,0.014,0.343,0.285
"P22","No sabe",0.034,0.171,0.095,0.228,0.058,0.403
"P23","Lo votaría",0.672,0.132,0.14,0,0.104,0.134
"P23","Puede que lo vote",0.215,0.214,0.183,0.374,0.18,0.175
"P23","Nunca lo votaría",0.049,0.529,0.47,0.357,0.593,0.37
"P23","No sabe",0.064,0.125,0.207,0.269,0.123,0.321
"P24","La votaría",0.198,0.37,0.161,0.25,0.262,0.091
"P24","Puede que la vote",0.158,0.272,0.297,0.065,0.195,0.16
"P24","Nunca la votaría",0.564,0.247,0.386,0.416,0.468,0.402
"P24","No sabe",0.08,0.111,0.156,0.269,0.075,0.347
"P25","Lo votaría",0.173,0.463,0.149,0,0.141,0.15
"P25","Puede que lo vote",0.155,0.218,0.308,0.251,0.181,0.183
"P25","Nunca lo votaría",0.562,0.248,0.427,0.545,0.636,0.36
"P25","No sabe",0.11,0.071,0.116,0.204,0.042,0.307
"P26","Lo votaría",0.111,0.145,0.434,0.258,0.095,0.04
"P26","Puede que lo vote",0.167,0.198,0.192,0,0.202,0.191
"P26","Nunca lo votaría",0.588,0.516,0.176,0.499,0.609,0.529
"P26","No sabe",0.134,0.141,0.198,0.243,0.094,0.24
"P27","Lo votaría",0.132,0.087,0.126,0.083,0.027,0
"P27","Puede que lo vote",0.143,0.126,0.23,0.393,0.188,0.124
"P27","Nunca lo votaría",0.56,0.683,0.49,0.322,0.629,0.566
"P27","No sabe",0.165,0.104,0.154,0.202,0.156,0.31
"P28","Lo votaría",0.793,0.112,0.122,0.372,0.419,0.088
"P28","Puede que lo vote",0.083,0.118,0.146,0.131,0.261,0.158
"P28","Nunca lo votaría",0.079,0.73,0.724,0.295,0.282,0.498
"P28","No sabe",0.045,0.04,0.008,0.202,0.038,0.256
"P29","La votaría",0.348,0.108,0.059,0,0.267,0.036
"P29","Puede que la vote",0.37,0.122,0.177,0.302,0.31,0.135
"P29","Nunca la votaría",0.237,0.71,0.698,0.258,0.334,0.461
"P29","No sabe",0.045,0.06,0.066,0.44,0.089,0.368
"P30","Lo votaría",0.191,0.479,0.187,0.389,0.105,0.114
"P30","Puede que lo vote",0.121,0.154,0.305,0.042,0.205,0.031
"P30","Nunca lo votaría",0.628,0.292,0.368,0.259,0.534,0.437
"P30","No sabe",0.06,0.075,0.14,0.31,0.156,0.418
"P31","Lo votaría",0.117,0.688,0.189,0.171,0.15,0.105
"P31","Puede que lo vote",0.148,0.18,0.395,0.274,0.211,0.141
"P31","Nunca lo votaría",0.691,0.093,0.395,0.17,0.567,0.476
"P31","No sabe",0.044,0.039,0.021,0.385,0.072,0.278
"P32","La votaría",0.127,0.141,0.422,0.389,0.217,0
"P32","Puede que la vote",0.103,0.194,0.189,0,0.119,0.051
"P32","Nunca la votaría",0.665,0.572,0.239,0.216,0.512,0.596
"P32","No sabe",0.105,0.093,0.15,0.395,0.152,0.353
"P33","Lo votaría",0.396,0.102,0.182,0.426,0.212,0.072
"P33","Puede que lo vote",0.38,0.139,0.148,0.3,0.253,0.056
"P33","Nunca lo votaría",0.189,0.728,0.574,0.096,0.312,0.7
"P33","No sabe",0.035,0.031,0.096,0.178,0.223,0.172
"P34","Lo votaría",0.697,0.073,0.052,0.653,0.224,0.114
"P34","Puede que lo vote",0.18,0.14,0.206,0.059,0.202,0.102
"P34","Nunca lo votaría",0.09,0.763,0.675,0.11,0.49,0.571
"P34","No sabe",0.033,0.024,0.067,0.178,0.084,0.213
"P35","Lo votaría",0.274,0.137,0.13,0.306,0.21,0.066
"P35","Puede que lo vote",0.461,0.166,0.156,0.392,0.4,0.169
"P35","Nunca lo votaría",0.242,0.592,0.684,0.126,0.326,0.533
"P35","No sabe",0.023,0.105,0.03,0.176,0.064,0.232
"P36","La votaría",0.095,0.674,0.543,0.571,0.261,0.239
"P36","Puede que la vote",0.206,0.128,0.178,0,0.142,0.145
"P36","Nunca la votaría",0.654,0.196,0.271,0.357,0.499,0.416
"P36","No sabe",0.045,0.002,0.008,0.072,0.098,0.2
"P37","Lo votaría",0.061,0.704,0.194,0.132,0.231,0.116
"P37","Puede que lo vote",0.173,0.182,0.284,0.484,0.228,0.068
"P37","Nunca lo votaría",0.725,0.107,0.494,0.312,0.519,0.531
"P37","No sabe",0.041,0.007,0.028,0.072,0.022,0.285
"P38","Lo votaría",0.071,0.235,0.744,0.26,0.134,0.065
"P38","Puede que lo vote",0.165,0.298,0.118,0.31,0.28,0.147
"P38","Nunca lo votaría",0.71,0.366,0.102,0.358,0.564,0.595
"P38","No sabe",0.054,0.101,0.036,0.072,0.022,0.193
"P39","Si",0.443,0.388,0.443,0.437,0.295,0.21
"P39","No",0.557,0.612,0.557,0.563,0.705,0.79
