"var","categoria","Wado de Pedro a presidente, Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda ","En blanco","No sabe"
"P17","Wado de Pedro a presidente, Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria",0.928,0.038,0.038,0.06,0.053,0.089
"P17","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.033,0.727,0.106,0.013,0.145,0.149
"P17","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.015,0.091,0.823,0.103,0,0.06
"P17","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda ",0,0.028,0,0.476,0,0.025
"P17","En blanco",0.011,0.053,0.017,0.339,0.754,0.064
"P17","No sabe",0.013,0.063,0.016,0.009,0.048,0.613
"P18","Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.769,0.066,0.069,0.204,0.38,0.14
"P18","Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.059,0.789,0.095,0,0.09,0.041
"P18","Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.019,0.024,0.715,0,0,0.013
"P18","Al candidato a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.018,0.017,0.002,0.624,0.049,0.021
"P18","En blanco",0.045,0.045,0.067,0.172,0.377,0.02
"P18","No sabe",0.09,0.059,0.052,0,0.104,0.765
"P19","Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.776,0.095,0.036,0.194,0.416,0.111
"P19","Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.061,0.752,0.104,0,0.076,0.135
"P19","Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.005,0.031,0.703,0,0,0.023
"P19","Al candidato a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.003,0.013,0.013,0.464,0.069,0
"P19","En blanco",0.051,0.046,0.116,0.342,0.329,0.04
"P19","No sabe",0.104,0.063,0.028,0,0.11,0.691
"P20","Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria",0.863,0.045,0.036,0.082,0.082,0.042
"P20","Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.084,0.805,0.086,0.012,0.157,0.092
