"var","categoria","Lo votaría","Puede que lo vote","Nunca lo votaría","No sabe"
"P23","Nunca lo votaría",0.481,0.328,0.282,0.144
"P23","No sabe",0.136,0.133,0.085,0.501
"P24","La votaría",0.444,0.308,0.104,0.008
"P24","Puede que la vote",0.209,0.382,0.161,0.161
"P24","Nunca la votaría",0.24,0.182,0.678,0.112
"P24","No sabe",0.107,0.128,0.057,0.719
"P25","Lo votaría",0.487,0.233,0.089,0.039
"P25","Puede que lo vote",0.172,0.436,0.159,0.13
"P25","Nunca lo votaría",0.252,0.258,0.675,0.126
"P25","No sabe",0.089,0.073,0.077,0.705
"P26","Lo votaría",0.273,0.146,0.101,0.01
"P26","Puede que lo vote",0.148,0.349,0.139,0.203
"P26","Nunca lo votaría",0.438,0.333,0.648,0.219
"P26","No sabe",0.141,0.172,0.112,0.568
"P27","Lo votaría",0.189,0.061,0.042,0.029
"P27","Puede que lo vote",0.135,0.329,0.127,0.007
"P27","Nunca lo votaría",0.585,0.428,0.717,0.15
"P27","No sabe",0.091,0.182,0.114,0.814
"P28","Lo votaría",0.183,0.412,0.522,0.309
"P28","Puede que lo vote",0.129,0.161,0.111,0.03
"P28","Nunca lo votaría",0.643,0.423,0.321,0.275
"P28","No sabe",0.045,0.004,0.046,0.386
"P29","La votaría",0.177,0.268,0.157,0.188
"P29","Puede que la vote",0.13,0.291,0.3,0.182
"P29","Nunca la votaría",0.622,0.339,0.481,0.177
"P29","No sabe",0.071,0.102,0.062,0.453
"P30","Lo votaría",0.505,0.282,0.095,0.227
"P30","Puede que lo vote",0.15,0.298,0.104,0.056
"P30","Nunca lo votaría",0.242,0.295,0.731,0
"P30","No sabe",0.103,0.125,0.07,0.717
"P31","Lo votaría",0.755,0.278,0.027,0.072
"P31","Puede que lo vote",0.163,0.48,0.118,0.271
"P31","Nunca lo votaría",0.059,0.191,0.817,0
"P31","No sabe",0.023,0.051,0.038,0.657
"P32","La votaría",0.302,0.191,0.1,0
"P32","Puede que la vote",0.132,0.334,0.071,0.052
"P32","Nunca la votaría",0.479,0.305,0.749,0.014
