"var","categoria","Wado de Pedro a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria","Wado de Pedro a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y su candidato a intendente por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda","En blanco","No sabe"
"P17","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.024,0.014,0.396,0.094,0.229,0.729,0.258,0,0.148
"P17","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda ",0.006,0.023,0.034,0.01,0,0.003,0.406,0.079,0
"P17","En blanco",0.011,0.181,0.096,0.082,0.065,0.039,0.336,0.424,0.043
"P17","No sabe",0.036,0.03,0.043,0.097,0.015,0.052,0,0.43,0.6
"P18","Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.701,0.836,0.333,0.084,0.032,0.035,0,0.117,0.098
"P18","Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.065,0.081,0.218,0.773,0.482,0.074,0,0.032,0.033
"P18","Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.021,0.005,0.173,0.032,0.214,0.754,0,0,0.032
"P18","Al candidato a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.002,0.03,0,0.021,0,0.024,0.795,0.089,0.044
"P18","En blanco",0.073,0.024,0.196,0.038,0.114,0.017,0.205,0.189,0.035
"P18","No sabe",0.138,0.024,0.08,0.052,0.158,0.096,0,0.573,0.758
"P19","Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.706,0.832,0.19,0.127,0.044,0.043,0.073,0.124,0.082
"P19","Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.058,0.1,0.217,0.693,0.639,0.072,0,0.048,0.055
"P19","Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.005,0.002,0.162,0.051,0.156,0.766,0,0,0.077
"P19","Al candidato a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.002,0,0.018,0.003,0.011,0.007,0.896,0.096,0
"P19","En blanco",0.075,0.052,0.322,0.044,0.086,0.038,0.031,0.279,0.034
"P19","No sabe",0.154,0.014,0.091,0.082,0.064,0.074,0,0.453,0.752
"P20","Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria",0.841,0.563,0.149,0.078,0.06,0.014,0,0.078,0.113
"P20","Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.079,0.104,0.236,0.791,0.57,0.064,0,0.114,0.069
"P20","Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.015,0.06,0.216,0.037,0.163,0.753,0,0.07,0.022
"P20","Al candidato a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.01,0.05,0.135,0.01,0,0.063,0.887,0.096,0
"P20","En blanco",0.02,0.165,0.141,0.011,0.089,0.047,0.113,0.256,0.031
"P20","No sabe",0.035,0.058,0.123,0.073,0.118,0.059,0,0.386,0.765
"P21","Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria",0.891,0.517,0.268,0.078,0.046,0.051,0,0.093,0.194
"P21","Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.057,0.131,0.269,0.752,0.679,0.094,0,0.111,0.042
"P21","Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.004,0.052,0.198,0.059,0.125,0.727,0,0.083,0.022
"P21","Al candidato a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.009,0.046,0,0.008,0,0.046,0.827,0.197,0.063
"P21","En blanco",0.01,0.206,0.152,0.022,0.105,0.041,0.173,0.101,0.006
"P21","No sabe",0.029,0.048,0.113,0.081,0.045,0.041,0,0.415,0.673
"P22","Lo votaría",0.369,0.719,0.503,0.186,0.25,0.141,0.459,0.167,0.206
"P22","Puede que lo vote",0.386,0.218,0.115,0.223,0.283,0.069,0.341,0.38,0.201
"P22","Nunca lo votaría",0.201,0.043,0.309,0.373,0.391,0.642,0.174,0.309,0.137
"P22","No sabe",0.044,0.02,0.073,0.218,0.076,0.148,0.026,0.144,0.456
"P23","Lo votaría",0.688,0.348,0.257,0.15,0.216,0.108,0,0.089,0.135
"P23","Puede que lo vote",0.184,0.229,0.244,0.167,0.193,0.169,0.646,0.488,0.173
"P23","Nunca lo votaría",0.072,0.35,0.454,0.589,0.369,0.52,0.277,0.204,0.128
"P23","No sabe",0.056,0.073,0.045,0.094,0.222,0.203,0.077,0.219,0.564
"P24","La votaría",0.19,0.106,0.269,0.529,0.256,0.062,0.459,0.176,0
"P24","Puede que la vote",0.122,0.235,0.29,0.259,0.217,0.31,0.077,0.344,0.115
"P24","Nunca la votaría",0.611,0.6,0.417,0.107,0.423,0.427,0.386,0.225,0.343
"P24","No sabe",0.077,0.059,0.024,0.105,0.104,0.201,0.078,0.255,0.542
"P25","Lo votaría",0.169,0.113,0.374,0.481,0.363,0.11,0,0.144,0.024
"P25","Puede que lo vote",0.143,0.204,0.172,0.284,0.128,0.255,0.459,0.219,0.236
"P25","Nunca lo votaría",0.597,0.56,0.411,0.173,0.38,0.502,0.464,0.544,0.347
"P25","No sabe",0.091,0.123,0.043,0.062,0.129,0.133,0.077,0.093,0.393
"P26","Lo votaría",0.091,0.048,0.337,0.145,0.25,0.466,0.469,0.092,0.025
"P26","Puede que lo vote",0.167,0.2,0.151,0.203,0.12,0.226,0,0.354,0.104
"P26","Nunca lo votaría",0.63,0.602,0.423,0.478,0.493,0.186,0.377,0.461,0.355
"P26","No sabe",0.112,0.15,0.089,0.174,0.137,0.122,0.154,0.093,0.516
"P27","Lo votaría",0.113,0.045,0.143,0.102,0.121,0.135,0.151,0.043,0
"P27","Puede que lo vote",0.177,0.094,0.231,0.104,0.12,0.144,0.553,0.37,0.251
"P27","Nunca lo votaría",0.602,0.643,0.534,0.647,0.634,0.517,0.22,0.37,0.435
"P27","No sabe",0.108,0.218,0.092,0.147,0.125,0.204,0.076,0.217,0.314
"P28","Lo votaría",0.756,0.743,0.312,0.095,0.14,0.081,0.619,0.11,0.301
"P28","Puede que lo vote",0.092,0.094,0.18,0.141,0.066,0.083,0.076,0.608,0.085
"P28","Nunca lo votaría",0.112,0.157,0.508,0.703,0.747,0.812,0.229,0.135,0.272
"P28","No sabe",0.04,0.006,0,0.061,0.047,0.024,0.076,0.147,0.342
"P29","La votaría",0.277,0.267,0.392,0.105,0.136,0.064,0,0.226,0.112
"P29","Puede que la vote",0.372,0.458,0.264,0.11,0.045,0.11,0.662,0.344,0.065
"P29","Nunca la votaría",0.301,0.222,0.256,0.705,0.772,0.822,0.261,0.164,0.279
"P29","No sabe",0.05,0.053,0.088,0.08,0.047,0.004,0.077,0.266,0.544
"P30","Lo votaría",0.157,0.082,0.405,0.57,0.327,0.148,0.473,0.087,0.052
"P30","Puede que lo vote",0.142,0.127,0.229,0.149,0.161,0.293,0.076,0.159,0.043
"P30","Nunca lo votaría",0.656,0.683,0.228,0.191,0.426,0.441,0.374,0.522,0.305
"P30","No sabe",0.045,0.108,0.138,0.09,0.086,0.118,0.077,0.232,0.6
"P31","Lo votaría",0.121,0.115,0.417,0.587,0.61,0.116,0.077,0.233,0.051
"P31","Puede que lo vote",0.18,0.091,0.217,0.253,0.192,0.318,0.499,0.118,0.248
"P31","Nunca lo votaría",0.665,0.737,0.271,0.139,0.123,0.54,0.271,0.58,0.263
"P31","No sabe",0.034,0.057,0.095,0.021,0.075,0.026,0.153,0.069,0.438
"P32","La votaría",0.088,0.054,0.24,0.185,0.184,0.545,0.472,0.34,0.025
"P32","Puede que la vote",0.138,0.115,0.116,0.195,0.205,0.114,0,0.044,0.006
"P32","Nunca la votaría",0.674,0.722,0.58,0.49,0.504,0.233,0.298,0.459,0.349
"P32","No sabe",0.1,0.109,0.064,0.13,0.107,0.108,0.23,0.157,0.62
"P33","Lo votaría",0.325,0.427,0.213,0.116,0.166,0.217,0.113,0.064,0.189
"P33","Puede que lo vote",0.378,0.365,0.226,0.117,0.078,0.145,0.548,0.293,0.076
"P33","Nunca lo votaría",0.269,0.165,0.466,0.727,0.705,0.58,0.187,0.361,0.34
"P33","No sabe",0.028,0.043,0.095,0.04,0.051,0.058,0.152,0.282,0.395
"P34","Lo votaría",0.649,0.529,0.234,0.117,0.133,0.059,0.472,0.267,0.102
"P34","Puede que lo vote",0.189,0.3,0.225,0.111,0.095,0.148,0.108,0.098,0.112
"P34","Nunca lo votaría",0.122,0.155,0.525,0.749,0.708,0.784,0.268,0.528,0.319
"P34","No sabe",0.04,0.016,0.016,0.023,0.064,0.009,0.152,0.107,0.467
"P35","Lo votaría",0.234,0.321,0.402,0.084,0.142,0.024,0,0.242,0.217
"P35","Puede que lo vote",0.447,0.41,0.265,0.2,0.165,0.105,0.551,0.31,0.255
"P35","Nunca lo votaría",0.299,0.253,0.319,0.575,0.653,0.814,0.298,0.342,0.224
"P35","No sabe",0.02,0.016,0.014,0.141,0.04,0.057,0.151,0.106,0.304
"P36","La votaría",0.08,0.124,0.481,0.848,0.521,0.427,0.478,0.153,0.218
"P36","Puede que la vote",0.237,0.135,0.112,0.059,0.157,0.25,0,0.182,0.229
"P36","Nunca la votaría",0.63,0.72,0.401,0.093,0.298,0.307,0.447,0.51,0.287
"P36","No sabe",0.053,0.021,0.006,0,0.024,0.016,0.075,0.155,0.266
"P37","Lo votaría",0.093,0.097,0.346,0.593,0.687,0.114,0,0.296,0.053
"P37","Puede que lo vote",0.188,0.176,0.308,0.21,0.061,0.225,0.503,0.208,0.27
"P37","Nunca lo votaría",0.666,0.723,0.346,0.18,0.228,0.589,0.422,0.457,0.366
"P37","No sabe",0.053,0.004,0,0.017,0.024,0.072,0.075,0.039,0.311
"P38","Lo votaría",0.066,0.03,0.462,0.242,0.397,0.703,0.477,0.067,0.293
"P38","Puede que lo vote",0.214,0.197,0.203,0.321,0.162,0.065,0,0.383,0.006
"P38","Nunca lo votaría",0.657,0.756,0.239,0.309,0.4,0.225,0.448,0.534,0.452
"P38","No sabe",0.063,0.017,0.096,0.128,0.041,0.007,0.075,0.016,0.249
"P39","Si",0.39,0.535,0.322,0.413,0.392,0.4,0.306,0.19,0.161
"P39","No",0.61,0.465,0.678,0.587,0.608,0.6,0.694,0.81,0.839
