"var","categoria","A Horacio Rodriguez Larreta","A Patricia Bullrich","A Facundo Manes","A Gerardo Morales"
"P15","No sabe",0.027,0.122,0.147,0
"P16","Wado de Pedro a presidente, Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria",0.152,0.062,0.153,0.558
"P16","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.528,0.877,0.35,0.245
"P16","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.143,0.032,0,0
"P16","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda ",0,0,0.175,0
"P16","En blanco",0.063,0.008,0.112,0
"P16","No sabe",0.114,0.021,0.21,0.197
"P17","Wado de Pedro a presidente, Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria",0.163,0.058,0.228,0.563
"P17","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.676,0.661,0.322,0.244
"P17","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.101,0.114,0.066,0
"P17","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda ",0,0.005,0,0
"P17","En blanco",0.046,0.078,0.371,0
"P17","No sabe",0.014,0.084,0.013,0.193
"P18","Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.035,0.106,0.273,0.945
"P18","Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.575,0.759,0.304,0
"P18","Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.082,0.035,0,0
"P18","Al candidato a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0,0.014,0,0
"P18","En blanco",0.128,0.042,0.352,0
"P18","No sabe",0.18,0.044,0.071,0.055
"P19","Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.13,0.119,0.226,0.922
"P19","Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.696,0.704,0.324,0.078
"P19","Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.003,0.056,0.053,0
"P19","Al candidato a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.01,0.004,0,0
"P19","En blanco",0.093,0.053,0.334,0
"P19","No sabe",0.068,0.064,0.063,0
"P20","Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria",0.04,0.064,0.242,0.546
"P20","Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.694,0.811,0.187,0.084
"P20","Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.017,0.055,0.1,0
"P20","Al candidato a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0,0.005,0.33,0
"P20","En blanco",0.113,0.019,0.141,0
"P20","No sabe",0.136,0.046,0,0.37
"P21","Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria",0.031,0.098,0.232,0.915
"P21","Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.771,0.729,0.46,0.085
"P21","Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.006,0.068,0.178,0
"P21","Al candidato a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0,0.005,0,0
"P21","En blanco",0.141,0.032,0.13,0
"P21","No sabe",0.051,0.068,0,0
"P22","Lo votaría",0.42,0.115,0.293,1
"P22","Puede que lo vote",0.158,0.261,0.335,0
"P22","Nunca lo votaría",0.395,0.434,0.372,0
"P22","No sabe",0.027,0.19,0,0
"P23","Lo votaría",0.208,0.157,0.602,0.916
"P23","Puede que lo vote",0.23,0.172,0.071,0
"P23","Nunca lo votaría",0.428,0.553,0.311,0.084
"P23","No sabe",0.134,0.118,0.016,0
"P24","La votaría",0.255,0.528,0.092,0
"P24","Puede que la vote",0.107,0.251,0.408,0
"P24","Nunca la votaría",0.425,0.146,0.401,1
"P24","No sabe",0.213,0.075,0.099,0
"P25","Lo votaría",0.55,0.422,0.327,0
"P25","Puede que lo vote",0.084,0.275,0.241,0
"P25","Nunca lo votaría",0.255,0.237,0.409,0.92
"P25","No sabe",0.111,0.066,0.023,0.08
"P26","Lo votaría",0.189,0.085,0.023,0
"P26","Puede que lo vote",0.096,0.302,0.106,0.366
"P26","Nunca lo votaría",0.577,0.466,0.724,0.555
"P26","No sabe",0.138,0.147,0.147,0.079
"P27","Lo votaría",0.134,0.021,0,0
"P27","Puede que lo vote",0.05,0.197,0.132,0
"P27","Nunca lo votaría",0.771,0.644,0.718,0.921
"P27","No sabe",0.045,0.138,0.15,0.079
"P28","Lo votaría",0.166,0.048,0.12,0.921
"P28","Puede que lo vote",0.038,0.14,0.305,0
"P28","Nunca lo votaría",0.78,0.728,0.575,0.079
"P28","No sabe",0.016,0.084,0,0
"P29","La votaría",0.165,0.055,0,0.574
"P29","Puede que la vote",0.053,0.156,0.146,0.075
"P29","Nunca la votaría",0.754,0.729,0.668,0
"P29","No sabe",0.028,0.06,0.186,0.351
"P30","Lo votaría",0.31,0.541,0.137,0
"P30","Puede que lo vote",0.218,0.134,0.056,0.425
"P30","Nunca lo votaría",0.413,0.244,0.609,0.575
"P30","No sabe",0.059,0.081,0.198,0
"P31","Lo votaría",0.82,0.503,0.391,0.075
"P31","Puede que lo vote",0.09,0.344,0,0.351
"P31","Nunca lo votaría",0.068,0.138,0.609,0.574
"P31","No sabe",0.022,0.015,0,0
"P32","La votaría",0.205,0.043,0,0
"P32","Puede que la vote",0.133,0.247,0.128,0
"P32","Nunca la votaría",0.629,0.548,0.694,0.571
"P32","No sabe",0.033,0.162,0.178,0.429
"P33","Lo votaría",0.202,0.056,0.205,0.926
"P33","Puede que lo vote",0.15,0.118,0.142,0
"P33","Nunca lo votaría",0.629,0.804,0.503,0.074
"P33","No sabe",0.019,0.022,0.15,0
"P34","Lo votaría",0.17,0.051,0.297,0.926
"P34","Puede que lo vote",0.127,0.117,0.107,0
"P34","Nunca lo votaría",0.668,0.816,0.547,0.074
"P34","No sabe",0.035,0.016,0.049,0
"P35","Lo votaría",0.194,0.078,0.021,1
"P35","Puede que lo vote",0.158,0.138,0.339,0
"P35","Nunca lo votaría",0.648,0.649,0.455,0
"P35","No sabe",0,0.135,0.185,0
"P36","La votaría",0.411,0.77,0.408,0
"P36","Puede que la vote",0.234,0.168,0.13,0
"P36","Nunca la votaría",0.355,0.062,0.462,1
"P36","No sabe",0,0,0,0
"P37","Lo votaría",0.943,0.516,0.307,0
"P37","Puede que lo vote",0.028,0.254,0.123,0.655
"P37","Nunca lo votaría",0.029,0.225,0.415,0.345
"P37","No sabe",0,0.005,0.155,0
"P38","Lo votaría",0.277,0.155,0.133,0
"P38","Puede que lo vote",0.307,0.385,0,0.345
"P38","Nunca lo votaría",0.4,0.347,0.712,0.655
"P38","No sabe",0.016,0.113,0.155,0
"P39","Si",0.405,0.315,0.379,0.339
"P39","No",0.595,0.685,0.621,0.661
