"var","categoria","Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria","Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio","Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza","Al candidato a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda","En blanco","No sabe"
"P11","Wado de Pedro a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.347,0.053,0.024,0.045,0.183,0.23
"P11","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.109,0.564,0.102,0.031,0.138,0.125
"P11","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.036,0.259,0.019,0.241,0.083,0.045
"P11","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.023,0.026,0.773,0.016,0.287,0.085
"P11","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.004,0,0,0.291,0.026,0.016
"P11","En blanco",0.007,0,0,0.05,0.071,0.009
"P11","No sabe",0.037,0.016,0.048,0.105,0.096,0.412
"P13","Wado de Pedro a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.514,0.052,0.01,0.026,0.229,0.287
"P13","Wado de Pedro a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.316,0.047,0.003,0,0.083,0.014
"P13","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y su candidato a intendente por Unión por la Patria",0.034,0.048,0.084,0.051,0.241,0.042
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.08,0.544,0.096,0.031,0.118,0.132
"P13","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.015,0.267,0.154,0.062,0.122,0.055
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.012,0.025,0.62,0.033,0.044,0.052
"P13","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.003,0,0,0.62,0.006,0
"P13","En blanco",0.014,0.007,0,0.177,0.136,0.135
"P13","No sabe",0.012,0.01,0.033,0,0.021,0.283
"P14","Wado de Pedro a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.849,0.063,0.015,0.031,0.044,0.08
"P14","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.041,0.797,0.106,0,0.174,0.189
"P14","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.015,0.051,0.857,0.016,0.205,0.037
"P14","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda ",0.001,0.008,0,0.824,0.018,0.022
"P14","En blanco",0.017,0.017,0.003,0.129,0.424,0.063
"P14","No sabe",0.077,0.064,0.019,0,0.135,0.609
"P15","Wado de Pedro a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.88,0.06,0.03,0.221,0.062,0.065
"P15","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.056,0.816,0.002,0.062,0.146,0.112
"P15","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.013,0.058,0.924,0.016,0.23,0.023
"P15","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.002,0.004,0.019,0.572,0.026,0
"P15"," En blanco",0.03,0.015,0.006,0.129,0.44,0.076
"P15","No sabe",0.019,0.047,0.019,0,0.096,0.724
"P16","Wado de Pedro a presidente, Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria",0.777,0.075,0.015,0.045,0.215,0.267
"P16","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.082,0.803,0.077,0.177,0.165,0.14
"P16","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.016,0.056,0.889,0.091,0.21,0.031
"P16","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda ",0.012,0,0,0.473,0.092,0
"P16","En blanco",0.081,0.018,0,0.214,0.27,0.055
"P16","No sabe",0.032,0.048,0.019,0,0.048,0.507
"P17","Wado de Pedro a presidente, Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria",0.813,0.069,0.019,0.076,0.236,0.26
"P17","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.068,0.769,0.057,0,0.171,0.081
"P17","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.014,0.09,0.9,0.029,0.165,0.078
"P17","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda ",0.014,0,0,0.65,0,0
"P17","En blanco",0.079,0.034,0,0.245,0.388,0.088
"P17","No sabe",0.012,0.038,0.024,0,0.04,0.493
"P18","Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.917,0.019,0,0,0.143,0.072
"P18","Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.049,0.834,0.077,0.062,0.144,0.095
"P18","Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.015,0.037,0.865,0.016,0,0
"P18","Al candidato a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.004,0.004,0.019,0.871,0.091,0
"P18","En blanco",0.008,0.036,0.009,0.051,0.559,0.039
"P18","No sabe",0.007,0.07,0.03,0,0.063,0.794
"P20","Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria",0.746,0.05,0.022,0.015,0.248,0.278
"P20","Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.065,0.821,0.105,0,0.194,0.138
"P20","Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.043,0.03,0.849,0.119,0,0
"P20","Al candidato a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.027,0.004,0.009,0.812,0.14,0.016
"P20","En blanco",0.071,0.018,0,0.054,0.404,0.028
"P20","No sabe",0.048,0.077,0.015,0,0.014,0.54
"P21","Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria",0.806,0.029,0.015,0.02,0.359,0.308
"P21","Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.039,0.907,0.074,0.09,0.071,0.072
"P21","Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.03,0.017,0.883,0.045,0,0
"P21","Al candidato a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.03,0.002,0.028,0.774,0.063,0.017
"P21","En blanco",0.074,0.01,0,0.071,0.472,0.02
"P21","No sabe",0.021,0.035,0,0,0.035,0.583
"P22","Lo votaría",0.609,0.222,0.121,0.372,0.257,0.083
"P22","Puede que lo vote",0.312,0.236,0.148,0.272,0.196,0.293
"P22","Nunca lo votaría",0.057,0.401,0.579,0.088,0.457,0.326
"P22","No sabe",0.022,0.141,0.152,0.268,0.09,0.298
"P23","Lo votaría",0.528,0.179,0.083,0.021,0.451,0.307
"P23","Puede que lo vote",0.239,0.172,0.25,0.468,0.171,0.142
"P23","Nunca lo votaría",0.182,0.533,0.495,0.193,0.304,0.175
"P23","No sabe",0.051,0.116,0.172,0.318,0.074,0.376
"P24","La votaría",0.173,0.428,0.11,0.345,0.288,0.086
"P24","Puede que la vote",0.16,0.251,0.276,0.077,0.201,0.248
"P24","Nunca la votaría",0.591,0.211,0.441,0.235,0.431,0.417
"P24","No sabe",0.076,0.11,0.173,0.343,0.08,0.249
"P25","Lo votaría",0.162,0.496,0.075,0,0.26,0.098
"P25","Puede que lo vote",0.169,0.224,0.313,0.345,0.076,0.202
"P25","Nunca lo votaría",0.571,0.209,0.516,0.387,0.614,0.433
"P25","No sabe",0.098,0.071,0.096,0.268,0.05,0.267
"P26","Lo votaría",0.103,0.179,0.463,0.305,0.12,0.056
"P26","Puede que lo vote",0.178,0.169,0.249,0,0.196,0.17
"P26","Nunca lo votaría",0.589,0.483,0.18,0.382,0.609,0.53
"P26","No sabe",0.13,0.169,0.108,0.313,0.075,0.244
"P27","Lo votaría",0.123,0.107,0.086,0.098,0.124,0
"P27","Puede que lo vote",0.141,0.106,0.233,0.38,0.111,0.264
"P27","Nunca lo votaría",0.578,0.683,0.502,0.257,0.62,0.488
"P27","No sabe",0.158,0.104,0.179,0.265,0.145,0.248
"P28","Lo votaría",0.772,0.092,0.013,0.423,0.468,0.313
"P28","Puede que lo vote",0.109,0.106,0.166,0.121,0.165,0.157
"P28","Nunca lo votaría",0.079,0.776,0.786,0.217,0.314,0.352
"P28","No sabe",0.04,0.026,0.035,0.239,0.053,0.178
"P29","La votaría",0.379,0.091,0.01,0.073,0.295,0.037
"P29","Puede que la vote",0.379,0.107,0.145,0.357,0.15,0.294
"P29","Nunca la votaría",0.195,0.737,0.84,0.258,0.446,0.357
"P29","No sabe",0.047,0.065,0.005,0.312,0.109,0.312
"P30","Lo votaría",0.176,0.526,0.147,0.459,0.196,0.039
"P30","Puede que lo vote",0.117,0.158,0.308,0.05,0.191,0.137
"P30","Nunca lo votaría",0.644,0.247,0.429,0.305,0.534,0.414
"P30","No sabe",0.063,0.069,0.116,0.186,0.079,0.41
"P31","Lo votaría",0.124,0.732,0.05,0.202,0.197,0.093
"P31","Puede que lo vote",0.121,0.194,0.451,0.324,0.187,0.228
"P31","Nunca lo votaría",0.694,0.055,0.476,0.239,0.484,0.504
"P31","No sabe",0.061,0.019,0.023,0.235,0.132,0.175
"P32","La votaría",0.112,0.171,0.469,0.459,0.252,0.052
"P32","Puede que la vote",0.116,0.193,0.16,0,0.084,0.105
"P32","Nunca la votaría",0.66,0.53,0.257,0.256,0.597,0.507
"P32","No sabe",0.112,0.106,0.114,0.285,0.067,0.336
"P33","Lo votaría",0.422,0.103,0.164,0.153,0.234,0.093
"P33","Puede que lo vote",0.352,0.116,0.172,0.376,0.205,0.233
"P33","Nunca lo votaría",0.177,0.756,0.641,0.261,0.368,0.448
"P33","No sabe",0.049,0.025,0.023,0.21,0.193,0.226
"P34","Lo votaría",0.626,0.091,0.013,0.479,0.461,0.219
"P34","Puede que lo vote",0.226,0.086,0.201,0.07,0.165,0.154
"P34","Nunca lo votaría",0.113,0.792,0.781,0.241,0.317,0.412
"P34","No sabe",0.035,0.031,0.005,0.21,0.057,0.215
"P35","Lo votaría",0.311,0.116,0.015,0.228,0.23,0.16
"P35","Puede que lo vote",0.447,0.16,0.2,0.357,0.326,0.256
"P35","Nunca lo votaría",0.227,0.615,0.769,0.207,0.37,0.409
"P35","No sabe",0.015,0.109,0.016,0.208,0.074,0.175
"P36","La votaría",0.116,0.744,0.478,0.514,0.309,0.189
"P36","Puede que la vote",0.189,0.132,0.218,0,0.117,0.159
"P36","Nunca la votaría",0.663,0.122,0.293,0.4,0.527,0.454
"P36","No sabe",0.032,0.002,0.011,0.086,0.047,0.198
"P37","Lo votaría",0.078,0.679,0.177,0.205,0.311,0.138
"P37","Puede que lo vote",0.176,0.198,0.215,0.324,0.234,0.202
"P37","Nunca lo votaría",0.721,0.109,0.555,0.385,0.422,0.478
"P37","No sabe",0.025,0.014,0.053,0.086,0.033,0.182
"P38","Lo votaría",0.066,0.26,0.815,0.382,0.177,0.137
"P38","Puede que lo vote",0.188,0.301,0.065,0.156,0.27,0.17
"P38","Nunca lo votaría",0.7,0.341,0.12,0.376,0.45,0.547
"P38","No sabe",0.046,0.098,0,0.086,0.103,0.146
"P39","Si",0.462,0.377,0.456,0.257,0.287,0.245
"P39","No",0.538,0.623,0.544,0.743,0.713,0.755
