"var","categoria","Wado de Pedro a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda ","En blanco","No sabe"
"P16","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.018,0.022,0.878,0.108,0.111,0.009
"P16","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda ",0.011,0.014,0,0.39,0.043,0.005
"P16","En blanco",0.074,0.008,0.022,0.276,0.505,0.03
"P16","No sabe",0.034,0.036,0.022,0,0.034,0.527
"P17","Wado de Pedro a presidente, Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria",0.822,0.048,0.024,0.061,0.287,0.32
"P17","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.061,0.696,0.152,0.06,0.081,0.173
"P17","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.011,0.113,0.791,0.146,0.11,0.042
"P17","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda ",0.014,0.004,0,0.382,0.014,0.024
"P17","En blanco",0.067,0.064,0.009,0.351,0.467,0.07
"P17","No sabe",0.025,0.075,0.024,0,0.041,0.371
"P18","Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.902,0.024,0.056,0.029,0.065,0.174
"P18","Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.058,0.819,0.095,0.048,0.086,0.037
"P18","Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.017,0.029,0.725,0.078,0.034,0.017
"P18","Al candidato a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.002,0.005,0,0.631,0.062,0.049
"P18","En blanco",0,0.046,0.068,0.214,0.604,0.044
"P18","No sabe",0.021,0.077,0.056,0,0.149,0.679
"P19","Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.895,0.05,0.036,0.011,0.102,0.19
"P19","Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.054,0.77,0.099,0.088,0.086,0.128
"P19","Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.005,0.043,0.709,0,0.006,0.016
"P19","Al candidato a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.002,0,0.003,0.72,0.049,0
"P19","En blanco",0.011,0.049,0.118,0.059,0.609,0.079
"P19","No sabe",0.033,0.088,0.035,0.122,0.148,0.587
"P20","Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria",0.769,0.033,0.052,0.086,0.32,0.314
"P20","Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.069,0.805,0.098,0.169,0.107,0.15
"P20","Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.022,0.028,0.712,0.061,0.019,0.039
"P20","Al candidato a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.019,0.019,0.053,0.684,0.019,0.038
"P20","En blanco",0.069,0.03,0.05,0,0.42,0.028
"P20","No sabe",0.052,0.085,0.035,0,0.115,0.431
"P21","Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria",0.788,0.026,0.086,0.198,0.368,0.372
"P21","Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.064,0.791,0.158,0.081,0.16,0.147
"P21","Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.023,0.047,0.658,0.016,0.027,0.021
"P21","Al candidato a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.027,0.006,0.007,0.642,0.02,0.062
"P21","En blanco",0.075,0.028,0.072,0.063,0.321,0.032
"P21","No sabe",0.023,0.102,0.019,0,0.104,0.366
"P22","Lo votaría",0.599,0.181,0.2,0.336,0.125,0.24
"P22","Puede que lo vote",0.315,0.248,0.131,0.234,0.288,0.262
"P22","Nunca lo votaría",0.058,0.401,0.54,0.245,0.513,0.269
"P22","No sabe",0.028,0.17,0.129,0.185,0.074,0.229
"P23","Lo votaría",0.538,0.151,0.152,0.02,0.464,0.341
"P23","Puede que lo vote",0.221,0.173,0.184,0.421,0.089,0.273
"P23","Nunca lo votaría",0.173,0.521,0.51,0.308,0.329,0.165
"P23","No sabe",0.068,0.155,0.154,0.251,0.118,0.221
"P24","La votaría",0.196,0.463,0.133,0.282,0.138,0.062
"P24","Puede que la vote",0.164,0.252,0.279,0.073,0.19,0.217
"P24","Nunca la votaría",0.561,0.164,0.426,0.415,0.59,0.511
"P24","No sabe",0.079,0.121,0.162,0.23,0.082,0.21
"P25","Lo votaría",0.164,0.454,0.148,0,0.151,0.197
"P25","Puede que lo vote",0.175,0.267,0.243,0.281,0.13,0.135
"P25","Nunca lo votaría",0.543,0.22,0.474,0.469,0.658,0.493
"P25","No sabe",0.118,0.059,0.135,0.25,0.061,0.175
"P26","Lo votaría",0.113,0.151,0.439,0.309,0.159,0.047
"P26","Puede que lo vote",0.192,0.181,0.192,0,0.136,0.187
"P26","Nunca lo votaría",0.56,0.482,0.216,0.42,0.673,0.597
"P26","No sabe",0.135,0.186,0.153,0.271,0.032,0.169
"P27","Lo votaría",0.138,0.071,0.134,0.092,0.062,0.028
"P27","Puede que lo vote",0.14,0.14,0.197,0.376,0.214,0.161
"P27","Nunca lo votaría",0.543,0.657,0.521,0.307,0.664,0.614
"P27","No sabe",0.179,0.132,0.148,0.225,0.06,0.197
"P28","Lo votaría",0.786,0.097,0.115,0.329,0.496,0.284
"P28","Puede que lo vote",0.087,0.101,0.131,0.046,0.249,0.221
"P28","Nunca lo votaría",0.086,0.773,0.747,0.4,0.223,0.303
"P28","No sabe",0.041,0.029,0.007,0.225,0.032,0.192
"P29","La votaría",0.375,0.069,0.117,0,0.167,0.119
"P29","Puede que la vote",0.428,0.086,0.162,0.355,0.273,0.164
"P29","Nunca la votaría",0.149,0.759,0.708,0.419,0.464,0.457
"P29","No sabe",0.048,0.086,0.013,0.226,0.096,0.26
"P30","Lo votaría",0.193,0.517,0.18,0.432,0.062,0.082
"P30","Puede que lo vote",0.113,0.154,0.317,0.047,0.177,0.124
"P30","Nunca lo votaría",0.61,0.217,0.408,0.419,0.605,0.565
"P30","No sabe",0.084,0.112,0.095,0.102,0.156,0.229
"P31","Lo votaría",0.133,0.617,0.234,0.21,0.216,0.154
"P31","Puede que lo vote",0.144,0.256,0.318,0.304,0.18,0.134
"P31","Nunca lo votaría",0.656,0.103,0.403,0.357,0.545,0.547
"P31","No sabe",0.067,0.024,0.045,0.129,0.059,0.165
"P32","La votaría",0.111,0.151,0.448,0.432,0.183,0.103
"P32","Puede que la vote",0.12,0.182,0.148,0.019,0.153,0.093
"P32","Nunca la votaría",0.64,0.514,0.311,0.373,0.589,0.599
"P32","No sabe",0.129,0.153,0.093,0.176,0.075,0.205
"P33","Lo votaría",0.44,0.082,0.206,0.164,0.213,0.104
"P33","Puede que lo vote",0.398,0.091,0.204,0.354,0.195,0.166
"P33","Nunca lo votaría",0.126,0.769,0.55,0.354,0.449,0.531
"P33","No sabe",0.036,0.058,0.04,0.128,0.143,0.199
"P34","Lo votaría",0.63,0.07,0.089,0.451,0.359,0.328
"P34","Puede que lo vote",0.254,0.089,0.211,0.066,0.177,0.066
"P34","Nunca lo votaría",0.08,0.793,0.696,0.335,0.349,0.457
"P34","No sabe",0.036,0.048,0.004,0.148,0.115,0.149
"P35","Lo votaría",0.331,0.109,0.14,0.164,0.136,0.087
"P35","Puede que lo vote",0.478,0.139,0.16,0.334,0.384,0.278
"P35","Nunca lo votaría",0.173,0.647,0.666,0.374,0.395,0.478
"P35","No sabe",0.018,0.105,0.034,0.128,0.085,0.157
"P36","La votaría",0.11,0.846,0.409,0.438,0.156,0.087
"P36","Puede que la vote",0.208,0.071,0.236,0,0.142,0.2
"P36","Nunca la votaría",0.632,0.081,0.344,0.481,0.581,0.602
"P36","No sabe",0.05,0.002,0.011,0.081,0.121,0.111
"P37","Lo votaría",0.081,0.608,0.228,0.147,0.321,0.211
"P37","Puede que lo vote",0.185,0.222,0.233,0.325,0.153,0.139
"P37","Nunca lo votaría",0.691,0.155,0.493,0.447,0.494,0.522
"P37","No sabe",0.043,0.015,0.046,0.081,0.032,0.128
"P38","Lo votaría",0.06,0.28,0.699,0.309,0.246,0.072
"P38","Puede que lo vote",0.184,0.286,0.146,0.147,0.244,0.164
"P38","Nunca lo votaría",0.691,0.334,0.127,0.463,0.478,0.66
"P38","No sabe",0.065,0.1,0.028,0.081,0.032,0.104
"P39","Si",0.484,0.405,0.404,0.247,0.232,0.237
"P39","No",0.516,0.595,0.596,0.753,0.768,0.763
