"var","categoria","Unión por la Patria y el peronismo","Juntos por el Cambio","De los Liberales libertarios","De la Izquierda","No sabe"
"P18","No sabe",0.092,0.082,0.024,0.141,0.496
"P19","Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.749,0.134,0.037,0.24,0.15
"P19","Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.072,0.701,0.116,0.065,0.1
"P19","Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.01,0.033,0.674,0,0.094
"P19","Al candidato a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.018,0.006,0.029,0.296,0.01
"P19","En blanco",0.047,0.066,0.12,0.297,0.14
"P19","No sabe",0.104,0.06,0.024,0.102,0.506
"P20","Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria",0.754,0.071,0.049,0.084,0.175
"P20","Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.066,0.75,0.127,0.277,0.112
"P20","Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.033,0.045,0.69,0.043,0.067
"P20","Al candidato a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.031,0.017,0.091,0.35,0.03
"P20","En blanco",0.064,0.045,0.014,0.225,0.142
"P20","No sabe",0.052,0.072,0.029,0.021,0.474
"P21","Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria",0.764,0.089,0.123,0.199,0.205
"P21","Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.087,0.732,0.118,0.081,0.147
"P21","Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.027,0.052,0.674,0,0.052
"P21","Al candidato a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.026,0.005,0.036,0.297,0.075
"P21","En blanco",0.061,0.061,0.033,0.4,0.074
"P21","No sabe",0.035,0.061,0.016,0.023,0.447
"P22","Lo votaría",0.527,0.207,0.213,0.387,0.211
"P22","Puede que lo vote",0.286,0.24,0.189,0.223,0.289
"P22","Nunca lo votaría",0.146,0.412,0.511,0.184,0.209
"P22","No sabe",0.041,0.141,0.087,0.206,0.291
"P23","Lo votaría",0.569,0.185,0.131,0.23,0.2
"P23","Puede que lo vote",0.19,0.178,0.251,0.313,0.248
"P23","Nunca lo votaría",0.175,0.52,0.474,0.235,0.225
"P23","No sabe",0.066,0.117,0.144,0.222,0.327
"P24","La votaría",0.144,0.424,0.201,0.12,0.152
"P24","Puede que la vote",0.149,0.234,0.323,0.288,0.23
"P24","Nunca la votaría",0.635,0.236,0.381,0.359,0.303
"P24","No sabe",0.072,0.106,0.095,0.233,0.315
"P25","Lo votaría",0.135,0.442,0.195,0.384,0.131
"P25","Puede que lo vote",0.14,0.241,0.305,0.01,0.237
"P25","Nunca lo votaría",0.62,0.242,0.417,0.383,0.416
"P25","No sabe",0.105,0.075,0.083,0.223,0.216
"P26","Lo votaría",0.113,0.111,0.487,0.143,0.155
"P26","Puede que lo vote",0.125,0.239,0.201,0.08,0.208
"P26","Nunca lo votaría",0.63,0.502,0.203,0.455,0.404
"P26","No sabe",0.132,0.148,0.109,0.322,0.233
"P27","Lo votaría",0.121,0.048,0.116,0.311,0.089
"P27","Puede que lo vote",0.102,0.147,0.269,0.094,0.253
"P27","Nunca lo votaría",0.612,0.692,0.496,0.295,0.412
"P27","No sabe",0.165,0.113,0.119,0.3,0.246
"P28","Lo votaría",0.77,0.086,0.139,0.411,0.284
"P28","Puede que lo vote",0.092,0.12,0.121,0.171,0.222
"P28","Nunca lo votaría",0.112,0.735,0.735,0.166,0.343
"P28","No sabe",0.026,0.059,0.005,0.252,0.151
"P29","La votaría",0.314,0.085,0.109,0.297,0.173
"P29","Puede que la vote",0.361,0.131,0.184,0.103,0.249
"P29","Nunca la votaría",0.271,0.715,0.692,0.439,0.294
"P29","No sabe",0.054,0.069,0.015,0.161,0.284
"P30","Lo votaría",0.163,0.467,0.232,0.163,0.138
"P30","Puede que lo vote",0.103,0.158,0.313,0.144,0.172
"P30","Nunca lo votaría",0.649,0.299,0.41,0.531,0.333
"P30","No sabe",0.085,0.076,0.045,0.162,0.357
"P31","Lo votaría",0.133,0.586,0.213,0.315,0.166
"P31","Puede que lo vote",0.119,0.259,0.364,0.028,0.201
"P31","Nunca lo votaría",0.682,0.138,0.408,0.454,0.436
"P31","No sabe",0.066,0.017,0.015,0.203,0.197
"P32","La votaría",0.129,0.095,0.527,0.121,0.202
"P32","Puede que la vote",0.102,0.208,0.183,0.107,0.049
"P32","Nunca la votaría",0.677,0.56,0.245,0.495,0.419
"P32","No sabe",0.092,0.137,0.045,0.277,0.33
"P33","Lo votaría",0.361,0.107,0.244,0.26,0.18
"P33","Puede que lo vote",0.383,0.114,0.173,0.282,0.159
"P33","Nunca lo votaría",0.212,0.752,0.568,0.254,0.375
"P33","No sabe",0.044,0.027,0.015,0.204,0.286
"P34","Lo votaría",0.649,0.096,0.11,0.308,0.178
"P34","Puede que lo vote",0.202,0.107,0.167,0.215,0.19
"P34","Nunca lo votaría",0.112,0.77,0.718,0.273,0.431
"P34","No sabe",0.037,0.027,0.005,0.204,0.201
"P35","Lo votaría",0.265,0.111,0.117,0.199,0.23
"P35","Puede que lo vote",0.458,0.16,0.191,0.166,0.282
"P35","Nunca lo votaría",0.259,0.628,0.677,0.431,0.31
"P35","No sabe",0.018,0.101,0.015,0.204,0.178
"P36","La votaría",0.142,0.692,0.524,0.135,0.206
"P36","Puede que la vote",0.137,0.172,0.199,0.12,0.197
"P36","Nunca la votaría",0.673,0.136,0.266,0.583,0.457
"P36","No sabe",0.048,0,0.011,0.162,0.14
"P37","Lo votaría",0.104,0.601,0.206,0.241,0.203
"P37","Puede que lo vote",0.163,0.219,0.236,0.028,0.235
"P37","Nunca lo votaría",0.692,0.168,0.537,0.569,0.414
"P37","No sabe",0.041,0.012,0.021,0.162,0.148
"P38","Lo votaría",0.089,0.174,0.821,0.121,0.258
"P38","Puede que lo vote",0.148,0.35,0.1,0.139,0.176
"P38","Nunca lo votaría",0.705,0.379,0.074,0.578,0.454
"P38","No sabe",0.058,0.097,0.005,0.162,0.112
"P39","Si",0.485,0.356,0.44,0.355,0.188
"P39","No",0.515,0.644,0.56,0.645,0.812
