"var","categoria","Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria","Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio","Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza","Al candidato a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda","En blanco","No sabe"
"P11","Wado de Pedro a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.313,0.104,0.039,0.24,0.331,0.102
"P11","Wado de Pedro a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.452,0.064,0.029,0.023,0.067,0.036
"P11","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.107,0.535,0.097,0.139,0.126,0.142
"P11","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.033,0.245,0.036,0.033,0.127,0.075
"P11","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.059,0.028,0.762,0.012,0.146,0.063
"P11","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.004,0,0,0.184,0.036,0
"P11","En blanco",0.002,0.002,0,0.101,0.077,0.013
"P11","No sabe",0.03,0.022,0.037,0.268,0.09,0.569
"P13","Wado de Pedro a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.648,0.05,0.008,0.072,0.04,0.077
"P13","Wado de Pedro a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.196,0.061,0.059,0.184,0.423,0.066
"P13","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y su candidato a intendente por Unión por la Patria",0.044,0.054,0.096,0,0.134,0.066
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.043,0.506,0.097,0.049,0.066,0.161
"P13","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.015,0.276,0.124,0,0.188,0.054
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.014,0.03,0.579,0.13,0.059,0.039
"P13","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0,0,0,0.24,0.026,0
"P13","En blanco",0.01,0.015,0.027,0.223,0.059,0.163
"P13","No sabe",0.03,0.008,0.01,0.102,0.005,0.374
"P14","Wado de Pedro a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.721,0.072,0.062,0.256,0.369,0.077
"P14","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.02,0.739,0.108,0.049,0.115,0.281
"P14","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.034,0.078,0.787,0.03,0.156,0.027
"P14","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda ",0.011,0.005,0.003,0.36,0.018,0
"P14","En blanco",0.057,0.03,0.013,0.032,0.268,0.058
"P14","No sabe",0.157,0.076,0.027,0.273,0.074,0.557
"P15","Wado de Pedro a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.743,0.071,0.065,0.389,0.368,0.099
"P15","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.026,0.781,0.003,0.168,0.194,0.163
"P15","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.038,0.076,0.864,0.012,0.086,0.042
"P15","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.002,0,0.02,0.227,0.036,0.012
"P15"," En blanco",0.082,0.033,0.013,0.032,0.263,0.038
"P15","No sabe",0.109,0.039,0.035,0.172,0.053,0.646
"P16","Wado de Pedro a presidente, Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria",0.875,0.068,0,0.089,0.115,0.074
"P16","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.017,0.766,0.116,0.328,0.143,0.194
"P16","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.046,0.071,0.821,0.03,0.109,0.032
"P16","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda ",0.005,0.012,0,0.321,0.054,0
"P16","En blanco",0.026,0.041,0.033,0.072,0.567,0.016
"P16","No sabe",0.031,0.042,0.03,0.16,0.012,0.684
"P17","Wado de Pedro a presidente, Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria",0.91,0.054,0.007,0.072,0.042,0.085
"P17","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.021,0.766,0.073,0.107,0.175,0.135
"P17","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.028,0.081,0.887,0.03,0.074,0.124
"P17","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda ",0,0,0,0.518,0.009,0
"P17","En blanco",0.018,0.056,0.033,0.196,0.671,0.05
"P17","No sabe",0.023,0.043,0,0.077,0.029,0.606
"P18","Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.802,0.032,0.092,0.241,0.369,0.072
"P18","Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.025,0.785,0.093,0,0.15,0.126
"P18","Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.004,0.053,0.796,0.047,0,0
"P18","Al candidato a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.001,0.004,0.006,0.496,0.105,0
"P18","En blanco",0.065,0.034,0.01,0.023,0.376,0.046
"P18","No sabe",0.103,0.092,0.003,0.193,0,0.756
"P19","Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.782,0.047,0.088,0.3,0.387,0.073
"P19","Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.022,0.868,0.041,0.018,0.043,0.098
"P19","Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.005,0.03,0.865,0.094,0,0
"P19","Al candidato a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.001,0.005,0.006,0.387,0.018,0
"P19","En blanco",0.072,0.017,0,0.131,0.51,0.025
"P19","No sabe",0.118,0.033,0,0.07,0.042,0.804
"P20","Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria",0.87,0.034,0.006,0.101,0.06,0.016
"P20","Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.041,0.832,0.062,0.12,0.228,0.076
"P20","Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.01,0.038,0.91,0.061,0,0
"P20","Al candidato a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.035,0.016,0.009,0.606,0,0
"P20","En blanco",0.003,0.022,0,0.112,0.706,0.047
"P20","No sabe",0.041,0.058,0.013,0,0.006,0.861
"P22","Lo votaría",0.454,0.238,0.198,0.425,0.557,0.188
"P22","Puede que lo vote",0.361,0.252,0.098,0.174,0.116,0.216
"P22","Nunca lo votaría",0.139,0.354,0.608,0.108,0.271,0.305
"P22","No sabe",0.046,0.156,0.096,0.293,0.056,0.291
"P23","Lo votaría",0.659,0.175,0.102,0.017,0.083,0.13
"P23","Puede que lo vote",0.221,0.184,0.177,0.458,0.176,0.188
"P23","Nunca lo votaría",0.058,0.509,0.55,0.281,0.688,0.303
"P23","No sabe",0.062,0.132,0.171,0.244,0.053,0.379
"P24","La votaría",0.187,0.413,0.131,0.252,0.158,0.063
"P24","Puede que la vote",0.155,0.282,0.255,0.172,0.214,0.186
"P24","Nunca la votaría",0.583,0.194,0.488,0.318,0.581,0.376
"P24","No sabe",0.075,0.111,0.126,0.258,0.047,0.375
"P25","Lo votaría",0.166,0.495,0.07,0.04,0.129,0.127
"P25","Puede que lo vote",0.142,0.233,0.263,0.272,0.17,0.264
"P25","Nunca lo votaría",0.586,0.19,0.575,0.496,0.627,0.354
"P25","No sabe",0.106,0.082,0.092,0.192,0.074,0.255
"P26","Lo votaría",0.111,0.197,0.463,0.158,0.031,0
"P26","Puede que lo vote",0.161,0.188,0.216,0.236,0.215,0.146
"P26","Nunca lo votaría",0.604,0.459,0.207,0.372,0.671,0.529
"P26","No sabe",0.124,0.156,0.114,0.234,0.083,0.325
"P27","Lo votaría",0.138,0.113,0.073,0.062,0,0
"P27","Puede que lo vote",0.135,0.123,0.221,0.372,0.148,0.22
"P27","Nunca lo votaría",0.57,0.635,0.578,0.267,0.709,0.536
"P27","No sabe",0.157,0.129,0.128,0.299,0.143,0.244
"P28","Lo votaría",0.805,0.123,0.029,0.312,0.441,0.175
"P28","Puede que lo vote",0.075,0.116,0.212,0.223,0.176,0.164
"P28","Nunca lo votaría",0.075,0.725,0.754,0.259,0.345,0.467
"P28","No sabe",0.045,0.036,0.005,0.206,0.038,0.194
"P29","La votaría",0.355,0.102,0.031,0.172,0.302,0.031
"P29","Puede que la vote",0.359,0.128,0.202,0.302,0.295,0.176
"P29","Nunca la votaría",0.248,0.713,0.762,0.238,0.337,0.345
"P29","No sabe",0.038,0.057,0.005,0.288,0.066,0.448
"P30","Lo votaría",0.196,0.477,0.139,0.319,0.079,0.09
"P30","Puede que lo vote",0.114,0.171,0.278,0.184,0.215,0.091
"P30","Nunca lo votaría",0.634,0.245,0.509,0.279,0.548,0.421
"P30","No sabe",0.056,0.107,0.074,0.218,0.158,0.398
"P31","Lo votaría",0.121,0.715,0.062,0.143,0.075,0.101
"P31","Puede que lo vote",0.146,0.214,0.366,0.396,0.2,0.119
"P31","Nunca lo votaría",0.691,0.054,0.547,0.211,0.56,0.537
"P31","No sabe",0.042,0.017,0.025,0.25,0.165,0.243
"P32","La votaría",0.127,0.164,0.495,0.355,0.076,0.038
"P32","Puede que la vote",0.1,0.21,0.183,0.06,0.168,0
"P32","Nunca la votaría",0.667,0.509,0.261,0.343,0.643,0.542
"P32","No sabe",0.106,0.117,0.061,0.242,0.113,0.42
"P33","Lo votaría",0.404,0.115,0.167,0.365,0.209,0.059
"P33","Puede que lo vote",0.363,0.107,0.245,0.251,0.29,0.114
"P33","Nunca lo votaría",0.199,0.737,0.552,0.17,0.28,0.586
"P33","No sabe",0.034,0.041,0.036,0.214,0.221,0.241
"P34","Lo votaría",0.701,0.085,0,0.533,0.178,0.139
"P34","Puede que lo vote",0.174,0.112,0.266,0.095,0.322,0.106
"P34","Nunca lo votaría",0.092,0.774,0.726,0.269,0.409,0.48
"P34","No sabe",0.033,0.029,0.008,0.103,0.091,0.275
"P35","Lo votaría",0.279,0.134,0.072,0.238,0.27,0.124
"P35","Puede que lo vote",0.447,0.151,0.183,0.542,0.395,0.2
"P35","Nunca lo votaría",0.252,0.612,0.729,0.11,0.273,0.459
"P35","No sabe",0.022,0.103,0.016,0.11,0.062,0.217
"P36","La votaría",0.122,0.697,0.49,0.373,0.188,0.24
"P36","Puede que la vote",0.187,0.14,0.164,0.239,0.163,0.127
"P36","Nunca la votaría",0.647,0.148,0.335,0.346,0.576,0.47
"P36","No sabe",0.044,0.015,0.011,0.042,0.073,0.163
"P37","Lo votaría",0.085,0.696,0.143,0.095,0.195,0.092
"P37","Puede que lo vote",0.164,0.189,0.178,0.525,0.287,0.189
"P37","Nunca lo votaría",0.71,0.096,0.643,0.33,0.487,0.53
"P37","No sabe",0.041,0.019,0.036,0.05,0.031,0.189
"P38","Lo votaría",0.086,0.257,0.743,0.258,0.084,0.175
"P38","Puede que lo vote",0.17,0.312,0.092,0.35,0.269,0.076
"P38","Nunca lo votaría",0.693,0.337,0.151,0.35,0.54,0.592
"P38","No sabe",0.051,0.094,0.014,0.042,0.107,0.157
"P39","Si",0.442,0.374,0.49,0.253,0.48,0.123
"P39","No",0.558,0.626,0.51,0.747,0.52,0.877
