"var","categoria","Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria","Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio","Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza","Al candidato a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda","En blanco","No sabe"
"P11","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.014,0.041,0.741,0.254,0.083,0.093
"P11","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.004,0,0,0.21,0.034,0
"P11","En blanco",0.011,0,0,0,0.091,0.013
"P11","No sabe",0.012,0.027,0.054,0.123,0.149,0.503
"P13","Wado de Pedro a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.647,0.068,0.03,0.064,0.078,0.078
"P13","Wado de Pedro a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.225,0.046,0.064,0.158,0.333,0.068
"P13","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y su candidato a intendente por Unión por la Patria",0.025,0.044,0.097,0.178,0.119,0.06
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.05,0.57,0.064,0.053,0.034,0.136
"P13","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.021,0.224,0.153,0,0.159,0.121
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.004,0.02,0.559,0.139,0.066,0.047
"P13","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0,0,0,0.315,0.026,0
"P13","En blanco",0.01,0.016,0.023,0.093,0.16,0.139
"P13","No sabe",0.018,0.012,0.01,0,0.025,0.351
"P14","Wado de Pedro a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.754,0.075,0.058,0.146,0.341,0.148
"P14","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.029,0.772,0.063,0.129,0.129,0.214
"P14","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.022,0.047,0.814,0.178,0.107,0.043
"P14","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda ",0.006,0.014,0.012,0.392,0,0
"P14","En blanco",0.055,0.02,0.009,0.026,0.363,0.057
"P14","No sabe",0.134,0.072,0.044,0.129,0.06,0.538
"P15","Wado de Pedro a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.786,0.071,0.058,0.318,0.342,0.134
"P15","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.049,0.731,0.047,0.028,0.147,0.221
"P15","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.01,0.073,0.824,0.28,0.044,0.053
"P15","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.001,0,0.018,0.296,0.043,0.012
"P15"," En blanco",0.066,0.056,0.025,0.025,0.342,0.013
"P15","No sabe",0.088,0.069,0.028,0.053,0.082,0.567
"P16","Wado de Pedro a presidente, Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria",0.91,0.099,0.029,0.101,0.045,0.069
"P16","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.04,0.792,0.076,0.218,0.126,0.151
"P16","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.016,0.041,0.843,0.192,0.089,0.069
"P16","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda ",0.005,0.001,0,0.367,0.063,0
"P16","En blanco",0.017,0.037,0.029,0.069,0.614,0.058
"P16","No sabe",0.012,0.03,0.023,0.053,0.063,0.653
"P17","Wado de Pedro a presidente, Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria",0.917,0.096,0.041,0.101,0.04,0.132
"P17","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.022,0.711,0.07,0.053,0.162,0.218
"P17","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.015,0.075,0.837,0.192,0.066,0.115
"P17","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda ",0,0,0,0.456,0.009,0
"P17","En blanco",0.025,0.068,0.029,0.144,0.709,0.023
"P17","No sabe",0.021,0.05,0.023,0.054,0.014,0.512
"P18","Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.791,0.036,0.081,0.4,0.359,0.156
"P18","Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.027,0.83,0.051,0.053,0.092,0.109
"P18","Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.023,0.02,0.791,0,0.053,0.015
"P18","Al candidato a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.001,0.025,0.019,0.418,0.034,0
"P18","En blanco",0.052,0.037,0.026,0.076,0.427,0.024
"P18","No sabe",0.106,0.052,0.032,0.053,0.035,0.696
"P19","Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.779,0.075,0.12,0.222,0.377,0.146
"P19","Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.042,0.771,0.066,0.028,0.077,0.188
"P19","Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.008,0.041,0.793,0.025,0,0.015
"P19","Al candidato a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.001,0,0.021,0.418,0.018,0
"P19","En blanco",0.057,0.05,0,0.254,0.471,0.01
"P19","No sabe",0.113,0.063,0,0.053,0.057,0.641
"P21","Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria",0.94,0.05,0.027,0.321,0.019,0.122
"P21","Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.03,0.833,0.088,0.119,0.103,0.143
"P21","Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.002,0.025,0.868,0.029,0,0.013
"P21","Al candidato a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.011,0.014,0.017,0.531,0.061,0
"P21","En blanco",0.012,0.052,0,0,0.743,0.003
"P21","No sabe",0.005,0.026,0,0,0.074,0.719
"P22","Lo votaría",0.443,0.235,0.201,0.578,0.524,0.249
"P22","Puede que lo vote",0.36,0.252,0.12,0.186,0.123,0.226
"P22","Nunca lo votaría",0.155,0.37,0.56,0.068,0.29,0.227
"P22","No sabe",0.042,0.143,0.119,0.168,0.063,0.298
"P23","Lo votaría",0.675,0.152,0.12,0.404,0.104,0.097
"P23","Puede que lo vote",0.218,0.207,0.204,0.208,0.158,0.202
"P23","Nunca lo votaría",0.052,0.528,0.527,0.169,0.625,0.311
"P23","No sabe",0.055,0.113,0.149,0.219,0.113,0.39
"P24","La votaría",0.173,0.469,0.079,0.433,0.049,0.033
"P24","Puede que la vote",0.154,0.273,0.285,0.165,0.146,0.21
"P24","Nunca la votaría",0.604,0.185,0.487,0.183,0.651,0.391
"P24","No sabe",0.069,0.073,0.149,0.219,0.154,0.366
"P25","Lo votaría",0.128,0.506,0.066,0.31,0.148,0.119
"P25","Puede que lo vote",0.149,0.207,0.301,0.215,0.162,0.264
"P25","Nunca lo votaría",0.615,0.221,0.544,0.268,0.616,0.35
"P25","No sabe",0.108,0.066,0.089,0.207,0.074,0.267
"P26","Lo votaría",0.104,0.186,0.417,0.44,0.038,0.011
"P26","Puede que lo vote",0.147,0.216,0.24,0.084,0.137,0.183
"P26","Nunca lo votaría",0.629,0.453,0.205,0.249,0.764,0.478
"P26","No sabe",0.12,0.145,0.138,0.227,0.061,0.328
"P27","Lo votaría",0.121,0.104,0.071,0.354,0.01,0
"P27","Puede que lo vote",0.124,0.161,0.203,0.29,0.15,0.176
"P27","Nunca lo votaría",0.597,0.628,0.54,0.153,0.731,0.549
"P27","No sabe",0.158,0.107,0.186,0.203,0.109,0.275
"P28","Lo votaría",0.821,0.093,0.047,0.538,0.562,0.2
"P28","Puede que lo vote",0.092,0.123,0.209,0.102,0.126,0.143
"P28","Nunca lo votaría",0.076,0.726,0.736,0.189,0.268,0.433
"P28","No sabe",0.011,0.058,0.008,0.171,0.044,0.224
"P29","La votaría",0.36,0.097,0.032,0.383,0.28,0.046
"P29","Puede que la vote",0.356,0.135,0.233,0.171,0.296,0.214
"P29","Nunca la votaría",0.26,0.721,0.72,0.197,0.263,0.338
"P29","No sabe",0.024,0.047,0.015,0.249,0.161,0.402
"P30","Lo votaría",0.155,0.538,0.083,0.55,0.075,0.05
"P30","Puede que lo vote",0.118,0.173,0.284,0.058,0.213,0.1
"P30","Nunca lo votaría",0.677,0.221,0.516,0.181,0.542,0.442
"P30","No sabe",0.05,0.068,0.117,0.211,0.17,0.408
"P31","Lo votaría",0.119,0.656,0.096,0.354,0.044,0.165
"P31","Puede que lo vote",0.123,0.256,0.357,0.19,0.162,0.164
"P31","Nunca lo votaría",0.721,0.072,0.522,0.257,0.621,0.432
"P31","No sabe",0.037,0.016,0.025,0.199,0.173,0.239
"P32","La votaría",0.119,0.172,0.461,0.55,0.04,0.027
"P32","Puede que la vote",0.103,0.185,0.19,0.069,0.162,0.06
"P32","Nunca la votaría",0.7,0.52,0.253,0.123,0.646,0.542
"P32","No sabe",0.078,0.123,0.096,0.258,0.152,0.371
"P33","Lo votaría",0.378,0.125,0.163,0.498,0.225,0.134
"P33","Puede que lo vote",0.387,0.122,0.231,0.17,0.253,0.116
"P33","Nunca lo votaría",0.206,0.728,0.552,0.124,0.308,0.499
"P33","No sabe",0.029,0.025,0.054,0.208,0.214,0.251
"P34","Lo votaría",0.675,0.113,0.019,0.734,0.265,0.147
"P34","Puede que lo vote",0.191,0.11,0.252,0.069,0.225,0.148
"P34","Nunca lo votaría",0.098,0.759,0.724,0.097,0.395,0.453
"P34","No sabe",0.036,0.018,0.005,0.1,0.115,0.252
"P35","Lo votaría",0.239,0.128,0.086,0.463,0.271,0.216
"P35","Puede que lo vote",0.48,0.179,0.159,0.326,0.41,0.175
"P35","Nunca lo votaría",0.257,0.598,0.74,0.099,0.259,0.402
"P35","No sabe",0.024,0.095,0.015,0.112,0.06,0.207
"P36","La votaría",0.097,0.744,0.409,0.692,0.117,0.175
"P36","Puede que la vote",0.18,0.133,0.221,0.039,0.164,0.174
"P36","Nunca la votaría",0.676,0.108,0.36,0.224,0.648,0.511
"P36","No sabe",0.047,0.015,0.01,0.045,0.071,0.14
"P37","Lo votaría",0.075,0.637,0.135,0.416,0.116,0.215
"P37","Puede que lo vote",0.175,0.191,0.19,0.323,0.3,0.194
"P37","Nunca lo votaría",0.707,0.164,0.612,0.216,0.554,0.43
"P37","No sabe",0.043,0.008,0.063,0.045,0.03,0.161
"P38","Lo votaría",0.077,0.24,0.721,0.457,0.092,0.156
"P38","Puede que lo vote",0.146,0.35,0.089,0.234,0.213,0.134
"P38","Nunca lo votaría",0.722,0.327,0.176,0.225,0.599,0.556
"P38","No sabe",0.055,0.083,0.014,0.084,0.096,0.154
"P39","Si",0.439,0.367,0.483,0.325,0.444,0.202
"P39","No",0.561,0.633,0.517,0.675,0.556,0.798
