"var","categoria","Wado de Pedro por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P23","Sergio Massa por el Frente de Todos",0.217,0.021,0.016,0.115,0.158
"P23","Wado de Pedro por el Frente de Todos",0.465,0.007,0.01,0.069,0.031
"P23","Daniel Scioli por el Frente de Todos",0.205,0.005,0.016,0.077,0.108
"P23","Javier Milei por los liberales libertarios",0.009,0.022,0.658,0.018,0.029
"P23","Al candidato del Frente de Izquierda",0.02,0.003,0.002,0.437,0.004
"P23","No sabe",0.036,0.019,0.009,0.048,0.299
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.008,0.252,0.004,0.007,0.015
"P24","Patricia Bullrich por Juntos por el Cambio",0.008,0.485,0.235,0.058,0.261
"P24","María Eugenia Vidal por Juntos por el Cambio",0.01,0.135,0.025,0.053,0.029
"P24","Facundo Manes por Juntos por el Cambio",0.029,0.055,0.015,0.11,0.07
"P24","Sergio Massa por el Frente de Todos",0.257,0.018,0.012,0.136,0.132
"P24","Wado de Pedro por el Frente de Todos",0.51,0.003,0.003,0.095,0.039
"P24","Alberto Fernández por el Frente de Todos",0.137,0.019,0.028,0.078,0.156
"P24","Javier Milei por los liberales libertarios",0.007,0.02,0.664,0.014,0.03
"P24","Al candidato del Frente de Izquierda",0.008,0.003,0.003,0.41,0.001
"P24","No sabe",0.026,0.01,0.011,0.039,0.267
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.006,0.258,0.009,0.039,0.032
"P25","Patricia Bullrich por Juntos por el Cambio",0.009,0.454,0.188,0.092,0.215
"P25","Facundo Manes por Juntos por el Cambio",0.012,0.144,0.064,0.078,0.108
"P25","Sergio Massa por el Frente de Todos",0.211,0.025,0.02,0.113,0.158
"P25","Wado de Pedro por el Frente de Todos",0.46,0.008,0.01,0.071,0.048
"P25","Daniel Scioli por el Frente de Todos",0.245,0.01,0.019,0.094,0.119
"P25","Javier Milei por los liberales libertario",0.014,0.068,0.343,0.018,0.035
"P25","Al candidato del Frente de Izquierda",0.017,0.01,0.335,0.232,0.023
"P25","No sabe",0.026,0.023,0.012,0.263,0.262
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.017,0.343,0.015,0.019,0.036
"P26","Patricia Bulrich por Juntos por el Cambio",0.026,0.517,0.218,0.056,0.275
"P26","Alberto Fernández por el Frente de Todos",0.202,0.019,0.028,0.078,0.155
"P26","Sergio Massa por el Frente de Todos",0.504,0.024,0.016,0.128,0.139
"P26","Javier Milei por los liberales libertarios",0.036,0.038,0.663,0.03,0.05
"P26","Al candidato del Frente de Izquierda",0.092,0.023,0.007,0.603,0.023
"P26","No sabe",0.123,0.036,0.053,0.086,0.322
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.015,0.36,0.008,0.03,0.018
"P27","Patricia Bullrich por Juntos por el Cambio",0.011,0.544,0.225,0.061,0.289
"P27","Wado de Pedro por el Frente de Todos",0.503,0.011,0.008,0.083,0.05
"P27","Sergio Massa por el Frente de Todos",0.357,0.024,0.027,0.168,0.205
"P27","Javier Milei por los liberales libertarios",0.027,0.028,0.7,0.063,0.045
"P27","Al candidato del Frente de Izquierda",0.036,0.004,0.012,0.562,0.019
"P27","No sabe",0.051,0.029,0.02,0.033,0.374
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.014,0.369,0.01,0.023,0.02
"P28","Patricia Bullrich por Juntos por el Cambio",0.008,0.557,0.223,0.063,0.287
"P28","Wado de Pedro por el Frente de Todos",0.556,0.004,0.006,0.064,0.039
"P28","Daniel Scioli por el Frente de Todos",0.336,0.012,0.017,0.157,0.175
"P28","Javier Milei por los liberales libertarios",0.018,0.022,0.722,0.061,0.048
"P28","Al candidato del Frente de Izquierda",0.025,0.004,0.01,0.545,0.022
"P28","No sabe",0.043,0.032,0.012,0.087,0.409
"P29","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.015,0.412,0.051,0.071,0.061
"P29","Patricia Bullrich presidenta – Gustavo Valdes vice por Juntos por el Cambio",0.005,0.488,0.178,0.068,0.219
"P29","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.323,0.023,0.022,0.164,0.167
"P29","Wado de Pedro presidente – Jorge Capitanich vice por el Frente de Todos",0.583,0.012,0.013,0.111,0.061
"P29","Javier Milei presidente y su candidato a vice",0.013,0.021,0.718,0.038,0.053
"P29","A los candidatos de la izquierda",0.022,0.002,0.002,0.495,0.015
"P29","No sabe",0.039,0.042,0.016,0.053,0.424
"P30","Alberto Fernández por el Frente de Todos",0.701,0.05,0.016,0.134,0.22
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.037,0.816,0.025,0.053,0.044
"P30","Javier Milei por los liberales libertarios",0.021,0.039,0.911,0.015,0.038
"P30","Al candidato del Frente de Izquierda",0.071,0.016,0.01,0.729,0.018
"P30","No sabe",0.17,0.079,0.038,0.069,0.68
"P31","Sergio Massa por el Frente de Todos",0.77,0.031,0.014,0.146,0.212
"P31","Horacio Rodríguez Larreta por Juntos por el Cambio",0.021,0.881,0.021,0.014,0.043
"P31","Javier Milei por los liberales libertarios",0.022,0.04,0.937,0.06,0.028
"P31","Al candidato del Frente de Izquierda",0.067,0.004,0.016,0.758,0.009
"P31","No sabe",0.12,0.044,0.012,0.022,0.708
"P33","Daniel Scioli por el Frente de Todos",0.822,0.022,0.01,0.128,0.153
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.017,0.939,0.019,0.018,0.053
"P33","Javier Milei por los liberales libertarios",0.004,0.022,0.945,0.041,0.017
"P33","Al candidato del Frente de Izquierda",0.053,0.001,0.009,0.764,0.009
"P33","No sabe",0.104,0.016,0.017,0.049,0.768
"P34","Sergio Massa por el Frente de Todos",0.787,0.037,0.013,0.135,0.217
"P34","Patricia Bullrich por Juntos por el Cambio",0.012,0.829,0.24,0.073,0.278
"P34","Javier Milei por los liberales libertarios",0.011,0.04,0.731,0.025,0.024
"P34","Al candidato del Frente de Izquierda",0.069,0.015,0.003,0.71,0.011
"P34","No sabe",0.121,0.079,0.013,0.057,0.47
"P35","Alberto Fernández por el Frente de Todos",0.761,0.031,0.019,0.154,0.229
"P35","Patricia Bullrich por Juntos por el Cambio",0.011,0.82,0.246,0.062,0.28
"P35","Javier Milei por los liberales libertarios",0.023,0.045,0.718,0.023,0.046
"P35","Al candidato del Frente de Izquierda",0.081,0.022,0.006,0.697,0.016
"P35","No sabe",0.124,0.082,0.011,0.064,0.429
"P36","Wado de Pedro por el Frente de Todos",0.897,0.011,0.014,0.133,0.068
"P36","Patricia Bullrich por Juntos por el Cambio",0.014,0.823,0.241,0.103,0.302
"P36","Javier Milei por los liberales libertarios",0.023,0.051,0.722,0.016,0.03
"P36","Al candidato del Frente de Izquierda",0.015,0.027,0.008,0.698,0.018
"P36","No sabe",0.051,0.088,0.015,0.05,0.582
"P37","Daniel Scioli por el Frente de Todos",0.816,0.035,0.009,0.154,0.178
"P37","Patricia Bullrich por Juntos por el Cambio",0.012,0.828,0.26,0.1,0.313
"P37","Javier Milei por los liberales libertarios",0.019,0.048,0.717,0.01,0.031
"P37","Al candidato del Frente de Izquierda",0.054,0.019,0.002,0.702,0.008
"P37","No sabe",0.099,0.07,0.012,0.034,0.47
"P38","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.133,0.7,0.029,0.088,0.078
"P38","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.616,0.187,0.034,0.112,0.239
"P38","Javier Milei presidente y su candidato a vice",0.023,0.027,0.898,0.048,0.036
"P38","A los candidatos de la izquierda",0.079,0.011,0.007,0.696,0.008
"P38","No sabe",0.149,0.075,0.032,0.056,0.639
"P39","Patricia Bullrich presidenta – Gustavo Valdés vice por Juntos por el Cambio",0.04,0.784,0.22,0.062,0.251
"P39","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.708,0.073,0.011,0.114,0.215
"P39","Javier Milei presidente y su candidato a vice",0.016,0.031,0.751,0.041,0.027
"P39","A los candidatos de la izquierda",0.079,0.016,0.003,0.669,0.01
"P39","No sabe",0.157,0.096,0.015,0.114,0.497
"P40","Sergio Massa por el Frente de Todos",0.852,0.043,0.061,0.315,0.297
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.019,0.902,0.352,0.189,0.132
"P40","No sabe",0.129,0.055,0.587,0.496,0.571
"P41","Alberto Fernández por el Frente de Todos",0.818,0.039,0.057,0.333,0.252
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.028,0.921,0.405,0.187,0.165
"P41","No sabe",0.154,0.04,0.538,0.48,0.583
"P42","Sergio Massa por el Frente de Todos",0.87,0.032,0.042,0.375,0.28
"P42","Patricia Bullrich por Juntos por el Cambio",0.019,0.873,0.67,0.113,0.34
"P42","No sabe",0.111,0.095,0.288,0.512,0.38
"P43","Alberto Fernández por el Frente de Todos",0.837,0.036,0.04,0.395,0.27
"P43","Patricia Bullrich por Juntos por el Cambio",0.014,0.861,0.697,0.086,0.358
"P43","No sabe",0.149,0.103,0.263,0.519,0.372
"P44","Wado de Pedro por el Frente de Todos",0.929,0.015,0.032,0.385,0.101
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.024,0.928,0.454,0.164,0.195
"P44","No sabe",0.047,0.057,0.514,0.451,0.704
"P45","Daniel Scioli por el Frente de Todos",0.87,0.019,0.071,0.337,0.223
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.021,0.939,0.415,0.159,0.165
"P45","No sabe",0.109,0.042,0.514,0.504,0.612
"P46","Wado de Pedro por el Frente de Todos",0.937,0.015,0.04,0.381,0.104
"P46","Patricia Bullrich por Juntos por el Cambio",0.009,0.872,0.678,0.125,0.346
"P46","No sabe",0.054,0.113,0.282,0.494,0.55
"P47","Daniel Scioli por el Frente de Todos",0.881,0.026,0.03,0.384,0.24
"P47","Patricia Bullrich por Juntos por el Cambio",0.014,0.874,0.708,0.13,0.359
"P47","No sabe",0.105,0.1,0.262,0.486,0.401
"P48","Horacio Rodríguez Larreta por Juntos por el Cambio",0.225,0.798,0.039,0.301,0.143
"P48","Javier Milei por los liberales libertarios",0.034,0.153,0.879,0.046,0.109
"P48","No sabe",0.741,0.049,0.082,0.653,0.748
"P49","Patricia Bullrich por Juntos por el Cambio",0.055,0.847,0.224,0.153,0.369
"P49","Javier Milei por los liberales libertarios",0.063,0.061,0.727,0.057,0.05
"P49","No sabe",0.882,0.092,0.049,0.79,0.581
"P50","Alberto Fernández por el Frente de Todos",0.753,0.151,0.046,0.443,0.278
"P50","Javier Milei por los liberales libertarios",0.025,0.382,0.912,0.074,0.124
"P50","No sabe",0.222,0.467,0.042,0.483,0.598
"P51","Sergio Massa por el Frente de Todos",0.865,0.074,0.016,0.45,0.266
"P51","Javier Milei por los liberales libertarios",0.021,0.472,0.942,0.085,0.126
"P51","No sabe",0.114,0.454,0.042,0.465,0.608
"P52","Muy buena",0.181,0.009,0.017,0.198,0.096
"P52","Buena",0.298,0.075,0.106,0.07,0.112
"P52","Ni buena ni mala",0.327,0.104,0.05,0.193,0.193
"P52","Mala",0.146,0.091,0.054,0.176,0.143
"P52","Muy mala",0.046,0.716,0.769,0.322,0.432
"P52","No sabe",0.002,0.005,0.004,0.041,0.024
"P53","Muy buena",0.717,0.005,0.023,0.281,0.162
"P53","Buena",0.155,0.022,0.023,0.107,0.088
"P53","Ni buena ni mala",0.086,0.024,0.034,0.152,0.116
"P53","Mala",0.026,0.064,0.047,0.115,0.105
"P53","Muy mala",0.016,0.88,0.872,0.345,0.495
"P53","No sabe",0,0.005,0.001,0,0.034
"P54","Muy buena",0.096,0.374,0.138,0.088,0.159
"P54","Buena",0.022,0.27,0.208,0.042,0.095
"P54","Ni buena ni mala",0.027,0.138,0.273,0.06,0.186
"P54","Mala",0.118,0.067,0.15,0.175,0.155
"P54","Muy mala",0.735,0.148,0.229,0.629,0.374
"P54","No sabe",0.002,0.003,0.002,0.006,0.031
"P55","Muy buena",0.023,0.318,0.057,0.076,0.052
"P55","Buena",0.022,0.451,0.138,0.054,0.118
"P55","Ni buena ni mala",0.07,0.187,0.291,0.119,0.327
"P55","Mala",0.22,0.029,0.198,0.285,0.15
"P55","Muy mala",0.663,0.014,0.31,0.461,0.296
"P55","No sabe",0.002,0.001,0.006,0.005,0.057
"P56","Muy buena",0.157,0.049,0.014,0.049,0.091
"P56","Buena",0.365,0.078,0.043,0.074,0.119
"P56","Ni buena ni mala",0.296,0.099,0.101,0.225,0.237
"P56","Mala",0.104,0.16,0.125,0.302,0.119
"P56","Muy mala",0.078,0.612,0.712,0.35,0.376
"P56","No sabe",0,0.002,0.005,0,0.058
"P57","Muy buena",0.05,0.473,0.304,0.094,0.225
"P57","Buena",0.051,0.211,0.222,0.026,0.098
"P57","Ni buena ni mala",0.064,0.123,0.206,0.112,0.161
"P57","Mala",0.083,0.064,0.082,0.124,0.127
"P57","Muy mala",0.748,0.128,0.184,0.644,0.327
"P57","No sabe",0.004,0.001,0.002,0,0.062
"P58","Muy buena",0.03,0.089,0.569,0.052,0.048
"P58","Buena",0.012,0.185,0.263,0.03,0.057
"P58","Ni buena ni mala",0.043,0.346,0.119,0.136,0.291
"P58","Mala",0.096,0.203,0.023,0.099,0.184
"P58","Muy mala",0.812,0.164,0.025,0.642,0.34
"P58","No sabe",0.007,0.013,0.001,0.041,0.08
"P59","Muy buena",0.446,0.014,0.098,0.084,0.031
"P59","Buena",0.326,0.039,0.052,0.087,0.057
"P59","Ni buena ni mala",0.107,0.175,0.144,0.213,0.258
"P59","Mala",0.022,0.207,0.135,0.103,0.149
"P59","Muy mala",0.093,0.516,0.495,0.44,0.383
"P59","No sabe",0.006,0.049,0.076,0.073,0.122
"P60","Muy buena",0.271,0.017,0.019,0.068,0.087
"P60","Buena",0.411,0.02,0.023,0.063,0.116
"P60","Ni buena ni mala",0.255,0.096,0.125,0.329,0.182
"P60","Mala",0.04,0.225,0.156,0.207,0.144
"P60","Muy mala",0.022,0.634,0.662,0.33,0.402
"P60","No sabe",0.001,0.008,0.015,0.003,0.069
"P61","Muy buena",0.064,0.353,0.079,0.104,0.074
"P61","Buena",0.045,0.306,0.182,0.085,0.163
"P61","Ni buena ni mala",0.05,0.16,0.284,0.132,0.243
"P61","Mala",0.12,0.077,0.158,0.206,0.138
"P61","Muy mala",0.717,0.101,0.288,0.469,0.332
"P61","No sabe",0.004,0.003,0.009,0.004,0.05
"P62","Muy buena",0.051,0.191,0.075,0.14,0.074
"P62","Buena",0.076,0.245,0.154,0.099,0.136
"P62","Ni buena ni mala",0.339,0.369,0.335,0.264,0.323
"P62","Mala",0.237,0.105,0.148,0.184,0.12
"P62","Muy mala",0.267,0.058,0.235,0.255,0.228
"P62","No sabe",0.03,0.032,0.053,0.058,0.119
"P63","Siempre",0.329,0.326,0.253,0.298,0.288
"P63","Casi siempre",0.372,0.418,0.383,0.357,0.352
"P63","Casi nunca",0.207,0.193,0.24,0.276,0.225
"P63","Nunca, pero esta es una excepción",0.092,0.063,0.124,0.069,0.135
"P64","Si",0.639,0.646,0.61,0.479,0.594
"P64","No",0.361,0.354,0.39,0.521,0.406
