"var","categoria","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio","Patricia Bullrich presidenta – Gustavo Valdes vice por Juntos por el Cambio","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos","Wado de Pedro presidente – Jorge Capitanich vice por el Frente de Todos","Javier Milei presidente y su candidato a vice","A los candidatos de la izquierda","No sabe"
"P16","Puede que lo vote",0.364,0.327,0.148,0.116,0.193,0.146,0.118
"P16","Nunca lo votaría",0.337,0.482,0.619,0.726,0.662,0.689,0.538
"P16","No sabe",0.126,0.102,0.15,0.108,0.093,0.089,0.286
"P17","La votaría",0.327,0.776,0.074,0.027,0.194,0.044,0.07
"P17","Puede que la vote",0.312,0.127,0.035,0.042,0.349,0.084,0.111
"P17","Nunca la votaría",0.3,0.075,0.837,0.902,0.4,0.802,0.607
"P17","No sabe",0.061,0.022,0.054,0.029,0.057,0.07,0.212
"P18","Lo votaría",0.172,0.188,0.058,0.034,0.774,0.068,0.031
"P18","Puede que lo vote",0.275,0.312,0.058,0.031,0.131,0.061,0.115
"P18","Nunca lo votaría",0.503,0.445,0.841,0.906,0.083,0.816,0.665
"P18","No sabe",0.05,0.055,0.043,0.029,0.012,0.055,0.189
"P19","La votaría",0.256,0.209,0.075,0.045,0.134,0.036,0.046
"P19","Puede que la vote",0.324,0.39,0.07,0.044,0.223,0.097,0.118
"P19","Nunca la votaría",0.354,0.32,0.795,0.869,0.582,0.837,0.619
"P19","No sabe",0.066,0.081,0.06,0.042,0.061,0.03,0.217
"P20","Lo votaría",0.051,0.036,0.17,0.467,0.02,0.131,0.062
"P20","Puede que lo vote",0.113,0.071,0.299,0.311,0.065,0.296,0.125
"P20","Nunca lo votaría",0.744,0.839,0.401,0.175,0.808,0.471,0.548
"P20","No sabe",0.092,0.054,0.13,0.047,0.107,0.102,0.265
"P21","Lo votaría",0.026,0.016,0.277,0.336,0.019,0.047,0.075
"P21","Puede que lo vote",0.061,0.031,0.393,0.434,0.057,0.251,0.2
"P21","Nunca lo votaría",0.876,0.931,0.226,0.154,0.886,0.596,0.515
"P21","No sabe",0.037,0.022,0.104,0.076,0.038,0.106,0.21
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.437,0.052,0.019,0.011,0.008,0.008,0.039
"P22","Patricia Bullrich por Juntos por el Cambio",0.302,0.837,0.018,0.013,0.067,0.003,0.092
"P22","Facundo Manes por Juntos por el Cambio",0.107,0.034,0.03,0.017,0.025,0.067,0.072
"P22","Alberto Fernández por el Frente de Todos",0.012,0.009,0.153,0.1,0.019,0.06,0.142
"P22","Sergio Massa por el Frente de Todos",0.018,0.01,0.376,0.067,0.025,0.056,0.075
"P22","Wado de Pedro por el Frente de Todos",0.008,0.007,0.114,0.539,0.012,0.174,0.071
"P22","Daniel Scioli por el Frente de Todos",0.021,0.007,0.202,0.178,0.009,0.013,0.092
"P22","Javier Milei por los liberales libertarios",0.036,0.023,0.016,0.017,0.814,0.045,0.016
"P22","Al candidato del Frente de Izquierda",0.007,0.003,0.014,0.015,0,0.486,0.025
"P22","No sabe",0.052,0.018,0.058,0.043,0.021,0.088,0.376
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.384,0.039,0.019,0.003,0.008,0.008,0.047
"P23","Patricia Bullrich por Juntos por el Cambio",0.281,0.804,0.02,0.014,0.054,0,0.08
"P23","María Eugenia Vidal por Juntos por el Cambio",0.125,0.08,0.019,0.031,0.024,0.015,0.062
"P23","Facundo Manes por Juntos por el Cambio",0.08,0.024,0.03,0.027,0.019,0.079,0.08
"P23","Sergio Massa por el Frente de Todos",0.026,0.01,0.445,0.111,0.027,0.022,0.087
"P23","Wado de Pedro por el Frente de Todos",0.01,0.005,0.124,0.571,0.013,0.195,0.055
"P23","Daniel Scioli por el Frente de Todos",0.02,0.007,0.237,0.18,0.006,0.038,0.126
"P23","Javier Milei por los liberales libertarios",0.033,0.014,0.009,0.012,0.836,0.033,0.02
"P23","Al candidato del Frente de Izquierda",0.007,0.002,0.022,0.014,0.001,0.489,0.026
"P23","No sabe",0.034,0.015,0.075,0.037,0.012,0.121,0.417
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.415,0.038,0.018,0.004,0.004,0.016,0.044
"P24","Patricia Bullrich por Juntos por el Cambio",0.267,0.808,0.016,0.018,0.062,0,0.074
"P24","María Eugenia Vidal por Juntos por el Cambio",0.127,0.084,0.01,0.019,0.026,0.013,0.043
"P24","Facundo Manes por Juntos por el Cambio",0.078,0.025,0.035,0.024,0.015,0.083,0.085
"P24","Sergio Massa por el Frente de Todos",0.023,0.004,0.483,0.111,0.02,0.04,0.098
"P24","Wado de Pedro por el Frente de Todos",0.008,0.005,0.115,0.643,0.006,0.186,0.078
"P24","Alberto Fernández por el Frente de Todos",0.028,0.004,0.226,0.131,0.023,0.04,0.175
"P24","Javier Milei por los liberales libertarios",0.027,0.02,0.01,0.018,0.833,0.04,0.02
"P24","Al candidato del Frente de Izquierda",0,0.002,0.022,0.007,0.002,0.461,0.016
"P24","No sabe",0.027,0.01,0.065,0.025,0.009,0.121,0.367
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.395,0.041,0.024,0.005,0.011,0.036,0.065
"P25","Patricia Bullrich por Juntos por el Cambio",0.18,0.745,0.018,0.019,0.04,0.023,0.082
"P25","Facundo Manes por Juntos por el Cambio",0.222,0.133,0.017,0.011,0.038,0.026,0.082
"P25","Sergio Massa por el Frente de Todos",0.029,0.006,0.466,0.101,0.011,0.069,0.093
"P25","Wado de Pedro por el Frente de Todos",0.022,0.006,0.155,0.553,0.022,0.099,0.083
"P25","Daniel Scioli por el Frente de Todos",0.009,0.009,0.223,0.247,0.014,0.137,0.134
"P25","Javier Milei por los liberales libertario",0.098,0.041,0.021,0.026,0.393,0.032,0.043
"P25","Al candidato del Frente de Izquierda",0.009,0.009,0.016,0.014,0.457,0.266,0.013
"P25","No sabe",0.036,0.01,0.06,0.024,0.014,0.312,0.405
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.522,0.093,0.023,0.014,0.006,0.01,0.043
"P26","Patricia Bulrich por Juntos por el Cambio",0.295,0.812,0.058,0.026,0.045,0.003,0.095
"P26","Alberto Fernández por el Frente de Todos",0.03,0.009,0.235,0.217,0.024,0.052,0.163
"P26","Sergio Massa por el Frente de Todos",0.013,0.007,0.548,0.451,0.018,0.048,0.103
"P26","Javier Milei por los liberales libertarios",0.04,0.052,0.036,0.045,0.834,0.049,0.041
"P26","Al candidato del Frente de Izquierda",0.042,0.009,0.046,0.094,0.013,0.709,0.04
"P26","No sabe",0.058,0.018,0.054,0.153,0.06,0.129,0.515
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.554,0.067,0.021,0.015,0.005,0.007,0.054
"P27","Patricia Bullrich por Juntos por el Cambio",0.33,0.864,0.027,0.009,0.039,0.016,0.087
"P27","Wado de Pedro por el Frente de Todos",0.016,0.007,0.151,0.641,0.008,0.078,0.084
"P27","Sergio Massa por el Frente de Todos",0.016,0.012,0.688,0.212,0.022,0.062,0.118
"P27","Javier Milei por los liberales libertarios",0.034,0.035,0.019,0.037,0.89,0.044,0.041
"P27","Al candidato del Frente de Izquierda",0.014,0.005,0.019,0.033,0.014,0.694,0.028
"P27","No sabe",0.036,0.01,0.075,0.053,0.022,0.099,0.588
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.562,0.071,0.044,0.011,0.007,0.007,0.032
"P28","Patricia Bullrich por Juntos por el Cambio",0.347,0.87,0.025,0.01,0.034,0.011,0.093
"P28","Wado de Pedro por el Frente de Todos",0.015,0.006,0.21,0.649,0.002,0.082,0.08
"P28","Daniel Scioli por el Frente de Todos",0.008,0.004,0.531,0.259,0.008,0.055,0.13
"P28","Javier Milei por los liberales libertarios",0.025,0.028,0.033,0.024,0.924,0.042,0.028
"P28","Al candidato del Frente de Izquierda",0.006,0.007,0.016,0.014,0.014,0.764,0.039
"P28","No sabe",0.037,0.014,0.141,0.033,0.011,0.039,0.598
"P30","Alberto Fernández por el Frente de Todos",0.063,0.029,0.623,0.654,0.017,0.134,0.233
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.7,0.499,0.058,0.033,0.013,0.008,0.103
"P30","Javier Milei por los liberales libertarios",0.114,0.229,0.056,0.035,0.893,0.013,0.039
"P30","Al candidato del Frente de Izquierda",0.021,0.015,0.059,0.086,0.014,0.747,0.024
"P30","No sabe",0.102,0.228,0.204,0.192,0.063,0.098,0.601
"P31","Sergio Massa por el Frente de Todos",0.041,0.01,0.764,0.671,0.015,0.179,0.182
"P31","Horacio Rodríguez Larreta por Juntos por el Cambio",0.735,0.541,0.051,0.025,0.01,0.012,0.106
"P31","Javier Milei por los liberales libertarios",0.121,0.259,0.045,0.038,0.913,0.018,0.04
"P31","Al candidato del Frente de Izquierda",0.021,0.01,0.038,0.089,0.02,0.719,0.03
"P31","No sabe",0.082,0.18,0.102,0.177,0.042,0.072,0.642
"P32","Wado de Pedro por el Frente de Todos",0.026,0.005,0.624,0.867,0.014,0.192,0.095
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.763,0.564,0.046,0.019,0.022,0.021,0.107
"P32","Javier Milei por los liberales libertarios",0.115,0.247,0.052,0.024,0.92,0.023,0.048
"P32","Al candidato del Frente de Izquierda",0.019,0.012,0.049,0.025,0.006,0.667,0.02
"P32","No sabe",0.077,0.172,0.229,0.065,0.038,0.097,0.73
"P33","Daniel Scioli por el Frente de Todos",0.029,0.014,0.696,0.748,0.014,0.142,0.174
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.775,0.581,0.054,0.019,0.013,0.005,0.106
"P33","Javier Milei por los liberales libertarios",0.111,0.246,0.034,0.027,0.919,0.016,0.038
"P33","Al candidato del Frente de Izquierda",0.015,0.008,0.05,0.054,0.011,0.771,0.019
"P33","No sabe",0.07,0.151,0.166,0.152,0.043,0.066,0.663
"P34","Sergio Massa por el Frente de Todos",0.048,0.011,0.792,0.701,0.011,0.175,0.189
"P34","Patricia Bullrich por Juntos por el Cambio",0.685,0.918,0.06,0.011,0.07,0.011,0.121
"P34","Javier Milei por los liberales libertarios",0.091,0.04,0.036,0.028,0.879,0.009,0.033
"P34","Al candidato del Frente de Izquierda",0.033,0.002,0.04,0.082,0.009,0.763,0.027
"P34","No sabe",0.143,0.029,0.072,0.178,0.031,0.042,0.63
"P35","Alberto Fernández por el Frente de Todos",0.043,0.011,0.697,0.694,0.026,0.195,0.247
"P35","Patricia Bullrich por Juntos por el Cambio",0.69,0.934,0.03,0.012,0.061,0.005,0.118
"P35","Javier Milei por los liberales libertarios",0.091,0.036,0.063,0.036,0.881,0.008,0.042
"P35","Al candidato del Frente de Izquierda",0.039,0.002,0.064,0.091,0.009,0.751,0.037
"P35","No sabe",0.137,0.017,0.146,0.167,0.023,0.041,0.556
"P36","Wado de Pedro por el Frente de Todos",0.027,0.008,0.595,0.867,0.015,0.215,0.129
"P36","Patricia Bullrich por Juntos por el Cambio",0.708,0.939,0.043,0.016,0.048,0.007,0.12
"P36","Javier Milei por los liberales libertarios",0.085,0.033,0.06,0.03,0.888,0.03,0.05
"P36","Al candidato del Frente de Izquierda",0.047,0.004,0.052,0.019,0.015,0.701,0.017
"P36","No sabe",0.133,0.016,0.25,0.068,0.034,0.047,0.684
"P37","Daniel Scioli por el Frente de Todos",0.031,0.009,0.676,0.789,0.02,0.176,0.204
"P37","Patricia Bullrich por Juntos por el Cambio",0.724,0.943,0.051,0.013,0.054,0.005,0.128
"P37","Javier Milei por los liberales libertarios",0.087,0.028,0.053,0.036,0.89,0.011,0.042
"P37","Al candidato del Frente de Izquierda",0.034,0.004,0.046,0.055,0.007,0.768,0.028
"P37","No sabe",0.124,0.016,0.174,0.107,0.029,0.04,0.598
"P38","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.66,0.427,0.101,0.132,0.016,0.051,0.104
"P38","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.136,0.155,0.747,0.525,0.018,0.089,0.134
"P38","Javier Milei presidente y su candidato a vice",0.092,0.217,0.045,0.041,0.931,0.009,0.033
"P38","A los candidatos de la izquierda",0.015,0.008,0.029,0.1,0.009,0.812,0.033
"P38","No sabe",0.097,0.193,0.078,0.202,0.026,0.039,0.696
"P39","Patricia Bullrich presidenta – Gustavo Valdés vice por Juntos por el Cambio",0.629,0.858,0.041,0.046,0.044,0.015,0.121
"P39","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.059,0.045,0.799,0.615,0.009,0.09,0.132
"P39","Javier Milei presidente y su candidato a vice",0.102,0.044,0.039,0.029,0.917,0.014,0.024
"P39","A los candidatos de la izquierda",0.033,0.002,0.022,0.1,0.006,0.817,0.033
"P39","No sabe",0.177,0.051,0.099,0.21,0.024,0.064,0.69
"P40","Sergio Massa por el Frente de Todos",0.036,0.049,0.845,0.809,0.049,0.393,0.251
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.852,0.718,0.05,0.025,0.265,0.078,0.148
"P40","No sabe",0.112,0.233,0.105,0.166,0.686,0.529,0.601
"P41","Alberto Fernández por el Frente de Todos",0.053,0.029,0.741,0.771,0.06,0.392,0.283
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.86,0.763,0.07,0.038,0.313,0.075,0.162
"P41","No sabe",0.087,0.208,0.189,0.191,0.627,0.533,0.555
"P42","Sergio Massa por el Frente de Todos",0.032,0.011,0.863,0.816,0.05,0.44,0.258
"P42","Patricia Bullrich por Juntos por el Cambio",0.799,0.96,0.047,0.028,0.572,0.009,0.166
"P42","No sabe",0.169,0.029,0.09,0.156,0.378,0.551,0.576
"P43","Alberto Fernández por el Frente de Todos",0.04,0.011,0.768,0.805,0.054,0.507,0.276
"P43","Patricia Bullrich por Juntos por el Cambio",0.783,0.966,0.041,0.018,0.601,0.009,0.196
"P43","No sabe",0.177,0.023,0.191,0.177,0.345,0.484,0.528
"P44","Wado de Pedro por el Frente de Todos",0.025,0.025,0.666,0.891,0.037,0.49,0.17
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.896,0.777,0.088,0.028,0.361,0.077,0.166
"P44","No sabe",0.079,0.198,0.246,0.081,0.602,0.433,0.664
"P45","Daniel Scioli por el Frente de Todos",0.017,0.024,0.756,0.842,0.077,0.394,0.247
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.898,0.776,0.05,0.028,0.318,0.074,0.163
"P45","No sabe",0.085,0.2,0.194,0.13,0.605,0.532,0.59
"P46","Wado de Pedro por el Frente de Todos",0.034,0.011,0.684,0.897,0.05,0.516,0.185
"P46","Patricia Bullrich por Juntos por el Cambio",0.794,0.952,0.038,0.019,0.584,0.068,0.179
"P46","No sabe",0.172,0.037,0.278,0.084,0.366,0.416,0.636
"P47","Daniel Scioli por el Frente de Todos",0.026,0.012,0.753,0.862,0.041,0.428,0.284
"P47","Patricia Bullrich por Juntos por el Cambio",0.802,0.97,0.054,0.019,0.611,0.062,0.167
"P47","No sabe",0.172,0.018,0.193,0.119,0.348,0.51,0.549
"P48","Horacio Rodríguez Larreta por Juntos por el Cambio",0.693,0.521,0.231,0.206,0.03,0.239,0.16
"P48","Javier Milei por los liberales libertarios",0.248,0.338,0.086,0.03,0.853,0.021,0.108
"P48","No sabe",0.059,0.141,0.683,0.764,0.117,0.74,0.732
"P49","Patricia Bullrich por Juntos por el Cambio",0.69,0.903,0.106,0.048,0.059,0.093,0.195
"P49","Javier Milei por los liberales libertarios",0.164,0.067,0.092,0.063,0.86,0.042,0.056
"P49","No sabe",0.146,0.03,0.802,0.889,0.081,0.865,0.749
"P50","Alberto Fernández por el Frente de Todos",0.143,0.132,0.665,0.747,0.023,0.557,0.275
"P50","Javier Milei por los liberales libertarios",0.411,0.494,0.071,0.035,0.903,0.036,0.113
"P50","No sabe",0.446,0.374,0.264,0.218,0.074,0.407,0.612
"P51","Sergio Massa por el Frente de Todos",0.07,0.035,0.839,0.827,0.023,0.503,0.259
"P51","Javier Milei por los liberales libertarios",0.498,0.586,0.034,0.036,0.913,0.032,0.095
"P51","No sabe",0.432,0.379,0.127,0.137,0.064,0.465,0.646
"P52","Muy buena",0.023,0.004,0.223,0.153,0.019,0.221,0.09
"P52","Buena",0.07,0.078,0.282,0.285,0.108,0.069,0.114
"P52","Ni buena ni mala",0.114,0.051,0.319,0.317,0.069,0.232,0.235
"P52","Mala",0.122,0.066,0.109,0.172,0.05,0.173,0.185
"P52","Muy mala",0.667,0.798,0.06,0.063,0.75,0.297,0.342
"P52","No sabe",0.004,0.003,0.007,0.01,0.004,0.008,0.034
"P53","Muy buena",0.015,0.007,0.531,0.751,0.027,0.249,0.218
"P53","Buena",0.013,0.021,0.173,0.126,0.027,0.164,0.113
"P53","Ni buena ni mala",0.024,0.008,0.143,0.07,0.053,0.151,0.129
"P53","Mala",0.088,0.04,0.074,0.029,0.042,0.142,0.101
"P53","Muy mala",0.85,0.922,0.073,0.023,0.848,0.294,0.397
"P53","No sabe",0.01,0.002,0.006,0.001,0.003,0,0.042
"P54","Muy buena",0.255,0.436,0.109,0.086,0.076,0.081,0.04
"P54","Buena",0.272,0.282,0.016,0.023,0.165,0.052,0.063
"P54","Ni buena ni mala",0.178,0.137,0.068,0.028,0.312,0.031,0.161
"P54","Mala",0.092,0.043,0.201,0.108,0.167,0.067,0.204
"P54","Muy mala",0.2,0.1,0.594,0.751,0.279,0.75,0.493
"P54","No sabe",0.003,0.002,0.012,0.004,0.001,0.019,0.039
"P55","Muy buena",0.385,0.171,0.063,0.014,0.035,0.066,0.041
"P55","Buena",0.376,0.386,0.043,0.021,0.097,0.036,0.104
"P55","Ni buena ni mala",0.183,0.262,0.151,0.058,0.297,0.093,0.257
"P55","Mala",0.025,0.095,0.26,0.192,0.203,0.212,0.17
"P55","Muy mala",0.03,0.083,0.469,0.714,0.36,0.574,0.355
"P55","No sabe",0.001,0.003,0.014,0.001,0.008,0.019,0.073
"P56","Muy buena",0.046,0.031,0.287,0.088,0.019,0.013,0.037
"P56","Buena",0.102,0.041,0.399,0.319,0.035,0.053,0.127
"P56","Ni buena ni mala",0.145,0.061,0.19,0.367,0.111,0.278,0.291
"P56","Mala",0.166,0.127,0.059,0.133,0.143,0.248,0.158
"P56","Muy mala",0.54,0.738,0.065,0.089,0.683,0.408,0.293
"P56","No sabe",0.001,0.002,0,0.004,0.009,0,0.094
"P57","Muy buena",0.291,0.67,0.068,0.041,0.19,0.061,0.044
"P57","Buena",0.221,0.182,0.054,0.045,0.244,0,0.095
"P57","Ni buena ni mala",0.199,0.035,0.114,0.095,0.255,0.097,0.161
"P57","Mala",0.093,0.023,0.162,0.06,0.099,0.09,0.159
"P57","Muy mala",0.194,0.089,0.582,0.754,0.206,0.752,0.469
"P57","No sabe",0.002,0.001,0.02,0.005,0.006,0,0.072
"P58","Muy buena",0.147,0.112,0.04,0.033,0.67,0.019,0.025
"P58","Buena",0.207,0.242,0.024,0.018,0.203,0.007,0.027
"P58","Ni buena ni mala",0.275,0.375,0.113,0.043,0.075,0.129,0.198
"P58","Mala",0.191,0.149,0.157,0.068,0.009,0.048,0.237
"P58","Muy mala",0.17,0.11,0.636,0.819,0.042,0.797,0.412
"P58","No sabe",0.01,0.012,0.03,0.019,0.001,0,0.101
"P59","Muy buena",0.019,0.021,0.197,0.506,0.126,0.069,0.085
"P59","Buena",0.076,0.035,0.299,0.259,0.048,0.18,0.068
"P59","Ni buena ni mala",0.198,0.125,0.248,0.097,0.15,0.189,0.239
"P59","Mala",0.232,0.144,0.083,0.009,0.148,0.089,0.154
"P59","Muy mala",0.419,0.639,0.116,0.117,0.446,0.425,0.293
"P59","No sabe",0.056,0.036,0.057,0.012,0.082,0.048,0.161
"P60","Muy buena",0.01,0.008,0.255,0.273,0.028,0.033,0.077
"P60","Buena",0.026,0.013,0.34,0.4,0.022,0.088,0.156
"P60","Ni buena ni mala",0.121,0.065,0.287,0.265,0.127,0.286,0.225
"P60","Mala",0.262,0.159,0.049,0.031,0.169,0.236,0.197
"P60","Muy mala",0.571,0.745,0.036,0.029,0.64,0.357,0.275
"P60","No sabe",0.01,0.01,0.033,0.002,0.014,0,0.07
"P61","Muy buena",0.285,0.277,0.101,0.047,0.063,0.083,0.046
"P61","Buena",0.263,0.325,0.057,0.061,0.147,0.008,0.11
"P61","Ni buena ni mala",0.198,0.216,0.091,0.07,0.283,0.088,0.163
"P61","Mala",0.091,0.083,0.199,0.082,0.166,0.157,0.173
"P61","Muy mala",0.155,0.098,0.537,0.734,0.332,0.659,0.44
"P61","No sabe",0.008,0.001,0.015,0.006,0.009,0.005,0.068
"P62","Muy buena",0.238,0.113,0.077,0.029,0.085,0.066,0.078
"P62","Buena",0.215,0.236,0.104,0.079,0.129,0.035,0.136
"P62","Ni buena ni mala",0.35,0.34,0.336,0.339,0.353,0.317,0.305
"P62","Mala",0.096,0.136,0.219,0.229,0.129,0.198,0.137
"P62","Muy mala",0.063,0.141,0.201,0.297,0.242,0.356,0.2
"P62","No sabe",0.038,0.034,0.063,0.027,0.062,0.028,0.144
"P63","Siempre",0.316,0.318,0.349,0.324,0.246,0.207,0.244
"P63","Casi siempre",0.379,0.437,0.382,0.365,0.354,0.365,0.366
"P63","Casi nunca",0.235,0.178,0.203,0.207,0.249,0.38,0.221
"P63","Nunca, pero esta es una excepción",0.07,0.067,0.066,0.104,0.151,0.048,0.169
"P64","Si",0.615,0.664,0.677,0.626,0.579,0.513,0.537
"P64","No",0.385,0.336,0.323,0.374,0.421,0.487,0.463
