"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Patricia Bullrich por Juntos por el Cambio","Facundo Manes por Juntos por el Cambio","Sergio Massa por el Frente de Todos","Wado de Pedro por el Frente de Todos","Daniel Scioli por el Frente de Todos","Javier Milei por los liberales libertario","Al candidato del Frente de Izquierda","No sabe"
"P22","Wado de Pedro por el Frente de Todos",0.002,0.011,0.026,0.032,0.661,0.212,0.009,0.003,0.023
"P22","Daniel Scioli por el Frente de Todos",0.014,0.004,0.005,0.075,0.061,0.441,0.051,0.008,0.017
"P22","Javier Milei por los liberales libertarios",0.045,0.026,0.059,0.009,0.01,0.013,0.643,0.865,0.025
"P22","Al candidato del Frente de Izquierda",0.015,0.003,0.012,0.011,0.023,0.014,0.003,0.044,0.111
"P22","No sabe",0.056,0.029,0.017,0.098,0.048,0.092,0.032,0.012,0.511
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.62,0.027,0.026,0.006,0.002,0.008,0.11,0.012,0.032
"P23","Patricia Bullrich por Juntos por el Cambio",0.049,0.826,0.564,0.007,0.01,0.008,0.066,0.022,0.031
"P23","María Eugenia Vidal por Juntos por el Cambio",0.117,0.091,0.1,0.026,0.008,0.044,0.03,0.007,0.043
"P23","Facundo Manes por Juntos por el Cambio",0.09,0.007,0.192,0.061,0.009,0.02,0.023,0.011,0.03
"P23","Sergio Massa por el Frente de Todos",0.013,0.003,0.021,0.672,0.131,0.07,0.017,0.006,0.043
"P23","Wado de Pedro por el Frente de Todos",0,0.007,0.014,0.031,0.718,0.214,0.009,0.005,0.017
"P23","Daniel Scioli por el Frente de Todos",0.009,0.002,0.003,0.088,0.051,0.55,0.053,0.007,0.022
"P23","Javier Milei por los liberales libertarios",0.04,0.016,0.055,0.006,0.009,0.023,0.655,0.876,0.029
"P23","Al candidato del Frente de Izquierda",0.015,0.001,0.003,0.014,0.02,0.013,0.005,0.043,0.106
"P23","No sabe",0.047,0.02,0.022,0.089,0.042,0.05,0.032,0.011,0.647
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.655,0.018,0.026,0.009,0.003,0.007,0.129,0.005,0.031
"P24","Patricia Bullrich por Juntos por el Cambio",0.04,0.843,0.588,0.006,0.003,0.002,0.046,0.011,0.033
"P24","María Eugenia Vidal por Juntos por el Cambio",0.099,0.089,0.114,0.009,0.017,0.019,0.025,0.002,0.045
"P24","Facundo Manes por Juntos por el Cambio",0.108,0.003,0.203,0.063,0.006,0.015,0.008,0.002,0.018
"P24","Sergio Massa por el Frente de Todos",0.005,0.001,0.005,0.683,0.128,0.124,0.004,0.009,0.023
"P24","Wado de Pedro por el Frente de Todos",0.005,0.002,0.002,0.03,0.744,0.315,0.006,0.001,0.015
"P24","Alberto Fernández por el Frente de Todos",0.027,0.007,0.014,0.138,0.059,0.376,0.084,0.014,0.156
"P24","Javier Milei por los liberales libertarios",0.021,0.019,0.03,0.001,0.012,0.009,0.669,0.901,0.024
"P24","Al candidato del Frente de Izquierda",0.001,0.001,0.001,0.004,0.003,0.01,0.004,0.047,0.114
"P24","No sabe",0.039,0.017,0.017,0.057,0.025,0.123,0.025,0.008,0.541
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.708,0.089,0.105,0.022,0.004,0.008,0.094,0.01,0.019
"P26","Patricia Bulrich por Juntos por el Cambio",0.087,0.835,0.511,0.091,0.022,0.011,0.033,0.026,0.029
"P26","Alberto Fernández por el Frente de Todos",0.033,0.011,0.088,0.165,0.17,0.358,0.036,0.013,0.178
"P26","Sergio Massa por el Frente de Todos",0.004,0.003,0.023,0.625,0.466,0.311,0.011,0.025,0.034
"P26","Javier Milei por los liberales libertarios",0.033,0.042,0.166,0.017,0.097,0.027,0.639,0.814,0.033
"P26","Al candidato del Frente de Izquierda",0.075,0.004,0.023,0.021,0.068,0.172,0.014,0.074,0.118
"P26","No sabe",0.06,0.016,0.084,0.059,0.173,0.113,0.173,0.038,0.589
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.778,0.054,0.118,0.022,0.01,0.018,0.095,0.009,0.036
"P27","Patricia Bullrich por Juntos por el Cambio",0.084,0.861,0.586,0.041,0.015,0.017,0.048,0.02,0.034
"P27","Wado de Pedro por el Frente de Todos",0.007,0.003,0.018,0.069,0.686,0.35,0.023,0.005,0.049
"P27","Sergio Massa por el Frente de Todos",0.012,0.009,0.038,0.772,0.174,0.341,0.02,0.024,0.067
"P27","Javier Milei por los liberales libertarios",0.044,0.046,0.124,0.018,0.053,0.037,0.722,0.851,0.032
"P27","Al candidato del Frente de Izquierda",0.024,0.006,0.021,0.016,0.019,0.097,0.01,0.076,0.127
"P27","No sabe",0.051,0.021,0.095,0.062,0.043,0.14,0.082,0.015,0.655
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.747,0.049,0.106,0.055,0.014,0.027,0.097,0.014,0.043
"P28","Patricia Bullrich por Juntos por el Cambio",0.116,0.866,0.615,0.026,0.01,0.021,0.047,0.015,0.033
"P28","Wado de Pedro por el Frente de Todos",0.006,0.006,0.022,0.241,0.752,0.174,0.004,0.011,0.052
"P28","Daniel Scioli por el Frente de Todos",0.017,0.005,0.018,0.411,0.111,0.599,0.04,0.019,0.082
"P28","Javier Milei por los liberales libertarios",0.026,0.037,0.106,0.038,0.059,0.029,0.757,0.864,0.037
"P28","Al candidato del Frente de Izquierda",0.016,0.008,0.024,0.017,0.019,0.059,0.012,0.071,0.143
"P28","No sabe",0.072,0.029,0.109,0.212,0.035,0.091,0.043,0.006,0.61
"P29","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.694,0.116,0.37,0.042,0.024,0.013,0.104,0.01,0.065
"P29","Patricia Bullrich presidenta – Gustavo Valdes vice por Juntos por el Cambio",0.115,0.767,0.353,0.014,0.01,0.02,0.07,0.016,0.028
"P29","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.039,0.011,0.025,0.612,0.148,0.298,0.02,0.016,0.096
"P29","Wado de Pedro presidente – Jorge Capitanich vice por el Frente de Todos",0.01,0.014,0.021,0.17,0.682,0.424,0.032,0.017,0.049
"P29","Javier Milei presidente y su candidato a vice",0.035,0.045,0.109,0.029,0.04,0.037,0.729,0.867,0.042
"P29","A los candidatos de la izquierda",0.013,0.003,0.009,0.022,0.023,0.044,0.007,0.062,0.121
"P29","No sabe",0.094,0.044,0.113,0.111,0.073,0.164,0.038,0.012,0.599
"P30","Alberto Fernández por el Frente de Todos",0.067,0.028,0.054,0.572,0.61,0.647,0.04,0.017,0.223
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.76,0.475,0.435,0.069,0.039,0.027,0.122,0.007,0.067
"P30","Javier Milei por los liberales libertarios",0.043,0.244,0.212,0.058,0.04,0.051,0.787,0.825,0.049
"P30","Al candidato del Frente de Izquierda",0.045,0.018,0.037,0.039,0.094,0.063,0.011,0.081,0.141
"P30","No sabe",0.085,0.235,0.262,0.262,0.217,0.212,0.04,0.07,0.52
"P31","Sergio Massa por el Frente de Todos",0.042,0.014,0.036,0.777,0.655,0.646,0.037,0.014,0.116
"P31","Horacio Rodríguez Larreta por Juntos por el Cambio",0.823,0.513,0.457,0.051,0.025,0.026,0.119,0.003,0.071
"P31","Javier Milei por los liberales libertarios",0.046,0.269,0.232,0.037,0.037,0.04,0.802,0.872,0.048
"P31","Al candidato del Frente de Izquierda",0.028,0.018,0.034,0.042,0.096,0.059,0.008,0.078,0.153
"P31","No sabe",0.061,0.186,0.241,0.093,0.187,0.229,0.034,0.033,0.612
"P32","Wado de Pedro por el Frente de Todos",0.02,0.01,0.036,0.54,0.874,0.646,0.025,0.033,0.088
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.852,0.535,0.454,0.066,0.015,0.029,0.131,0.021,0.082
"P32","Javier Milei por los liberales libertarios",0.036,0.266,0.243,0.063,0.025,0.063,0.793,0.842,0.05
"P32","Al candidato del Frente de Izquierda",0.019,0.016,0.036,0.044,0.021,0.038,0.005,0.071,0.138
"P32","No sabe",0.073,0.173,0.231,0.287,0.065,0.224,0.046,0.033,0.642
"P33","Daniel Scioli por el Frente de Todos",0.037,0.012,0.042,0.617,0.692,0.755,0.044,0.028,0.098
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.843,0.565,0.47,0.069,0.022,0.026,0.116,0.006,0.081
"P33","Javier Milei por los liberales libertarios",0.034,0.249,0.239,0.047,0.027,0.054,0.801,0.864,0.028
"P33","Al candidato del Frente de Izquierda",0.024,0.017,0.03,0.027,0.088,0.041,0.005,0.071,0.136
"P33","No sabe",0.062,0.157,0.219,0.24,0.171,0.124,0.034,0.031,0.657
"P34","Sergio Massa por el Frente de Todos",0.08,0.005,0.048,0.807,0.673,0.655,0.046,0.02,0.103
"P34","Patricia Bullrich por Juntos por el Cambio",0.641,0.896,0.685,0.035,0.022,0.034,0.118,0.051,0.075
"P34","Javier Milei por los liberales libertarios",0.084,0.06,0.092,0.029,0.034,0.039,0.764,0.837,0.037
"P34","Al candidato del Frente de Izquierda",0.049,0.008,0.027,0.014,0.114,0.066,0.009,0.074,0.133
"P34","No sabe",0.146,0.031,0.148,0.115,0.157,0.206,0.063,0.018,0.652
"P35","Alberto Fernández por el Frente de Todos",0.064,0.017,0.024,0.709,0.646,0.679,0.048,0.029,0.203
"P35","Patricia Bullrich por Juntos por el Cambio",0.604,0.915,0.713,0.029,0.012,0.025,0.108,0.036,0.07
"P35","Javier Milei por los liberales libertarios",0.134,0.047,0.071,0.059,0.042,0.034,0.769,0.843,0.04
"P35","Al candidato del Frente de Izquierda",0.068,0.004,0.029,0.035,0.126,0.078,0.01,0.075,0.146
"P35","No sabe",0.13,0.017,0.163,0.168,0.174,0.184,0.065,0.017,0.541
"P36","Wado de Pedro por el Frente de Todos",0.035,0.016,0.02,0.564,0.874,0.653,0.038,0.012,0.091
"P36","Patricia Bullrich por Juntos por el Cambio",0.604,0.912,0.722,0.029,0.006,0.03,0.113,0.042,0.074
"P36","Javier Milei por los liberales libertarios",0.113,0.054,0.056,0.075,0.041,0.061,0.769,0.841,0.031
"P36","Al candidato del Frente de Izquierda",0.09,0.007,0.053,0.042,0.022,0.046,0.007,0.076,0.108
"P36","No sabe",0.158,0.011,0.149,0.29,0.057,0.21,0.073,0.029,0.696
"P37","Daniel Scioli por el Frente de Todos",0.063,0.01,0.034,0.652,0.73,0.774,0.04,0.015,0.11
"P37","Patricia Bullrich por Juntos por el Cambio",0.629,0.921,0.735,0.036,0.011,0.039,0.112,0.039,0.073
"P37","Javier Milei por los liberales libertarios",0.099,0.052,0.058,0.064,0.042,0.044,0.777,0.845,0.036
"P37","Al candidato del Frente de Izquierda",0.062,0.007,0.036,0.029,0.087,0.032,0.01,0.086,0.122
"P37","No sabe",0.147,0.01,0.137,0.219,0.13,0.111,0.061,0.015,0.659
"P38","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.731,0.416,0.381,0.105,0.084,0.128,0.089,0.028,0.145
"P38","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.107,0.15,0.161,0.716,0.539,0.535,0.073,0.009,0.079
"P38","Javier Milei presidente y su candidato a vice",0.038,0.22,0.231,0.036,0.036,0.071,0.789,0.863,0.047
"P38","A los candidatos de la izquierda",0.047,0.017,0.017,0.02,0.13,0.043,0.007,0.085,0.132
"P38","No sabe",0.077,0.197,0.21,0.123,0.211,0.223,0.042,0.015,0.597
"P39","Patricia Bullrich presidenta – Gustavo Valdés vice por Juntos por el Cambio",0.629,0.831,0.58,0.028,0.036,0.062,0.099,0.031,0.086
"P39","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.089,0.035,0.083,0.774,0.604,0.602,0.056,0.02,0.063
"P39","Javier Milei presidente y su candidato a vice",0.072,0.073,0.141,0.032,0.023,0.057,0.763,0.864,0.033
"P39","A los candidatos de la izquierda",0.053,0.003,0.028,0.02,0.136,0.049,0.015,0.072,0.136
"P39","No sabe",0.157,0.058,0.168,0.146,0.201,0.23,0.067,0.013,0.682
"P40","Sergio Massa por el Frente de Todos",0.061,0.041,0.071,0.871,0.818,0.755,0.08,0.046,0.17
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.82,0.706,0.65,0.039,0.019,0.05,0.318,0.272,0.157
"P40","No sabe",0.119,0.253,0.279,0.09,0.163,0.195,0.602,0.682,0.673
"P41","Alberto Fernández por el Frente de Todos",0.092,0.028,0.045,0.738,0.798,0.696,0.081,0.057,0.256
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.826,0.747,0.673,0.061,0.021,0.065,0.388,0.285,0.194
"P41","No sabe",0.082,0.225,0.282,0.201,0.181,0.239,0.531,0.658,0.55
"P42","Sergio Massa por el Frente de Todos",0.082,0.005,0.053,0.871,0.824,0.771,0.073,0.073,0.176
"P42","Patricia Bullrich por Juntos por el Cambio",0.731,0.956,0.783,0.034,0.036,0.035,0.557,0.497,0.133
"P42","No sabe",0.187,0.039,0.164,0.095,0.14,0.194,0.37,0.43,0.691
"P43","Alberto Fernández por el Frente de Todos",0.082,0.012,0.041,0.747,0.809,0.778,0.072,0.057,0.268
"P43","Patricia Bullrich por Juntos por el Cambio",0.705,0.965,0.795,0.043,0.03,0.013,0.572,0.544,0.126
"P43","No sabe",0.213,0.023,0.164,0.21,0.161,0.209,0.356,0.399,0.606
"P44","Wado de Pedro por el Frente de Todos",0.03,0.019,0.045,0.625,0.923,0.736,0.051,0.062,0.145
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.844,0.766,0.732,0.073,0.023,0.067,0.397,0.341,0.187
"P44","No sabe",0.126,0.215,0.223,0.302,0.054,0.197,0.552,0.597,0.668
"P45","Daniel Scioli por el Frente de Todos",0.042,0.022,0.059,0.719,0.805,0.85,0.098,0.068,0.178
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.84,0.765,0.713,0.05,0.027,0.04,0.373,0.297,0.179
"P45","No sabe",0.118,0.213,0.228,0.231,0.168,0.11,0.529,0.635,0.643
"P46","Wado de Pedro por el Frente de Todos",0.073,0.009,0.059,0.644,0.924,0.772,0.057,0.051,0.137
"P46","Patricia Bullrich por Juntos por el Cambio",0.709,0.956,0.755,0.037,0.028,0.022,0.574,0.508,0.18
"P46","No sabe",0.218,0.035,0.186,0.319,0.048,0.206,0.369,0.441,0.683
"P47","Daniel Scioli por el Frente de Todos",0.066,0.002,0.051,0.732,0.835,0.856,0.083,0.052,0.159
"P47","Patricia Bullrich por Juntos por el Cambio",0.716,0.972,0.784,0.038,0.028,0.02,0.59,0.553,0.167
"P47","No sabe",0.218,0.026,0.165,0.23,0.137,0.124,0.327,0.395,0.674
"P48","Horacio Rodríguez Larreta por Juntos por el Cambio",0.746,0.491,0.479,0.257,0.219,0.17,0.136,0.024,0.164
"P48","Javier Milei por los liberales libertarios",0.125,0.368,0.355,0.079,0.039,0.091,0.733,0.759,0.093
"P48","No sabe",0.129,0.141,0.166,0.664,0.742,0.739,0.131,0.217,0.743
"P49","Patricia Bullrich por Juntos por el Cambio",0.673,0.868,0.667,0.098,0.067,0.077,0.122,0.019,0.169
"P49","Javier Milei por los liberales libertarios",0.116,0.105,0.149,0.076,0.068,0.081,0.755,0.804,0.044
"P49","No sabe",0.211,0.027,0.184,0.826,0.865,0.842,0.123,0.177,0.787
"P50","Alberto Fernández por el Frente de Todos",0.13,0.125,0.157,0.654,0.716,0.699,0.067,0.069,0.338
"P50","Javier Milei por los liberales libertarios",0.38,0.497,0.445,0.058,0.044,0.067,0.818,0.813,0.082
"P50","No sabe",0.49,0.378,0.398,0.288,0.24,0.234,0.115,0.118,0.58
"P51","Sergio Massa por el Frente de Todos",0.129,0.027,0.072,0.849,0.823,0.784,0.049,0.056,0.229
"P51","Javier Milei por los liberales libertarios",0.423,0.595,0.52,0.047,0.027,0.049,0.849,0.808,0.081
"P51","No sabe",0.448,0.378,0.408,0.104,0.15,0.167,0.102,0.136,0.69
"P52","Muy buena",0.045,0.013,0.007,0.189,0.144,0.245,0.022,0.018,0.095
"P52","Buena",0.049,0.069,0.123,0.321,0.247,0.254,0.11,0.114,0.099
"P52","Ni buena ni mala",0.102,0.044,0.109,0.316,0.365,0.276,0.092,0.089,0.209
"P52","Mala",0.157,0.07,0.112,0.115,0.18,0.148,0.048,0.047,0.171
"P52","Muy mala",0.647,0.793,0.645,0.058,0.064,0.075,0.721,0.73,0.361
"P52","No sabe",0,0.011,0.004,0.001,0,0.002,0.007,0.002,0.065
"P53","Muy buena",0.037,0.015,0.026,0.458,0.738,0.666,0.055,0.032,0.183
"P53","Buena",0.02,0.02,0.011,0.224,0.126,0.139,0.047,0.022,0.085
"P53","Ni buena ni mala",0.029,0.011,0.018,0.148,0.079,0.102,0.043,0.075,0.15
"P53","Mala",0.087,0.044,0.102,0.091,0.032,0.049,0.043,0.039,0.09
"P53","Muy mala",0.827,0.907,0.839,0.064,0.025,0.044,0.802,0.83,0.441
"P53","No sabe",0,0.003,0.004,0.015,0,0,0.01,0.002,0.051
"P54","Muy buena",0.217,0.427,0.298,0.079,0.085,0.11,0.064,0.074,0.06
"P54","Buena",0.296,0.291,0.226,0.032,0.015,0.014,0.164,0.141,0.025
"P54","Ni buena ni mala",0.19,0.131,0.134,0.093,0.012,0.053,0.315,0.294,0.173
"P54","Mala",0.071,0.052,0.135,0.2,0.079,0.171,0.161,0.148,0.216
"P54","Muy mala",0.204,0.097,0.206,0.586,0.807,0.65,0.289,0.34,0.486
"P54","No sabe",0.022,0.002,0.001,0.01,0.002,0.002,0.007,0.003,0.04
"P55","Muy buena",0.419,0.183,0.228,0.031,0.016,0.042,0.045,0.038,0.072
"P55","Buena",0.351,0.384,0.332,0.049,0.008,0.022,0.139,0.073,0.086
"P55","Ni buena ni mala",0.153,0.256,0.248,0.159,0.046,0.146,0.286,0.26,0.262
"P55","Mala",0.059,0.088,0.107,0.282,0.181,0.22,0.181,0.224,0.094
"P55","Muy mala",0.018,0.087,0.075,0.452,0.748,0.562,0.34,0.398,0.4
"P55","No sabe",0,0.002,0.01,0.027,0.001,0.008,0.009,0.007,0.086
"P56","Muy buena",0.065,0.022,0.04,0.325,0.079,0.133,0.018,0.035,0.03
"P56","Buena",0.096,0.046,0.112,0.36,0.317,0.346,0.059,0.021,0.081
"P56","Ni buena ni mala",0.175,0.081,0.124,0.18,0.342,0.345,0.097,0.135,0.246
"P56","Mala",0.176,0.12,0.164,0.058,0.158,0.07,0.152,0.153,0.178
"P56","Muy mala",0.488,0.729,0.557,0.067,0.102,0.092,0.656,0.656,0.368
"P56","No sabe",0,0.002,0.003,0.01,0.002,0.014,0.018,0,0.097
"P57","Muy buena",0.194,0.673,0.406,0.071,0.021,0.052,0.148,0.184,0.05
"P57","Buena",0.293,0.197,0.13,0.058,0.046,0.04,0.258,0.176,0.052
"P57","Ni buena ni mala",0.278,0.032,0.128,0.104,0.077,0.142,0.253,0.239,0.147
