"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Patricia Bulrich por Juntos por el Cambio","Alberto Fernández por el Frente de Todos","Sergio Massa por el Frente de Todos","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P19","Puede que la vote",0.336,0.382,0.1,0.046,0.221,0.09,0.11
"P19","Nunca la votaría",0.329,0.34,0.712,0.854,0.59,0.766,0.634
"P19","No sabe",0.081,0.072,0.136,0.063,0.064,0.053,0.172
"P20","Lo votaría",0.046,0.039,0.167,0.314,0.033,0.271,0.13
"P20","Puede que lo vote",0.109,0.082,0.208,0.305,0.074,0.25,0.157
"P20","Nunca lo votaría",0.73,0.83,0.45,0.284,0.792,0.407,0.481
"P20","No sabe",0.115,0.049,0.175,0.097,0.101,0.072,0.232
"P21","Lo votaría",0.034,0.022,0.271,0.285,0.027,0.114,0.094
"P21","Puede que lo vote",0.048,0.044,0.313,0.431,0.062,0.296,0.214
"P21","Nunca lo votaría",0.863,0.907,0.281,0.201,0.871,0.482,0.518
"P21","No sabe",0.055,0.027,0.135,0.083,0.04,0.108,0.174
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.623,0.03,0.018,0.005,0.006,0.045,0.063
"P22","Patricia Bullrich por Juntos por el Cambio",0.159,0.833,0.024,0.008,0.083,0.034,0.034
"P22","Facundo Manes por Juntos por el Cambio",0.091,0.028,0.035,0.029,0.029,0.073,0.063
"P22","Alberto Fernández por el Frente de Todos",0.03,0.008,0.435,0.054,0.011,0.019,0.034
"P22","Sergio Massa por el Frente de Todos",0.015,0.03,0.058,0.318,0.033,0.017,0.035
"P22","Wado de Pedro por el Frente de Todos",0.011,0.009,0.169,0.317,0.018,0.297,0.172
"P22","Daniel Scioli por el Frente de Todos",0.011,0.003,0.161,0.176,0.017,0.099,0.094
"P22","Javier Milei por los liberales libertarios",0.014,0.029,0.014,0.023,0.78,0.093,0.118
"P22","Al candidato del Frente de Izquierda",0.002,0.004,0.015,0.008,0.002,0.289,0.02
"P22","No sabe",0.044,0.026,0.071,0.062,0.021,0.034,0.367
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.566,0.026,0.022,0.004,0.007,0.042,0.041
"P23","Patricia Bullrich por Juntos por el Cambio",0.133,0.8,0.023,0.006,0.072,0.015,0.051
"P23","María Eugenia Vidal por Juntos por el Cambio",0.156,0.067,0.071,0.011,0.029,0.037,0.035
"P23","Facundo Manes por Juntos por el Cambio",0.059,0.02,0.062,0.029,0.028,0.056,0.064
"P23","Sergio Massa por el Frente de Todos",0.018,0.029,0.17,0.369,0.032,0.014,0.037
"P23","Wado de Pedro por el Frente de Todos",0.015,0.006,0.188,0.334,0.022,0.3,0.165
"P23","Daniel Scioli por el Frente de Todos",0.005,0.007,0.246,0.17,0.011,0.118,0.097
"P23","Javier Milei por los liberales libertarios",0.014,0.025,0.042,0.027,0.781,0.077,0.12
"P23","Al candidato del Frente de Izquierda",0.003,0.001,0.019,0.008,0.003,0.307,0.006
"P23","No sabe",0.031,0.019,0.157,0.042,0.015,0.034,0.384
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.586,0.024,0.012,0.004,0.01,0.068,0.05
"P24","Patricia Bullrich por Juntos por el Cambio",0.123,0.816,0.02,0.003,0.073,0.014,0.042
"P24","María Eugenia Vidal por Juntos por el Cambio",0.139,0.069,0.028,0.01,0.026,0.025,0.048
"P24","Facundo Manes por Juntos por el Cambio",0.069,0.017,0.027,0.032,0.019,0.082,0.063
"P24","Sergio Massa por el Frente de Todos",0.015,0.025,0.078,0.432,0.03,0.037,0.035
"P24","Wado de Pedro por el Frente de Todos",0.004,0.004,0.195,0.377,0.022,0.325,0.183
"P24","Alberto Fernández por el Frente de Todos",0.012,0.009,0.564,0.071,0.007,0.06,0.073
"P24","Javier Milei por los liberales libertarios",0.015,0.022,0.02,0.019,0.797,0.067,0.117
"P24","Al candidato del Frente de Izquierda",0.003,0.001,0.01,0.003,0.006,0.272,0.008
"P24","No sabe",0.034,0.013,0.046,0.049,0.01,0.05,0.381
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.562,0.028,0.027,0.002,0.012,0.11,0.039
"P25","Patricia Bullrich por Juntos por el Cambio",0.185,0.72,0.024,0.004,0.039,0.017,0.026
"P25","Facundo Manes por Juntos por el Cambio",0.08,0.163,0.07,0.012,0.058,0.033,0.053
"P25","Sergio Massa por el Frente de Todos",0.02,0.034,0.153,0.382,0.007,0.035,0.043
"P25","Wado de Pedro por el Frente de Todos",0.004,0.011,0.204,0.37,0.051,0.149,0.166
"P25","Daniel Scioli por el Frente de Todos",0.007,0.004,0.316,0.182,0.01,0.277,0.08
"P25","Javier Milei por los liberales libertario",0.115,0.017,0.045,0.009,0.355,0.032,0.174
