"var","categoria","Patricia Bullrich por Juntos por el Cambio","Javier Milei por los liberales libertarios","No sabe"
"P12","A Facundo Manes",0.028,0.131,0.229
"P12","A Gerardo Morales",0.049,0.023,0.165
"P13","Lo votaría",0.052,0.059,0.251
"P13","Puede que lo vote",0.113,0.114,0.341
"P13","Nunca lo votaría",0.798,0.769,0.237
"P13","No sabe",0.037,0.058,0.171
"P14","Lo votaría",0.031,0.032,0.186
"P14","Puede que lo vote",0.045,0.075,0.32
"P14","Nunca lo votaría",0.91,0.876,0.359
"P14","No sabe",0.014,0.017,0.135
"P15","Lo votaría",0.239,0.059,0.033
"P15","Puede que lo vote",0.398,0.207,0.118
"P15","Nunca lo votaría",0.321,0.676,0.784
"P15","No sabe",0.042,0.058,0.065
"P16","Lo votaría",0.116,0.073,0.045
"P16","Puede que lo vote",0.351,0.188,0.131
"P16","Nunca lo votaría",0.45,0.632,0.674
"P16","No sabe",0.083,0.107,0.15
"P17","La votaría",0.645,0.219,0.033
"P17","Puede que la vote",0.206,0.351,0.045
"P17","Nunca la votaría",0.117,0.383,0.847
"P17","No sabe",0.032,0.047,0.075
"P18","Lo votaría",0.174,0.697,0.046
"P18","Puede que lo vote",0.291,0.184,0.039
"P18","Nunca lo votaría",0.482,0.1,0.86
"P18","No sabe",0.053,0.019,0.055
"P19","La votaría",0.225,0.168,0.029
"P19","Puede que la vote",0.373,0.246,0.07
"P19","Nunca la votaría",0.337,0.538,0.821
"P19","No sabe",0.065,0.048,0.08
"P20","Lo votaría",0.052,0.045,0.263
"P20","Puede que lo vote",0.084,0.099,0.282
"P20","Nunca lo votaría",0.815,0.777,0.34
"P20","No sabe",0.049,0.079,0.115
"P21","Lo votaría",0.035,0.056,0.234
"P21","Puede que lo vote",0.043,0.063,0.379
"P21","Nunca lo votaría",0.903,0.855,0.291
"P21","No sabe",0.019,0.026,0.096
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.138,0.037,0.038
"P22","Patricia Bullrich por Juntos por el Cambio",0.666,0.109,0.028
"P22","Facundo Manes por Juntos por el Cambio",0.056,0.034,0.042
"P22","Alberto Fernández por el Frente de Todos",0.019,0.021,0.1
"P22","Sergio Massa por el Frente de Todos",0.021,0.021,0.154
"P22","Wado de Pedro por el Frente de Todos",0.022,0.033,0.277
"P22","Daniel Scioli por el Frente de Todos",0.011,0.018,0.161
"P22","Javier Milei por los liberales libertarios",0.028,0.706,0.038
"P22","Al candidato del Frente de Izquierda",0.005,0.002,0.044
"P22","No sabe",0.034,0.019,0.118
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.123,0.031,0.035
"P23","Patricia Bullrich por Juntos por el Cambio",0.626,0.109,0.026
"P23","María Eugenia Vidal por Juntos por el Cambio",0.089,0.031,0.018
"P23","Facundo Manes por Juntos por el Cambio",0.05,0.028,0.049
"P23","Sergio Massa por el Frente de Todos",0.02,0.026,0.208
"P23","Wado de Pedro por el Frente de Todos",0.026,0.029,0.299
"P23","Daniel Scioli por el Frente de Todos",0.012,0.018,0.168
"P23","Javier Milei por los liberales libertarios",0.025,0.7,0.042
"P23","Al candidato del Frente de Izquierda",0.002,0.012,0.04
"P23","No sabe",0.027,0.016,0.115
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.126,0.03,0.03
"P24","Patricia Bullrich por Juntos por el Cambio",0.638,0.104,0.03
"P24","María Eugenia Vidal por Juntos por el Cambio",0.091,0.032,0.016
"P24","Facundo Manes por Juntos por el Cambio",0.044,0.025,0.055
"P24","Sergio Massa por el Frente de Todos",0.016,0.036,0.208
"P24","Wado de Pedro por el Frente de Todos",0.021,0.021,0.335
"P24","Alberto Fernández por el Frente de Todos",0.022,0.025,0.137
"P24","Javier Milei por los liberales libertarios",0.022,0.712,0.042
"P24","Al candidato del Frente de Izquierda",0.001,0.005,0.039
"P24","No sabe",0.019,0.01,0.108
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.132,0.031,0.039
"P25","Patricia Bullrich por Juntos por el Cambio",0.564,0.093,0.016
"P25","Facundo Manes por Juntos por el Cambio",0.158,0.048,0.041
"P25","Sergio Massa por el Frente de Todos",0.024,0.026,0.194
"P25","Wado de Pedro por el Frente de Todos",0.025,0.035,0.302
"P25","Daniel Scioli por el Frente de Todos",0.019,0.028,0.202
"P25","Javier Milei por los liberales libertario",0.047,0.396,0.045
"P25","Al candidato del Frente de Izquierda",0.006,0.334,0.051
"P25","No sabe",0.025,0.009,0.11
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.195,0.039,0.036
"P26","Patricia Bulrich por Juntos por el Cambio",0.65,0.103,0.039
"P26","Alberto Fernández por el Frente de Todos",0.021,0.027,0.176
"P26","Sergio Massa por el Frente de Todos",0.032,0.05,0.384
"P26","Javier Milei por los liberales libertarios",0.04,0.69,0.058
"P26","Al candidato del Frente de Izquierda",0.024,0.016,0.113
"P26","No sabe",0.038,0.075,0.194
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.173,0.037,0.049
"P27","Patricia Bullrich por Juntos por el Cambio",0.689,0.108,0.028
"P27","Wado de Pedro por el Frente de Todos",0.026,0.027,0.343
"P27","Sergio Massa por el Frente de Todos",0.027,0.045,0.304
"P27","Javier Milei por los liberales libertarios",0.048,0.737,0.05
"P27","Al candidato del Frente de Izquierda",0.008,0.013,0.074
"P27","No sabe",0.029,0.033,0.152
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.18,0.041,0.046
"P28","Patricia Bullrich por Juntos por el Cambio",0.689,0.103,0.031
"P28","Wado de Pedro por el Frente de Todos",0.021,0.037,0.355
"P28","Daniel Scioli por el Frente de Todos",0.021,0.034,0.302
"P28","Javier Milei por los liberales libertarios",0.044,0.759,0.052
"P28","Al candidato del Frente de Izquierda",0.007,0.012,0.067
"P28","No sabe",0.038,0.014,0.147
"P29","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.252,0.081,0.05
"P29","Patricia Bullrich presidenta – Gustavo Valdes vice por Juntos por el Cambio",0.6,0.061,0.019
"P29","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.038,0.045,0.271
"P29","Wado de Pedro presidente – Jorge Capitanich vice por el Frente de Todos",0.022,0.04,0.393
"P29","Javier Milei presidente y su candidato a vice",0.038,0.751,0.049
"P29","A los candidatos de la izquierda",0.006,0.004,0.057
"P29","No sabe",0.044,0.018,0.161
"P30","Alberto Fernández por el Frente de Todos",0.066,0.05,0.523
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.534,0.07,0.057
"P30","Javier Milei por los liberales libertarios",0.178,0.84,0.05
"P30","Al candidato del Frente de Izquierda",0.019,0.007,0.106
"P30","No sabe",0.203,0.033,0.264
"P31","Sergio Massa por el Frente de Todos",0.047,0.065,0.56
"P31","Horacio Rodríguez Larreta por Juntos por el Cambio",0.575,0.056,0.056
"P31","Javier Milei por los liberales libertarios",0.197,0.841,0.048
"P31","Al candidato del Frente de Izquierda",0.02,0.015,0.102
"P31","No sabe",0.161,0.023,0.234
"P32","Wado de Pedro por el Frente de Todos",0.039,0.061,0.598
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.6,0.059,0.062
"P32","Javier Milei por los liberales libertarios",0.191,0.845,0.039
"P32","Al candidato del Frente de Izquierda",0.015,0.007,0.071
"P32","No sabe",0.155,0.028,0.23
"P33","Daniel Scioli por el Frente de Todos",0.052,0.065,0.575
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.619,0.065,0.054
"P33","Javier Milei por los liberales libertarios",0.179,0.828,0.045
"P33","Al candidato del Frente de Izquierda",0.011,0.013,0.095
"P33","No sabe",0.139,0.029,0.231
"P34","Sergio Massa por el Frente de Todos",0.042,0.076,0.573
"P34","Patricia Bullrich por Juntos por el Cambio",0.85,0.11,0.039
"P34","Javier Milei por los liberales libertarios",0.045,0.791,0.042
"P34","Al candidato del Frente de Izquierda",0.013,0.007,0.111
"P34","No sabe",0.05,0.016,0.235
"P35","Alberto Fernández por el Frente de Todos",0.045,0.062,0.552
"P35","Patricia Bullrich por Juntos por el Cambio",0.865,0.118,0.029
"P35","Javier Milei por los liberales libertarios",0.037,0.792,0.046
"P35","Al candidato del Frente de Izquierda",0.014,0.009,0.122
"P35","No sabe",0.039,0.019,0.251
"P36","Wado de Pedro por el Frente de Todos",0.042,0.044,0.581
"P36","Patricia Bullrich por Juntos por el Cambio",0.874,0.125,0.028
"P36","Javier Milei por los liberales libertarios",0.036,0.79,0.044
"P36","Al candidato del Frente de Izquierda",0.018,0.015,0.08
"P36","No sabe",0.03,0.026,0.267
"P37","Daniel Scioli por el Frente de Todos",0.039,0.052,0.598
"P37","Patricia Bullrich por Juntos por el Cambio",0.885,0.112,0.026
"P37","Javier Milei por los liberales libertarios",0.035,0.801,0.042
"P37","Al candidato del Frente de Izquierda",0.011,0.01,0.104
"P37","No sabe",0.03,0.025,0.23
"P38","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.502,0.054,0.11
"P38","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.157,0.081,0.479
"P38","Javier Milei presidente y su candidato a vice",0.172,0.81,0.054
"P38","A los candidatos de la izquierda",0.01,0.024,0.105
"P38","No sabe",0.159,0.031,0.252
"P39","Patricia Bullrich presidenta – Gustavo Valdés vice por Juntos por el Cambio",0.809,0.087,0.03
"P39","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.059,0.07,0.527
"P39","Javier Milei presidente y su candidato a vice",0.054,0.807,0.046
"P39","A los candidatos de la izquierda",0.011,0.011,0.115
"P39","No sabe",0.067,0.025,0.282
"P40","Sergio Massa por el Frente de Todos",0.07,0.115,0.643
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.741,0.306,0.071
"P40","No sabe",0.189,0.579,0.286
"P41","Alberto Fernández por el Frente de Todos",0.067,0.101,0.607
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.767,0.375,0.074
"P41","No sabe",0.166,0.524,0.319
"P42","Sergio Massa por el Frente de Todos",0.059,0.105,0.658
"P42","Patricia Bullrich por Juntos por el Cambio",0.903,0.583,0.039
"P42","No sabe",0.038,0.312,0.303
"P43","Alberto Fernández por el Frente de Todos",0.058,0.096,0.633
"P43","Patricia Bullrich por Juntos por el Cambio",0.908,0.612,0.036
"P43","No sabe",0.034,0.292,0.331
"P44","Wado de Pedro por el Frente de Todos",0.061,0.082,0.625
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.786,0.418,0.074
"P44","No sabe",0.153,0.5,0.301
"P45","Daniel Scioli por el Frente de Todos",0.065,0.118,0.634
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.778,0.376,0.068
"P45","No sabe",0.157,0.506,0.298
"P46","Wado de Pedro por el Frente de Todos",0.061,0.103,0.628
"P46","Patricia Bullrich por Juntos por el Cambio",0.898,0.584,0.042
"P46","No sabe",0.041,0.313,0.33
"P47","Daniel Scioli por el Frente de Todos",0.054,0.094,0.654
"P47","Patricia Bullrich por Juntos por el Cambio",0.918,0.613,0.034
"P47","No sabe",0.028,0.293,0.312
"P48","Horacio Rodríguez Larreta por Juntos por el Cambio",0.615,0.07,0.174
"P48","Javier Milei por los liberales libertarios",0.28,0.858,0.022
"P48","No sabe",0.105,0.072,0.804
"P50","Alberto Fernández por el Frente de Todos",0.19,0.059,0.575
"P50","Javier Milei por los liberales libertarios",0.428,0.916,0.027
"P50","No sabe",0.382,0.025,0.398
"P51","Sergio Massa por el Frente de Todos",0.084,0.071,0.664
"P51","Javier Milei por los liberales libertarios",0.522,0.897,0.032
"P51","No sabe",0.394,0.032,0.304
"P52","Muy buena",0.034,0.028,0.145
"P52","Buena",0.068,0.128,0.233
"P52","Ni buena ni mala",0.077,0.075,0.299
"P52","Mala",0.087,0.059,0.154
"P52","Muy mala",0.73,0.707,0.154
"P52","No sabe",0.004,0.003,0.015
"P53","Muy buena",0.032,0.058,0.524
"P53","Buena",0.015,0.051,0.133
"P53","Ni buena ni mala",0.016,0.044,0.116
"P53","Mala",0.057,0.052,0.06
"P53","Muy mala",0.875,0.792,0.155
"P53","No sabe",0.005,0.003,0.012
"P54","Muy buena",0.38,0.096,0.072
"P54","Buena",0.264,0.183,0.029
"P54","Ni buena ni mala",0.148,0.281,0.076
"P54","Mala",0.069,0.148,0.155
"P54","Muy mala",0.133,0.289,0.658
"P54","No sabe",0.006,0.003,0.01
"P55","Muy buena",0.24,0.065,0.03
"P55","Buena",0.366,0.135,0.041
"P55","Ni buena ni mala",0.245,0.266,0.132
"P55","Mala",0.078,0.183,0.213
"P55","Muy mala",0.067,0.344,0.563
"P55","No sabe",0.004,0.007,0.021
"P56","Muy buena",0.05,0.037,0.118
"P56","Buena",0.066,0.065,0.279
"P56","Ni buena ni mala",0.089,0.125,0.291
"P56","Mala",0.135,0.13,0.135
"P56","Muy mala",0.658,0.636,0.155
"P56","No sabe",0.002,0.007,0.022
"P57","Muy buena",0.55,0.193,0.039
"P57","Buena",0.21,0.231,0.038
"P57","Ni buena ni mala",0.098,0.221,0.12
"P57","Mala",0.034,0.111,0.118
"P57","Muy mala",0.107,0.24,0.659
"P57","No sabe",0.001,0.004,0.026
"P58","Muy buena",0.123,0.591,0.037
"P58","Buena",0.21,0.22,0.018
"P58","Ni buena ni mala",0.356,0.094,0.081
"P58","Mala",0.162,0.027,0.13
"P58","Muy mala",0.139,0.062,0.696
"P58","No sabe",0.01,0.006,0.038
"P59","Muy buena",0.03,0.131,0.29
"P59","Buena",0.037,0.085,0.225
"P59","Ni buena ni mala",0.148,0.165,0.173
"P59","Mala",0.174,0.139,0.07
"P59","Muy mala",0.572,0.394,0.185
"P59","No sabe",0.039,0.086,0.057
"P60","Muy buena",0.029,0.046,0.191
"P60","Buena",0.026,0.041,0.308
"P60","Ni buena ni mala",0.079,0.141,0.268
"P60","Mala",0.194,0.163,0.084
"P60","Muy mala",0.659,0.593,0.128
"P60","No sabe",0.013,0.016,0.021
"P61","Muy buena",0.292,0.09,0.043
"P61","Buena",0.299,0.153,0.066
"P61","Ni buena ni mala",0.205,0.257,0.106
"P61","Mala",0.088,0.151,0.146
"P61","Muy mala",0.112,0.34,0.617
"P61","No sabe",0.004,0.009,0.022
"P62","Muy buena",0.158,0.091,0.052
"P62","Buena",0.24,0.136,0.08
"P62","Ni buena ni mala",0.339,0.352,0.334
"P62","Mala",0.118,0.145,0.202
"P62","Muy mala",0.116,0.216,0.264
"P62","No sabe",0.029,0.06,0.068
"P63","Siempre",0.326,0.272,0.289
"P63","Casi siempre",0.421,0.348,0.373
"P63","Casi nunca",0.19,0.244,0.228
"P63","Nunca, pero esta es una excepción",0.063,0.136,0.11
"P64","Si",0.643,0.618,0.598
"P64","No",0.357,0.382,0.402
