"var","categoria","Wado de Pedro por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","No sabe"
"P18","No sabe",0.012,0.042,0.08
"P19","La votaría",0.04,0.235,0.089
"P19","Puede que la vote",0.042,0.387,0.171
"P19","Nunca la votaría",0.878,0.319,0.639
"P19","No sabe",0.04,0.059,0.101
"P20","Lo votaría",0.395,0.042,0.009
"P20","Puede que lo vote",0.357,0.091,0.084
"P20","Nunca lo votaría",0.188,0.809,0.757
"P20","No sabe",0.06,0.058,0.15
"P21","Lo votaría",0.321,0.03,0.046
"P21","Puede que lo vote",0.464,0.04,0.109
"P21","Nunca lo votaría",0.151,0.914,0.761
"P21","No sabe",0.064,0.016,0.084
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.007,0.16,0.019
"P22","Patricia Bullrich por Juntos por el Cambio",0.019,0.511,0.184
"P22","Facundo Manes por Juntos por el Cambio",0.014,0.071,0.04
"P22","Alberto Fernández por el Frente de Todos",0.097,0.011,0.068
"P22","Sergio Massa por el Frente de Todos",0.178,0.01,0.065
"P22","Wado de Pedro por el Frente de Todos",0.401,0.008,0.022
"P22","Daniel Scioli por el Frente de Todos",0.189,0.009,0.045
"P22","Javier Milei por los liberales libertarios",0.016,0.186,0.407
"P22","Al candidato del Frente de Izquierda",0.034,0.004,0.027
"P22","No sabe",0.045,0.03,0.123
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.008,0.142,0.017
"P23","Patricia Bullrich por Juntos por el Cambio",0.008,0.486,0.176
"P23","María Eugenia Vidal por Juntos por el Cambio",0.013,0.083,0.029
"P23","Facundo Manes por Juntos por el Cambio",0.035,0.055,0.037
"P23","Sergio Massa por el Frente de Todos",0.213,0.013,0.097
"P23","Wado de Pedro por el Frente de Todos",0.43,0.013,0.022
"P23","Daniel Scioli por el Frente de Todos",0.203,0.006,0.05
"P23","Javier Milei por los liberales libertarios",0.022,0.174,0.413
"P23","Al candidato del Frente de Izquierda",0.028,0.006,0.028
"P23","No sabe",0.04,0.022,0.131
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.007,0.141,0.012
"P24","Patricia Bullrich por Juntos por el Cambio",0.014,0.487,0.183
"P24","María Eugenia Vidal por Juntos por el Cambio",0.01,0.089,0.026
"P24","Facundo Manes por Juntos por el Cambio",0.027,0.055,0.041
"P24","Sergio Massa por el Frente de Todos",0.248,0.011,0.073
"P24","Wado de Pedro por el Frente de Todos",0.482,0.003,0.018
"P24","Alberto Fernández por el Frente de Todos",0.133,0.015,0.088
"P24","Javier Milei por los liberales libertarios",0.021,0.178,0.414
"P24","Al candidato del Frente de Izquierda",0.025,0.003,0.026
"P24","No sabe",0.033,0.018,0.119
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.008,0.146,0.029
"P25","Patricia Bullrich por Juntos por el Cambio",0.016,0.424,0.16
"P25","Facundo Manes por Juntos por el Cambio",0.013,0.148,0.061
"P25","Sergio Massa por el Frente de Todos",0.204,0.016,0.09
"P25","Wado de Pedro por el Frente de Todos",0.434,0.007,0.023
"P25","Daniel Scioli por el Frente de Todos",0.248,0.015,0.061
"P25","Javier Milei por los liberales libertario",0.024,0.129,0.242
"P25","Al candidato del Frente de Izquierda",0.024,0.09,0.212
"P25","No sabe",0.029,0.025,0.122
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.007,0.208,0.02
"P26","Patricia Bulrich por Juntos por el Cambio",0.03,0.495,0.183
"P26","Alberto Fernández por el Frente de Todos",0.193,0.014,0.086
"P26","Sergio Massa por el Frente de Todos",0.502,0.016,0.085
"P26","Javier Milei por los liberales libertarios",0.044,0.191,0.405
"P26","Al candidato del Frente de Izquierda",0.105,0.026,0.051
"P26","No sabe",0.119,0.05,0.17
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.012,0.199,0.021
"P27","Patricia Bullrich por Juntos por el Cambio",0.022,0.528,0.187
"P27","Wado de Pedro por el Frente de Todos",0.484,0.012,0.022
"P27","Sergio Massa por el Frente de Todos",0.346,0.01,0.129
"P27","Javier Milei por los liberales libertarios",0.036,0.2,0.433
"P27","Al candidato del Frente de Izquierda",0.048,0.012,0.051
"P27","No sabe",0.052,0.039,0.157
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.012,0.205,0.018
"P28","Patricia Bullrich por Juntos por el Cambio",0.018,0.532,0.19
"P28","Wado de Pedro por el Frente de Todos",0.524,0.007,0.012
"P28","Daniel Scioli por el Frente de Todos",0.329,0.012,0.11
"P28","Javier Milei por los liberales libertarios",0.033,0.199,0.451
"P28","Al candidato del Frente de Izquierda",0.043,0.011,0.047
"P28","No sabe",0.041,0.034,0.172
"P29","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.011,0.287,0.034
"P29","Patricia Bullrich presidenta – Gustavo Valdes vice por Juntos por el Cambio",0.021,0.436,0.15
"P29","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.307,0.028,0.104
"P29","Wado de Pedro presidente – Jorge Capitanich vice por el Frente de Todos",0.534,0.011,0.045
"P29","Javier Milei presidente y su candidato a vice",0.03,0.199,0.446
"P29","A los candidatos de la izquierda",0.045,0.005,0.036
"P29","No sabe",0.052,0.034,0.185
"P30","Alberto Fernández por el Frente de Todos",0.682,0.033,0.111
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.021,0.508,0.041
"P30","Javier Milei por los liberales libertarios",0.039,0.318,0.509
"P30","Al candidato del Frente de Izquierda",0.092,0.022,0.051
"P30","No sabe",0.166,0.119,0.288
"P31","Sergio Massa por el Frente de Todos",0.734,0.024,0.106
"P31","Horacio Rodríguez Larreta por Juntos por el Cambio",0.014,0.54,0.039
"P31","Javier Milei por los liberales libertarios",0.035,0.329,0.518
"P31","Al candidato del Frente de Izquierda",0.093,0.022,0.049
"P31","No sabe",0.124,0.085,0.288
"P32","Wado de Pedro por el Frente de Todos",0.848,0.015,0.04
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.014,0.568,0.047
"P32","Javier Milei por los liberales libertarios",0.035,0.33,0.503
"P32","Al candidato del Frente de Izquierda",0.047,0.013,0.05
"P32","No sabe",0.056,0.074,0.36
"P33","Daniel Scioli por el Frente de Todos",0.763,0.021,0.099
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.019,0.579,0.037
"P33","Javier Milei por los liberales libertarios",0.031,0.321,0.504
"P33","Al candidato del Frente de Izquierda",0.081,0.017,0.048
"P33","No sabe",0.106,0.062,0.312
"P34","Sergio Massa por el Frente de Todos",0.741,0.027,0.123
"P34","Patricia Bullrich por Juntos por el Cambio",0.026,0.676,0.19
"P34","Javier Milei por los liberales libertarios",0.023,0.223,0.442
"P34","Al candidato del Frente de Izquierda",0.1,0.013,0.046
"P34","No sabe",0.11,0.061,0.199
"P35","Alberto Fernández por el Frente de Todos",0.721,0.026,0.117
"P35","Patricia Bullrich por Juntos por el Cambio",0.022,0.681,0.193
"P35","Javier Milei por los liberales libertarios",0.028,0.217,0.442
"P35","Al candidato del Frente de Izquierda",0.105,0.017,0.053
"P35","No sabe",0.124,0.059,0.195
"P36","Wado de Pedro por el Frente de Todos",0.833,0.017,0.019
"P36","Patricia Bullrich por Juntos por el Cambio",0.027,0.686,0.197
"P36","Javier Milei por los liberales libertarios",0.038,0.21,0.446
"P36","Al candidato del Frente de Izquierda",0.038,0.029,0.057
"P36","No sabe",0.064,0.058,0.281
"P37","Daniel Scioli por el Frente de Todos",0.778,0.02,0.093
"P37","Patricia Bullrich por Juntos por el Cambio",0.026,0.689,0.195
"P37","Javier Milei por los liberales libertarios",0.028,0.216,0.443
"P37","Al candidato del Frente de Izquierda",0.077,0.02,0.051
"P37","No sabe",0.091,0.055,0.218
"P38","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.118,0.463,0.029
"P38","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.59,0.13,0.135
"P38","Javier Milei presidente y su candidato a vice",0.046,0.303,0.496
"P38","A los candidatos de la izquierda",0.101,0.017,0.052
"P38","No sabe",0.145,0.087,0.288
"P39","Patricia Bullrich presidenta – Gustavo Valdés vice por Juntos por el Cambio",0.044,0.626,0.152
"P39","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.667,0.05,0.112
"P39","Javier Milei presidente y su candidato a vice",0.034,0.234,0.449
"P39","A los candidatos de la izquierda",0.105,0.017,0.045
"P39","No sabe",0.15,0.073,0.242
"P40","Sergio Massa por el Frente de Todos",0.85,0.042,0.159
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.033,0.828,0.05
"P40","No sabe",0.117,0.13,0.791
"P41","Alberto Fernández por el Frente de Todos",0.806,0.037,0.151
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.03,0.892,0.055
"P41","No sabe",0.164,0.071,0.794
"P42","Sergio Massa por el Frente de Todos",0.859,0.036,0.15
"P42","Patricia Bullrich por Juntos por el Cambio",0.029,0.879,0.366
"P42","No sabe",0.112,0.085,0.484
"P43","Alberto Fernández por el Frente de Todos",0.843,0.032,0.137
"P43","Patricia Bullrich por Juntos por el Cambio",0.029,0.891,0.374
"P43","No sabe",0.128,0.077,0.489
"P45","Daniel Scioli por el Frente de Todos",0.88,0.031,0.119
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.021,0.921,0.035
"P45","No sabe",0.099,0.048,0.846
"P46","Wado de Pedro por el Frente de Todos",0.931,0.037,0.032
"P46","Patricia Bullrich por Juntos por el Cambio",0.031,0.879,0.365
"P46","No sabe",0.038,0.084,0.603
"P47","Daniel Scioli por el Frente de Todos",0.874,0.026,0.116
"P47","Patricia Bullrich por Juntos por el Cambio",0.028,0.892,0.394
"P47","No sabe",0.098,0.082,0.49
"P48","Horacio Rodríguez Larreta por Juntos por el Cambio",0.226,0.543,0.044
"P48","Javier Milei por los liberales libertarios",0.069,0.401,0.487
"P48","No sabe",0.705,0.056,0.469
"P49","Patricia Bullrich por Juntos por el Cambio",0.078,0.671,0.182
"P49","Javier Milei por los liberales libertarios",0.077,0.262,0.438
"P49","No sabe",0.845,0.067,0.38
"P50","Alberto Fernández por el Frente de Todos",0.748,0.122,0.137
"P50","Javier Milei por los liberales libertarios",0.05,0.563,0.512
"P50","No sabe",0.202,0.315,0.351
"P51","Sergio Massa por el Frente de Todos",0.851,0.052,0.132
"P51","Javier Milei por los liberales libertarios",0.05,0.633,0.52
"P51","No sabe",0.099,0.315,0.348
"P52","Muy buena",0.19,0.018,0.045
"P52","Buena",0.274,0.087,0.11
"P52","Ni buena ni mala",0.31,0.073,0.144
"P52","Mala",0.15,0.082,0.096
"P52","Muy mala",0.075,0.737,0.584
"P52","No sabe",0.001,0.003,0.021
"P53","Muy buena",0.675,0.016,0.095
"P53","Buena",0.153,0.019,0.06
"P53","Ni buena ni mala",0.092,0.016,0.096
"P53","Mala",0.043,0.056,0.072
"P53","Muy mala",0.037,0.889,0.661
"P53","No sabe",0,0.004,0.016
"P54","Muy buena",0.095,0.312,0.104
"P54","Buena",0.026,0.273,0.107
"P54","Ni buena ni mala",0.027,0.174,0.25
"P54","Mala",0.109,0.097,0.171
"P54","Muy mala",0.741,0.139,0.354
"P54","No sabe",0.002,0.005,0.014
"P55","Muy buena",0.022,0.239,0.028
"P55","Buena",0.021,0.371,0.069
"P55","Ni buena ni mala",0.076,0.254,0.267
"P55","Mala",0.219,0.084,0.2
"P55","Muy mala",0.659,0.051,0.403
"P55","No sabe",0.003,0.001,0.033
"P56","Muy buena",0.155,0.037,0.042
"P56","Buena",0.336,0.069,0.074
"P56","Ni buena ni mala",0.293,0.095,0.175
"P56","Mala",0.115,0.154,0.122
"P56","Muy mala",0.095,0.642,0.559
"P56","No sabe",0.006,0.003,0.028
"P57","Muy buena",0.052,0.465,0.179
"P57","Buena",0.057,0.199,0.171
"P57","Ni buena ni mala",0.077,0.134,0.205
"P57","Mala",0.079,0.065,0.122
"P57","Muy mala",0.731,0.136,0.29
"P57","No sabe",0.004,0.001,0.033
"P58","Muy buena",0.038,0.223,0.371
"P58","Buena",0.018,0.231,0.129
"P58","Ni buena ni mala",0.049,0.288,0.163
"P58","Mala",0.1,0.135,0.097
"P58","Muy mala",0.785,0.114,0.197
"P58","No sabe",0.01,0.009,0.043
"P59","Muy buena",0.414,0.049,0.057
"P59","Buena",0.305,0.046,0.05
"P59","Ni buena ni mala",0.119,0.156,0.212
"P59","Mala",0.034,0.188,0.125
"P59","Muy mala",0.112,0.505,0.456
"P59","No sabe",0.016,0.056,0.1
"P60","Muy buena",0.251,0.024,0.044
"P60","Buena",0.381,0.019,0.066
"P60","Ni buena ni mala",0.263,0.089,0.185
"P60","Mala",0.056,0.205,0.143
"P60","Muy mala",0.045,0.65,0.526
"P60","No sabe",0.004,0.013,0.036
"P61","Muy buena",0.055,0.273,0.048
"P61","Buena",0.053,0.286,0.126
"P61","Ni buena ni mala",0.066,0.21,0.252
"P61","Mala",0.124,0.109,0.154
"P61","Muy mala",0.698,0.116,0.392
"P61","No sabe",0.004,0.006,0.028
"P62","Muy buena",0.048,0.168,0.054
"P62","Buena",0.08,0.242,0.093
"P62","Ni buena ni mala",0.328,0.347,0.342
"P62","Mala",0.234,0.126,0.126
"P62","Muy mala",0.269,0.085,0.293
"P62","No sabe",0.041,0.032,0.092
"P63","Siempre",0.316,0.308,0.264
"P63","Casi siempre",0.378,0.417,0.341
"P63","Casi nunca",0.209,0.202,0.252
"P63","Nunca, pero esta es una excepción",0.097,0.073,0.143
"P64","Si",0.628,0.621,0.609
"P64","No",0.372,0.379,0.391
