"var","categoria","Alberto Fernández por el Frente de Todos","Javier Milei por los liberales libertarios","No sabe"
"P20","No sabe",0.096,0.056,0.101
"P21","Lo votaría",0.29,0.024,0.064
"P21","Puede que lo vote",0.38,0.033,0.154
"P21","Nunca lo votaría",0.269,0.921,0.704
"P21","No sabe",0.061,0.022,0.078
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.027,0.073,0.122
"P22","Patricia Bullrich por Juntos por el Cambio",0.117,0.351,0.347
"P22","Facundo Manes por Juntos por el Cambio",0.031,0.034,0.074
"P22","Alberto Fernández por el Frente de Todos",0.128,0.01,0.025
"P22","Sergio Massa por el Frente de Todos",0.159,0.008,0.066
"P22","Wado de Pedro por el Frente de Todos",0.282,0.012,0.101
"P22","Daniel Scioli por el Frente de Todos",0.151,0.01,0.07
"P22","Javier Milei por los liberales libertarios",0.01,0.481,0.045
"P22","Al candidato del Frente de Izquierda",0.035,0.003,0.026
"P22","No sabe",0.06,0.018,0.124
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.032,0.065,0.099
"P23","Patricia Bullrich por Juntos por el Cambio",0.112,0.335,0.324
"P23","María Eugenia Vidal por Juntos por el Cambio",0.02,0.043,0.082
"P23","Facundo Manes por Juntos por el Cambio",0.044,0.03,0.062
"P23","Sergio Massa por el Frente de Todos",0.211,0.008,0.089
"P23","Wado de Pedro por el Frente de Todos",0.309,0.016,0.101
"P23","Daniel Scioli por el Frente de Todos",0.171,0.006,0.063
"P23","Javier Milei por los liberales libertarios",0.01,0.479,0.043
"P23","Al candidato del Frente de Izquierda",0.033,0.005,0.024
"P23","No sabe",0.058,0.013,0.113
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.027,0.063,0.105
"P24","Patricia Bullrich por Juntos por el Cambio",0.117,0.34,0.326
"P24","María Eugenia Vidal por Juntos por el Cambio",0.028,0.041,0.076
"P24","Facundo Manes por Juntos por el Cambio",0.026,0.025,0.085
"P24","Sergio Massa por el Frente de Todos",0.215,0.008,0.087
"P24","Wado de Pedro por el Frente de Todos",0.338,0.01,0.117
"P24","Alberto Fernández por el Frente de Todos",0.17,0.012,0.027
"P24","Javier Milei por los liberales libertarios",0.006,0.484,0.047
"P24","Al candidato del Frente de Izquierda",0.028,0.004,0.023
"P24","No sabe",0.045,0.013,0.107
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.03,0.066,0.117
"P25","Patricia Bullrich por Juntos por el Cambio",0.097,0.288,0.301
"P25","Facundo Manes por Juntos por el Cambio",0.044,0.093,0.115
"P25","Sergio Massa por el Frente de Todos",0.193,0.013,0.087
"P25","Wado de Pedro por el Frente de Todos",0.31,0.014,0.106
"P25","Daniel Scioli por el Frente de Todos",0.21,0.015,0.072
"P25","Javier Milei por los liberales libertario",0.031,0.28,0.054
"P25","Al candidato del Frente de Izquierda",0.025,0.22,0.044
"P25","No sabe",0.06,0.011,0.104
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.04,0.093,0.15
"P26","Patricia Bulrich por Juntos por el Cambio",0.126,0.335,0.351
"P26","Alberto Fernández por el Frente de Todos",0.199,0.013,0.045
"P26","Sergio Massa por el Frente de Todos",0.411,0.018,0.133
"P26","Javier Milei por los liberales libertarios",0.029,0.47,0.068
"P26","Al candidato del Frente de Izquierda",0.094,0.014,0.076
"P26","No sabe",0.101,0.057,0.177
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.039,0.083,0.153
"P27","Patricia Bullrich por Juntos por el Cambio",0.134,0.351,0.359
"P27","Wado de Pedro por el Frente de Todos",0.365,0.014,0.099
"P27","Sergio Massa por el Frente de Todos",0.306,0.016,0.126
"P27","Javier Milei por los liberales libertarios",0.033,0.508,0.054
"P27","Al candidato del Frente de Izquierda",0.055,0.007,0.051
"P27","No sabe",0.068,0.021,0.158
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.048,0.079,0.158
"P28","Patricia Bullrich por Juntos por el Cambio",0.127,0.354,0.361
"P28","Wado de Pedro por el Frente de Todos",0.372,0.011,0.116
"P28","Daniel Scioli por el Frente de Todos",0.304,0.013,0.113
"P28","Javier Milei por los liberales libertarios",0.024,0.526,0.054
"P28","Al candidato del Frente de Izquierda",0.051,0.005,0.048
"P28","No sabe",0.074,0.012,0.15
"P29","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.062,0.133,0.199
"P29","Patricia Bullrich presidenta – Gustavo Valdes vice por Juntos por el Cambio",0.105,0.293,0.304
"P29","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.28,0.022,0.113
"P29","Wado de Pedro presidente – Jorge Capitanich vice por el Frente de Todos",0.415,0.014,0.124
"P29","Javier Milei presidente y su candidato a vice",0.018,0.514,0.058
"P29","A los candidatos de la izquierda",0.047,0.002,0.035
"P29","No sabe",0.073,0.022,0.167
"P30","Alberto Fernández por el Frente de Todos",0.637,0.02,0.114
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.112,0.23,0.356
"P30","Javier Milei por los liberales libertarios",0.05,0.672,0.06
"P30","Al candidato del Frente de Izquierda",0.069,0.01,0.082
"P30","No sabe",0.132,0.068,0.388
"P31","Sergio Massa por el Frente de Todos",0.619,0.022,0.161
"P31","Horacio Rodríguez Larreta por Juntos por el Cambio",0.121,0.235,0.38
"P31","Javier Milei por los liberales libertarios",0.047,0.692,0.057
"P31","Al candidato del Frente de Izquierda",0.084,0.006,0.076
"P31","No sabe",0.129,0.045,0.326
"P32","Wado de Pedro por el Frente de Todos",0.637,0.016,0.191
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.128,0.24,0.405
"P32","Javier Milei por los liberales libertarios",0.047,0.692,0.044
"P32","Al candidato del Frente de Izquierda",0.051,0.006,0.057
"P32","No sabe",0.137,0.046,0.303
"P33","Daniel Scioli por el Frente de Todos",0.644,0.019,0.172
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.13,0.253,0.404
"P33","Javier Milei por los liberales libertarios",0.035,0.68,0.051
"P33","Al candidato del Frente de Izquierda",0.066,0.008,0.068
"P33","No sabe",0.125,0.04,0.305
"P34","Sergio Massa por el Frente de Todos",0.633,0.022,0.168
"P34","Patricia Bullrich por Juntos por el Cambio",0.152,0.415,0.464
"P34","Javier Milei por los liberales libertarios",0.025,0.542,0.049
"P34","Al candidato del Frente de Izquierda",0.079,0.003,0.08
"P34","No sabe",0.111,0.018,0.239
"P35","Alberto Fernández por el Frente de Todos",0.655,0.015,0.124
"P35","Patricia Bullrich por Juntos por el Cambio",0.159,0.421,0.462
"P35","Javier Milei por los liberales libertarios",0.014,0.545,0.052
"P35","Al candidato del Frente de Izquierda",0.081,0.004,0.092
"P35","No sabe",0.091,0.015,0.27
"P36","Wado de Pedro por el Frente de Todos",0.63,0.01,0.176
"P36","Patricia Bullrich por Juntos por el Cambio",0.169,0.421,0.469
"P36","Javier Milei por los liberales libertarios",0.019,0.54,0.048
"P36","Al candidato del Frente de Izquierda",0.051,0.012,0.071
"P36","No sabe",0.131,0.017,0.236
"P37","Daniel Scioli por el Frente de Todos",0.657,0.011,0.173
"P37","Patricia Bullrich por Juntos por el Cambio",0.169,0.421,0.469
"P37","Javier Milei por los liberales libertarios",0.021,0.542,0.048
"P37","Al candidato del Frente de Izquierda",0.074,0.003,0.077
"P37","No sabe",0.079,0.023,0.233
"P38","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.157,0.218,0.34
"P38","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.559,0.06,0.219
"P38","Javier Milei presidente y su candidato a vice",0.04,0.657,0.063
"P38","A los candidatos de la izquierda",0.091,0.007,0.067
"P38","No sabe",0.153,0.058,0.311
"P39","Patricia Bullrich presidenta – Gustavo Valdés vice por Juntos por el Cambio",0.146,0.383,0.432
"P39","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.583,0.03,0.166
"P39","Javier Milei presidente y su candidato a vice",0.029,0.557,0.053
"P39","A los candidatos de la izquierda",0.083,0.004,0.083
"P39","No sabe",0.159,0.026,0.266
"P40","Sergio Massa por el Frente de Todos",0.725,0.057,0.188
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.15,0.502,0.429
"P40","No sabe",0.125,0.441,0.383
"P41","Alberto Fernández por el Frente de Todos",0.736,0.047,0.13
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.164,0.552,0.441
"P41","No sabe",0.1,0.401,0.429
"P42","Sergio Massa por el Frente de Todos",0.735,0.042,0.193
"P42","Patricia Bullrich por Juntos por el Cambio",0.177,0.746,0.472
"P42","No sabe",0.088,0.212,0.335
"P43","Alberto Fernández por el Frente de Todos",0.772,0.031,0.13
"P43","Patricia Bullrich por Juntos por el Cambio",0.168,0.77,0.478
"P43","No sabe",0.06,0.199,0.392
"P44","Wado de Pedro por el Frente de Todos",0.692,0.035,0.192
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.171,0.586,0.451
"P44","No sabe",0.137,0.379,0.357
"P45","Daniel Scioli por el Frente de Todos",0.713,0.057,0.187
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.163,0.559,0.444
"P45","No sabe",0.124,0.384,0.369
"P46","Wado de Pedro por el Frente de Todos",0.689,0.046,0.203
"P46","Patricia Bullrich por Juntos por el Cambio",0.167,0.746,0.481
"P46","No sabe",0.144,0.208,0.316
"P47","Daniel Scioli por el Frente de Todos",0.725,0.036,0.19
"P47","Patricia Bullrich por Juntos por el Cambio",0.172,0.771,0.481
"P47","No sabe",0.103,0.193,0.329
"P48","Horacio Rodríguez Larreta por Juntos por el Cambio",0.244,0.236,0.464
"P48","Javier Milei por los liberales libertarios",0.118,0.7,0.053
"P48","No sabe",0.638,0.064,0.483
"P49","Patricia Bullrich por Juntos por el Cambio",0.227,0.38,0.467
"P49","Javier Milei por los liberales libertarios",0.051,0.595,0.023
"P49","No sabe",0.722,0.025,0.51
"P51","Sergio Massa por el Frente de Todos",0.779,0.021,0.187
"P51","Javier Milei por los liberales libertarios",0.087,0.957,0.081
"P51","No sabe",0.134,0.022,0.732
"P52","Muy buena",0.173,0.011,0.061
"P52","Buena",0.297,0.106,0.047
"P52","Ni buena ni mala",0.309,0.037,0.177
"P52","Mala",0.112,0.066,0.15
"P52","Muy mala",0.107,0.776,0.546
"P52","No sabe",0.002,0.004,0.019
"P53","Muy buena",0.536,0.018,0.188
"P53","Buena",0.146,0.03,0.043
"P53","Ni buena ni mala",0.091,0.025,0.079
"P53","Mala",0.059,0.055,0.057
"P53","Muy mala",0.165,0.869,0.617
"P53","No sabe",0.003,0.003,0.016
"P54","Muy buena",0.118,0.193,0.256
"P54","Buena",0.042,0.241,0.15
"P54","Ni buena ni mala",0.049,0.243,0.144
"P54","Mala",0.133,0.124,0.109
"P54","Muy mala",0.655,0.193,0.328
"P54","No sabe",0.003,0.006,0.013
"P55","Muy buena",0.065,0.113,0.169
"P55","Buena",0.08,0.232,0.222
"P55","Ni buena ni mala",0.123,0.264,0.217
"P55","Mala",0.199,0.152,0.119
"P55","Muy mala",0.524,0.234,0.252
"P55","No sabe",0.009,0.005,0.021
"P56","Muy buena",0.149,0.024,0.057
"P56","Buena",0.308,0.054,0.106
"P56","Ni buena ni mala",0.272,0.101,0.174
"P56","Mala",0.116,0.134,0.152
"P56","Muy mala",0.146,0.683,0.489
"P56","No sabe",0.009,0.004,0.022
"P57","Muy buena",0.126,0.352,0.287
"P57","Buena",0.066,0.233,0.125
"P57","Ni buena ni mala",0.087,0.175,0.143
"P57","Mala",0.082,0.077,0.102
"P57","Muy mala",0.627,0.161,0.321
"P57","No sabe",0.012,0.002,0.022
"P58","Muy buena",0.06,0.442,0.06
"P58","Buena",0.043,0.279,0.051
"P58","Ni buena ni mala",0.096,0.195,0.259
"P58","Mala",0.102,0.049,0.216
"P58","Muy mala",0.678,0.032,0.374
"P58","No sabe",0.021,0.003,0.04
"P59","Muy buena",0.316,0.075,0.097
"P59","Buena",0.227,0.061,0.091
"P59","Ni buena ni mala",0.147,0.153,0.19
"P59","Mala",0.075,0.149,0.147
"P59","Muy mala",0.188,0.503,0.407
"P59","No sabe",0.047,0.059,0.068
"P60","Muy buena",0.215,0.022,0.069
"P60","Buena",0.319,0.022,0.103
"P60","Ni buena ni mala",0.225,0.112,0.18
"P60","Mala",0.095,0.173,0.157
"P60","Muy mala",0.13,0.656,0.471
"P60","No sabe",0.016,0.015,0.02
"P61","Muy buena",0.1,0.145,0.193
"P61","Buena",0.095,0.219,0.191
"P61","Ni buena ni mala",0.081,0.259,0.178
"P61","Mala",0.128,0.132,0.117
"P61","Muy mala",0.587,0.239,0.298
"P61","No sabe",0.009,0.006,0.023
"P62","Muy buena",0.077,0.106,0.118
"P62","Buena",0.109,0.177,0.165
"P62","Ni buena ni mala",0.352,0.354,0.309
"P62","Mala",0.197,0.14,0.138
"P62","Muy mala",0.227,0.179,0.192
"P62","No sabe",0.038,0.044,0.078
"P63","Siempre",0.329,0.274,0.299
"P63","Casi siempre",0.39,0.385,0.376
"P63","Casi nunca",0.189,0.235,0.226
"P63","Nunca, pero esta es una excepción",0.092,0.106,0.099
"P64","Si",0.621,0.638,0.591
"P64","No",0.379,0.362,0.409
