"var","categoria","Daniel Scioli por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","No sabe"
"P22","Facundo Manes por Juntos por el Cambio",0.02,0.047,0.078
"P22","Alberto Fernández por el Frente de Todos",0.111,0.007,0.069
"P22","Sergio Massa por el Frente de Todos",0.195,0.004,0.059
"P22","Wado de Pedro por el Frente de Todos",0.347,0.007,0.092
"P22","Daniel Scioli por el Frente de Todos",0.207,0.003,0.046
"P22","Javier Milei por los liberales libertarios",0.015,0.259,0.354
"P22","Al candidato del Frente de Izquierda",0.029,0.003,0.045
"P22","No sabe",0.062,0.025,0.152
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.009,0.095,0.071
"P23","Patricia Bullrich por Juntos por el Cambio",0.006,0.509,0.021
"P23","María Eugenia Vidal por Juntos por el Cambio",0.01,0.069,0.042
"P23","Facundo Manes por Juntos por el Cambio",0.037,0.036,0.068
"P23","Sergio Massa por el Frente de Todos",0.236,0.004,0.101
"P23","Wado de Pedro por el Frente de Todos",0.373,0.009,0.096
"P23","Daniel Scioli por el Frente de Todos",0.23,0.002,0.036
"P23","Javier Milei por los liberales libertarios",0.022,0.252,0.355
"P23","Al candidato del Frente de Izquierda",0.025,0.005,0.046
"P23","No sabe",0.052,0.019,0.164
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.01,0.096,0.063
"P24","Patricia Bullrich por Juntos por el Cambio",0.006,0.516,0.024
"P24","María Eugenia Vidal por Juntos por el Cambio",0.007,0.071,0.041
"P24","Facundo Manes por Juntos por el Cambio",0.034,0.032,0.081
"P24","Sergio Massa por el Frente de Todos",0.261,0.004,0.076
"P24","Wado de Pedro por el Frente de Todos",0.416,0.004,0.092
"P24","Alberto Fernández por el Frente de Todos",0.174,0.006,0.073
"P24","Javier Milei por los liberales libertarios",0.018,0.255,0.36
"P24","Al candidato del Frente de Izquierda",0.022,0.002,0.044
"P24","No sabe",0.052,0.014,0.146
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.015,0.1,0.072
"P25","Patricia Bullrich por Juntos por el Cambio",0.002,0.448,0.028
"P25","Facundo Manes por Juntos por el Cambio",0.015,0.133,0.066
"P25","Sergio Massa por el Frente de Todos",0.223,0.007,0.099
"P25","Wado de Pedro por el Frente de Todos",0.38,0.007,0.087
"P25","Daniel Scioli por el Frente de Todos",0.278,0.004,0.057
"P25","Javier Milei por los liberales libertario",0.039,0.163,0.214
"P25","Al candidato del Frente de Izquierda",0.019,0.12,0.204
"P25","No sabe",0.029,0.018,0.173
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.014,0.148,0.077
"P26","Patricia Bulrich por Juntos por el Cambio",0.023,0.518,0.031
"P26","Alberto Fernández por el Frente de Todos",0.207,0.005,0.099
"P26","Sergio Massa por el Frente de Todos",0.509,0.005,0.099
"P26","Javier Milei por los liberales libertarios",0.039,0.265,0.35
"P26","Al candidato del Frente de Izquierda",0.08,0.015,0.124
"P26","No sabe",0.128,0.044,0.22
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.019,0.127,0.101
"P27","Patricia Bullrich por Juntos por el Cambio",0.012,0.548,0.035
"P27","Wado de Pedro por el Frente de Todos",0.428,0.011,0.086
"P27","Sergio Massa por el Frente de Todos",0.382,0.004,0.119
"P27","Javier Milei por los liberales libertarios",0.043,0.28,0.36
"P27","Al candidato del Frente de Izquierda",0.04,0.005,0.098
"P27","No sabe",0.076,0.025,0.201
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.017,0.129,0.104
"P28","Patricia Bullrich por Juntos por el Cambio",0.006,0.557,0.032
"P28","Wado de Pedro por el Frente de Todos",0.45,0.007,0.093
"P28","Daniel Scioli por el Frente de Todos",0.397,0.003,0.067
"P28","Javier Milei por los liberales libertarios",0.04,0.279,0.39
"P28","Al candidato del Frente de Izquierda",0.035,0.004,0.088
"P28","No sabe",0.055,0.021,0.226
"P29","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.012,0.214,0.109
"P29","Patricia Bullrich presidenta – Gustavo Valdes vice por Juntos por el Cambio",0.009,0.457,0.02
"P29","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.33,0.014,0.119
"P29","Wado de Pedro presidente – Jorge Capitanich vice por el Frente de Todos",0.501,0.006,0.097
"P29","Javier Milei presidente y su candidato a vice",0.031,0.278,0.376
"P29","A los candidatos de la izquierda",0.037,0.003,0.062
"P29","No sabe",0.08,0.028,0.217
"P30","Alberto Fernández por el Frente de Todos",0.692,0.023,0.117
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.032,0.399,0.097
"P30","Javier Milei por los liberales libertarios",0.043,0.414,0.389
"P30","Al candidato del Frente de Izquierda",0.072,0.015,0.104
"P30","No sabe",0.161,0.149,0.293
"P31","Sergio Massa por el Frente de Todos",0.743,0.01,0.121
"P31","Horacio Rodríguez Larreta por Juntos por el Cambio",0.021,0.426,0.105
"P31","Javier Milei por los liberales libertarios",0.032,0.435,0.384
"P31","Al candidato del Frente de Izquierda",0.073,0.009,0.117
"P31","No sabe",0.131,0.12,0.273
"P32","Wado de Pedro por el Frente de Todos",0.777,0.007,0.13
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.022,0.443,0.121
"P32","Javier Milei por los liberales libertarios",0.031,0.43,0.376
"P32","Al candidato del Frente de Izquierda",0.045,0.009,0.079
"P32","No sabe",0.125,0.111,0.294
"P33","Daniel Scioli por el Frente de Todos",0.809,0.014,0.055
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.018,0.457,0.117
"P33","Javier Milei por los liberales libertarios",0.035,0.421,0.364
"P33","Al candidato del Frente de Izquierda",0.051,0.007,0.123
"P33","No sabe",0.087,0.101,0.341
"P34","Sergio Massa por el Frente de Todos",0.766,0.01,0.123
"P34","Patricia Bullrich por Juntos por el Cambio",0.011,0.666,0.048
"P34","Javier Milei por los liberales libertarios",0.031,0.291,0.396
"P34","Al candidato del Frente de Izquierda",0.078,0.005,0.111
"P34","No sabe",0.114,0.028,0.322
"P35","Alberto Fernández por el Frente de Todos",0.731,0.006,0.141
"P35","Patricia Bullrich por Juntos por el Cambio",0.008,0.681,0.029
"P35","Javier Milei por los liberales libertarios",0.04,0.285,0.393
"P35","Al candidato del Frente de Izquierda",0.089,0.005,0.117
"P35","No sabe",0.132,0.023,0.32
"P36","Wado de Pedro por el Frente de Todos",0.748,0.004,0.135
"P36","Patricia Bullrich por Juntos por el Cambio",0.012,0.69,0.026
"P36","Javier Milei por los liberales libertarios",0.05,0.278,0.39
"P36","Al candidato del Frente de Izquierda",0.046,0.012,0.1
"P36","No sabe",0.144,0.016,0.349
"P37","Daniel Scioli por el Frente de Todos",0.833,0.004,0.046
"P37","Patricia Bullrich por Juntos por el Cambio",0.007,0.691,0.032
"P37","Javier Milei por los liberales libertarios",0.038,0.28,0.409
"P37","Al candidato del Frente de Izquierda",0.054,0.007,0.123
"P37","No sabe",0.068,0.018,0.39
"P38","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.113,0.359,0.109
"P38","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.621,0.109,0.111
"P38","Javier Milei presidente y su candidato a vice",0.043,0.4,0.38
"P38","A los candidatos de la izquierda",0.076,0.01,0.106
"P38","No sabe",0.147,0.122,0.294
"P39","Patricia Bullrich presidenta – Gustavo Valdés vice por Juntos por el Cambio",0.029,0.611,0.039
"P39","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.697,0.032,0.099
"P39","Javier Milei presidente y su candidato a vice",0.038,0.302,0.402
"P39","A los candidatos de la izquierda",0.08,0.007,0.112
"P39","No sabe",0.156,0.048,0.348
"P40","Sergio Massa por el Frente de Todos",0.869,0.032,0.16
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.032,0.662,0.141
"P40","No sabe",0.099,0.306,0.699
"P41","Alberto Fernández por el Frente de Todos",0.81,0.029,0.167
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.042,0.709,0.145
"P41","No sabe",0.148,0.262,0.688
"P42","Sergio Massa por el Frente de Todos",0.886,0.012,0.171
"P42","Patricia Bullrich por Juntos por el Cambio",0.019,0.943,0.061
"P42","No sabe",0.095,0.045,0.768
"P43","Alberto Fernández por el Frente de Todos",0.856,0.009,0.166
"P43","Patricia Bullrich por Juntos por el Cambio",0.012,0.96,0.058
"P43","No sabe",0.132,0.031,0.776
"P44","Wado de Pedro por el Frente de Todos",0.845,0.016,0.133
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.036,0.745,0.163
"P44","No sabe",0.119,0.239,0.704
"P45","Daniel Scioli por el Frente de Todos",0.918,0.026,0.079
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.033,0.725,0.141
"P45","No sabe",0.049,0.249,0.78
"P46","Wado de Pedro por el Frente de Todos",0.868,0.008,0.147
"P46","Patricia Bullrich por Juntos por el Cambio",0.008,0.953,0.047
"P46","No sabe",0.124,0.039,0.806
"P48","Horacio Rodríguez Larreta por Juntos por el Cambio",0.254,0.408,0.122
"P48","Javier Milei por los liberales libertarios",0.053,0.502,0.32
"P48","No sabe",0.693,0.09,0.558
"P49","Patricia Bullrich por Juntos por el Cambio",0.066,0.654,0.049
"P49","Javier Milei por los liberales libertarios",0.085,0.321,0.375
"P49","No sabe",0.849,0.025,0.576
"P50","Alberto Fernández por el Frente de Todos",0.756,0.102,0.151
"P50","Javier Milei por los liberales libertarios",0.05,0.618,0.379
"P50","No sabe",0.194,0.28,0.47
"P51","Sergio Massa por el Frente de Todos",0.865,0.023,0.184
"P51","Javier Milei por los liberales libertarios",0.042,0.688,0.37
"P51","No sabe",0.093,0.289,0.446
"P52","Muy buena",0.201,0.007,0.065
"P52","Buena",0.277,0.081,0.124
"P52","Ni buena ni mala",0.315,0.056,0.201
"P52","Mala",0.14,0.072,0.136
"P52","Muy mala",0.064,0.781,0.447
"P52","No sabe",0.003,0.003,0.027
"P53","Muy buena",0.653,0.004,0.166
"P53","Buena",0.15,0.016,0.085
"P53","Ni buena ni mala",0.108,0.012,0.117
"P53","Mala",0.05,0.047,0.091
"P53","Muy mala",0.036,0.918,0.52
"P53","No sabe",0.003,0.003,0.021
"P54","Muy buena",0.092,0.301,0.049
"P54","Buena",0.012,0.272,0.063
"P54","Ni buena ni mala",0.037,0.208,0.192
"P54","Mala",0.132,0.087,0.195
"P54","Muy mala",0.725,0.128,0.481
"P54","No sabe",0.002,0.004,0.02
"P55","Muy buena",0.022,0.189,0.062
"P55","Buena",0.027,0.312,0.083
"P55","Ni buena ni mala",0.106,0.257,0.229
"P55","Mala",0.23,0.121,0.139
"P55","Muy mala",0.613,0.117,0.443
"P55","No sabe",0.002,0.004,0.044
"P56","Muy buena",0.163,0.03,0.047
"P56","Buena",0.342,0.047,0.111
"P56","Ni buena ni mala",0.305,0.085,0.213
"P56","Mala",0.114,0.137,0.154
"P56","Muy mala",0.066,0.7,0.439
"P56","No sabe",0.01,0.001,0.036
"P57","Muy buena",0.043,0.481,0.035
"P57","Buena",0.046,0.242,0.071
"P57","Ni buena ni mala",0.097,0.121,0.243
"P57","Mala",0.104,0.043,0.168
"P57","Muy mala",0.706,0.111,0.438
"P57","No sabe",0.004,0.002,0.045
"P58","Muy buena",0.037,0.282,0.301
"P58","Buena",0.013,0.237,0.082
"P58","Ni buena ni mala",0.064,0.273,0.131
"P58","Mala",0.112,0.115,0.114
"P58","Muy mala",0.759,0.086,0.317
"P58","No sabe",0.015,0.007,0.055
"P59","Muy buena",0.365,0.044,0.129
"P59","Buena",0.286,0.045,0.072
"P59","Ni buena ni mala",0.154,0.142,0.224
"P59","Mala",0.051,0.168,0.128
"P59","Muy mala",0.113,0.553,0.326
"P59","No sabe",0.031,0.048,0.121
"P60","Muy buena",0.283,0.011,0.035
"P60","Buena",0.413,0.01,0.054
"P60","Ni buena ni mala",0.245,0.081,0.267
"P60","Mala",0.044,0.198,0.154
"P60","Muy mala",0.015,0.685,0.444
"P60","No sabe",0,0.015,0.046
"P61","Muy buena",0.054,0.235,0.052
"P61","Buena",0.06,0.265,0.104
"P61","Ni buena ni mala",0.072,0.238,0.195
"P61","Mala",0.139,0.103,0.168
"P61","Muy mala",0.67,0.154,0.443
"P61","No sabe",0.005,0.005,0.038
"P62","Muy buena",0.055,0.13,0.092
"P62","Buena",0.082,0.223,0.076
"P62","Ni buena ni mala",0.35,0.357,0.286
"P62","Mala",0.224,0.123,0.144
"P62","Muy mala",0.245,0.137,0.283
"P62","No sabe",0.044,0.03,0.119
"P63","Siempre",0.32,0.3,0.26
"P63","Casi siempre",0.392,0.405,0.319
"P63","Casi nunca",0.193,0.214,0.267
"P63","Nunca, pero esta es una excepción",0.095,0.081,0.154
"P64","Si",0.624,0.628,0.591
"P64","No",0.376,0.372,0.409
