"var","categoria","Sergio Massa por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","No sabe"
"P16","Puede que lo vote",0.135,0.321,0.135
"P16","Nunca lo votaría",0.687,0.493,0.632
"P16","No sabe",0.121,0.09,0.17
"P17","La votaría",0.029,0.575,0.05
"P17","Puede que la vote",0.041,0.277,0.158
"P17","Nunca la votaría",0.893,0.116,0.673
"P17","No sabe",0.037,0.032,0.119
"P18","Lo votaría",0.045,0.353,0.333
"P18","Puede que lo vote",0.037,0.268,0.131
"P18","Nunca lo votaría",0.891,0.336,0.463
"P18","No sabe",0.027,0.043,0.073
"P19","La votaría",0.046,0.204,0.108
"P19","Puede que la vote",0.049,0.366,0.147
"P19","Nunca la votaría",0.856,0.368,0.645
"P19","No sabe",0.049,0.062,0.1
"P20","Lo votaría",0.342,0.032,0.063
"P20","Puede que lo vote",0.319,0.079,0.135
"P20","Nunca lo votaría",0.256,0.832,0.649
"P20","No sabe",0.083,0.057,0.153
"P21","Lo votaría",0.317,0.02,0.05
"P21","Puede que lo vote",0.46,0.027,0.14
"P21","Nunca lo votaría",0.163,0.935,0.704
"P21","No sabe",0.06,0.018,0.106
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.008,0.112,0.08
"P22","Patricia Bullrich por Juntos por el Cambio",0.004,0.543,0.045
"P22","Facundo Manes por Juntos por el Cambio",0.029,0.049,0.069
"P22","Alberto Fernández por el Frente de Todos",0.116,0.008,0.06
"P22","Sergio Massa por el Frente de Todos",0.223,0.003,0.021
"P22","Wado de Pedro por el Frente de Todos",0.329,0.012,0.089
"P22","Daniel Scioli por el Frente de Todos",0.185,0.003,0.066
"P22","Javier Milei por los liberales libertarios",0.024,0.243,0.365
"P22","Al candidato del Frente de Izquierda",0.027,0.003,0.047
"P22","No sabe",0.055,0.024,0.158
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.01,0.099,0.072
"P23","Patricia Bullrich por Juntos por el Cambio",0.004,0.514,0.038
"P23","María Eugenia Vidal por Juntos por el Cambio",0.007,0.073,0.048
"P23","Facundo Manes por Juntos por el Cambio",0.046,0.035,0.058
"P23","Sergio Massa por el Frente de Todos",0.284,0.004,0.032
"P23","Wado de Pedro por el Frente de Todos",0.355,0.013,0.093
"P23","Daniel Scioli por el Frente de Todos",0.192,0.003,0.075
"P23","Javier Milei por los liberales libertarios",0.03,0.236,0.372
"P23","Al candidato del Frente de Izquierda",0.029,0.002,0.045
"P23","No sabe",0.043,0.021,0.167
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.009,0.1,0.064
"P24","Patricia Bullrich por Juntos por el Cambio",0.004,0.52,0.042
"P24","María Eugenia Vidal por Juntos por el Cambio",0.006,0.075,0.039
"P24","Facundo Manes por Juntos por el Cambio",0.038,0.036,0.067
"P24","Sergio Massa por el Frente de Todos",0.299,0.002,0.025
"P24","Wado de Pedro por el Frente de Todos",0.391,0.006,0.104
"P24","Alberto Fernández por el Frente de Todos",0.161,0.009,0.082
"P24","Javier Milei por los liberales libertarios",0.025,0.239,0.379
"P24","Al candidato del Frente de Izquierda",0.019,0.002,0.048
"P24","No sabe",0.048,0.011,0.15
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.02,0.109,0.063
"P25","Patricia Bullrich por Juntos por el Cambio",0.004,0.452,0.042
"P25","Facundo Manes por Juntos por el Cambio",0.015,0.137,0.064
"P25","Sergio Massa por el Frente de Todos",0.264,0.006,0.04
"P25","Wado de Pedro por el Frente de Todos",0.365,0.01,0.086
"P25","Daniel Scioli por el Frente de Todos",0.241,0.007,0.085
"P25","Javier Milei por los liberales libertario",0.033,0.154,0.23
"P25","Al candidato del Frente de Izquierda",0.026,0.11,0.214
"P25","No sabe",0.032,0.015,0.176
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.012,0.153,0.077
"P26","Patricia Bulrich por Juntos por el Cambio",0.021,0.526,0.046
"P26","Alberto Fernández por el Frente de Todos",0.201,0.011,0.097
"P26","Sergio Massa por el Frente de Todos",0.539,0.006,0.044
"P26","Javier Milei por los liberales libertarios",0.043,0.251,0.374
"P26","Al candidato del Frente de Izquierda",0.086,0.01,0.112
"P26","No sabe",0.098,0.043,0.25
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.024,0.136,0.092
"P27","Patricia Bullrich por Juntos por el Cambio",0.014,0.554,0.049
"P27","Wado de Pedro por el Frente de Todos",0.397,0.013,0.105
"P27","Sergio Massa por el Frente de Todos",0.419,0.004,0.054
"P27","Javier Milei por los liberales libertarios",0.044,0.265,0.384
"P27","Al candidato del Frente de Izquierda",0.041,0.006,0.088
"P27","No sabe",0.061,0.022,0.228
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.029,0.138,0.087
"P28","Patricia Bullrich por Juntos por el Cambio",0.009,0.559,0.053
"P28","Wado de Pedro por el Frente de Todos",0.435,0.007,0.094
"P28","Daniel Scioli por el Frente de Todos",0.357,0.006,0.094
"P28","Javier Milei por los liberales libertarios",0.047,0.263,0.402
"P28","Al candidato del Frente de Izquierda",0.04,0.004,0.077
"P28","No sabe",0.083,0.023,0.193
"P29","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.014,0.221,0.105
"P29","Patricia Bullrich presidenta – Gustavo Valdes vice por Juntos por el Cambio",0.009,0.461,0.031
"P29","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.372,0.013,0.054
"P29","Wado de Pedro presidente – Jorge Capitanich vice por el Frente de Todos",0.456,0.01,0.121
"P29","Javier Milei presidente y su candidato a vice",0.038,0.266,0.394
"P29","A los candidatos de la izquierda",0.038,0,0.067
"P29","No sabe",0.073,0.029,0.228
"P30","Alberto Fernández por el Frente de Todos",0.676,0.026,0.112
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.037,0.409,0.093
"P30","Javier Milei por los liberales libertarios",0.041,0.404,0.41
"P30","Al candidato del Frente de Izquierda",0.068,0.013,0.108
"P30","No sabe",0.178,0.148,0.277
"P31","Sergio Massa por el Frente de Todos",0.777,0.013,0.042
"P31","Horacio Rodríguez Larreta por Juntos por el Cambio",0.026,0.438,0.099
"P31","Javier Milei por los liberales libertarios",0.033,0.418,0.42
"P31","Al candidato del Frente de Izquierda",0.064,0.012,0.113
"P31","No sabe",0.1,0.119,0.326
"P32","Wado de Pedro por el Frente de Todos",0.743,0.01,0.131
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.027,0.458,0.112
"P32","Javier Milei por los liberales libertarios",0.042,0.414,0.401
"P32","Al candidato del Frente de Izquierda",0.042,0.008,0.08
"P32","No sabe",0.146,0.11,0.276
"P33","Daniel Scioli por el Frente de Todos",0.738,0.018,0.105
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.025,0.47,0.105
"P33","Javier Milei por los liberales libertarios",0.043,0.404,0.398
"P33","Al candidato del Frente de Izquierda",0.062,0.008,0.098
"P33","No sabe",0.132,0.1,0.294
"P34","Sergio Massa por el Frente de Todos",0.812,0.011,0.035
"P34","Patricia Bullrich por Juntos por el Cambio",0.016,0.679,0.054
"P34","Javier Milei por los liberales libertarios",0.033,0.276,0.414
"P34","Al candidato del Frente de Izquierda",0.066,0.003,0.12
"P34","No sabe",0.073,0.031,0.377
"P35","Alberto Fernández por el Frente de Todos",0.737,0.01,0.102
"P35","Patricia Bullrich por Juntos por el Cambio",0.009,0.688,0.057
"P35","Javier Milei por los liberales libertarios",0.039,0.27,0.417
"P35","Al candidato del Frente de Izquierda",0.086,0.003,0.118
"P35","No sabe",0.129,0.029,0.306
"P36","Wado de Pedro por el Frente de Todos",0.73,0.007,0.115
"P36","Patricia Bullrich por Juntos por el Cambio",0.018,0.693,0.052
"P36","Javier Milei por los liberales libertarios",0.051,0.266,0.417
"P36","Al candidato del Frente de Izquierda",0.043,0.011,0.1
"P36","No sabe",0.158,0.023,0.316
"P37","Daniel Scioli por el Frente de Todos",0.765,0.007,0.103
"P37","Patricia Bullrich por Juntos por el Cambio",0.017,0.695,0.048
"P37","Javier Milei por los liberales libertarios",0.037,0.269,0.424
"P37","Al candidato del Frente de Izquierda",0.063,0.003,0.114
"P37","No sabe",0.118,0.026,0.311
"P38","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.109,0.37,0.098
"P38","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.653,0.112,0.05
"P38","Javier Milei presidente y su candidato a vice",0.047,0.382,0.42
"P38","A los candidatos de la izquierda",0.076,0.01,0.109
"P38","No sabe",0.115,0.126,0.323
"P39","Patricia Bullrich presidenta – Gustavo Valdés vice por Juntos por el Cambio",0.028,0.624,0.032
"P39","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.728,0.035,0.038
"P39","Javier Milei presidente y su candidato a vice",0.043,0.289,0.419
"P39","A los candidatos de la izquierda",0.075,0.003,0.121
"P39","No sabe",0.126,0.049,0.39
"P40","Sergio Massa por el Frente de Todos",0.921,0.034,0.05
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.033,0.678,0.137
"P40","No sabe",0.046,0.288,0.813
"P41","Alberto Fernández por el Frente de Todos",0.827,0.033,0.103
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.043,0.724,0.141
"P41","No sabe",0.13,0.243,0.756
"P43","Alberto Fernández por el Frente de Todos",0.854,0.017,0.121
"P43","Patricia Bullrich por Juntos por el Cambio",0.018,0.96,0.094
"P43","No sabe",0.128,0.023,0.785
"P44","Wado de Pedro por el Frente de Todos",0.798,0.017,0.146
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.049,0.751,0.163
"P44","No sabe",0.153,0.232,0.691
"P45","Daniel Scioli por el Frente de Todos",0.842,0.03,0.129
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.039,0.735,0.144
"P45","No sabe",0.119,0.235,0.727
"P46","Wado de Pedro por el Frente de Todos",0.821,0.017,0.145
"P46","Patricia Bullrich por Juntos por el Cambio",0.018,0.94,0.106
"P46","No sabe",0.161,0.043,0.749
"P47","Daniel Scioli por el Frente de Todos",0.863,0.011,0.133
"P47","Patricia Bullrich por Juntos por el Cambio",0.019,0.962,0.106
"P47","No sabe",0.118,0.027,0.761
"P48","Horacio Rodríguez Larreta por Juntos por el Cambio",0.232,0.418,0.14
"P48","Javier Milei por los liberales libertarios",0.074,0.495,0.326
"P48","No sabe",0.694,0.087,0.534
"P49","Patricia Bullrich por Juntos por el Cambio",0.071,0.658,0.065
"P49","Javier Milei por los liberales libertarios",0.092,0.312,0.39
"P49","No sabe",0.837,0.03,0.545
"P50","Alberto Fernández por el Frente de Todos",0.751,0.108,0.125
"P50","Javier Milei por los liberales libertarios",0.057,0.611,0.407
"P50","No sabe",0.192,0.281,0.468
"P51","Sergio Massa por el Frente de Todos",0.904,0.029,0.082
"P51","Javier Milei por los liberales libertarios",0.048,0.683,0.402
"P51","No sabe",0.048,0.288,0.516
"P52","Muy buena",0.205,0.01,0.041
"P52","Buena",0.285,0.077,0.113
"P52","Ni buena ni mala",0.319,0.054,0.187
"P52","Mala",0.138,0.07,0.14
"P52","Muy mala",0.05,0.786,0.493
"P52","No sabe",0.003,0.003,0.026
"P53","Muy buena",0.633,0.004,0.165
"P53","Buena",0.158,0.013,0.074
"P53","Ni buena ni mala",0.108,0.011,0.112
"P53","Mala",0.062,0.049,0.069
"P53","Muy mala",0.036,0.92,0.559
"P53","No sabe",0.003,0.003,0.021
"P54","Muy buena",0.097,0.306,0.046
"P54","Buena",0.014,0.275,0.068
"P54","Ni buena ni mala",0.049,0.207,0.184
"P54","Mala",0.133,0.083,0.198
"P54","Muy mala",0.705,0.124,0.485
"P54","No sabe",0.002,0.005,0.019
"P55","Muy buena",0.03,0.188,0.062
"P55","Buena",0.03,0.323,0.069
"P55","Ni buena ni mala",0.111,0.255,0.234
"P55","Mala",0.229,0.117,0.145
"P55","Muy mala",0.594,0.113,0.454
"P55","No sabe",0.006,0.004,0.036
"P56","Muy buena",0.188,0.028,0.01
"P56","Buena",0.37,0.047,0.059
"P56","Ni buena ni mala",0.293,0.08,0.229
"P56","Mala",0.092,0.138,0.184
"P56","Muy mala",0.051,0.705,0.479
"P56","No sabe",0.006,0.002,0.039
"P57","Muy buena",0.056,0.481,0.046
"P57","Buena",0.049,0.241,0.083
"P57","Ni buena ni mala",0.091,0.123,0.246
"P57","Mala",0.112,0.04,0.156
"P57","Muy mala",0.677,0.113,0.442
"P57","No sabe",0.015,0.002,0.027
"P58","Muy buena",0.052,0.278,0.299
"P58","Buena",0.02,0.232,0.098
"P58","Ni buena ni mala",0.066,0.275,0.136
"P58","Mala",0.105,0.115,0.124
"P58","Muy mala",0.735,0.092,0.301
"P58","No sabe",0.022,0.008,0.042
"P59","Muy buena",0.358,0.043,0.124
"P59","Buena",0.275,0.045,0.077
"P59","Ni buena ni mala",0.157,0.141,0.22
"P59","Mala",0.049,0.168,0.135
"P59","Muy mala",0.116,0.55,0.354
"P59","No sabe",0.045,0.053,0.09
"P60","Muy buena",0.261,0.009,0.054
"P60","Buena",0.38,0.012,0.078
"P60","Ni buena ni mala",0.262,0.078,0.239
"P60","Mala",0.058,0.195,0.148
"P60","Muy mala",0.025,0.692,0.452
"P60","No sabe",0.014,0.014,0.029
"P61","Muy buena",0.065,0.238,0.041
"P61","Buena",0.057,0.267,0.116
"P61","Ni buena ni mala",0.08,0.236,0.199
"P61","Mala",0.149,0.102,0.154
"P61","Muy mala",0.64,0.152,0.459
"P61","No sabe",0.009,0.005,0.031
"P62","Muy buena",0.068,0.13,0.078
"P62","Buena",0.08,0.232,0.068
"P62","Ni buena ni mala",0.347,0.351,0.305
"P62","Mala",0.216,0.119,0.16
"P62","Muy mala",0.234,0.138,0.289
"P62","No sabe",0.055,0.03,0.1
"P63","Siempre",0.313,0.307,0.255
"P63","Casi siempre",0.39,0.401,0.333
"P63","Casi nunca",0.206,0.214,0.247
"P63","Nunca, pero esta es una excepción",0.091,0.078,0.165
"P64","Si",0.635,0.633,0.565
"P64","No",0.365,0.367,0.435
