"var","categoria","Sergio Massa por el Frente de Todos","Javier Milei por los liberales libertarios","No sabe"
"P35","No sabe",0.134,0.013,0.255
"P36","Wado de Pedro por el Frente de Todos",0.732,0.01,0.085
"P36","Patricia Bullrich por Juntos por el Cambio",0.042,0.475,0.532
"P36","Javier Milei por los liberales libertarios",0.023,0.494,0.049
"P36","Al candidato del Frente de Izquierda",0.053,0.009,0.083
"P36","No sabe",0.15,0.012,0.251
"P37","Daniel Scioli por el Frente de Todos",0.754,0.014,0.083
"P37","Patricia Bullrich por Juntos por el Cambio",0.05,0.469,0.527
"P37","Javier Milei por los liberales libertarios",0.022,0.5,0.052
"P37","Al candidato del Frente de Izquierda",0.07,0.002,0.093
"P37","No sabe",0.104,0.015,0.245
"P38","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.133,0.242,0.347
"P38","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.634,0.073,0.135
"P38","Javier Milei presidente y su candidato a vice",0.02,0.625,0.06
"P38","A los candidatos de la izquierda",0.085,0.006,0.084
"P38","No sabe",0.128,0.054,0.374
"P39","Patricia Bullrich presidenta – Gustavo Valdés vice por Juntos por el Cambio",0.059,0.42,0.475
"P39","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.702,0.026,0.057
"P39","Javier Milei presidente y su candidato a vice",0.023,0.523,0.053
"P39","A los candidatos de la izquierda",0.086,0.006,0.087
"P39","No sabe",0.13,0.025,0.328
"P40","Sergio Massa por el Frente de Todos",0.875,0.051,0.05
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.067,0.532,0.468
"P40","No sabe",0.058,0.417,0.482
"P41","Alberto Fernández por el Frente de Todos",0.787,0.043,0.096
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.071,0.581,0.486
"P41","No sabe",0.142,0.376,0.418
"P42","Sergio Massa por el Frente de Todos",0.894,0.032,0.054
"P42","Patricia Bullrich por Juntos por el Cambio",0.048,0.774,0.537
"P42","No sabe",0.058,0.194,0.409
"P43","Alberto Fernández por el Frente de Todos",0.823,0.028,0.096
"P43","Patricia Bullrich por Juntos por el Cambio",0.048,0.793,0.539
"P43","No sabe",0.129,0.179,0.365
"P44","Wado de Pedro por el Frente de Todos",0.794,0.032,0.105
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.074,0.613,0.503
"P44","No sabe",0.132,0.355,0.392
"P45","Daniel Scioli por el Frente de Todos",0.823,0.051,0.092
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.067,0.598,0.479
"P45","No sabe",0.11,0.351,0.429
"P46","Wado de Pedro por el Frente de Todos",0.814,0.028,0.114
"P46","Patricia Bullrich por Juntos por el Cambio",0.045,0.779,0.536
"P46","No sabe",0.141,0.193,0.35
"P47","Daniel Scioli por el Frente de Todos",0.835,0.028,0.102
"P47","Patricia Bullrich por Juntos por el Cambio",0.039,0.799,0.552
"P47","No sabe",0.126,0.173,0.346
"P48","Horacio Rodríguez Larreta por Juntos por el Cambio",0.273,0.265,0.413
"P48","Javier Milei por los liberales libertarios",0.049,0.678,0.086
"P48","No sabe",0.678,0.057,0.501
"P49","Patricia Bullrich por Juntos por el Cambio",0.1,0.431,0.536
"P49","Javier Milei por los liberales libertarios",0.063,0.541,0.031
"P49","No sabe",0.837,0.028,0.433
"P50","Alberto Fernández por el Frente de Todos",0.787,0.06,0.154
"P50","Javier Milei por los liberales libertarios",0.029,0.885,0.033
"P50","No sabe",0.184,0.055,0.813
"P52","Muy buena",0.207,0.01,0.03
"P52","Buena",0.273,0.122,0.045
"P52","Ni buena ni mala",0.299,0.031,0.217
"P52","Mala",0.142,0.062,0.134
"P52","Muy mala",0.076,0.772,0.552
"P52","No sabe",0.003,0.003,0.022
"P53","Muy buena",0.611,0.019,0.128
"P53","Buena",0.155,0.028,0.04
"P53","Ni buena ni mala",0.101,0.024,0.077
"P53","Mala",0.068,0.05,0.055
"P53","Muy mala",0.065,0.875,0.681
"P53","No sabe",0,0.004,0.019
"P54","Muy buena",0.097,0.22,0.243
"P54","Buena",0.023,0.239,0.162
"P54","Ni buena ni mala",0.04,0.237,0.151
"P54","Mala",0.134,0.117,0.117
"P54","Muy mala",0.704,0.185,0.307
"P54","No sabe",0.002,0.002,0.02
"P55","Muy buena",0.035,0.129,0.183
"P55","Buena",0.035,0.246,0.245
"P55","Ni buena ni mala",0.112,0.263,0.224
"P55","Mala",0.222,0.144,0.102
"P55","Muy mala",0.593,0.213,0.214
"P55","No sabe",0.003,0.005,0.032
"P56","Muy buena",0.171,0.025,0.037
"P56","Buena",0.35,0.048,0.075
"P56","Ni buena ni mala",0.294,0.096,0.17
"P56","Mala",0.105,0.133,0.168
"P56","Muy mala",0.077,0.693,0.521
"P56","No sabe",0.003,0.005,0.029
"P57","Muy buena",0.059,0.376,0.312
"P57","Buena",0.048,0.232,0.133
"P57","Ni buena ni mala",0.089,0.169,0.146
"P57","Mala",0.106,0.071,0.089
"P57","Muy mala",0.687,0.149,0.296
"P57","No sabe",0.011,0.003,0.024
"P58","Muy buena",0.021,0.431,0.075
"P58","Buena",0.018,0.279,0.052
"P58","Ni buena ni mala",0.069,0.206,0.278
"P58","Mala",0.119,0.055,0.207
"P58","Muy mala",0.754,0.026,0.342
"P58","No sabe",0.019,0.003,0.046
"P59","Muy buena",0.34,0.075,0.072
"P59","Buena",0.279,0.054,0.049
"P59","Ni buena ni mala",0.16,0.152,0.181
"P59","Mala",0.056,0.154,0.158
"P59","Muy mala",0.132,0.506,0.454
"P59","No sabe",0.033,0.059,0.086
"P60","Muy buena",0.247,0.021,0.041
"P60","Buena",0.37,0.017,0.063
"P60","Ni buena ni mala",0.26,0.108,0.155
"P60","Mala",0.063,0.173,0.191
"P60","Muy mala",0.053,0.667,0.517
"P60","No sabe",0.007,0.014,0.033
"P61","Muy buena",0.071,0.16,0.208
"P61","Buena",0.055,0.239,0.199
"P61","Ni buena ni mala",0.081,0.241,0.198
"P61","Mala",0.148,0.128,0.099
"P61","Muy mala",0.64,0.225,0.268
"P61","No sabe",0.005,0.007,0.028
"P62","Muy buena",0.057,0.11,0.136
"P62","Buena",0.084,0.195,0.162
"P62","Ni buena ni mala",0.344,0.353,0.315
"P62","Mala",0.222,0.129,0.127
"P62","Muy mala",0.248,0.173,0.18
"P62","No sabe",0.045,0.04,0.08
"P63","Siempre",0.324,0.276,0.305
"P63","Casi siempre",0.385,0.398,0.359
"P63","Casi nunca",0.203,0.225,0.225
"P63","Nunca, pero esta es una excepción",0.088,0.101,0.111
"P64","Si",0.634,0.634,0.578
"P64","No",0.366,0.366,0.422
