"var","categoria","Wado de Pedro por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P12","A Gerardo Morales",0.28,0.045,0.021,0.086,0.199
"P13","Lo votaría",0.326,0.046,0.041,0.093,0.191
"P13","Puede que lo vote",0.404,0.117,0.09,0.172,0.236
"P13","Nunca lo votaría",0.114,0.813,0.798,0.596,0.361
"P13","No sabe",0.156,0.024,0.071,0.139,0.212
"P14","Lo votaría",0.239,0.016,0.023,0.118,0.164
"P14","Puede que lo vote",0.413,0.023,0.043,0.172,0.179
"P14","Nunca lo votaría",0.235,0.95,0.901,0.647,0.461
"P14","No sabe",0.113,0.011,0.033,0.063,0.196
"P15","Lo votaría",0.04,0.253,0.054,0.057,0.082
"P15","Puede que lo vote",0.086,0.387,0.205,0.231,0.185
"P15","Nunca lo votaría",0.842,0.315,0.68,0.635,0.563
"P15","No sabe",0.032,0.045,0.061,0.077,0.17
"P16","Lo votaría",0.053,0.113,0.071,0.145,0.06
"P16","Puede que lo vote",0.127,0.34,0.202,0.148,0.182
"P16","Nunca lo votaría",0.729,0.459,0.62,0.598,0.491
"P16","No sabe",0.091,0.088,0.107,0.109,0.267
"P17","La votaría",0.03,0.687,0.183,0.053,0.04
"P17","Puede que la vote",0.028,0.196,0.369,0.089,0.093
"P17","Nunca la votaría",0.917,0.093,0.396,0.777,0.692
"P17","No sabe",0.025,0.024,0.052,0.081,0.175
"P18","Lo votaría",0.025,0.197,0.752,0.102,0.028
"P18","Puede que lo vote",0.027,0.298,0.168,0.054,0.118
"P18","Nunca lo votaría",0.936,0.451,0.068,0.812,0.703
"P18","No sabe",0.012,0.054,0.012,0.032,0.151
"P19","La votaría",0.048,0.24,0.153,0.048,0.059
"P19","Puede que la vote",0.023,0.376,0.247,0.175,0.149
"P19","Nunca la votaría",0.892,0.315,0.553,0.711,0.617
"P19","No sabe",0.037,0.069,0.047,0.066,0.175
"P20","Lo votaría",0.425,0.048,0.021,0.046,0.03
"P20","Puede que lo vote",0.357,0.078,0.086,0.226,0.141
"P20","Nunca lo votaría",0.166,0.826,0.798,0.641,0.561
"P20","No sabe",0.052,0.048,0.095,0.087,0.268
"P21","Lo votaría",0.342,0.021,0.026,0.039,0.099
"P21","Puede que lo vote",0.45,0.029,0.07,0.224,0.253
"P21","Nunca lo votaría",0.138,0.934,0.879,0.657,0.452
"P21","No sabe",0.07,0.016,0.025,0.08,0.196
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.01,0.146,0.031,0.149,0.095
"P22","Patricia Bullrich por Juntos por el Cambio",0.007,0.719,0.055,0.009,0.033
"P22","Facundo Manes por Juntos por el Cambio",0.023,0.054,0.037,0.091,0.077
"P22","Alberto Fernández por el Frente de Todos",0.091,0.009,0.016,0.087,0.151
"P22","Sergio Massa por el Frente de Todos",0.172,0.01,0.02,0.084,0.156
"P22","Wado de Pedro por el Frente de Todos",0.435,0.007,0.012,0.073,0.035
"P22","Daniel Scioli por el Frente de Todos",0.198,0.004,0.022,0.073,0.089
"P22","Javier Milei por los liberales libertarios",0.005,0.022,0.783,0.044,0.033
"P22","Al candidato del Frente de Izquierda",0.023,0.003,0,0.338,0.012
"P22","No sabe",0.036,0.026,0.024,0.052,0.319
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.009,0.127,0.029,0.137,0.081
"P23","Patricia Bullrich por Juntos por el Cambio",0.008,0.673,0.051,0.008,0.038
"P23","María Eugenia Vidal por Juntos por el Cambio",0.013,0.094,0.032,0.051,0.062
"P23","Facundo Manes por Juntos por el Cambio",0.023,0.042,0.028,0.094,0.083
"P23","Sergio Massa por el Frente de Todos",0.212,0.009,0.022,0.107,0.217
"P23","Wado de Pedro por el Frente de Todos",0.469,0.004,0.012,0.093,0.033
"P23","Daniel Scioli por el Frente de Todos",0.216,0.005,0.021,0.079,0.111
"P23","Javier Milei por los liberales libertarios",0.002,0.024,0.794,0.041,0.029
"P23","Al candidato del Frente de Izquierda",0.023,0.005,0.002,0.329,0.008
"P23","No sabe",0.025,0.017,0.009,0.061,0.338
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.01,0.132,0.032,0.121,0.072
"P24","Patricia Bullrich por Juntos por el Cambio",0.007,0.681,0.048,0.031,0.035
"P24","María Eugenia Vidal por Juntos por el Cambio",0.014,0.095,0.025,0.056,0.052
"P24","Facundo Manes por Juntos por el Cambio",0.029,0.038,0.026,0.124,0.086
"P24","Sergio Massa por el Frente de Todos",0.248,0.004,0.022,0.098,0.166
"P24","Wado de Pedro por el Frente de Todos",0.517,0.005,0.011,0.089,0.03
"P24","Alberto Fernández por el Frente de Todos",0.139,0.007,0.024,0.054,0.215
"P24","Javier Milei por los liberales libertarios",0.005,0.024,0.798,0.056,0.027
"P24","Al candidato del Frente de Izquierda",0.011,0.002,0.001,0.318,0.011
"P24","No sabe",0.02,0.012,0.013,0.053,0.306
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.011,0.138,0.036,0.173,0.089
"P25","Patricia Bullrich por Juntos por el Cambio",0.014,0.594,0.049,0.037,0.018
"P25","Facundo Manes por Juntos por el Cambio",0.007,0.177,0.019,0.108,0.09
"P25","Sergio Massa por el Frente de Todos",0.209,0.008,0.028,0.095,0.192
"P25","Wado de Pedro por el Frente de Todos",0.461,0.002,0.021,0.071,0.054
"P25","Daniel Scioli por el Frente de Todos",0.249,0.008,0.023,0.105,0.143
"P25","Javier Milei por los liberales libertario",0.02,0.044,0.413,0.023,0.069
"P25","Al candidato del Frente de Izquierda",0.006,0.015,0.403,0.219,0.024
"P25","No sabe",0.023,0.014,0.008,0.169,0.321
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.018,0.2,0.03,0.162,0.119
"P26","Patricia Bulrich por Juntos por el Cambio",0.032,0.693,0.049,0.01,0.042
"P26","Alberto Fernández por el Frente de Todos",0.187,0.007,0.026,0.099,0.207
"P26","Sergio Massa por el Frente de Todos",0.507,0.011,0.027,0.107,0.192
"P26","Javier Milei por los liberales libertarios",0.029,0.05,0.777,0.06,0.039
"P26","Al candidato del Frente de Izquierda",0.099,0.015,0.02,0.497,0.015
"P26","No sabe",0.128,0.024,0.071,0.065,0.386
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.022,0.187,0.039,0.142,0.131
"P27","Patricia Bullrich por Juntos por el Cambio",0.01,0.732,0.047,0.041,0.042
"P27","Wado de Pedro por el Frente de Todos",0.512,0.007,0.013,0.056,0.068
"P27","Sergio Massa por el Frente de Todos",0.342,0.008,0.044,0.142,0.259
"P27","Javier Milei por los liberales libertarios",0.02,0.04,0.826,0.089,0.046
"P27","Al candidato del Frente de Izquierda",0.046,0.005,0.012,0.488,0.013
"P27","No sabe",0.048,0.021,0.019,0.042,0.441
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.019,0.182,0.048,0.142,0.127
"P28","Patricia Bullrich por Juntos por el Cambio",0.005,0.743,0.04,0.055,0.052
"P28","Wado de Pedro por el Frente de Todos",0.559,0.005,0.014,0.064,0.047
"P28","Daniel Scioli por el Frente de Todos",0.323,0.008,0.026,0.128,0.244
"P28","Javier Milei por los liberales libertarios",0.02,0.036,0.854,0.081,0.04
"P28","Al candidato del Frente de Izquierda",0.033,0.004,0.01,0.486,0.016
"P28","No sabe",0.041,0.022,0.008,0.044,0.474
"P29","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.015,0.287,0.048,0.159,0.134
"P29","Patricia Bullrich presidenta – Gustavo Valdes vice por Juntos por el Cambio",0.008,0.623,0.031,0.025,0.026
"P29","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.303,0.016,0.031,0.16,0.227
"P29","Wado de Pedro presidente – Jorge Capitanich vice por el Frente de Todos",0.588,0.008,0.021,0.076,0.082
"P29","Javier Milei presidente y su candidato a vice",0.014,0.033,0.847,0.087,0.057
"P29","A los candidatos de la izquierda",0.023,0,0.003,0.453,0.009
"P29","No sabe",0.049,0.033,0.019,0.04,0.465
"P30","Alberto Fernández por el Frente de Todos",0.703,0.035,0.022,0.087,0.292
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.034,0.557,0.044,0.134,0.142
"P30","Javier Milei por los liberales libertarios",0.017,0.204,0.897,0.068,0.033
"P30","Al candidato del Frente de Izquierda",0.068,0.01,0.009,0.638,0.027
"P30","No sabe",0.178,0.194,0.028,0.073,0.506
"P31","Sergio Massa por el Frente de Todos",0.76,0.012,0.028,0.153,0.264
"P31","Horacio Rodríguez Larreta por Juntos por el Cambio",0.031,0.597,0.044,0.102,0.159
"P31","Javier Milei por los liberales libertarios",0.006,0.224,0.909,0.063,0.043
"P31","Al candidato del Frente de Izquierda",0.073,0.011,0.009,0.6,0.022
"P31","No sabe",0.13,0.156,0.01,0.082,0.512
"P32","Wado de Pedro por el Frente de Todos",0.908,0.01,0.023,0.092,0.092
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.011,0.616,0.054,0.171,0.162
"P32","Javier Milei por los liberales libertarios",0.017,0.216,0.901,0.058,0.034
"P32","Al candidato del Frente de Izquierda",0.019,0.011,0.002,0.606,0.013
"P32","No sabe",0.045,0.147,0.02,0.073,0.699
"P33","Daniel Scioli por el Frente de Todos",0.802,0.013,0.032,0.131,0.213
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.028,0.631,0.044,0.167,0.152
"P33","Javier Milei por los liberales libertarios",0.006,0.212,0.904,0.042,0.019
"P33","Al candidato del Frente de Izquierda",0.058,0.007,0.002,0.611,0.016
"P33","No sabe",0.106,0.137,0.018,0.049,0.6
"P34","Sergio Massa por el Frente de Todos",0.794,0.013,0.029,0.143,0.277
"P34","Patricia Bullrich por Juntos por el Cambio",0.018,0.917,0.05,0.078,0.074
"P34","Javier Milei por los liberales libertarios",0.008,0.037,0.903,0.057,0.014
"P34","Al candidato del Frente de Izquierda",0.065,0.004,0.003,0.638,0.026
"P34","No sabe",0.115,0.029,0.015,0.084,0.609
"P35","Alberto Fernández por el Frente de Todos",0.789,0.008,0.023,0.116,0.278
"P35","Patricia Bullrich por Juntos por el Cambio",0.006,0.95,0.03,0.04,0.035
"P35","Javier Milei por los liberales libertarios",0.014,0.02,0.937,0.072,0.01
"P35","Al candidato del Frente de Izquierda",0.079,0.003,0.006,0.724,0.022
"P35","No sabe",0.112,0.019,0.004,0.048,0.655
"P37","Daniel Scioli por el Frente de Todos",0.853,0.004,0.025,0.109,0.215
"P37","Patricia Bullrich por Juntos por el Cambio",0.011,0.971,0.036,0.006,0.02
"P37","Javier Milei por los liberales libertarios",0.018,0.016,0.936,0.063,0.006
"P37","Al candidato del Frente de Izquierda",0.045,0.003,0,0.756,0.015
"P37","No sabe",0.073,0.006,0.003,0.066,0.744
"P38","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.139,0.481,0.048,0.126,0.149
"P38","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.622,0.16,0.027,0.13,0.268
"P38","Javier Milei presidente y su candidato a vice",0.016,0.185,0.911,0.028,0.023
"P38","A los candidatos de la izquierda",0.076,0.012,0.003,0.622,0.012
"P38","No sabe",0.147,0.162,0.011,0.094,0.548
"P39","Patricia Bullrich presidenta – Gustavo Valdés vice por Juntos por el Cambio",0.046,0.823,0.047,0.036,0.053
"P39","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.702,0.052,0.032,0.151,0.265
"P39","Javier Milei presidente y su candidato a vice",0.015,0.061,0.905,0.063,0.012
"P39","A los candidatos de la izquierda",0.079,0.003,0.003,0.668,0.017
"P39","No sabe",0.158,0.061,0.013,0.082,0.653
"P40","Sergio Massa por el Frente de Todos",0.865,0.039,0.072,0.312,0.369
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.023,0.75,0.278,0.245,0.178
"P40","No sabe",0.112,0.211,0.65,0.443,0.453
"P41","Alberto Fernández por el Frente de Todos",0.836,0.025,0.059,0.317,0.352
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.025,0.788,0.334,0.242,0.189
"P41","No sabe",0.139,0.187,0.607,0.441,0.459
"P42","Sergio Massa por el Frente de Todos",0.885,0.015,0.066,0.327,0.373
"P42","Patricia Bullrich por Juntos por el Cambio",0.015,0.953,0.55,0.128,0.089
"P42","No sabe",0.1,0.032,0.384,0.545,0.538
"P43","Alberto Fernández por el Frente de Todos",0.86,0.01,0.058,0.386,0.361
"P43","Patricia Bullrich por Juntos por el Cambio",0.013,0.964,0.585,0.065,0.068
"P43","No sabe",0.127,0.026,0.357,0.549,0.571
"P44","Wado de Pedro por el Frente de Todos",0.948,0.021,0.046,0.264,0.141
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.028,0.807,0.37,0.301,0.187
"P44","No sabe",0.024,0.172,0.584,0.435,0.672
"P45","Daniel Scioli por el Frente de Todos",0.881,0.024,0.078,0.281,0.316
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.022,0.802,0.338,0.25,0.172
"P45","No sabe",0.097,0.174,0.584,0.469,0.512
"P46","Wado de Pedro por el Frente de Todos",0.96,0.011,0.062,0.354,0.133
"P46","Patricia Bullrich por Juntos por el Cambio",0.011,0.947,0.561,0.151,0.08
"P46","No sabe",0.029,0.042,0.377,0.495,0.787
"P47","Daniel Scioli por el Frente de Todos",0.879,0.01,0.063,0.335,0.343
"P47","Patricia Bullrich por Juntos por el Cambio",0.008,0.974,0.589,0.142,0.065
"P47","No sabe",0.113,0.016,0.348,0.523,0.592
"P48","Horacio Rodríguez Larreta por Juntos por el Cambio",0.232,0.548,0.061,0.332,0.2
"P48","Javier Milei por los liberales libertarios",0.035,0.332,0.832,0.083,0.048
"P48","No sabe",0.733,0.12,0.107,0.585,0.752
"P49","Patricia Bullrich por Juntos por el Cambio",0.061,0.878,0.054,0.162,0.09
"P49","Javier Milei por los liberales libertarios",0.047,0.092,0.876,0.096,0.057
"P49","No sabe",0.892,0.03,0.07,0.742,0.853
"P50","Alberto Fernández por el Frente de Todos",0.772,0.142,0.023,0.37,0.342
"P50","Javier Milei por los liberales libertarios",0.017,0.474,0.918,0.12,0.06
"P50","No sabe",0.211,0.384,0.059,0.51,0.598
"P51","Sergio Massa por el Frente de Todos",0.89,0.035,0.029,0.378,0.386
"P51","Javier Milei por los liberales libertarios",0.018,0.574,0.916,0.097,0.044
"P51","No sabe",0.092,0.391,0.055,0.525,0.57
"P52","Muy buena",0.187,0.009,0.015,0.132,0.139
"P52","Buena",0.29,0.077,0.109,0.08,0.154
"P52","Ni buena ni mala",0.321,0.077,0.069,0.199,0.25
"P52","Mala",0.154,0.074,0.058,0.204,0.156
"P52","Muy mala",0.046,0.759,0.745,0.35,0.271
"P52","No sabe",0.002,0.004,0.004,0.035,0.03
"P53","Muy buena",0.715,0.013,0.031,0.203,0.237
"P53","Buena",0.156,0.014,0.031,0.105,0.116
"P53","Ni buena ni mala",0.079,0.012,0.054,0.105,0.175
"P53","Mala",0.037,0.046,0.045,0.199,0.104
"P53","Muy mala",0.013,0.911,0.834,0.373,0.339
"P53","No sabe",0,0.004,0.005,0.015,0.029
"P54","Muy buena",0.091,0.39,0.062,0.108,0.06
"P54","Buena",0.014,0.293,0.157,0.037,0.056
"P54","Ni buena ni mala",0.02,0.148,0.328,0.042,0.16
"P54","Mala",0.121,0.053,0.161,0.196,0.234
"P54","Muy mala",0.752,0.114,0.289,0.576,0.462
"P54","No sabe",0.002,0.002,0.003,0.041,0.028
"P55","Muy buena",0.021,0.238,0.044,0.113,0.08
"P55","Buena",0.016,0.389,0.108,0.095,0.079
"P55","Ni buena ni mala",0.068,0.235,0.292,0.125,0.282
"P55","Mala",0.228,0.074,0.189,0.247,0.159
"P55","Muy mala",0.665,0.061,0.359,0.396,0.341
"P55","No sabe",0.002,0.003,0.008,0.024,0.059
"P56","Muy buena",0.15,0.042,0.017,0.032,0.124
"P56","Buena",0.364,0.059,0.049,0.114,0.155
"P56","Ni buena ni mala",0.301,0.083,0.127,0.219,0.268
"P56","Mala",0.105,0.126,0.134,0.271,0.171
"P56","Muy mala",0.079,0.687,0.665,0.359,0.221
"P56","No sabe",0.001,0.003,0.008,0.005,0.061
"P57","Muy buena",0.041,0.578,0.166,0.053,0.037
"P57","Buena",0.048,0.217,0.243,0.018,0.026
"P57","Ni buena ni mala",0.073,0.07,0.269,0.162,0.225
"P57","Mala",0.084,0.029,0.112,0.152,0.189
"P57","Muy mala",0.75,0.105,0.204,0.615,0.45
"P57","No sabe",0.004,0.001,0.006,0,0.073
"P58","Muy buena",0.015,0.143,0.651,0.079,0.027
"P58","Buena",0.013,0.227,0.226,0.034,0.012
"P58","Ni buena ni mala",0.046,0.355,0.081,0.123,0.177
"P58","Mala",0.101,0.151,0.013,0.134,0.224
"P58","Muy mala",0.817,0.113,0.027,0.595,0.46
"P58","No sabe",0.008,0.011,0.002,0.035,0.1
"P59","Muy buena",0.446,0.025,0.117,0.072,0.034
"P59","Buena",0.32,0.045,0.057,0.121,0.052
"P59","Ni buena ni mala",0.103,0.148,0.167,0.249,0.292
"P59","Mala",0.025,0.165,0.145,0.123,0.182
"P59","Muy mala",0.097,0.58,0.425,0.361,0.279
"P59","No sabe",0.009,0.037,0.089,0.074,0.161
"P60","Muy buena",0.254,0.015,0.025,0.076,0.146
"P60","Buena",0.416,0.015,0.03,0.074,0.145
"P60","Ni buena ni mala",0.264,0.071,0.148,0.272,0.252
"P60","Mala",0.04,0.198,0.155,0.235,0.15
"P60","Muy mala",0.026,0.691,0.625,0.313,0.235
"P60","No sabe",0,0.01,0.017,0.03,0.072
"P61","Muy buena",0.055,0.293,0.061,0.102,0.062
"P61","Buena",0.051,0.309,0.141,0.09,0.104
"P61","Ni buena ni mala",0.056,0.2,0.292,0.072,0.211
"P61","Mala",0.121,0.078,0.16,0.228,0.189
"P61","Muy mala",0.713,0.116,0.337,0.5,0.374
"P61","No sabe",0.004,0.004,0.009,0.008,0.06
"P62","Muy buena",0.043,0.154,0.084,0.133,0.08
"P62","Buena",0.082,0.234,0.133,0.117,0.105
"P62","Ni buena ni mala",0.334,0.341,0.357,0.302,0.333
"P62","Mala",0.233,0.123,0.129,0.188,0.139
"P62","Muy mala",0.275,0.119,0.229,0.236,0.201
"P62","No sabe",0.033,0.029,0.068,0.024,0.142
"P63","Siempre",0.33,0.332,0.241,0.261,0.246
"P63","Casi siempre",0.376,0.412,0.368,0.354,0.355
"P63","Casi nunca",0.201,0.191,0.245,0.293,0.264
"P63","Nunca, pero esta es una excepción",0.093,0.065,0.146,0.092,0.135
"P64","Si",0.632,0.645,0.591,0.616,0.572
"P64","No",0.368,0.355,0.409,0.384,0.428
