"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","No sabe"
"P20","Nunca lo votaría",0.701,0.82,0.377
"P20","No sabe",0.056,0.066,0.118
"P21","Lo votaría",0.098,0.036,0.207
"P21","Puede que lo vote",0.129,0.041,0.34
"P21","Nunca lo votaría",0.747,0.901,0.356
"P21","No sabe",0.026,0.022,0.097
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.191,0.023,0.021
"P22","Patricia Bullrich por Juntos por el Cambio",0.443,0.315,0.1
"P22","Facundo Manes por Juntos por el Cambio",0.077,0.028,0.033
"P22","Alberto Fernández por el Frente de Todos",0.046,0.014,0.086
"P22","Sergio Massa por el Frente de Todos",0.059,0.013,0.136
"P22","Wado de Pedro por el Frente de Todos",0.074,0.021,0.258
"P22","Daniel Scioli por el Frente de Todos",0.041,0.012,0.15
"P22","Javier Milei por los liberales libertarios",0.014,0.546,0.064
"P22","Al candidato del Frente de Izquierda",0.017,0.002,0.038
"P22","No sabe",0.038,0.026,0.114
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.17,0.018,0.019
"P23","Patricia Bullrich por Juntos por el Cambio",0.409,0.304,0.098
"P23","María Eugenia Vidal por Juntos por el Cambio",0.093,0.036,0.018
"P23","Facundo Manes por Juntos por el Cambio",0.069,0.028,0.037
"P23","Sergio Massa por el Frente de Todos",0.066,0.014,0.187
"P23","Wado de Pedro por el Frente de Todos",0.084,0.022,0.272
"P23","Daniel Scioli por el Frente de Todos",0.046,0.016,0.154
"P23","Javier Milei por los liberales libertarios",0.012,0.542,0.066
"P23","Al candidato del Frente de Izquierda",0.018,0.003,0.035
"P23","No sabe",0.033,0.017,0.114
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.169,0.018,0.019
"P24","Patricia Bullrich por Juntos por el Cambio",0.404,0.316,0.103
"P24","María Eugenia Vidal por Juntos por el Cambio",0.089,0.04,0.018
"P24","Facundo Manes por Juntos por el Cambio",0.072,0.017,0.042
"P24","Sergio Massa por el Frente de Todos",0.075,0.018,0.181
"P24","Wado de Pedro por el Frente de Todos",0.09,0.012,0.305
"P24","Alberto Fernández por el Frente de Todos",0.048,0.021,0.124
"P24","Javier Milei por los liberales libertarios",0.019,0.544,0.064
"P24","Al candidato del Frente de Izquierda",0.009,0.002,0.037
"P24","No sabe",0.025,0.012,0.107
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.172,0.026,0.025
"P25","Patricia Bullrich por Juntos por el Cambio",0.374,0.256,0.09
"P25","Facundo Manes por Juntos por el Cambio",0.133,0.09,0.038
"P25","Sergio Massa por el Frente de Todos",0.075,0.021,0.163
"P25","Wado de Pedro por el Frente de Todos",0.095,0.015,0.27
"P25","Daniel Scioli por el Frente de Todos",0.053,0.026,0.191
"P25","Javier Milei por los liberales libertario",0.061,0.302,0.05
"P25","Al candidato del Frente de Izquierda",0.009,0.249,0.065
"P25","No sabe",0.028,0.015,0.108
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.239,0.042,0.019
"P26","Patricia Bulrich por Juntos por el Cambio",0.438,0.297,0.114
"P26","Alberto Fernández por el Frente de Todos",0.056,0.021,0.158
"P26","Sergio Massa por el Frente de Todos",0.139,0.028,0.329
"P26","Javier Milei por los liberales libertarios",0.038,0.533,0.078
"P26","Al candidato del Frente de Izquierda",0.041,0.013,0.112
"P26","No sabe",0.049,0.066,0.19
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.245,0.026,0.019
"P27","Patricia Bullrich por Juntos por el Cambio",0.454,0.32,0.111
"P27","Wado de Pedro por el Frente de Todos",0.088,0.015,0.319
"P27","Sergio Massa por el Frente de Todos",0.108,0.027,0.264
"P27","Javier Milei por los liberales libertarios",0.032,0.58,0.072
"P27","Al candidato del Frente de Izquierda",0.025,0.008,0.067
"P27","No sabe",0.048,0.024,0.148
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.246,0.032,0.019
"P28","Patricia Bullrich por Juntos por el Cambio",0.455,0.319,0.111
"P28","Wado de Pedro por el Frente de Todos",0.098,0.018,0.325
"P28","Daniel Scioli por el Frente de Todos",0.094,0.019,0.267
"P28","Javier Milei por los liberales libertarios",0.036,0.588,0.075
"P28","Al candidato del Frente de Izquierda",0.026,0.008,0.056
"P28","No sabe",0.045,0.016,0.147
"P29","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.297,0.097,0.021
"P29","Patricia Bullrich presidenta – Gustavo Valdes vice por Juntos por el Cambio",0.406,0.24,0.092
"P29","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.097,0.033,0.24
"P29","Wado de Pedro presidente – Jorge Capitanich vice por el Frente de Todos",0.115,0.016,0.357
"P29","Javier Milei presidente y su candidato a vice",0.022,0.586,0.074
"P29","A los candidatos de la izquierda",0.02,0.002,0.052
"P29","No sabe",0.043,0.026,0.164
"P30","Alberto Fernández por el Frente de Todos",0.207,0.026,0.455
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.58,0.122,0.038
"P30","Javier Milei por los liberales libertarios",0.052,0.772,0.081
"P30","Al candidato del Frente de Izquierda",0.039,0.004,0.099
"P30","No sabe",0.122,0.076,0.327
"P31","Sergio Massa por el Frente de Todos",0.2,0.027,0.491
"P31","Horacio Rodríguez Larreta por Juntos por el Cambio",0.623,0.12,0.031
"P31","Javier Milei por los liberales libertarios",0.055,0.788,0.082
"P31","Al candidato del Frente de Izquierda",0.037,0.016,0.092
"P31","No sabe",0.085,0.049,0.304
"P32","Wado de Pedro por el Frente de Todos",0.191,0.026,0.528
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.665,0.117,0.034
"P32","Javier Milei por los liberales libertarios",0.039,0.803,0.068
"P32","Al candidato del Frente de Izquierda",0.034,0.005,0.062
"P32","No sabe",0.071,0.049,0.308
"P33","Daniel Scioli por el Frente de Todos",0.197,0.035,0.507
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.681,0.12,0.031
"P33","Javier Milei por los liberales libertarios",0.04,0.782,0.07
"P33","Al candidato del Frente de Izquierda",0.025,0.012,0.088
"P33","No sabe",0.057,0.051,0.304
"P34","Sergio Massa por el Frente de Todos",0.205,0.029,0.5
"P34","Patricia Bullrich por Juntos por el Cambio",0.626,0.344,0.114
"P34","Javier Milei por los liberales libertarios",0.049,0.602,0.066
"P34","Al candidato del Frente de Izquierda",0.046,0.003,0.093
"P34","No sabe",0.074,0.022,0.227
"P35","Alberto Fernández por el Frente de Todos",0.191,0.037,0.478
"P35","Patricia Bullrich por Juntos por el Cambio",0.637,0.354,0.107
"P35","Javier Milei por los liberales libertarios",0.051,0.59,0.072
"P35","Al candidato del Frente de Izquierda",0.047,0.004,0.104
"P35","No sabe",0.074,0.015,0.239
"P36","Wado de Pedro por el Frente de Todos",0.19,0.026,0.502
"P36","Patricia Bullrich por Juntos por el Cambio",0.64,0.355,0.117
"P36","Javier Milei por los liberales libertarios",0.048,0.592,0.07
"P36","Al candidato del Frente de Izquierda",0.044,0.01,0.065
"P36","No sabe",0.078,0.017,0.246
"P37","Daniel Scioli por el Frente de Todos",0.205,0.029,0.508
"P37","Patricia Bullrich por Juntos por el Cambio",0.635,0.363,0.113
"P37","Javier Milei por los liberales libertarios",0.057,0.592,0.065
"P37","Al candidato del Frente de Izquierda",0.041,0.002,0.09
"P37","No sabe",0.062,0.014,0.224
"P38","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.587,0.093,0.07
"P38","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.247,0.083,0.434
"P38","Javier Milei presidente y su candidato a vice",0.045,0.755,0.079
"P38","A los candidatos de la izquierda",0.03,0.011,0.101
"P38","No sabe",0.091,0.058,0.316
"P39","Patricia Bullrich presidenta – Gustavo Valdés vice por Juntos por el Cambio",0.624,0.289,0.099
"P39","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.193,0.046,0.459
"P39","Javier Milei presidente y su candidato a vice",0.039,0.634,0.07
"P39","A los candidatos de la izquierda",0.047,0.004,0.095
"P39","No sabe",0.097,0.027,0.277
"P40","Sergio Massa por el Frente de Todos",0.235,0.083,0.561
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.714,0.406,0.052
"P40","No sabe",0.051,0.511,0.387
"P41","Alberto Fernández por el Frente de Todos",0.211,0.077,0.532
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.739,0.467,0.052
"P41","No sabe",0.05,0.456,0.416
"P42","Sergio Massa por el Frente de Todos",0.229,0.067,0.573
"P42","Patricia Bullrich por Juntos por el Cambio",0.674,0.728,0.118
"P42","No sabe",0.097,0.205,0.309
"P43","Alberto Fernández por el Frente de Todos",0.232,0.053,0.551
"P43","Patricia Bullrich por Juntos por el Cambio",0.67,0.747,0.125
"P43","No sabe",0.098,0.2,0.324
"P44","Wado de Pedro por el Frente de Todos",0.211,0.058,0.55
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.746,0.504,0.064
"P44","No sabe",0.043,0.438,0.386
"P45","Daniel Scioli por el Frente de Todos",0.22,0.088,0.555
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.749,0.469,0.049
"P45","No sabe",0.031,0.443,0.396
"P46","Wado de Pedro por el Frente de Todos",0.229,0.063,0.549
"P46","Patricia Bullrich por Juntos por el Cambio",0.677,0.723,0.117
"P46","No sabe",0.094,0.214,0.334
"P47","Daniel Scioli por el Frente de Todos",0.246,0.047,0.561
"P47","Patricia Bullrich por Juntos por el Cambio",0.671,0.756,0.124
"P47","No sabe",0.083,0.197,0.315
"P49","Patricia Bullrich por Juntos por el Cambio",0.723,0.3,0.105
"P49","Javier Milei por los liberales libertarios",0.061,0.675,0.052
"P49","No sabe",0.216,0.025,0.843
"P50","Alberto Fernández por el Frente de Todos",0.24,0.106,0.533
"P50","Javier Milei por los liberales libertarios",0.313,0.847,0.072
"P50","No sabe",0.447,0.047,0.395
"P51","Sergio Massa por el Frente de Todos",0.266,0.044,0.563
"P51","Javier Milei por los liberales libertarios",0.377,0.887,0.069
"P51","No sabe",0.357,0.069,0.368
"P52","Muy buena",0.086,0.022,0.113
"P52","Buena",0.086,0.113,0.229
"P52","Ni buena ni mala",0.125,0.076,0.268
"P52","Mala",0.096,0.056,0.157
"P52","Muy mala",0.603,0.73,0.217
"P52","No sabe",0.004,0.003,0.016
"P53","Muy buena",0.138,0.033,0.476
"P53","Buena",0.052,0.031,0.118
"P53","Ni buena ni mala",0.04,0.031,0.106
"P53","Mala",0.068,0.043,0.061
"P53","Muy mala",0.696,0.86,0.227
"P53","No sabe",0.006,0.002,0.012
"P54","Muy buena",0.325,0.16,0.101
"P54","Buena",0.215,0.225,0.037
"P54","Ni buena ni mala",0.134,0.245,0.091
"P54","Mala",0.081,0.129,0.15
"P54","Muy mala",0.243,0.238,0.607
"P54","No sabe",0.002,0.003,0.014
"P55","Muy buena",0.25,0.081,0.031
"P55","Buena",0.353,0.178,0.042
"P55","Ni buena ni mala",0.198,0.282,0.148
"P55","Mala",0.082,0.175,0.203
"P55","Muy mala",0.114,0.278,0.554
"P55","No sabe",0.003,0.006,0.022
"P56","Muy buena",0.063,0.033,0.115
"P56","Buena",0.116,0.06,0.251
"P56","Ni buena ni mala",0.134,0.105,0.274
"P56","Mala",0.174,0.12,0.113
"P56","Muy mala",0.511,0.676,0.224
"P56","No sabe",0.002,0.006,0.023
"P57","Muy buena",0.393,0.329,0.093
"P57","Buena",0.17,0.23,0.06
"P57","Ni buena ni mala",0.123,0.176,0.118
"P57","Mala",0.073,0.077,0.105
"P57","Muy mala",0.239,0.185,0.597
"P57","No sabe",0.002,0.003,0.027
"P58","Muy buena",0.077,0.514,0.053
"P58","Buena",0.141,0.256,0.033
"P58","Ni buena ni mala",0.3,0.138,0.127
"P58","Mala",0.193,0.031,0.125
"P58","Muy mala",0.277,0.058,0.622
"P58","No sabe",0.012,0.003,0.04
"P59","Muy buena",0.084,0.094,0.27
"P59","Buena",0.094,0.065,0.195
"P59","Ni buena ni mala",0.17,0.146,0.17
"P59","Mala",0.167,0.14,0.078
"P59","Muy mala",0.441,0.484,0.23
"P59","No sabe",0.044,0.071,0.057
"P60","Muy buena",0.077,0.027,0.171
"P60","Buena",0.09,0.031,0.273
"P60","Ni buena ni mala",0.138,0.115,0.239
"P60","Mala",0.173,0.163,0.102
"P60","Muy mala",0.515,0.648,0.188
"P60","No sabe",0.007,0.016,0.027
"P61","Muy buena",0.284,0.11,0.059
"P61","Buena",0.257,0.194,0.081
"P61","Ni buena ni mala",0.163,0.264,0.119
"P61","Mala",0.103,0.147,0.129
"P61","Muy mala",0.19,0.277,0.589
"P61","No sabe",0.003,0.008,0.023
"P62","Muy buena",0.17,0.096,0.046
"P62","Buena",0.21,0.171,0.086
"P62","Ni buena ni mala",0.357,0.334,0.332
"P62","Mala",0.115,0.144,0.205
"P62","Muy mala",0.1,0.208,0.272
"P62","No sabe",0.048,0.047,0.059
"P63","Siempre",0.318,0.277,0.3
"P63","Casi siempre",0.43,0.377,0.35
"P63","Casi nunca",0.194,0.227,0.232
"P63","Nunca, pero esta es una excepción",0.058,0.119,0.118
"P64","Si",0.632,0.625,0.603
"P64","No",0.368,0.375,0.397
