"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Patricia Bullrich por Juntos por el Cambio","Facundo Manes por Juntos por el Cambio","Alberto Fernández por el Frente de Todos","Sergio Massa por el Frente de Todos","Wado de Pedro por el Frente de Todos","Daniel Scioli por el Frente de Todos","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P20","Puede que lo vote",0.096,0.067,0.131,0.157,0.323,0.263,0.359,0.05,0.171,0.131
"P20","Nunca lo votaría",0.737,0.839,0.73,0.5,0.413,0.128,0.335,0.821,0.581,0.513
"P20","No sabe",0.13,0.055,0.098,0.261,0.158,0.026,0.104,0.112,0.143,0.333
"P21","Lo votaría",0.034,0.009,0.059,0.182,0.159,0.255,0.535,0.01,0.03,0.029
"P21","Puede que lo vote",0.041,0.028,0.102,0.243,0.433,0.469,0.356,0.049,0.201,0.174
"P21","Nunca lo votaría",0.866,0.935,0.768,0.371,0.287,0.206,0.077,0.884,0.611,0.524
"P21","No sabe",0.059,0.028,0.071,0.204,0.121,0.07,0.032,0.057,0.158,0.273
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.748,0.017,0.045,0.028,0.005,0,0.012,0.006,0,0.015
"P23","Patricia Bullrich por Juntos por el Cambio",0.059,0.865,0.037,0.023,0.009,0.012,0.02,0.031,0.048,0.025
"P23","María Eugenia Vidal por Juntos por el Cambio",0.124,0.065,0.199,0.111,0.006,0.007,0.012,0.018,0.012,0.03
"P23","Facundo Manes por Juntos por el Cambio",0.009,0.009,0.558,0.106,0.006,0.006,0.002,0.008,0.037,0.016
"P23","Sergio Massa por el Frente de Todos",0.009,0.004,0.027,0.238,0.85,0.024,0.054,0.002,0.015,0.048
"P23","Wado de Pedro por el Frente de Todos",0.003,0.001,0.027,0.07,0.026,0.879,0.091,0.001,0.059,0.023
"P23","Daniel Scioli por el Frente de Todos",0.006,0.001,0.01,0.112,0.045,0.044,0.759,0.003,0.017,0.046
"P23","Javier Milei por los liberales libertarios",0.022,0.028,0.04,0.046,0.013,0.002,0.023,0.917,0.008,0.038
"P23","Al candidato del Frente de Izquierda",0,0.001,0.014,0.019,0.004,0.009,0.002,0.002,0.721,0.009
"P23","No sabe",0.02,0.009,0.043,0.247,0.036,0.017,0.025,0.012,0.083,0.75
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.718,0.021,0.075,0.021,0.005,0.001,0.013,0.008,0.076,0.023
"P24","Patricia Bullrich por Juntos por el Cambio",0.072,0.85,0.044,0.02,0.011,0.027,0.014,0.03,0.036,0.035
"P24","María Eugenia Vidal por Juntos por el Cambio",0.126,0.068,0.112,0.033,0.024,0.008,0.032,0.019,0.008,0.041
"P24","Facundo Manes por Juntos por el Cambio",0.012,0.007,0.606,0.026,0.001,0.009,0.022,0.003,0.019,0.018
"P24","Sergio Massa por el Frente de Todos",0.011,0.004,0.037,0.126,0.775,0.027,0.202,0.003,0.046,0.07
"P24","Wado de Pedro por el Frente de Todos",0.002,0.002,0.018,0.056,0.042,0.862,0.245,0.005,0.089,0.036
"P24","Alberto Fernández por el Frente de Todos",0.012,0.002,0.026,0.601,0.075,0.039,0.328,0.013,0.031,0.044
"P24","Javier Milei por los liberales libertarios",0.026,0.038,0.047,0.018,0.023,0.004,0.033,0.901,0,0.03
"P24","Al candidato del Frente de Izquierda",0.001,0,0.003,0.017,0.004,0.006,0.009,0.005,0.598,0.009
"P24","No sabe",0.02,0.008,0.032,0.082,0.04,0.017,0.102,0.013,0.097,0.694
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.6,0.024,0.217,0.05,0.008,0.002,0.017,0.017,0.05,0.052
"P25","Patricia Bullrich por Juntos por el Cambio",0.102,0.72,0.054,0.056,0.014,0.021,0.012,0.026,0.028,0.07
"P25","Facundo Manes por Juntos por el Cambio",0.039,0.183,0.414,0.019,0.01,0.019,0.006,0.021,0.04,0.015
"P25","Sergio Massa por el Frente de Todos",0.018,0.001,0.107,0.23,0.652,0.027,0.103,0.004,0.039,0.1
"P25","Wado de Pedro por el Frente de Todos",0.004,0.004,0.014,0.121,0.179,0.719,0.111,0.006,0.107,0.063
"P25","Daniel Scioli por el Frente de Todos",0.004,0.005,0.034,0.201,0.057,0.179,0.614,0.005,0.051,0.094
"P25","Javier Milei por los liberales libertario",0.169,0.03,0.065,0.067,0.024,0.01,0.095,0.35,0.012,0.044
"P25","Al candidato del Frente de Izquierda",0.007,0.017,0.048,0.013,0.024,0.003,0.018,0.56,0.254,0.019
"P25","No sabe",0.057,0.016,0.047,0.243,0.032,0.02,0.024,0.011,0.419,0.543
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.744,0.065,0.219,0.047,0.02,0.011,0.016,0.007,0.011,0.056
"P26","Patricia Bulrich por Juntos por el Cambio",0.088,0.822,0.163,0.031,0.098,0.019,0.011,0.034,0.048,0.081
"P26","Alberto Fernández por el Frente de Todos",0.021,0.01,0.081,0.674,0.077,0.153,0.246,0.007,0.064,0.088
"P26","Sergio Massa por el Frente de Todos",0.009,0.004,0.102,0.127,0.636,0.436,0.406,0.016,0.051,0.118
"P26","Javier Milei por los liberales libertarios",0.017,0.075,0.157,0.039,0.098,0.038,0.058,0.842,0.024,0.058
"P26","Al candidato del Frente de Izquierda",0.029,0.007,0.094,0.016,0.012,0.148,0.083,0.024,0.693,0.024
"P26","No sabe",0.092,0.017,0.184,0.066,0.059,0.195,0.18,0.07,0.109,0.575
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.786,0.047,0.204,0.068,0.014,0.008,0.027,0.018,0.015,0.055
"P27","Patricia Bullrich por Juntos por el Cambio",0.093,0.86,0.204,0.027,0.039,0.018,0.02,0.038,0.052,0.074
"P27","Wado de Pedro por el Frente de Todos",0.004,0.004,0.051,0.189,0.081,0.716,0.293,0.007,0.162,0.05
"P27","Sergio Massa por el Frente de Todos",0.016,0.006,0.137,0.358,0.744,0.105,0.409,0.008,0.029,0.143
"P27","Javier Milei por los liberales libertarios",0.034,0.068,0.128,0.068,0.058,0.02,0.046,0.904,0.026,0.085
"P27","Al candidato del Frente de Izquierda",0.003,0.003,0.064,0.027,0.018,0.085,0.029,0.012,0.652,0.022
"P27","No sabe",0.064,0.012,0.212,0.263,0.046,0.048,0.176,0.013,0.064,0.571
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.808,0.044,0.236,0.057,0.041,0.009,0.01,0.022,0.013,0.054
"P28","Patricia Bullrich por Juntos por el Cambio",0.087,0.867,0.236,0.033,0.035,0.016,0.018,0.026,0.055,0.095
"P28","Wado de Pedro por el Frente de Todos",0.011,0.003,0.064,0.158,0.235,0.782,0.153,0.003,0.156,0.059
"P28","Daniel Scioli por el Frente de Todos",0.023,0.003,0.056,0.324,0.366,0.098,0.689,0.004,0.076,0.12
"P28","Javier Milei por los liberales libertarios",0.025,0.06,0.153,0.082,0.093,0.012,0.035,0.923,0.003,0.091
"P28","Al candidato del Frente de Izquierda",0.002,0.004,0.086,0.022,0.024,0.058,0.019,0.009,0.595,0.04
"P28","No sabe",0.044,0.019,0.169,0.324,0.206,0.025,0.076,0.013,0.102,0.541
"P29","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.73,0.162,0.329,0.027,0.032,0.009,0.04,0.023,0.043,0.095
"P29","Patricia Bullrich presidenta – Gustavo Valdes vice por Juntos por el Cambio",0.139,0.717,0.165,0.031,0.027,0.013,0.021,0.024,0.034,0.053
"P29","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.029,0.009,0.083,0.311,0.597,0.119,0.353,0.009,0.075,0.095
"P29","Wado de Pedro presidente – Jorge Capitanich vice por el Frente de Todos",0.022,0.008,0.06,0.26,0.137,0.723,0.401,0.012,0.105,0.091
"P29","Javier Milei presidente y su candidato a vice",0.024,0.063,0.136,0.076,0.077,0.024,0.031,0.917,0,0.066
"P29","A los candidatos de la izquierda",0.003,0,0.045,0.029,0.021,0.044,0.005,0.006,0.621,0.035
"P29","No sabe",0.053,0.041,0.182,0.266,0.109,0.068,0.149,0.009,0.122,0.565
"P30","Alberto Fernández por el Frente de Todos",0.035,0.023,0.12,0.826,0.541,0.565,0.612,0.002,0.124,0.186
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.829,0.466,0.401,0.019,0.081,0.055,0.025,0.022,0.014,0.092
"P30","Javier Milei por los liberales libertarios",0.034,0.26,0.151,0.061,0.077,0.032,0.075,0.913,0.02,0.09
"P30","Al candidato del Frente de Izquierda",0.036,0.012,0.092,0.02,0.038,0.106,0.07,0.013,0.763,0.028
"P30","No sabe",0.066,0.239,0.236,0.074,0.263,0.242,0.218,0.05,0.079,0.604
"P31","Sergio Massa por el Frente de Todos",0.034,0.016,0.08,0.507,0.822,0.626,0.676,0.001,0.106,0.178
"P31","Horacio Rodríguez Larreta por Juntos por el Cambio",0.873,0.507,0.442,0.089,0.038,0.025,0.033,0.013,0.034,0.086
"P31","Javier Milei por los liberales libertarios",0.049,0.282,0.171,0.073,0.071,0.031,0.059,0.946,0.023,0.054
"P31","Al candidato del Frente de Izquierda",0.014,0.009,0.076,0.076,0.008,0.104,0.055,0.014,0.803,0.039
"P31","No sabe",0.03,0.186,0.231,0.255,0.061,0.214,0.177,0.026,0.034,0.643
"P32","Wado de Pedro por el Frente de Todos",0.022,0.003,0.143,0.404,0.554,0.896,0.645,0.011,0.16,0.15
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.887,0.533,0.41,0.074,0.056,0.011,0.029,0.031,0.046,0.112
"P32","Javier Milei por los liberales libertarios",0.039,0.283,0.165,0.089,0.063,0.018,0.09,0.925,0.016,0.08
"P32","Al candidato del Frente de Izquierda",0.014,0.008,0.059,0.055,0.049,0.012,0.036,0.009,0.742,0.022
"P32","No sabe",0.038,0.173,0.223,0.378,0.278,0.063,0.2,0.024,0.036,0.636
"P33","Daniel Scioli por el Frente de Todos",0.028,0.013,0.122,0.448,0.643,0.686,0.809,0.011,0.164,0.159
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.897,0.55,0.428,0.073,0.059,0.018,0.024,0.019,0.033,0.114
"P33","Javier Milei por los liberales libertarios",0.036,0.272,0.18,0.088,0.062,0.015,0.058,0.938,0.017,0.074
"P33","Al candidato del Frente de Izquierda",0.018,0.006,0.06,0.04,0.02,0.097,0.043,0.005,0.745,0.031
"P33","No sabe",0.021,0.159,0.21,0.351,0.216,0.184,0.066,0.027,0.041,0.622
"P34","Sergio Massa por el Frente de Todos",0.054,0.008,0.171,0.497,0.842,0.649,0.697,0.003,0.179,0.175
"P34","Patricia Bullrich por Juntos por el Cambio",0.644,0.901,0.373,0.045,0.054,0.023,0.035,0.052,0.04,0.127
"P34","Javier Milei por los liberales libertarios",0.089,0.059,0.166,0.08,0.033,0.029,0.062,0.919,0,0.055
"P34","Al candidato del Frente de Izquierda",0.048,0,0.069,0.078,0.012,0.118,0.037,0.003,0.741,0.031
"P34","No sabe",0.165,0.032,0.221,0.3,0.059,0.181,0.169,0.023,0.04,0.612
"P35","Alberto Fernández por el Frente de Todos",0.042,0.004,0.111,0.739,0.671,0.635,0.686,0.007,0.173,0.214
"P35","Patricia Bullrich por Juntos por el Cambio",0.643,0.915,0.354,0.042,0.043,0.025,0.021,0.043,0.04,0.111
"P35","Javier Milei por los liberales libertarios",0.102,0.055,0.201,0.038,0.05,0.032,0.061,0.927,0,0.081
"P35","Al candidato del Frente de Izquierda",0.054,0,0.084,0.051,0.048,0.127,0.066,0.007,0.712,0.041
"P35","No sabe",0.159,0.026,0.25,0.13,0.188,0.181,0.166,0.016,0.075,0.553
"P36","Wado de Pedro por el Frente de Todos",0.031,0.007,0.118,0.417,0.559,0.891,0.689,0.006,0.257,0.129
"P36","Patricia Bullrich por Juntos por el Cambio",0.629,0.924,0.386,0.058,0.046,0.021,0.017,0.037,0.045,0.126
"P36","Javier Milei por los liberales libertarios",0.097,0.051,0.194,0.072,0.065,0.024,0.077,0.926,0,0.084
"P36","Al candidato del Frente de Izquierda",0.077,0.001,0.078,0.066,0.045,0.024,0.042,0.009,0.621,0.03
"P36","No sabe",0.166,0.017,0.224,0.387,0.285,0.04,0.175,0.022,0.077,0.631
"P37","Daniel Scioli por el Frente de Todos",0.029,0.006,0.098,0.558,0.661,0.736,0.791,0.002,0.23,0.181
"P37","Patricia Bullrich por Juntos por el Cambio",0.633,0.933,0.361,0.055,0.041,0.027,0.031,0.053,0.047,0.124
"P37","Javier Milei por los liberales libertarios",0.112,0.044,0.211,0.079,0.053,0.022,0.059,0.922,0,0.093
"P37","Al candidato del Frente de Izquierda",0.061,0.002,0.097,0.04,0.035,0.083,0.034,0.001,0.706,0.03
"P37","No sabe",0.165,0.015,0.233,0.268,0.21,0.132,0.085,0.022,0.017,0.572
"P38","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.737,0.412,0.44,0.115,0.087,0.113,0.104,0.019,0.076,0.142
"P38","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.135,0.148,0.156,0.459,0.723,0.485,0.606,0.005,0.168,0.177
"P38","Javier Milei presidente y su candidato a vice",0.038,0.243,0.171,0.09,0.058,0.025,0.076,0.945,0.021,0.07
"P38","A los candidatos de la izquierda",0.031,0.006,0.072,0.044,0.021,0.142,0.049,0.002,0.732,0.034
"P38","No sabe",0.059,0.191,0.161,0.292,0.111,0.235,0.165,0.029,0.003,0.577
"P39","Patricia Bullrich presidenta – Gustavo Valdés vice por Juntos por el Cambio",0.609,0.817,0.404,0.082,0.042,0.041,0.04,0.033,0.057,0.128
"P39","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.092,0.038,0.166,0.483,0.786,0.571,0.672,0.001,0.158,0.128
"P39","Javier Milei presidente y su candidato a vice",0.08,0.077,0.159,0.083,0.031,0.027,0.056,0.944,0,0.076
"P39","A los candidatos de la izquierda",0.038,0.002,0.074,0.047,0.026,0.137,0.05,0.003,0.732,0.036
"P39","No sabe",0.181,0.066,0.197,0.305,0.115,0.224,0.182,0.019,0.053,0.632
"P40","Sergio Massa por el Frente de Todos",0.033,0.042,0.146,0.651,0.9,0.789,0.767,0.033,0.377,0.27
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.898,0.711,0.532,0.08,0.053,0.018,0.038,0.272,0.111,0.161
"P40","No sabe",0.069,0.247,0.322,0.269,0.047,0.193,0.195,0.695,0.512,0.569
"P41","Alberto Fernández por el Frente de Todos",0.043,0.025,0.114,0.816,0.715,0.748,0.7,0.044,0.43,0.264
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.932,0.747,0.573,0.058,0.071,0.028,0.045,0.324,0.092,0.186
"P41","No sabe",0.025,0.228,0.313,0.126,0.214,0.224,0.255,0.632,0.478,0.55
"P42","Sergio Massa por el Frente de Todos",0.034,0.004,0.185,0.67,0.914,0.799,0.781,0.035,0.417,0.267
"P42","Patricia Bullrich por Juntos por el Cambio",0.734,0.96,0.5,0.079,0.023,0.047,0.018,0.578,0.067,0.185
"P42","No sabe",0.232,0.036,0.315,0.251,0.063,0.154,0.201,0.387,0.516,0.548
"P43","Alberto Fernández por el Frente de Todos",0.052,0.009,0.122,0.844,0.745,0.781,0.742,0.025,0.414,0.3
"P43","Patricia Bullrich por Juntos por el Cambio",0.716,0.972,0.456,0.046,0.024,0.033,0.015,0.627,0.069,0.174
"P43","No sabe",0.232,0.019,0.422,0.11,0.231,0.186,0.243,0.348,0.517,0.526
"P44","Wado de Pedro por el Frente de Todos",0.028,0.02,0.087,0.515,0.677,0.917,0.753,0.021,0.486,0.2
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.892,0.773,0.646,0.089,0.054,0.028,0.052,0.373,0.091,0.199
"P44","No sabe",0.08,0.207,0.267,0.396,0.269,0.055,0.195,0.606,0.423,0.601
"P45","Daniel Scioli por el Frente de Todos",0.029,0.017,0.16,0.651,0.758,0.792,0.847,0.051,0.409,0.258
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.917,0.767,0.62,0.059,0.043,0.021,0.028,0.332,0.091,0.195
"P45","No sabe",0.054,0.216,0.22,0.29,0.199,0.187,0.125,0.617,0.5,0.547
"P46","Wado de Pedro por el Frente de Todos",0.065,0.004,0.134,0.5,0.688,0.927,0.772,0.036,0.466,0.214
"P46","Patricia Bullrich por Juntos por el Cambio",0.738,0.952,0.5,0.067,0.024,0.027,0.03,0.589,0.073,0.208
"P46","No sabe",0.197,0.044,0.366,0.433,0.288,0.046,0.198,0.375,0.461,0.578
"P47","Daniel Scioli por el Frente de Todos",0.041,0.004,0.131,0.644,0.801,0.816,0.847,0.021,0.44,0.292
"P47","Patricia Bullrich por Juntos por el Cambio",0.725,0.977,0.509,0.069,0.027,0.029,0.02,0.621,0.077,0.199
"P47","No sabe",0.234,0.019,0.36,0.287,0.172,0.155,0.133,0.358,0.483,0.509
"P48","Horacio Rodríguez Larreta por Juntos por el Cambio",0.789,0.488,0.522,0.281,0.25,0.182,0.174,0.02,0.27,0.19
"P48","Javier Milei por los liberales libertarios",0.106,0.38,0.206,0.092,0.061,0.057,0.059,0.869,0.031,0.141
"P48","No sabe",0.105,0.132,0.272,0.627,0.689,0.761,0.767,0.111,0.699,0.669
"P49","Patricia Bullrich por Juntos por el Cambio",0.672,0.859,0.448,0.133,0.104,0.066,0.059,0.048,0.085,0.197
"P49","Javier Milei por los liberales libertarios",0.133,0.103,0.2,0.111,0.077,0.072,0.066,0.884,0.03,0.081
"P49","No sabe",0.195,0.038,0.352,0.756,0.819,0.862,0.875,0.068,0.885,0.722
"P50","Alberto Fernández por el Frente de Todos",0.111,0.127,0.207,0.773,0.679,0.71,0.648,0.015,0.538,0.29
"P50","Javier Milei por los liberales libertarios",0.401,0.508,0.31,0.081,0.045,0.042,0.056,0.922,0.062,0.12
"P50","No sabe",0.488,0.365,0.483,0.146,0.276,0.248,0.296,0.063,0.4,0.59
"P51","Sergio Massa por el Frente de Todos",0.082,0.025,0.203,0.652,0.89,0.803,0.793,0.013,0.512,0.295
"P51","Javier Milei por los liberales libertarios",0.45,0.608,0.328,0.108,0.02,0.028,0.044,0.934,0.073,0.113
"P51","No sabe",0.468,0.367,0.469,0.24,0.09,0.169,0.163,0.053,0.415,0.592
"P52","Muy buena",0.02,0.005,0.045,0.368,0.214,0.137,0.155,0.007,0.252,0.042
"P52","Buena",0.045,0.083,0.07,0.399,0.249,0.234,0.269,0.115,0.047,0.117
"P52","Ni buena ni mala",0.061,0.058,0.168,0.128,0.345,0.367,0.323,0.069,0.165,0.283
"P52","Mala",0.131,0.065,0.202,0.015,0.125,0.183,0.173,0.041,0.193,0.197
"P52","Muy mala",0.716,0.786,0.508,0.09,0.066,0.079,0.076,0.764,0.333,0.311
"P52","No sabe",0.027,0.003,0.007,0,0.001,0,0.004,0.004,0.01,0.05
"P53","Muy buena",0.034,0.003,0.099,0.506,0.482,0.773,0.644,0.015,0.258,0.204
"P53","Buena",0.02,0.016,0.029,0.212,0.198,0.105,0.128,0.029,0.112,0.119
"P53","Ni buena ni mala",0.017,0.01,0.038,0.139,0.148,0.066,0.124,0.051,0.16,0.12
"P53","Mala",0.051,0.048,0.117,0.061,0.095,0.024,0.055,0.041,0.17,0.098
"P53","Muy mala",0.871,0.92,0.71,0.082,0.068,0.032,0.047,0.86,0.3,0.406
"P53","No sabe",0.007,0.003,0.007,0,0.009,0,0.002,0.004,0,0.053
"P54","Muy buena",0.211,0.427,0.112,0.179,0.076,0.097,0.096,0.053,0.078,0.057
