"var","categoria","Daniel Scioli por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P16","Puede que lo vote",0.131,0.375,0.199,0.172,0.171
"P16","Nunca lo votaría",0.735,0.362,0.649,0.568,0.559
"P16","No sabe",0.093,0.109,0.089,0.142,0.221
"P17","La votaría",0.042,0.568,0.318,0.068,0.205
"P17","Puede que la vote",0.025,0.217,0.312,0.087,0.113
"P17","Nunca la votaría",0.904,0.181,0.325,0.791,0.539
"P17","No sabe",0.029,0.034,0.045,0.054,0.143
"P18","Lo votaría",0.039,0.128,0.706,0.05,0.059
"P18","Puede que lo vote",0.038,0.264,0.217,0.075,0.118
"P18","Nunca lo votaría",0.909,0.555,0.061,0.844,0.684
"P18","No sabe",0.014,0.053,0.016,0.031,0.139
"P19","La votaría",0.041,0.284,0.148,0.045,0.055
"P19","Puede que la vote",0.044,0.364,0.272,0.123,0.175
"P19","Nunca la votaría",0.871,0.291,0.525,0.77,0.615
"P19","No sabe",0.044,0.061,0.055,0.062,0.155
"P20","Lo votaría",0.355,0.052,0.022,0.227,0.09
"P20","Puede que lo vote",0.318,0.098,0.07,0.282,0.152
"P20","Nunca lo votaría",0.261,0.781,0.832,0.422,0.556
"P20","No sabe",0.066,0.069,0.076,0.069,0.202
"P21","Lo votaría",0.379,0.018,0.017,0.083,0.035
"P21","Puede que lo vote",0.478,0.042,0.054,0.219,0.174
"P21","Nunca lo votaría",0.098,0.915,0.907,0.577,0.611
"P21","No sabe",0.045,0.025,0.022,0.121,0.18
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.009,0.274,0.01,0.032,0.01
"P22","Patricia Bullrich por Juntos por el Cambio",0.014,0.554,0.238,0.038,0.251
"P22","Facundo Manes por Juntos por el Cambio",0.023,0.076,0.028,0.063,0.059
"P22","Alberto Fernández por el Frente de Todos",0.108,0.016,0.017,0.053,0.123
"P22","Sergio Massa por el Frente de Todos",0.199,0.017,0.015,0.034,0.097
"P22","Wado de Pedro por el Frente de Todos",0.341,0.008,0.006,0.263,0.133
"P22","Daniel Scioli por el Frente de Todos",0.235,0.007,0.013,0.068,0.028
"P22","Javier Milei por los liberales libertarios",0.01,0.015,0.655,0.023,0.034
"P22","Al candidato del Frente de Izquierda",0.015,0.003,0.001,0.377,0.006
"P22","No sabe",0.046,0.03,0.017,0.049,0.259
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.013,0.237,0.007,0.007,0.011
"P23","Patricia Bullrich por Juntos por el Cambio",0.011,0.506,0.227,0.039,0.254
"P23","María Eugenia Vidal por Juntos por el Cambio",0.011,0.135,0.025,0.038,0.045
"P23","Facundo Manes por Juntos por el Cambio",0.025,0.057,0.024,0.074,0.058
"P23","Sergio Massa por el Frente de Todos",0.24,0.017,0.017,0.063,0.151
"P23","Wado de Pedro por el Frente de Todos",0.369,0.007,0.007,0.327,0.119
"P23","Daniel Scioli por el Frente de Todos",0.261,0.009,0.011,0.047,0.037
"P23","Javier Milei por los liberales libertarios",0.008,0.014,0.672,0.016,0.025
"P23","Al candidato del Frente de Izquierda",0.023,0.001,0.002,0.342,0.006
"P23","No sabe",0.039,0.017,0.008,0.047,0.294
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.014,0.244,0.006,0.012,0.007
"P24","Patricia Bullrich por Juntos por el Cambio",0.014,0.499,0.23,0.06,0.258
"P24","María Eugenia Vidal por Juntos por el Cambio",0.014,0.133,0.022,0.034,0.034
"P24","Facundo Manes por Juntos por el Cambio",0.026,0.06,0.016,0.093,0.069
"P24","Sergio Massa por el Frente de Todos",0.29,0.016,0.008,0.07,0.108
"P24","Wado de Pedro por el Frente de Todos",0.413,0.005,0.006,0.275,0.137
"P24","Alberto Fernández por el Frente de Todos",0.177,0.017,0.024,0.056,0.12
"P24","Javier Milei por los liberales libertarios",0.009,0.012,0.676,0.014,0.024
"P24","Al candidato del Frente de Izquierda",0.007,0.001,0.002,0.337,0.006
"P24","No sabe",0.036,0.013,0.01,0.049,0.237
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.012,0.251,0.009,0.042,0.029
"P25","Patricia Bullrich por Juntos por el Cambio",0.011,0.474,0.181,0.084,0.207
"P25","Facundo Manes por Juntos por el Cambio",0.014,0.147,0.065,0.056,0.107
"P25","Sergio Massa por el Frente de Todos",0.238,0.025,0.014,0.057,0.134
"P25","Wado de Pedro por el Frente de Todos",0.368,0.011,0.012,0.258,0.133
"P25","Daniel Scioli por el Frente de Todos",0.29,0.009,0.017,0.087,0.07
"P25","Javier Milei por los liberales libertario",0.025,0.06,0.359,0.015,0.027
"P25","Al candidato del Frente de Izquierda",0.014,0.002,0.337,0.189,0.022
"P25","No sabe",0.028,0.021,0.006,0.212,0.271
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.017,0.341,0.018,0.014,0.028
"P26","Patricia Bulrich por Juntos por el Cambio",0.037,0.533,0.215,0.07,0.254
"P26","Alberto Fernández por el Frente de Todos",0.216,0.015,0.02,0.098,0.146
"P26","Sergio Massa por el Frente de Todos",0.514,0.026,0.015,0.111,0.14
"P26","Javier Milei por los liberales libertarios",0.036,0.029,0.671,0.011,0.053
"P26","Al candidato del Frente de Izquierda",0.071,0.022,0.008,0.611,0.021
"P26","No sabe",0.109,0.034,0.053,0.085,0.358
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.013,0.359,0.006,0.036,0.019
"P27","Patricia Bullrich por Juntos por el Cambio",0.022,0.562,0.226,0.051,0.269
"P27","Wado de Pedro por el Frente de Todos",0.409,0.011,0.013,0.277,0.147
"P27","Sergio Massa por el Frente de Todos",0.401,0.023,0.022,0.106,0.153
"P27","Javier Milei por los liberales libertarios",0.026,0.02,0.707,0.011,0.052
"P27","Al candidato del Frente de Izquierda",0.037,0.002,0.009,0.483,0.021
"P27","No sabe",0.092,0.023,0.017,0.036,0.339
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.019,0.357,0.008,0.022,0.022
"P28","Patricia Bullrich por Juntos por el Cambio",0.016,0.578,0.224,0.048,0.265
"P28","Wado de Pedro por el Frente de Todos",0.445,0.015,0.006,0.292,0.144
"P28","Daniel Scioli por el Frente de Todos",0.429,0.009,0.012,0.103,0.077
"P28","Javier Milei por los liberales libertarios",0.018,0.012,0.734,0.015,0.048
"P28","Al candidato del Frente de Izquierda",0.024,0.001,0.008,0.49,0.02
"P28","No sabe",0.049,0.028,0.008,0.03,0.424
"P29","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.017,0.411,0.051,0.048,0.058
"P29","Patricia Bullrich presidenta – Gustavo Valdes vice por Juntos por el Cambio",0.013,0.499,0.183,0.042,0.203
"P29","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.359,0.026,0.014,0.141,0.124
"P29","Wado de Pedro presidente – Jorge Capitanich vice por el Frente de Todos",0.51,0.012,0.015,0.202,0.151
"P29","Javier Milei presidente y su candidato a vice",0.014,0.011,0.723,0.058,0.061
"P29","A los candidatos de la izquierda",0.016,0.001,0.001,0.466,0.011
"P29","No sabe",0.071,0.04,0.013,0.043,0.392
"P30","Alberto Fernández por el Frente de Todos",0.732,0.049,0.015,0.141,0.198
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.034,0.811,0.027,0.009,0.048
"P30","Javier Milei por los liberales libertarios",0.023,0.045,0.909,0.05,0.047
"P30","Al candidato del Frente de Izquierda",0.049,0.01,0.011,0.738,0.012
"P30","No sabe",0.162,0.085,0.038,0.062,0.695
"P31","Sergio Massa por el Frente de Todos",0.784,0.037,0.006,0.15,0.196
"P31","Horacio Rodríguez Larreta por Juntos por el Cambio",0.021,0.876,0.022,0.032,0.041
"P31","Javier Milei por los liberales libertarios",0.025,0.035,0.947,0.023,0.05
"P31","Al candidato del Frente de Izquierda",0.043,0.004,0.011,0.753,0.018
"P31","No sabe",0.127,0.048,0.014,0.042,0.695
"P32","Wado de Pedro por el Frente de Todos",0.839,0.017,0.003,0.296,0.154
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.023,0.924,0.018,0.009,0.025
"P32","Javier Milei por los liberales libertarios",0.012,0.023,0.964,0.059,0.031
"P32","Al candidato del Frente de Izquierda",0.019,0.002,0.005,0.601,0.01
"P32","No sabe",0.107,0.034,0.01,0.035,0.78
"P34","Sergio Massa por el Frente de Todos",0.827,0.04,0.009,0.106,0.186
"P34","Patricia Bullrich por Juntos por el Cambio",0.019,0.839,0.229,0.062,0.266
"P34","Javier Milei por los liberales libertarios",0.018,0.03,0.745,0.049,0.02
"P34","Al candidato del Frente de Izquierda",0.034,0.014,0.006,0.758,0.008
"P34","No sabe",0.102,0.077,0.011,0.025,0.52
"P35","Alberto Fernández por el Frente de Todos",0.801,0.036,0.01,0.165,0.192
"P35","Patricia Bullrich por Juntos por el Cambio",0.015,0.831,0.241,0.04,0.26
"P35","Javier Milei por los liberales libertarios",0.028,0.041,0.736,0.028,0.036
"P35","Al candidato del Frente de Izquierda",0.053,0.019,0.005,0.716,0.022
"P35","No sabe",0.103,0.073,0.008,0.051,0.49
"P36","Wado de Pedro por el Frente de Todos",0.808,0.027,0.005,0.323,0.161
"P36","Patricia Bullrich por Juntos por el Cambio",0.018,0.825,0.241,0.053,0.289
"P36","Javier Milei por los liberales libertarios",0.032,0.042,0.74,0.012,0.027
"P36","Al candidato del Frente de Izquierda",0.022,0.026,0.006,0.561,0.012
"P36","No sabe",0.12,0.08,0.008,0.051,0.511
"P37","Daniel Scioli por el Frente de Todos",0.901,0.03,0.006,0.08,0.101
"P37","Patricia Bullrich por Juntos por el Cambio",0.017,0.832,0.253,0.076,0.3
"P37","Javier Milei por los liberales libertarios",0.021,0.049,0.728,0.032,0.022
"P37","Al candidato del Frente de Izquierda",0.014,0.018,0.001,0.776,0.015
"P37","No sabe",0.047,0.071,0.012,0.036,0.562
"P38","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.136,0.698,0.031,0.068,0.063
"P38","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.661,0.181,0.025,0.132,0.204
"P38","Javier Milei presidente y su candidato a vice",0.029,0.026,0.909,0.022,0.035
"P38","A los candidatos de la izquierda",0.049,0.009,0.004,0.725,0.015
"P38","No sabe",0.125,0.086,0.031,0.053,0.683
"P39","Patricia Bullrich presidenta – Gustavo Valdés vice por Juntos por el Cambio",0.042,0.79,0.211,0.063,0.237
"P39","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.738,0.071,0.017,0.114,0.183
"P39","Javier Milei presidente y su candidato a vice",0.023,0.032,0.759,0.038,0.024
"P39","A los candidatos de la izquierda",0.048,0.014,0.002,0.698,0.017
"P39","No sabe",0.149,0.093,0.011,0.087,0.539
"P40","Sergio Massa por el Frente de Todos",0.874,0.041,0.049,0.356,0.282
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.018,0.918,0.347,0.142,0.115
"P40","No sabe",0.108,0.041,0.604,0.502,0.603
"P41","Alberto Fernández por el Frente de Todos",0.835,0.037,0.041,0.425,0.235
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.031,0.935,0.404,0.1,0.148
"P41","No sabe",0.134,0.028,0.555,0.475,0.617
"P42","Sergio Massa por el Frente de Todos",0.876,0.03,0.044,0.429,0.262
"P42","Patricia Bullrich por Juntos por el Cambio",0.035,0.883,0.665,0.083,0.32
"P42","No sabe",0.089,0.087,0.291,0.488,0.418
"P43","Alberto Fernández por el Frente de Todos",0.856,0.029,0.036,0.431,0.25
"P43","Patricia Bullrich por Juntos por el Cambio",0.025,0.873,0.692,0.049,0.348
"P43","No sabe",0.119,0.098,0.272,0.52,0.402
"P44","Wado de Pedro por el Frente de Todos",0.846,0.021,0.029,0.509,0.197
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.034,0.935,0.448,0.161,0.169
"P44","No sabe",0.12,0.044,0.523,0.33,0.634
"P45","Daniel Scioli por el Frente de Todos",0.931,0.016,0.056,0.351,0.157
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.014,0.952,0.418,0.113,0.149
"P45","No sabe",0.055,0.032,0.526,0.536,0.694
"P46","Wado de Pedro por el Frente de Todos",0.857,0.022,0.036,0.545,0.195
"P46","Patricia Bullrich por Juntos por el Cambio",0.02,0.881,0.677,0.077,0.331
"P46","No sabe",0.123,0.097,0.287,0.378,0.474
"P47","Daniel Scioli por el Frente de Todos",0.929,0.02,0.034,0.341,0.174
"P47","Patricia Bullrich por Juntos por el Cambio",0.026,0.884,0.708,0.079,0.341
"P47","No sabe",0.045,0.096,0.258,0.58,0.485
"P48","Horacio Rodríguez Larreta por Juntos por el Cambio",0.234,0.801,0.041,0.178,0.12
"P48","Javier Milei por los liberales libertarios",0.046,0.155,0.873,0.091,0.117
"P48","No sabe",0.72,0.044,0.086,0.731,0.763
"P49","Patricia Bullrich por Juntos por el Cambio",0.073,0.855,0.215,0.093,0.343
"P49","Javier Milei por los liberales libertarios",0.067,0.066,0.728,0.079,0.053
"P49","No sabe",0.86,0.079,0.057,0.828,0.604
"P50","Alberto Fernández por el Frente de Todos",0.769,0.151,0.035,0.46,0.262
"P50","Javier Milei por los liberales libertarios",0.03,0.392,0.916,0.078,0.112
"P50","No sabe",0.201,0.457,0.049,0.462,0.626
"P51","Sergio Massa por el Frente de Todos",0.866,0.068,0.011,0.476,0.27
"P51","Javier Milei por los liberales libertarios",0.028,0.492,0.942,0.047,0.116
"P51","No sabe",0.106,0.44,0.047,0.477,0.614
"P52","Muy buena",0.199,0.016,0.012,0.153,0.067
"P52","Buena",0.291,0.067,0.109,0.099,0.129
"P52","Ni buena ni mala",0.328,0.093,0.05,0.216,0.202
"P52","Mala",0.127,0.095,0.052,0.244,0.154
"P52","Muy mala",0.053,0.725,0.773,0.255,0.422
"P52","No sabe",0.002,0.004,0.004,0.033,0.026
"P53","Muy buena",0.677,0.008,0.024,0.338,0.209
"P53","Buena",0.142,0.019,0.022,0.161,0.102
"P53","Ni buena ni mala",0.103,0.019,0.036,0.125,0.095
"P53","Mala",0.037,0.068,0.043,0.115,0.083
"P53","Muy mala",0.038,0.881,0.873,0.261,0.482
"P53","No sabe",0.003,0.005,0.002,0,0.029
"P54","Muy buena",0.098,0.377,0.133,0.091,0.152
"P54","Buena",0.017,0.27,0.206,0.045,0.109
"P54","Ni buena ni mala",0.04,0.132,0.287,0.035,0.163
"P54","Mala",0.125,0.068,0.146,0.165,0.153
"P54","Muy mala",0.714,0.15,0.226,0.653,0.401
"P54","No sabe",0.006,0.003,0.002,0.011,0.022
"P55","Muy buena",0.03,0.319,0.052,0.031,0.05
"P55","Buena",0.021,0.448,0.14,0.033,0.118
"P55","Ni buena ni mala",0.101,0.193,0.296,0.085,0.275
"P55","Mala",0.214,0.027,0.198,0.272,0.168
"P55","Muy mala",0.63,0.012,0.308,0.563,0.336
"P55","No sabe",0.004,0.001,0.006,0.016,0.053
"P56","Muy buena",0.165,0.05,0.018,0.04,0.07
"P56","Buena",0.375,0.075,0.035,0.114,0.113
"P56","Ni buena ni mala",0.29,0.093,0.107,0.274,0.232
"P56","Mala",0.084,0.162,0.123,0.268,0.151
"P56","Muy mala",0.085,0.618,0.712,0.304,0.374
"P56","No sabe",0.001,0.002,0.005,0,0.06
"P57","Muy buena",0.048,0.484,0.302,0.062,0.223
"P57","Buena",0.058,0.208,0.225,0.023,0.093
"P57","Ni buena ni mala",0.085,0.114,0.207,0.091,0.151
"P57","Mala",0.096,0.061,0.084,0.109,0.111
"P57","Muy mala",0.708,0.133,0.179,0.715,0.361
"P57","No sabe",0.005,0,0.003,0,0.061
"P58","Muy buena",0.025,0.097,0.578,0.031,0.051
"P58","Buena",0.015,0.196,0.264,0.025,0.038
"P58","Ni buena ni mala",0.053,0.34,0.117,0.114,0.293
"P58","Mala",0.126,0.192,0.019,0.085,0.16
"P58","Muy mala",0.77,0.163,0.02,0.715,0.379
"P58","No sabe",0.011,0.012,0.002,0.03,0.079
"P59","Muy buena",0.372,0.02,0.101,0.244,0.102
"P59","Buena",0.305,0.043,0.052,0.127,0.082
"P59","Ni buena ni mala",0.134,0.17,0.14,0.199,0.232
"P59","Mala",0.044,0.201,0.136,0.068,0.127
"P59","Muy mala",0.129,0.519,0.496,0.313,0.341
"P59","No sabe",0.016,0.047,0.075,0.049,0.116
"P60","Muy buena",0.3,0.01,0.023,0.035,0.053
"P60","Buena",0.442,0.014,0.018,0.09,0.082
"P60","Ni buena ni mala",0.212,0.098,0.129,0.324,0.241
"P60","Mala",0.018,0.225,0.156,0.26,0.159
"P60","Muy mala",0.022,0.644,0.661,0.289,0.4
"P60","No sabe",0.006,0.009,0.013,0.002,0.065
"P61","Muy buena",0.064,0.353,0.074,0.105,0.073
"P61","Buena",0.063,0.308,0.178,0.045,0.149
"P61","Ni buena ni mala",0.06,0.163,0.29,0.071,0.234
"P61","Mala",0.134,0.07,0.161,0.214,0.117
"P61","Muy mala",0.674,0.104,0.289,0.562,0.375
"P61","No sabe",0.005,0.002,0.008,0.003,0.052
"P62","Muy buena",0.043,0.194,0.082,0.092,0.072
"P62","Buena",0.084,0.254,0.15,0.077,0.118
"P62","Ni buena ni mala",0.349,0.363,0.338,0.245,0.318
"P62","Mala",0.222,0.101,0.146,0.273,0.129
"P62","Muy mala",0.266,0.057,0.23,0.296,0.239
"P62","No sabe",0.036,0.031,0.054,0.017,0.124
"P63","Siempre",0.325,0.328,0.25,0.315,0.288
"P63","Casi siempre",0.387,0.414,0.377,0.277,0.37
"P63","Casi nunca",0.184,0.2,0.244,0.352,0.219
"P63","Nunca, pero esta es una excepción",0.104,0.058,0.129,0.056,0.123
"P64","Si",0.638,0.641,0.613,0.511,0.595
"P64","No",0.362,0.359,0.387,0.489,0.405
