"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Patricia Bullrich por Juntos por el Cambio","María Eugenia Vidal por Juntos por el Cambio","Facundo Manes por Juntos por el Cambio","Sergio Massa por el Frente de Todos","Wado de Pedro por el Frente de Todos","Alberto Fernández por el Frente de Todos","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P06","6",0.065,0.059,0.098,0.077,0.059,0.024,0.02,0.043,0.047,0.04
"P06","7",0.105,0.104,0.064,0.087,0.029,0.036,0.037,0.074,0.047,0.031
"P06","8",0.049,0.099,0.047,0.047,0.027,0.021,0.015,0.073,0.02,0.039
"P06","9",0.238,0.302,0.258,0.176,0.108,0.088,0.222,0.38,0.186,0.172
"P07","1",0.285,0.191,0.242,0.361,0.494,0.718,0.44,0.192,0.614,0.329
"P07","2",0.04,0.033,0.038,0.015,0.032,0.033,0.034,0.023,0.064,0.026
"P07","3",0.032,0.03,0.033,0.037,0.034,0.049,0.022,0.03,0.031,0.025
"P07","4",0.032,0.027,0.023,0.033,0.034,0.014,0.013,0.016,0.004,0.031
"P07","5",0.13,0.134,0.137,0.183,0.094,0.069,0.06,0.125,0.077,0.142
"P07","6",0.025,0.034,0.017,0.044,0.012,0.01,0.027,0.042,0.034,0.021
"P07","7",0.035,0.055,0.044,0.039,0.018,0.015,0.031,0.034,0.003,0.021
"P07","8",0.032,0.056,0.027,0.026,0.017,0.006,0.007,0.051,0.012,0.024
"P07","9",0.389,0.44,0.439,0.262,0.265,0.086,0.366,0.487,0.161,0.381
"P09","Del Frente de Todos y el peronismo",0.079,0.025,0.083,0.144,0.763,0.87,0.688,0.023,0.24,0.22
"P09","De Juntos por el cambio",0.712,0.783,0.595,0.397,0.041,0.029,0.067,0.062,0.019,0.068
"P09","De los Liberales libertarios",0.061,0.115,0.117,0.139,0.032,0.021,0.046,0.773,0.057,0.05
"P09","De la Izquierda",0.042,0.007,0.016,0.064,0.021,0.022,0.03,0.025,0.612,0.043
"P09","No sabe",0.106,0.07,0.189,0.256,0.143,0.058,0.169,0.117,0.072,0.619
"P10","A Alberto Fernández",0.444,0.196,0.237,0.419,0.085,0.054,0.413,0.171,0.113,0.172
"P10","A Sergio Massa",0.226,0.111,0.191,0.239,0.53,0.088,0.13,0.212,0.036,0.055
"P10","A algún candidato del peronismo",0.26,0.619,0.221,0.22,0.144,0.138,0.199,0.456,0.38,0.44
"P10","A algún candidato del kirchnerismo",0.07,0.074,0.351,0.122,0.241,0.72,0.258,0.161,0.471,0.333
"P11","A Alberto Fernández",0.345,0.185,0.371,0.191,0.027,0.014,0.363,0.132,0.238,0.112
"P11","A Sergio Massa",0.123,0.109,0.095,0.243,0.378,0.031,0.066,0.228,0,0.058
"P11","A algún candidato del peronismo",0.479,0.593,0.153,0.178,0.119,0.087,0.14,0.401,0.202,0.309
"P11","A Cristina Fernández de Kirchner",0.053,0.113,0.381,0.388,0.476,0.868,0.431,0.239,0.56,0.521
"P12","A Horacio Rodriguez Larreta",0.779,0.093,0.337,0.155,0.324,0.202,0.559,0.232,0.307,0.285
"P12","A Patricia Bullrich",0.1,0.876,0.466,0.157,0.025,0.11,0.136,0.539,0.088,0.342
"P12","A Facundo Manes",0.04,0.006,0.079,0.531,0.167,0.493,0.236,0.16,0.188,0.069
"P12","A Gerardo Morales",0.081,0.025,0.118,0.157,0.484,0.195,0.069,0.069,0.417,0.304
"P13","Lo votaría",0.128,0.018,0.089,0.093,0.535,0.199,0.248,0.021,0.032,0.078
"P13","Puede que lo vote",0.081,0.116,0.128,0.153,0.335,0.425,0.321,0.07,0.104,0.138
"P13","Nunca lo votaría",0.709,0.826,0.679,0.639,0.035,0.18,0.221,0.847,0.598,0.446
"P13","No sabe",0.082,0.04,0.104,0.115,0.095,0.196,0.21,0.062,0.266,0.338
"P14","Lo votaría",0.066,0.01,0.031,0.056,0.233,0.135,0.514,0.016,0.048,0.06
"P14","Puede que lo vote",0.025,0.018,0.07,0.146,0.364,0.391,0.258,0.039,0.16,0.105
"P14","Nunca lo votaría",0.873,0.954,0.818,0.731,0.296,0.31,0.115,0.909,0.653,0.554
"P14","No sabe",0.036,0.018,0.081,0.067,0.107,0.164,0.113,0.036,0.139,0.281
"P15","Lo votaría",0.631,0.163,0.253,0.113,0.048,0.022,0.074,0.027,0.031,0.016
"P15","Puede que lo vote",0.227,0.43,0.382,0.377,0.108,0.061,0.147,0.185,0.045,0.107
"P15","Nunca lo votaría",0.117,0.345,0.242,0.418,0.784,0.897,0.624,0.729,0.811,0.588
"P15","No sabe",0.025,0.062,0.123,0.092,0.06,0.02,0.155,0.059,0.113,0.289
"P16","Lo votaría",0.161,0.081,0.122,0.534,0.043,0.026,0.055,0.037,0.031,0.01
"P16","Puede que lo vote",0.331,0.314,0.336,0.265,0.163,0.102,0.131,0.177,0.09,0.131
"P16","Nunca lo votaría",0.383,0.508,0.291,0.129,0.63,0.803,0.593,0.687,0.642,0.485
"P16","No sabe",0.125,0.097,0.251,0.072,0.164,0.069,0.221,0.099,0.237,0.374
"P17","La votaría",0.231,0.785,0.331,0.155,0.026,0.025,0.058,0.166,0.065,0.023
"P17","Puede que la vote",0.366,0.123,0.291,0.28,0.046,0.018,0.084,0.318,0.087,0.101
"P17","Nunca la votaría",0.331,0.069,0.218,0.516,0.866,0.942,0.732,0.459,0.812,0.587
"P17","No sabe",0.072,0.023,0.16,0.049,0.062,0.015,0.126,0.057,0.036,0.289
"P18","Lo votaría",0.132,0.209,0.15,0.084,0.032,0.031,0.075,0.822,0.034,0.035
"P18","Puede que lo vote",0.278,0.321,0.223,0.179,0.06,0.031,0.093,0.108,0.113,0.135
"P18","Nunca lo votaría",0.515,0.422,0.472,0.68,0.865,0.932,0.696,0.057,0.771,0.599
"P18","No sabe",0.075,0.048,0.155,0.057,0.043,0.006,0.136,0.013,0.082,0.231
"P19","La votaría",0.22,0.178,0.531,0.076,0.039,0.034,0.076,0.124,0.019,0.014
"P19","Puede que la vote",0.354,0.407,0.167,0.316,0.056,0.026,0.095,0.195,0.054,0.102
"P19","Nunca la votaría",0.336,0.334,0.196,0.525,0.834,0.893,0.665,0.614,0.857,0.623
"P19","No sabe",0.09,0.081,0.106,0.083,0.071,0.047,0.164,0.067,0.07,0.261
"P20","Lo votaría",0.039,0.039,0.089,0.045,0.125,0.561,0.086,0.018,0.055,0.015
"P20","Puede que lo vote",0.107,0.068,0.08,0.144,0.32,0.304,0.236,0.05,0.192,0.129
"P20","Nunca lo votaría",0.761,0.841,0.61,0.687,0.423,0.108,0.474,0.831,0.566,0.493
"P20","No sabe",0.093,0.052,0.221,0.124,0.132,0.027,0.204,0.101,0.187,0.363
"P21","Lo votaría",0.042,0.013,0.064,0.081,0.209,0.284,0.303,0.015,0.031,0.045
"P21","Puede que lo vote",0.062,0.03,0.08,0.092,0.401,0.484,0.317,0.042,0.204,0.147
"P21","Nunca lo votaría",0.847,0.929,0.746,0.749,0.285,0.166,0.266,0.897,0.636,0.495
"P21","No sabe",0.049,0.028,0.11,0.078,0.105,0.066,0.114,0.046,0.129,0.313
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.781,0.026,0.226,0.029,0.011,0.001,0.013,0.01,0.006,0.017
"P22","Patricia Bullrich por Juntos por el Cambio",0.066,0.895,0.351,0.047,0.011,0.004,0.007,0.043,0.008,0.021
"P22","Facundo Manes por Juntos por el Cambio",0.042,0.008,0.104,0.731,0.018,0.007,0.014,0.01,0.008,0.014
"P22","Alberto Fernández por el Frente de Todos",0.017,0.006,0.045,0.046,0.089,0.03,0.487,0.005,0.055,0.054
"P22","Sergio Massa por el Frente de Todos",0.005,0.003,0.035,0.003,0.604,0.025,0.067,0.007,0.014,0.029
"P22","Wado de Pedro por el Frente de Todos",0.002,0.012,0.018,0.025,0.03,0.746,0.051,0.002,0.031,0.018
"P22","Daniel Scioli por el Frente de Todos",0.01,0.004,0.043,0.038,0.139,0.129,0.259,0.01,0.029,0.066
"P22","Javier Milei por los liberales libertarios",0.023,0.027,0.085,0.018,0.007,0.009,0.035,0.899,0.055,0.029
"P22","Al candidato del Frente de Izquierda",0.024,0.004,0.004,0.013,0.012,0.018,0.01,0,0.747,0.024
"P22","No sabe",0.03,0.015,0.089,0.05,0.079,0.031,0.057,0.014,0.047,0.728
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.8,0.012,0.072,0.022,0.005,0.001,0.018,0.01,0.009,0.014
"P23","Patricia Bullrich por Juntos por el Cambio",0.063,0.91,0.088,0.032,0.003,0.008,0.013,0.035,0.012,0.015
"P23","María Eugenia Vidal por Juntos por el Cambio",0.052,0.022,0.655,0.109,0.005,0.007,0.055,0.005,0.003,0.01
"P23","Facundo Manes por Juntos por el Cambio",0.017,0.01,0.021,0.716,0.005,0.006,0.055,0.009,0.02,0.013
"P23","Sergio Massa por el Frente de Todos",0.006,0.003,0.03,0.027,0.74,0.026,0.176,0.004,0,0.013
"P23","Wado de Pedro por el Frente de Todos",0.001,0.007,0.031,0.006,0.035,0.8,0.07,0.001,0.027,0.011
"P23","Daniel Scioli por el Frente de Todos",0.001,0.001,0.025,0.044,0.141,0.111,0.372,0.005,0.039,0.087
"P23","Javier Milei por los liberales libertarios",0.029,0.022,0.044,0.005,0.008,0.009,0.035,0.922,0.045,0.03
"P23","Al candidato del Frente de Izquierda",0.017,0.001,0,0.01,0.018,0.011,0.013,0.001,0.79,0.011
"P23","No sabe",0.014,0.012,0.034,0.029,0.04,0.021,0.193,0.008,0.055,0.796
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.668,0.014,0.169,0.245,0.004,0.003,0.026,0.008,0.005,0.039
"P25","Patricia Bullrich por Juntos por el Cambio",0.049,0.746,0.395,0.017,0.002,0.003,0.017,0.019,0.01,0.045
"P25","Facundo Manes por Juntos por el Cambio",0.026,0.193,0.186,0.445,0.004,0.001,0.013,0.011,0.005,0.017
"P25","Sergio Massa por el Frente de Todos",0.01,0.002,0.018,0.156,0.663,0.022,0.147,0.001,0.016,0.062
"P25","Wado de Pedro por el Frente de Todos",0.004,0.002,0.041,0.017,0.162,0.718,0.081,0.006,0.017,0.036
"P25","Daniel Scioli por el Frente de Todos",0.007,0.001,0.036,0.037,0.122,0.235,0.401,0.004,0.045,0.135
"P25","Javier Milei por los liberales libertario",0.191,0.023,0.062,0.028,0.005,0.006,0.119,0.362,0.023,0.036
"P25","Al candidato del Frente de Izquierda",0.009,0.006,0.007,0.008,0.014,0.001,0.024,0.579,0.339,0.013
"P25","No sabe",0.036,0.013,0.086,0.047,0.024,0.011,0.172,0.01,0.54,0.617
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.748,0.053,0.292,0.199,0.016,0.004,0.015,0.007,0.015,0.049
"P26","Patricia Bulrich por Juntos por el Cambio",0.076,0.843,0.349,0.119,0.065,0.007,0.027,0.025,0.013,0.046
"P26","Alberto Fernández por el Frente de Todos",0.015,0.008,0.057,0.077,0.083,0.158,0.665,0.009,0.052,0.064
"P26","Sergio Massa por el Frente de Todos",0.007,0.002,0.03,0.137,0.695,0.461,0.127,0.014,0.022,0.104
"P26","Javier Milei por los liberales libertarios",0.029,0.069,0.121,0.119,0.073,0.041,0.019,0.857,0.072,0.03
"P26","Al candidato del Frente de Izquierda",0.046,0.003,0.028,0.127,0.022,0.144,0.039,0.018,0.777,0.039
"P26","No sabe",0.079,0.022,0.123,0.222,0.046,0.185,0.108,0.07,0.049,0.668
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.773,0.033,0.326,0.207,0.015,0.005,0.037,0.012,0.011,0.046
"P27","Patricia Bullrich por Juntos por el Cambio",0.093,0.876,0.349,0.159,0.019,0.009,0.032,0.027,0.007,0.042
"P27","Wado de Pedro por el Frente de Todos",0.003,0.003,0.03,0.045,0.063,0.741,0.259,0.008,0.08,0.034
"P27","Sergio Massa por el Frente de Todos",0.009,0.006,0.071,0.124,0.781,0.114,0.346,0.011,0.045,0.146
"P27","Javier Milei por los liberales libertarios",0.045,0.064,0.108,0.106,0.053,0.019,0.042,0.913,0.013,0.054
"P27","Al candidato del Frente de Izquierda",0.008,0.003,0.025,0.09,0.014,0.073,0.022,0.014,0.776,0.027
"P27","No sabe",0.069,0.015,0.091,0.269,0.055,0.039,0.262,0.015,0.068,0.651
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.779,0.031,0.311,0.204,0.043,0.001,0.045,0.017,0.003,0.044
"P28","Patricia Bullrich por Juntos por el Cambio",0.093,0.882,0.387,0.192,0.011,0.006,0.038,0.019,0.002,0.056
"P28","Wado de Pedro por el Frente de Todos",0.004,0.003,0.043,0.061,0.245,0.762,0.099,0.004,0.106,0.032
"P28","Daniel Scioli por el Frente de Todos",0.02,0.006,0.035,0.119,0.427,0.151,0.506,0.005,0.072,0.152
"P28","Javier Milei por los liberales libertarios",0.028,0.056,0.118,0.107,0.069,0.013,0.059,0.93,0.047,0.048
"P28","Al candidato del Frente de Izquierda",0.009,0.001,0.023,0.107,0.017,0.043,0.018,0.013,0.717,0.056
"P28","No sabe",0.067,0.021,0.083,0.21,0.188,0.024,0.235,0.012,0.053,0.612
"P29","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.762,0.152,0.338,0.267,0.032,0.008,0.048,0.017,0.004,0.056
"P29","Patricia Bullrich presidenta – Gustavo Valdes vice por Juntos por el Cambio",0.113,0.732,0.356,0.137,0.01,0.008,0.012,0.02,0.022,0.033
"P29","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.03,0.008,0.023,0.108,0.606,0.106,0.349,0.006,0.134,0.123
"P29","Wado de Pedro presidente – Jorge Capitanich vice por el Frente de Todos",0.009,0.012,0.057,0.097,0.178,0.76,0.26,0.013,0.051,0.062
"P29","Javier Milei presidente y su candidato a vice",0.013,0.062,0.122,0.089,0.049,0.011,0.069,0.928,0.022,0.032
"P29","A los candidatos de la izquierda",0.006,0,0.008,0.061,0.012,0.041,0.015,0.005,0.678,0.055
"P29","No sabe",0.067,0.034,0.096,0.241,0.113,0.066,0.247,0.011,0.089,0.639
"P30","Alberto Fernández por el Frente de Todos",0.038,0.026,0.083,0.105,0.613,0.607,0.769,0.003,0.06,0.152
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.829,0.445,0.616,0.364,0.048,0.023,0.043,0.012,0.014,0.045
"P30","Javier Milei por los liberales libertarios",0.036,0.264,0.154,0.12,0.045,0.019,0.092,0.925,0.039,0.053
"P30","Al candidato del Frente de Izquierda",0.025,0.015,0.024,0.11,0.053,0.105,0.019,0.012,0.837,0.043
"P30","No sabe",0.072,0.25,0.123,0.301,0.241,0.246,0.077,0.048,0.05,0.707
"P31","Sergio Massa por el Frente de Todos",0.043,0.015,0.052,0.085,0.839,0.658,0.552,0.006,0.047,0.174
"P31","Horacio Rodríguez Larreta por Juntos por el Cambio",0.871,0.486,0.65,0.361,0.025,0.011,0.078,0.006,0.021,0.045
"P31","Javier Milei por los liberales libertarios",0.039,0.29,0.158,0.115,0.035,0.018,0.098,0.954,0.039,0.047
"P31","Al candidato del Frente de Izquierda",0.005,0.01,0.049,0.133,0.024,0.103,0.059,0.01,0.854,0.029
"P31","No sabe",0.042,0.199,0.091,0.306,0.077,0.21,0.213,0.024,0.039,0.705
"P32","Wado de Pedro por el Frente de Todos",0.029,0.008,0.046,0.166,0.634,0.911,0.434,0.008,0.108,0.105
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.912,0.505,0.668,0.336,0.048,0.006,0.064,0.023,0.04,0.044
"P32","Javier Milei por los liberales libertarios",0.019,0.293,0.149,0.11,0.036,0.007,0.111,0.942,0.045,0.057
"P32","Al candidato del Frente de Izquierda",0.004,0.009,0.038,0.097,0.051,0.026,0.038,0.003,0.795,0.024
"P32","No sabe",0.036,0.185,0.099,0.291,0.231,0.05,0.353,0.024,0.012,0.77
"P33","Daniel Scioli por el Frente de Todos",0.048,0.014,0.065,0.15,0.717,0.725,0.556,0.01,0.093,0.153
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.904,0.524,0.67,0.367,0.043,0.009,0.057,0.015,0.009,0.063
"P33","Javier Milei por los liberales libertarios",0.024,0.278,0.128,0.116,0.026,0.013,0.095,0.953,0.04,0.052
"P33","Al candidato del Frente de Izquierda",0.008,0.011,0.029,0.097,0.031,0.088,0.032,0.003,0.807,0.038
"P33","No sabe",0.016,0.173,0.108,0.27,0.183,0.165,0.26,0.019,0.051,0.694
"P34","Sergio Massa por el Frente de Todos",0.067,0.008,0.038,0.198,0.884,0.672,0.547,0.006,0.09,0.16
"P34","Patricia Bullrich por Juntos por el Cambio",0.676,0.899,0.627,0.286,0.007,0.013,0.062,0.051,0.016,0.075
"P34","Javier Milei por los liberales libertarios",0.082,0.06,0.135,0.139,0.023,0.015,0.065,0.922,0.025,0.039
"P34","Al candidato del Frente de Izquierda",0.02,0.004,0.037,0.108,0.009,0.123,0.045,0.004,0.818,0.042
"P34","No sabe",0.155,0.029,0.163,0.269,0.077,0.177,0.281,0.017,0.051,0.684
"P35","Alberto Fernández por el Frente de Todos",0.036,0.009,0.069,0.148,0.714,0.658,0.784,0.006,0.089,0.147
"P35","Patricia Bullrich por Juntos por el Cambio",0.643,0.917,0.654,0.294,0.007,0.006,0.031,0.044,0.031,0.062
"P35","Javier Milei por los liberales libertarios",0.121,0.05,0.106,0.161,0.043,0.027,0.047,0.928,0.019,0.054
"P35","Al candidato del Frente de Izquierda",0.051,0,0.035,0.121,0.056,0.132,0.016,0.009,0.768,0.06
"P35","No sabe",0.149,0.024,0.136,0.276,0.18,0.177,0.122,0.013,0.093,0.677
"P36","Wado de Pedro por el Frente de Todos",0.036,0.007,0.065,0.164,0.645,0.913,0.462,0.005,0.145,0.088
"P36","Patricia Bullrich por Juntos por el Cambio",0.641,0.922,0.629,0.298,0.016,0.011,0.03,0.04,0.046,0.071
"P36","Javier Milei por los liberales libertarios",0.11,0.047,0.12,0.147,0.056,0.02,0.079,0.926,0.01,0.059
"P36","Al candidato del Frente de Izquierda",0.071,0.005,0.045,0.117,0.042,0.026,0.03,0.011,0.715,0.038
"P36","No sabe",0.142,0.019,0.141,0.274,0.241,0.03,0.399,0.018,0.084,0.744
"P37","Daniel Scioli por el Frente de Todos",0.06,0.005,0.065,0.156,0.751,0.778,0.569,0.008,0.129,0.166
"P37","Patricia Bullrich por Juntos por el Cambio",0.661,0.937,0.631,0.296,0.003,0.02,0.055,0.038,0.037,0.069
"P37","Javier Milei por los liberales libertarios",0.102,0.037,0.156,0.167,0.021,0.012,0.096,0.935,0.01,0.056
"P37","Al candidato del Frente de Izquierda",0.049,0.006,0.018,0.107,0.042,0.083,0.023,0.003,0.793,0.038
"P37","No sabe",0.128,0.015,0.13,0.274,0.183,0.107,0.257,0.016,0.031,0.671
"P38","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.774,0.388,0.528,0.372,0.089,0.093,0.131,0.022,0.067,0.113
"P38","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.126,0.15,0.19,0.212,0.756,0.525,0.487,0.007,0.049,0.123
"P38","Javier Milei presidente y su candidato a vice",0.022,0.254,0.106,0.14,0.02,0.022,0.103,0.95,0.025,0.04
"P38","A los candidatos de la izquierda",0.015,0.008,0.053,0.08,0.029,0.133,0.025,0.003,0.798,0.048
"P38","No sabe",0.063,0.2,0.123,0.196,0.106,0.227,0.254,0.018,0.061,0.676
"P39","Patricia Bullrich presidenta – Gustavo Valdés vice por Juntos por el Cambio",0.621,0.807,0.669,0.322,0.02,0.024,0.075,0.035,0.035,0.07
"P39","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.104,0.04,0.059,0.225,0.835,0.601,0.521,0.004,0.058,0.106
"P39","Javier Milei presidente y su candidato a vice",0.061,0.082,0.139,0.11,0.013,0.017,0.084,0.94,0.035,0.049
"P39","A los candidatos de la izquierda",0.043,0.002,0.017,0.104,0.021,0.135,0.028,0.006,0.789,0.049
"P39","No sabe",0.171,0.069,0.116,0.239,0.111,0.223,0.292,0.015,0.083,0.726
"P40","Sergio Massa por el Frente de Todos",0.035,0.042,0.063,0.243,0.93,0.799,0.679,0.036,0.261,0.267
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.889,0.695,0.762,0.475,0.016,0.024,0.043,0.264,0.101,0.126
"P40","No sabe",0.076,0.263,0.175,0.282,0.054,0.177,0.278,0.7,0.638,0.607
"P41","Alberto Fernández por el Frente de Todos",0.048,0.024,0.079,0.189,0.729,0.763,0.835,0.045,0.34,0.244
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.937,0.736,0.766,0.509,0.053,0.024,0.02,0.314,0.075,0.146
"P41","No sabe",0.015,0.24,0.155,0.302,0.218,0.213,0.145,0.641,0.585,0.61
"P42","Sergio Massa por el Frente de Todos",0.041,0.005,0.036,0.263,0.933,0.822,0.686,0.036,0.336,0.278
"P42","Patricia Bullrich por Juntos por el Cambio",0.746,0.961,0.783,0.405,0.011,0.02,0.062,0.564,0.052,0.101
"P42","No sabe",0.213,0.034,0.181,0.332,0.056,0.158,0.252,0.4,0.612,0.621
"P43","Alberto Fernández por el Frente de Todos",0.067,0.007,0.081,0.201,0.775,0.799,0.811,0.029,0.349,0.29
"P43","Patricia Bullrich por Juntos por el Cambio",0.732,0.972,0.752,0.394,0.007,0.016,0.03,0.607,0.057,0.097
"P43","No sabe",0.201,0.021,0.167,0.405,0.218,0.185,0.159,0.364,0.594,0.613
"P44","Wado de Pedro por el Frente de Todos",0.033,0.014,0.061,0.176,0.721,0.953,0.528,0.029,0.431,0.172
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.911,0.771,0.773,0.531,0.048,0.007,0.088,0.357,0.074,0.141
"P44","No sabe",0.056,0.215,0.166,0.293,0.231,0.04,0.384,0.614,0.495,0.687
"P45","Daniel Scioli por el Frente de Todos",0.025,0.018,0.089,0.205,0.783,0.843,0.721,0.053,0.374,0.252
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.928,0.757,0.764,0.52,0.04,0.007,0.032,0.323,0.063,0.154
"P45","No sabe",0.047,0.225,0.147,0.275,0.177,0.15,0.247,0.624,0.563,0.594
"P46","Wado de Pedro por el Frente de Todos",0.063,0.007,0.072,0.249,0.729,0.955,0.559,0.032,0.383,0.183
"P46","Patricia Bullrich por Juntos por el Cambio",0.761,0.946,0.787,0.366,0.012,0.011,0.042,0.58,0.077,0.148
"P46","No sabe",0.176,0.047,0.141,0.385,0.259,0.034,0.399,0.388,0.54,0.669
"P47","Daniel Scioli por el Frente de Todos",0.045,0.007,0.046,0.236,0.811,0.852,0.737,0.025,0.381,0.292
"P47","Patricia Bullrich por Juntos por el Cambio",0.747,0.974,0.767,0.371,0.022,0.013,0.043,0.612,0.065,0.127
"P47","No sabe",0.208,0.019,0.187,0.393,0.167,0.135,0.22,0.363,0.554,0.581
"P48","Horacio Rodríguez Larreta por Juntos por el Cambio",0.801,0.462,0.578,0.509,0.241,0.192,0.218,0.028,0.166,0.153
"P48","Javier Milei por los liberales libertarios",0.091,0.396,0.285,0.135,0.064,0.029,0.104,0.862,0.031,0.081
"P48","No sabe",0.108,0.142,0.137,0.356,0.695,0.779,0.678,0.11,0.803,0.766
"P49","Patricia Bullrich por Juntos por el Cambio",0.703,0.855,0.691,0.365,0.06,0.055,0.119,0.038,0.022,0.134
"P49","Javier Milei por los liberales libertarios",0.123,0.103,0.176,0.15,0.1,0.039,0.1,0.887,0.082,0.054
"P49","No sabe",0.174,0.042,0.133,0.485,0.84,0.906,0.781,0.075,0.896,0.812
"P50","Alberto Fernández por el Frente de Todos",0.124,0.131,0.178,0.185,0.692,0.726,0.798,0.008,0.502,0.272
"P50","Javier Milei por los liberales libertarios",0.398,0.512,0.347,0.237,0.034,0.028,0.077,0.926,0.103,0.102
"P50","No sabe",0.478,0.357,0.475,0.578,0.274,0.246,0.125,0.066,0.395,0.626
"P51","Sergio Massa por el Frente de Todos",0.093,0.016,0.138,0.28,0.903,0.836,0.717,0.011,0.417,0.288
"P51","Javier Milei por los liberales libertarios",0.453,0.619,0.403,0.266,0.017,0.01,0.064,0.931,0.078,0.088
"P51","No sabe",0.454,0.365,0.459,0.454,0.08,0.154,0.219,0.058,0.505,0.624
"P52","Muy buena",0.029,0.006,0.045,0.033,0.161,0.136,0.42,0.002,0.217,0.054
"P52","Buena",0.035,0.086,0.08,0.119,0.261,0.239,0.37,0.115,0.057,0.104
"P52","Ni buena ni mala",0.123,0.053,0.106,0.17,0.376,0.367,0.156,0.063,0.196,0.256
"P52","Mala",0.148,0.068,0.084,0.192,0.16,0.187,0.031,0.042,0.183,0.191
"P52","Muy mala",0.664,0.779,0.673,0.481,0.041,0.07,0.022,0.774,0.322,0.333
"P52","No sabe",0.001,0.008,0.012,0.005,0.001,0.001,0.001,0.004,0.025,0.062
"P53","Muy buena",0.021,0.007,0.063,0.145,0.549,0.764,0.563,0.02,0.164,0.231
"P53","Buena",0.021,0.019,0.01,0.067,0.187,0.123,0.206,0.025,0.145,0.072
"P53","Ni buena ni mala",0.033,0.009,0.011,0.039,0.133,0.073,0.147,0.052,0.192,0.154
"P53","Mala",0.063,0.044,0.148,0.089,0.082,0.03,0.053,0.036,0.169,0.087
"P53","Muy mala",0.854,0.918,0.766,0.638,0.042,0.01,0.028,0.862,0.33,0.404
"P53","No sabe",0.008,0.003,0.002,0.022,0.007,0,0.003,0.005,0,0.052
"P54","Muy buena",0.225,0.423,0.315,0.088,0.089,0.088,0.099,0.052,0.071,0.05
