"var","categoria","Sergio Massa por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.022,0.129,0.026,0.03,0.085
"P23","Patricia Bullrich por Juntos por el Cambio",0.008,0.659,0.06,0.002,0.06
"P23","María Eugenia Vidal por Juntos por el Cambio",0.01,0.098,0.026,0.083,0.058
"P23","Facundo Manes por Juntos por el Cambio",0.031,0.039,0.024,0.102,0.072
"P23","Sergio Massa por el Frente de Todos",0.317,0.008,0.011,0.008,0.069
"P23","Wado de Pedro por el Frente de Todos",0.332,0.013,0.014,0.332,0.157
"P23","Daniel Scioli por el Frente de Todos",0.205,0.007,0.015,0.075,0.123
"P23","Javier Milei por los liberales libertarios",0.005,0.031,0.815,0.009,0.023
"P23","Al candidato del Frente de Izquierda",0.025,0.001,0,0.313,0.009
"P23","No sabe",0.045,0.015,0.009,0.046,0.344
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.018,0.139,0.023,0.029,0.08
"P24","Patricia Bullrich por Juntos por el Cambio",0.007,0.663,0.062,0.02,0.054
"P24","María Eugenia Vidal por Juntos por el Cambio",0.008,0.095,0.029,0.039,0.062
"P24","Facundo Manes por Juntos por el Cambio",0.034,0.036,0.025,0.095,0.085
"P24","Sergio Massa por el Frente de Todos",0.343,0.002,0.009,0.017,0.055
"P24","Wado de Pedro por el Frente de Todos",0.372,0.005,0.008,0.347,0.181
"P24","Alberto Fernández por el Frente de Todos",0.169,0.014,0.021,0.071,0.16
"P24","Javier Milei por los liberales libertarios",0.005,0.032,0.812,0.019,0.026
"P24","Al candidato del Frente de Izquierda",0.007,0.001,0.002,0.314,0.007
"P24","No sabe",0.037,0.013,0.009,0.049,0.29
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.025,0.146,0.027,0.078,0.083
"P25","Patricia Bullrich por Juntos por el Cambio",0.005,0.581,0.054,0.035,0.05
"P25","Facundo Manes por Juntos por el Cambio",0.016,0.166,0.031,0.045,0.09
"P25","Sergio Massa por el Frente de Todos",0.298,0.01,0.011,0.026,0.078
"P25","Wado de Pedro por el Frente de Todos",0.348,0.008,0.018,0.301,0.149
"P25","Daniel Scioli por el Frente de Todos",0.246,0.009,0.015,0.125,0.142
"P25","Javier Milei por los liberales libertario",0.025,0.047,0.428,0.024,0.063
"P25","Al candidato del Frente de Izquierda",0.009,0.018,0.405,0.179,0.015
"P25","No sabe",0.028,0.015,0.011,0.187,0.33
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.024,0.207,0.03,0.075,0.118
"P26","Patricia Bulrich por Juntos por el Cambio",0.033,0.674,0.055,0.004,0.066
"P26","Alberto Fernández por el Frente de Todos",0.21,0.014,0.021,0.109,0.168
"P26","Sergio Massa por el Frente de Todos",0.574,0.012,0.007,0.102,0.073
"P26","Javier Milei por los liberales libertarios",0.031,0.053,0.801,0.011,0.051
"P26","Al candidato del Frente de Izquierda",0.05,0.015,0.017,0.61,0.035
"P26","No sabe",0.078,0.025,0.069,0.089,0.489
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.029,0.194,0.03,0.087,0.131
"P27","Patricia Bullrich por Juntos por el Cambio",0.007,0.711,0.057,0.01,0.083
"P27","Wado de Pedro por el Frente de Todos",0.384,0.011,0.013,0.324,0.181
"P27","Sergio Massa por el Frente de Todos",0.471,0.009,0.019,0.085,0.07
"P27","Javier Milei por los liberales libertarios",0.022,0.051,0.844,0.006,0.046
"P27","Al candidato del Frente de Izquierda",0.027,0.005,0.016,0.447,0.024
"P27","No sabe",0.06,0.019,0.021,0.041,0.465
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.036,0.188,0.038,0.11,0.121
"P28","Patricia Bullrich por Juntos por el Cambio",0.006,0.726,0.051,0.009,0.07
"P28","Wado de Pedro por el Frente de Todos",0.434,0.004,0.01,0.311,0.172
"P28","Daniel Scioli por el Frente de Todos",0.381,0.013,0.014,0.136,0.125
"P28","Javier Milei por los liberales libertarios",0.023,0.045,0.864,0.008,0.051
"P28","Al candidato del Frente de Izquierda",0.027,0.004,0.012,0.406,0.022
"P28","No sabe",0.093,0.02,0.011,0.02,0.439
"P29","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.026,0.278,0.051,0.094,0.145
"P29","Patricia Bullrich presidenta – Gustavo Valdes vice por Juntos por el Cambio",0.01,0.61,0.037,0.008,0.049
"P29","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.394,0.022,0.018,0.103,0.066
"P29","Wado de Pedro presidente – Jorge Capitanich vice por el Frente de Todos",0.465,0.005,0.019,0.278,0.217
"P29","Javier Milei presidente y su candidato a vice",0.011,0.049,0.86,0.042,0.055
"P29","A los candidatos de la izquierda",0.019,0.001,0.001,0.421,0.008
"P29","No sabe",0.075,0.035,0.014,0.054,0.46
"P30","Alberto Fernández por el Frente de Todos",0.709,0.037,0.01,0.194,0.236
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.059,0.562,0.038,0.078,0.128
"P30","Javier Milei por los liberales libertarios",0.023,0.205,0.917,0.003,0.033
"P30","Al candidato del Frente de Izquierda",0.041,0.016,0.01,0.662,0.016
"P30","No sabe",0.168,0.18,0.025,0.063,0.587
"P31","Sergio Massa por el Frente de Todos",0.861,0.021,0.003,0.102,0.087
"P31","Horacio Rodríguez Larreta por Juntos por el Cambio",0.035,0.61,0.034,0.087,0.148
"P31","Javier Milei por los liberales libertarios",0.013,0.22,0.941,0.003,0.038
"P31","Al candidato del Frente de Izquierda",0.023,0.007,0.012,0.735,0.03
"P31","No sabe",0.068,0.142,0.01,0.073,0.697
"P32","Wado de Pedro por el Frente de Todos",0.779,0.009,0.011,0.351,0.22
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.038,0.627,0.042,0.077,0.149
"P32","Javier Milei por los liberales libertarios",0.016,0.217,0.926,0.022,0.029
"P32","Al candidato del Frente de Izquierda",0.019,0.008,0.004,0.513,0.015
"P32","No sabe",0.148,0.139,0.017,0.037,0.587
"P33","Daniel Scioli por el Frente de Todos",0.804,0.014,0.018,0.169,0.183
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.042,0.644,0.032,0.073,0.148
"P33","Javier Milei por los liberales libertarios",0.011,0.204,0.927,0.039,0.023
"P33","Al candidato del Frente de Izquierda",0.019,0.008,0.009,0.691,0.008
"P33","No sabe",0.124,0.13,0.014,0.028,0.638
"P35","Alberto Fernández por el Frente de Todos",0.819,0.014,0.011,0.159,0.201
"P35","Patricia Bullrich por Juntos por el Cambio",0.01,0.926,0.043,0.007,0.065
"P35","Javier Milei por los liberales libertarios",0.025,0.026,0.934,0.008,0.035
"P35","Al candidato del Frente de Izquierda",0.046,0.009,0.005,0.768,0.018
"P35","No sabe",0.1,0.025,0.007,0.058,0.681
"P36","Wado de Pedro por el Frente de Todos",0.778,0.013,0.008,0.335,0.218
"P36","Patricia Bullrich por Juntos por el Cambio",0.018,0.913,0.052,0.026,0.078
"P36","Javier Milei por los liberales libertarios",0.029,0.035,0.922,0.018,0.028
"P36","Al candidato del Frente de Izquierda",0.023,0.009,0.01,0.544,0.027
"P36","No sabe",0.152,0.03,0.008,0.077,0.649
"P37","Daniel Scioli por el Frente de Todos",0.831,0.01,0.012,0.187,0.209
"P37","Patricia Bullrich por Juntos por el Cambio",0.014,0.928,0.054,0.027,0.09
"P37","Javier Milei por los liberales libertarios",0.02,0.033,0.924,0.019,0.029
"P37","Al candidato del Frente de Izquierda",0.025,0.005,0.001,0.71,0.022
"P37","No sabe",0.11,0.024,0.009,0.057,0.65
"P38","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.127,0.487,0.042,0.139,0.174
"P38","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.732,0.156,0.021,0.061,0.084
"P38","Javier Milei presidente y su candidato a vice",0.017,0.185,0.913,0.03,0.033
"P38","A los candidatos de la izquierda",0.032,0.009,0.007,0.72,0.019
"P38","No sabe",0.092,0.163,0.017,0.05,0.69
"P39","Patricia Bullrich presidenta – Gustavo Valdés vice por Juntos por el Cambio",0.041,0.819,0.061,0.012,0.085
"P39","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.814,0.049,0.012,0.099,0.078
"P39","Javier Milei presidente y su candidato a vice",0.011,0.062,0.908,0.036,0.035
"P39","A los candidatos de la izquierda",0.029,0.007,0.004,0.765,0.024
"P39","No sabe",0.105,0.063,0.015,0.088,0.778
"P40","Sergio Massa por el Frente de Todos",0.936,0.04,0.051,0.341,0.187
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.029,0.766,0.281,0.172,0.181
"P40","No sabe",0.035,0.194,0.668,0.487,0.632
"P41","Alberto Fernández por el Frente de Todos",0.821,0.036,0.051,0.407,0.275
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.047,0.788,0.337,0.149,0.213
"P41","No sabe",0.132,0.176,0.612,0.444,0.512
"P42","Sergio Massa por el Frente de Todos",0.95,0.014,0.042,0.422,0.185
"P42","Patricia Bullrich por Juntos por el Cambio",0.021,0.952,0.574,0.03,0.128
"P42","No sabe",0.029,0.034,0.384,0.548,0.687
"P43","Alberto Fernández por el Frente de Todos",0.853,0.017,0.045,0.489,0.281
"P43","Patricia Bullrich por Juntos por el Cambio",0.019,0.949,0.604,0.022,0.134
"P43","No sabe",0.128,0.034,0.351,0.489,0.585
"P44","Wado de Pedro por el Frente de Todos",0.81,0.021,0.027,0.589,0.264
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.043,0.81,0.394,0.115,0.215
"P44","No sabe",0.147,0.169,0.579,0.296,0.521
"P45","Daniel Scioli por el Frente de Todos",0.852,0.024,0.069,0.433,0.275
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.041,0.811,0.349,0.123,0.182
"P45","No sabe",0.107,0.165,0.582,0.444,0.543
"P46","Wado de Pedro por el Frente de Todos",0.827,0.016,0.046,0.581,0.268
"P46","Patricia Bullrich por Juntos por el Cambio",0.017,0.94,0.584,0.068,0.128
"P46","No sabe",0.156,0.044,0.37,0.351,0.604
"P47","Daniel Scioli por el Frente de Todos",0.88,0.009,0.039,0.471,0.292
"P47","Patricia Bullrich por Juntos por el Cambio",0.02,0.961,0.611,0.052,0.119
"P47","No sabe",0.1,0.03,0.35,0.477,0.589
"P48","Horacio Rodríguez Larreta por Juntos por el Cambio",0.245,0.55,0.062,0.285,0.201
"P48","Javier Milei por los liberales libertarios",0.039,0.331,0.838,0.021,0.064
"P48","No sabe",0.716,0.119,0.1,0.694,0.735
"P49","Patricia Bullrich por Juntos por el Cambio",0.06,0.875,0.067,0.093,0.161
"P49","Javier Milei por los liberales libertarios",0.079,0.083,0.866,0.04,0.038
"P49","No sabe",0.861,0.042,0.067,0.867,0.801
"P50","Alberto Fernández por el Frente de Todos",0.766,0.13,0.032,0.492,0.301
"P50","Javier Milei por los liberales libertarios",0.035,0.48,0.909,0.025,0.066
"P50","No sabe",0.199,0.39,0.059,0.483,0.633
"P51","Sergio Massa por el Frente de Todos",0.929,0.043,0.019,0.457,0.228
"P51","Javier Milei por los liberales libertarios",0.023,0.569,0.929,0.026,0.069
"P51","No sabe",0.048,0.388,0.052,0.517,0.703
"P52","Muy buena",0.196,0.008,0.02,0.186,0.08
"P52","Buena",0.315,0.071,0.12,0.089,0.087
"P52","Ni buena ni mala",0.316,0.077,0.062,0.194,0.267
"P52","Mala",0.132,0.08,0.048,0.206,0.198
"P52","Muy mala",0.039,0.76,0.745,0.288,0.34
"P52","No sabe",0.002,0.004,0.005,0.037,0.028
"P53","Muy buena",0.656,0.006,0.032,0.39,0.284
"P53","Buena",0.165,0.017,0.026,0.15,0.074
"P53","Ni buena ni mala",0.093,0.009,0.053,0.106,0.147
"P53","Mala",0.051,0.054,0.047,0.095,0.084
"P53","Muy mala",0.031,0.91,0.838,0.259,0.381
"P53","No sabe",0.004,0.004,0.004,0,0.03
"P54","Muy buena",0.081,0.386,0.079,0.12,0.078
"P54","Buena",0.022,0.29,0.155,0.036,0.074
"P54","Ni buena ni mala",0.037,0.147,0.32,0.034,0.152
"P54","Mala",0.134,0.055,0.169,0.141,0.194
"P54","Muy mala",0.723,0.116,0.275,0.659,0.476
"P54","No sabe",0.003,0.006,0.002,0.01,0.026
"P55","Muy buena",0.022,0.237,0.047,0.07,0.101
"P55","Buena",0.029,0.382,0.121,0.054,0.09
"P55","Ni buena ni mala",0.114,0.233,0.282,0.083,0.235
"P55","Mala",0.224,0.08,0.197,0.238,0.123
"P55","Muy mala",0.603,0.065,0.346,0.537,0.401
"P55","No sabe",0.008,0.003,0.007,0.018,0.05
"P56","Muy buena",0.198,0.036,0.016,0.047,0.031
"P56","Buena",0.393,0.069,0.041,0.079,0.087
"P56","Ni buena ni mala",0.29,0.076,0.125,0.291,0.28
"P56","Mala",0.06,0.132,0.134,0.28,0.24
"P56","Muy mala",0.057,0.685,0.674,0.303,0.297
"P56","No sabe",0.002,0.002,0.01,0,0.065
"P57","Muy buena",0.047,0.576,0.177,0.071,0.036
"P57","Buena",0.055,0.202,0.245,0.015,0.066
"P57","Ni buena ni mala",0.078,0.076,0.267,0.106,0.217
"P57","Mala",0.102,0.037,0.102,0.12,0.154
"P57","Muy mala",0.702,0.108,0.203,0.688,0.482
"P57","No sabe",0.016,0.001,0.006,0,0.045
"P58","Muy buena",0.017,0.136,0.652,0.057,0.04
"P58","Buena",0.019,0.221,0.231,0.009,0.029
"P58","Ni buena ni mala",0.062,0.36,0.081,0.096,0.162
"P58","Mala",0.109,0.158,0.012,0.089,0.216
"P58","Muy mala",0.768,0.116,0.021,0.722,0.484
"P58","No sabe",0.025,0.009,0.003,0.027,0.069
"P59","Muy buena",0.347,0.018,0.128,0.258,0.16
"P59","Buena",0.305,0.045,0.052,0.142,0.077
"P59","Ni buena ni mala",0.145,0.148,0.17,0.178,0.217
"P59","Mala",0.046,0.169,0.146,0.07,0.153
"P59","Muy mala",0.116,0.581,0.419,0.297,0.293
"P59","No sabe",0.041,0.039,0.085,0.055,0.1
"P60","Muy buena",0.262,0.008,0.027,0.099,0.128
"P60","Buena",0.414,0.016,0.019,0.101,0.145
"P60","Ni buena ni mala",0.244,0.079,0.142,0.315,0.254
"P60","Mala",0.045,0.192,0.167,0.245,0.127
"P60","Muy mala",0.02,0.691,0.63,0.238,0.302
"P60","No sabe",0.015,0.014,0.015,0.002,0.044
"P61","Muy buena",0.054,0.283,0.08,0.084,0.082
"P61","Buena",0.053,0.309,0.146,0.065,0.118
"P61","Ni buena ni mala",0.08,0.201,0.275,0.067,0.203
"P61","Mala",0.144,0.08,0.163,0.178,0.133
"P61","Muy mala",0.658,0.123,0.327,0.595,0.418
"P61","No sabe",0.011,0.004,0.009,0.011,0.046
"P62","Muy buena",0.043,0.141,0.097,0.119,0.106
"P62","Buena",0.09,0.236,0.138,0.077,0.095
"P62","Ni buena ni mala",0.357,0.348,0.34,0.253,0.316
"P62","Mala",0.219,0.125,0.134,0.22,0.135
"P62","Muy mala",0.238,0.119,0.231,0.297,0.241
"P62","No sabe",0.053,0.031,0.06,0.034,0.107
"P63","Siempre",0.312,0.329,0.248,0.302,0.27
"P63","Casi siempre",0.397,0.418,0.348,0.336,0.343
"P63","Casi nunca",0.201,0.196,0.252,0.296,0.223
"P63","Nunca, pero esta es una excepción",0.09,0.057,0.152,0.066,0.164
"P64","Si",0.639,0.648,0.599,0.573,0.547
"P64","No",0.361,0.352,0.401,0.427,0.453
