"var","categoria","Es kirchnerista","Forma parte del Frente de Todos","Es un hombre de Massa","Es un peronista independiente de centro","Es un oportunista y está donde le conviene","No sabe"
"P31","A Alberto Fernández",0.121,0,0.283,0.022,0.025,0.256
"P31","A Sergio Massa",0.227,0.286,0.257,0.171,0.073,0.224
"P31","A algún candidato del peronismo",0.523,0.46,0.25,0.722,0.715,0.52
"P31","A Cristina Fernández de Kirchner",0.129,0.254,0.21,0.085,0.187,0
"P32","A Horacio Rodriguez Larreta",0.145,0.222,0.125,0.174,0.272,0.599
"P32","A Mauricio Macri",0.108,0.094,0.184,0.143,0.076,0.082
"P32","A Patricia Bullrich",0.507,0.331,0.5,0.43,0.414,0.164
"P32","A Facundo Manes",0.065,0.219,0.088,0.205,0.144,0.042
"P32","A Gerardo Morales",0.175,0.134,0.103,0.048,0.094,0.113
"P33","Seguro lo votaria",0.227,0.252,0.335,0.343,0.181,0.311
"P33","Quizás lo votaría",0.176,0.137,0.182,0.228,0.357,0.268
"P33","Nunca lo votaría",0.597,0.611,0.483,0.429,0.462,0.421
"P34","Muy buena",0.162,0.046,0.108,0.043,0.02,0.015
"P34","Buena",0.098,0.152,0.155,0.109,0.093,0.151
"P34","Ni buena ni mala",0.183,0.168,0.158,0.153,0.057,0.139
"P34","Mala",0.058,0.207,0.065,0.103,0.088,0.085
"P34","Muy mala",0.495,0.425,0.509,0.583,0.732,0.57
"P34","No sabe",0.004,0.002,0.005,0.009,0.01,0.04
"P35","Muy buena",0.162,0.122,0.26,0.299,0.122,0.057
"P35","Buena",0.078,0.194,0.223,0.088,0.189,0.143
"P35","Ni buena ni mala",0.242,0.11,0.143,0.091,0.212,0.184
"P35","Mala",0.088,0.161,0.13,0.059,0.169,0.282
"P35","Muy mala",0.43,0.398,0.236,0.455,0.306,0.267
"P35","No sabe",0,0.015,0.008,0.008,0.002,0.067
"P36","Muy buena",0.267,0.334,0.129,0.276,0.103,0.105
"P36","Buena",0.021,0.047,0.136,0.025,0.031,0.06
"P36","Ni buena ni mala",0.035,0.065,0.111,0.052,0.041,0.109
