"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No sabe"
"P34","Muy buena",0.066,0.13,0.04,0.021,0.081,0.074
"P34","Buena",0.048,0.054,0.068,0.25,0.169,0.191
"P34","Ni buena ni mala",0.166,0.084,0.14,0.113,0.246,0.14
"P34","Mala",0.02,0.158,0.114,0.109,0.128,0.104
"P34","Muy mala",0.695,0.574,0.635,0.504,0.376,0.458
"P34","No sabe",0.005,0,0.003,0.003,0,0.033
"P35","Muy buena",0.301,0.278,0.171,0.126,0.158,0.053
"P35","Buena",0.095,0.216,0.186,0.159,0.056,0.167
"P35","Ni buena ni mala",0.104,0.258,0.212,0.032,0.035,0.184
"P35","Mala",0.039,0.118,0.111,0.234,0.046,0.252
"P35","Muy mala",0.364,0.13,0.305,0.449,0.705,0.332
"P35","No sabe",0.097,0,0.015,0,0,0.012
"P36","Muy buena",0.064,0.092,0.172,0.282,0.448,0.237
"P36","Buena",0.004,0.036,0.065,0.103,0.101,0.019
"P36","Ni buena ni mala",0.137,0.023,0.058,0.074,0.021,0.094
"P36","Mala",0.058,0.158,0.057,0.042,0.008,0.131
"P36","Muy mala",0.737,0.685,0.644,0.499,0.422,0.465
"P36","No sabe",0,0.006,0.004,0,0,0.054
"P37","Muy buena",0.128,0.118,0.1,0.019,0.066,0.069
"P37","Buena",0.069,0.27,0.22,0.128,0.071,0.237
"P37","Ni buena ni mala",0.28,0.225,0.19,0.09,0.136,0.216
"P37","Mala",0.08,0.112,0.143,0.222,0.14,0.08
"P37","Muy mala",0.347,0.196,0.318,0.541,0.587,0.336
"P37","No sabe",0.096,0.079,0.029,0,0,0.062
"P38","Muy buena",0.017,0.02,0.066,0.153,0.109,0.114
"P38","Buena",0.012,0.11,0.133,0.126,0.224,0.224
"P38","Ni buena ni mala",0.191,0.049,0.192,0.119,0.141,0.157
"P38","Mala",0.119,0.173,0.116,0.097,0.053,0.143
"P38","Muy mala",0.579,0.648,0.493,0.505,0.466,0.308
"P38","No sabe",0.082,0,0,0,0.007,0.054
"P39","Muy buena",0.438,0.354,0.28,0.204,0.124,0.219
"P39","Buena",0.069,0.288,0.192,0.081,0.088,0.132
"P39","Ni buena ni mala",0.116,0.187,0.238,0.063,0.076,0.175
"P39","Mala",0.035,0.069,0.043,0.19,0,0.1
"P39","Muy mala",0.342,0.102,0.223,0.462,0.699,0.301
"P39","No sabe",0,0,0.024,0,0.013,0.073
"P40","Muy buena",0.251,0.246,0.211,0.339,0.2,0.201
"P40","Buena",0.144,0.166,0.178,0.131,0.055,0.111
"P40","Ni buena ni mala",0.247,0.353,0.28,0.038,0.059,0.155
"P40","Mala",0.054,0.093,0.144,0.06,0.024,0.09
"P40","Muy mala",0.273,0.122,0.157,0.432,0.662,0.298
"P40","No sabe",0.031,0.02,0.03,0,0,0.145
