"var","categoria","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos","Javier Milei presidente – José Luis Espert  gobernador por los liberales","A los candidatos de la izquierda","Otro candidato"
"P11","A Sergio Massa",0.255,0.234,0.414,0.562,0.313
"P11","A algún candidato del peronismo",0.158,0.083,0.41,0.103,0.215
"P11","A algún candidato del kirchnerismo",0.477,0.53,0.028,0.195,0.379
"P12","A Alberto Fernández",0.08,0.081,0.025,0.313,0.126
"P12","A Sergio Massa",0.147,0.106,0.458,0.2,0.264
"P12","A algún candidato del peronismo",0.128,0.071,0.386,0.245,0.334
"P12","A Cristina Fernández de Kirchner",0.645,0.742,0.131,0.242,0.276
"P13","A Horacio Rodriguez Larreta",0.306,0.306,0.117,0.215,0.164
"P13","A Mauricio Macri",0.252,0.317,0.354,0.409,0.281
"P13","A Patricia Bullrich",0.391,0.285,0.506,0.316,0.421
"P13","A Facundo Manes",0.038,0.059,0.021,0.06,0.098
"P13","A Gerardo Morales",0.013,0.033,0.002,0,0.036
"P14","Seguro lo votaria",0.142,0.1,0.429,0.281,0.084
"P14","Quizás lo votaría",0.345,0.376,0.368,0.25,0.32
"P14","Nunca lo votaría",0.513,0.524,0.203,0.469,0.596
"P15","Lo votaría",0.253,0.632,0.023,0.189,0.075
"P15","Puede que lo vote",0.067,0.092,0.022,0.223,0.099
"P15","Nunca lo votaría",0.645,0.207,0.911,0.325,0.72
"P15","No sabe",0.035,0.069,0.044,0.263,0.106
"P16","Lo votaría",0.128,0.243,0.036,0.08,0.044
"P16","Puede que lo vote",0.167,0.348,0.059,0.146,0.151
"P16","Nunca lo votaría",0.623,0.291,0.836,0.617,0.655
"P16","No sabe",0.082,0.118,0.069,0.157,0.15
"P17","Lo votaría",0.339,0.14,0.134,0.071,0.102
"P17","Puede que lo vote",0.283,0.157,0.32,0.135,0.323
"P17","Nunca lo votaría",0.309,0.631,0.445,0.598,0.391
"P17","No sabe",0.069,0.072,0.101,0.196,0.184
"P18","Lo votaría",0.24,0.089,0.129,0.072,0.118
"P18","Puede que lo vote",0.28,0.134,0.296,0.078,0.263
"P18","Nunca lo votaría",0.376,0.661,0.432,0.741,0.415
"P18","No sabe",0.104,0.116,0.143,0.109,0.204
"P19","Lo votaría",0.16,0.259,0.036,0.107,0.101
"P19","Puede que lo vote",0.166,0.375,0.079,0.241,0.156
"P19","Nunca lo votaría",0.648,0.309,0.859,0.553,0.638
"P19","No sabe",0.026,0.057,0.026,0.099,0.105
"P20","Lo votaría",0.077,0.05,0.038,0.034,0.045
"P20","Puede que lo vote",0.212,0.177,0.165,0.061,0.186
"P20","Nunca lo votaría",0.536,0.575,0.612,0.666,0.55
"P20","No sabe",0.175,0.198,0.185,0.239,0.219
"P21","Lo votaría",0.151,0.051,0.534,0.06,0.117
"P21","Puede que lo vote",0.281,0.122,0.255,0.025,0.247
"P21","Nunca lo votaría",0.466,0.723,0.156,0.862,0.483
"P21","No sabe",0.102,0.104,0.055,0.053,0.153
"P22","Lo votaría",0.039,0.019,0.073,0.058,0.051
"P22","Puede que lo vote",0.108,0.083,0.094,0.034,0.113
"P22","Nunca lo votaría",0.587,0.624,0.517,0.552,0.513
"P22","No sabe",0.266,0.274,0.316,0.356,0.323
"P23","Mauricio Macri presidente – Cristian Ritondo gobernador por Juntos por el Cambio",0.227,0.081,0.094,0.042,0.154
"P23","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.225,0.058,0.02,0.097,0.077
"P23","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio",0.198,0.069,0.175,0.065,0.247
"P23","Alberto Fernández presidente – Gabriel Katopodis gobernador por el Frente de Todos",0.031,0.062,0.014,0.12,0.06
"P23","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos",0.22,0.562,0.015,0.057,0.043
"P23","Cristina Fernández de Kirchner presidenta  - Sergio Massa gobernador por el Frente de Todos",0.077,0.131,0.069,0.017,0.052
"P23","Javier Milei presidente - José Luis Espert gobernador por los liberales",0.007,0.01,0.585,0.019,0.032
"P23","A los candidatos de la izquierda",0.005,0.006,0.004,0.549,0.016
"P23","Otros candidatos",0.01,0.021,0.024,0.034,0.319
"P24","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio",0.311,0.119,0.19,0.127,0.337
"P24","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.305,0.084,0.044,0.023,0.085
"P24","Alberto Fernández presidente – Gabriel Katopodis gobernador por el Frente de Todos",0.084,0.157,0.038,0.041,0.034
"P24","Sergio Massa presidente – Axel Kicillof Gobernador",0.205,0.495,0.011,0.134,0.104
"P24","Javier Milei presidente - José Luis Espert gobernador por los liberales",0.025,0.038,0.655,0.023,0.03
"P24","A los candidatos de la izquierda",0.025,0.039,0.013,0.633,0.022
"P24","Otros candidatos",0.045,0.068,0.049,0.019,0.388
"P26","Cristina Fernández de Kirchner presidenta – Sergio Massa gobernador por el Frente de Todos",0.294,0.745,0.007,0.033,0.037
"P26","Mauricio Macri presidente – Cristian Ritondo gobernador por Juntos por el Cambio",0.503,0.167,0.111,0.027,0.202
"P26","Javier Milei presidente – José Luis Espert gobernador por los liberales",0.052,0.015,0.847,0.013,0.03
"P26","A los candidatos de la izquierda",0.026,0.003,0.01,0.858,0.025
"P26","Otro candidato",0.125,0.07,0.025,0.069,0.706
"P30","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio",0.627,0.321,0.117,0.073,0.158
"P30","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos",0.223,0.635,0.083,0.124,0.217
"P30","Javier Milei presidente – José Luis Espert  gobernador por los liberales",0.049,0.004,0.791,0.022,0.021
"P30","A los candidatos de la izquierda",0.006,0.003,0.003,0.735,0.032
"P30","Otro candidato",0.095,0.037,0.006,0.046,0.572
"P31","Sergio Massa por el Frente de Todos",0.262,0.502,0.053,0.16,0.169
"P31","Patricia Bullrich por Juntos por el Cambio",0.524,0.203,0.18,0.067,0.268
"P31","Javier Milei por los liberales libertarios",0.026,0.014,0.735,0.018,0.029
"P31","Nicolás del Caño por la izquierda",0.029,0.012,0.001,0.531,0.034
"P31","Otro candidato",0.088,0.134,0.008,0.047,0.308
"P31","Aún no lo tengo decidido",0.071,0.135,0.023,0.177,0.192
"P33","Sergio Massa por el Frente de Todos",0.222,0.558,0.012,0.201,0.103
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.578,0.191,0.04,0.009,0.122
"P33","Javier Milei por los liberales libertarios",0.031,0.021,0.869,0.027,0.041
"P33","Nicolás del Caño por la izquierda",0.03,0.014,0.005,0.573,0.031
"P33","Otro candidato",0.064,0.112,0.024,0.112,0.448
"P33","Aún no lo tengo decidido",0.075,0.104,0.05,0.078,0.255
"P34","Cristina Fernández de Kirchner por el Frente de Todos",0.283,0.731,0.013,0.083,0.041
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.58,0.189,0.054,0.057,0.126
"P34","Javier Milei por los liberales libertarios",0.033,0.02,0.876,0.047,0.062
"P34","Nicolás del Caño por la izquierda",0.009,0.009,0.008,0.655,0.037
"P34","Otro candidato",0.046,0.014,0.018,0.118,0.516
"P34","Aún no lo tengo decidido",0.049,0.037,0.031,0.04,0.218
"P35","Sergio Massa por el Frente de Todos",0.245,0.535,0.076,0.139,0.229
"P35","Mauricio Macri por Juntos por el Cambio",0.525,0.242,0.098,0.116,0.153
"P35","Javier Milei por los liberales libertarios",0.038,0.012,0.784,0.022,0.034
"P35","Nicolás del Caño por la izquierda",0.025,0.022,0.004,0.562,0.024
"P35","Otro candidato",0.107,0.102,0.016,0.121,0.386
"P35","Aún no lo tengo decidido",0.06,0.087,0.022,0.04,0.174
"P36","Cristina Fernández de Kirchner por el Frente de Todos",0.326,0.738,0.045,0.332,0.102
"P36","Mauricio Macri por Juntos por el Cambio",0.591,0.22,0.522,0.09,0.403
"P36","No sabe",0.083,0.042,0.433,0.578,0.495
"P37","Alberto Fernández por el Frente de Todos",0.241,0.598,0.033,0.348,0.092
"P37","Horacio Rodríguez Larreta por Juntos por el Cambio",0.636,0.22,0.449,0.146,0.325
"P37","No sabe",0.123,0.182,0.518,0.506,0.583
"P38","Sergio Massa presidente por el Frente de Todos",0.26,0.638,0.029,0.495,0.163
"P38","Patricia Bullrich por Juntos por el Cambio",0.605,0.207,0.709,0.106,0.488
"P38","No sabe",0.135,0.155,0.262,0.399,0.349
"P39","Cristina Fernandez de Kirchner por el Frente de Todos",0.29,0.749,0.027,0.456,0.09
"P39","Horacio Rodríguez Larreta por Juntos por el Cambio",0.649,0.208,0.563,0.104,0.394
"P39","No sabe",0.061,0.043,0.41,0.44,0.516
"P40","Sergio Massa presidente por el Frente de Todos",0.277,0.668,0.019,0.366,0.163
"P40","Javier Milei por los liberales libertarios",0.308,0.112,0.891,0.072,0.206
"P40","No sabe",0.415,0.22,0.09,0.562,0.631
"P41","Sergio Massa por el Frente de Todos",0.251,0.651,0.055,0.404,0.129
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.616,0.2,0.558,0.121,0.372
"P41","No sabe",0.133,0.149,0.387,0.475,0.499
"P42","Sergio Massa por el Frente de Todos",0.278,0.668,0.039,0.523,0.159
"P42","Mauricio Macri por Juntos por el Cambio",0.614,0.207,0.664,0.058,0.461
"P42","No sabe",0.108,0.125,0.297,0.419,0.38
"P43","Horacio Rodríguez Larreta por Juntos por el Cambio",0.575,0.269,0.062,0.168,0.307
"P43","Javier Milei por los liberales libertarios",0.127,0.08,0.862,0.097,0.175
"P43","No sabe",0.298,0.651,0.076,0.735,0.518
"P44","Muy buena",0.086,0.116,0.016,0.063,0.044
"P44","Buena",0.12,0.33,0.124,0.111,0.06
"P44","Ni buena ni mala",0.164,0.278,0.031,0.368,0.152
"P44","Mala",0.123,0.091,0.058,0.236,0.116
"P44","Muy mala",0.498,0.184,0.771,0.133,0.592
"P44","No sabe",0.009,0.001,0,0.089,0.036
"P45","Muy buena",0.055,0.129,0.004,0.085,0.015
"P45","Buena",0.105,0.257,0.032,0.126,0.039
"P45","Ni buena ni mala",0.129,0.27,0.033,0.315,0.157
"P45","Mala",0.151,0.135,0.096,0.179,0.137
"P45","Muy mala",0.558,0.206,0.835,0.295,0.638
"P45","No sabe",0.002,0.003,0,0,0.014
"P46","Muy buena",0.209,0.566,0.005,0.123,0.045
"P46","Buena",0.046,0.112,0.01,0.115,0.046
"P46","Ni buena ni mala",0.046,0.071,0.026,0.346,0.08
"P46","Mala",0.053,0.02,0.055,0.125,0.075
"P46","Muy mala",0.641,0.226,0.898,0.291,0.721
"P46","No sabe",0.005,0.005,0.006,0,0.033
"P47","Muy buena",0.261,0.141,0.144,0.038,0.135
"P47","Buena",0.235,0.112,0.248,0.005,0.142
"P47","Ni buena ni mala",0.115,0.052,0.258,0.114,0.212
"P47","Mala",0.094,0.111,0.144,0.13,0.12
"P47","Muy mala",0.291,0.578,0.203,0.713,0.372
"P47","No sabe",0.004,0.006,0.003,0,0.019
"P48","Muy buena",0.286,0.109,0.1,0.043,0.071
"P48","Buena",0.286,0.112,0.19,0.032,0.22
"P48","Ni buena ni mala",0.141,0.112,0.3,0.091,0.376
"P48","Mala",0.092,0.151,0.17,0.259,0.095
"P48","Muy mala",0.188,0.491,0.225,0.575,0.213
"P48","No sabe",0.007,0.025,0.015,0,0.025
"P49","Muy buena",0.086,0.132,0.023,0.101,0.054
"P49","Buena",0.135,0.263,0.025,0.039,0.113
"P49","Ni buena ni mala",0.13,0.273,0.096,0.367,0.166
"P49","Mala",0.16,0.091,0.163,0.164,0.137
"P49","Muy mala",0.486,0.236,0.69,0.329,0.514
"P49","No sabe",0.003,0.005,0.003,0,0.016
"P50","Muy buena",0.389,0.12,0.36,0.086,0.287
"P50","Buena",0.192,0.089,0.248,0.021,0.155
"P50","Ni buena ni mala",0.093,0.078,0.189,0.142,0.183
"P50","Mala",0.059,0.091,0.077,0.153,0.134
"P50","Muy mala",0.259,0.608,0.125,0.586,0.21
"P50","No sabe",0.008,0.014,0.001,0.012,0.031
"P51","Muy buena",0.088,0.033,0.538,0.075,0.039
"P51","Buena",0.125,0.059,0.303,0.009,0.089
"P51","Ni buena ni mala",0.353,0.143,0.116,0.112,0.378
"P51","Mala",0.134,0.119,0.033,0.093,0.138
"P51","Muy mala",0.274,0.634,0.01,0.702,0.323
"P51","No sabe",0.026,0.012,0,0.009,0.033
"P52","Muy buena",0.298,0.106,0.209,0.088,0.125
"P52","Buena",0.238,0.076,0.21,0.064,0.245
"P52","Ni buena ni mala",0.14,0.093,0.269,0.107,0.255
"P52","Mala",0.066,0.089,0.125,0.089,0.12
"P52","Muy mala",0.242,0.614,0.182,0.647,0.235
"P52","No sabe",0.016,0.022,0.005,0.005,0.02
"P53","Muy buena",0.079,0.15,0.035,0.025,0.05
"P53","Buena",0.145,0.294,0.025,0.054,0.098
"P53","Ni buena ni mala",0.144,0.236,0.125,0.411,0.142
"P53","Mala",0.176,0.087,0.163,0.234,0.197
"P53","Muy mala",0.446,0.205,0.649,0.251,0.491
"P53","No sabe",0.01,0.028,0.003,0.025,0.022
"P54","Muy buena",0.069,0.057,0.062,0.052,0.122
"P54","Buena",0.178,0.12,0.118,0.307,0.12
"P54","Ni buena ni mala",0.331,0.373,0.266,0.353,0.34
"P54","Mala",0.185,0.177,0.196,0.046,0.14
"P54","Muy mala",0.189,0.204,0.308,0.125,0.211
"P54","No sabe",0.048,0.069,0.05,0.117,0.067
"P55","Muy buena",0.058,0.028,0.049,0.027,0.091
"P55","Buena",0.184,0.055,0.079,0.039,0.134
"P55","Ni buena ni mala",0.355,0.229,0.357,0.328,0.343
"P55","Mala",0.121,0.164,0.174,0.275,0.146
"P55","Muy mala",0.205,0.437,0.242,0.207,0.183
"P55","No sabe",0.077,0.087,0.099,0.124,0.103
"P56","Siempre",0.313,0.343,0.279,0.161,0.284
"P56","Casi siempre",0.429,0.386,0.354,0.534,0.368
"P56","Casi nunca",0.169,0.162,0.237,0.097,0.216
"P56","Nunca, pero esta es una excepción",0.089,0.109,0.13,0.208,0.132
"P57","Si",0.576,0.55,0.565,0.532,0.526
"P57","No",0.424,0.45,0.435,0.468,0.474
