"var","categoria","Seguro lo votaria","Quizás lo votaría","Nunca lo votaría"
"P37","No sabe",0.122,0.146,0.157
"P38","Sergio Massa presidente por el Frente de Todos",0.038,0.052,0.038
"P38","Patricia Bullrich por Juntos por el Cambio",0.873,0.849,0.858
"P38","No sabe",0.089,0.099,0.104
"P39","Cristina Fernandez de Kirchner por el Frente de Todos",0.024,0.028,0.026
"P39","Horacio Rodríguez Larreta por Juntos por el Cambio",0.869,0.848,0.833
"P39","No sabe",0.107,0.124,0.141
"P40","Sergio Massa presidente por el Frente de Todos",0.034,0.02,0.056
"P40","Javier Milei por los liberales libertarios",0.754,0.624,0.288
"P40","No sabe",0.212,0.356,0.656
"P41","Sergio Massa por el Frente de Todos",0.03,0.014,0.031
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.888,0.849,0.754
"P41","No sabe",0.082,0.137,0.215
"P42","Sergio Massa por el Frente de Todos",0.037,0.04,0.044
"P42","Mauricio Macri por Juntos por el Cambio",0.887,0.88,0.837
"P42","No sabe",0.076,0.08,0.119
"P43","Horacio Rodríguez Larreta por Juntos por el Cambio",0.469,0.607,0.662
"P43","Javier Milei por los liberales libertarios",0.478,0.301,0.173
"P43","No sabe",0.053,0.092,0.165
"P44","Muy buena",0.055,0.071,0.067
"P44","Buena",0.096,0.06,0.03
"P44","Ni buena ni mala",0.015,0.041,0.048
"P44","Mala",0.072,0.083,0.12
"P44","Muy mala",0.755,0.734,0.73
"P44","No sabe",0.007,0.011,0.005
"P45","Muy buena",0.005,0.012,0.006
"P45","Buena",0.023,0.019,0.013
"P45","Ni buena ni mala",0.054,0.029,0.027
"P45","Mala",0.103,0.148,0.141
"P45","Muy mala",0.815,0.79,0.811
"P45","No sabe",0,0.002,0.002
"P46","Muy buena",0.008,0.008,0.02
"P46","Buena",0.033,0.003,0.013
"P46","Ni buena ni mala",0.022,0.02,0.008
"P46","Mala",0.03,0.038,0.056
"P46","Muy mala",0.907,0.93,0.901
"P46","No sabe",0,0.001,0.002
"P47","Muy buena",0.436,0.327,0.335
"P47","Buena",0.274,0.355,0.291
"P47","Ni buena ni mala",0.129,0.119,0.154
"P47","Mala",0.041,0.066,0.05
"P47","Muy mala",0.12,0.133,0.163
"P47","No sabe",0,0,0.007
"P48","Muy buena",0.445,0.287,0.313
"P48","Buena",0.289,0.377,0.365
"P48","Ni buena ni mala",0.161,0.243,0.2
"P48","Mala",0.079,0.06,0.046
"P48","Muy mala",0.026,0.022,0.076
"P48","No sabe",0,0.011,0
"P49","Muy buena",0.058,0.053,0.03
"P49","Buena",0.022,0.056,0.073
"P49","Ni buena ni mala",0.082,0.079,0.059
"P49","Mala",0.159,0.125,0.166
"P49","Muy mala",0.679,0.678,0.672
"P49","No sabe",0,0.009,0
"P50","Muy buena",0.566,0.57,0.496
"P50","Buena",0.233,0.201,0.26
"P50","Ni buena ni mala",0.094,0.107,0.087
"P50","Mala",0.03,0.031,0.078
"P50","Muy mala",0.07,0.09,0.077
"P50","No sabe",0.007,0.001,0.002
"P51","Muy buena",0.272,0.118,0.079
"P51","Buena",0.419,0.326,0.068
"P51","Ni buena ni mala",0.26,0.479,0.412
"P51","Mala",0.026,0.036,0.237
"P51","Muy mala",0.003,0.023,0.196
"P51","No sabe",0.02,0.018,0.008
"P52","Muy buena",0.519,0.357,0.342
"P52","Buena",0.247,0.377,0.337
"P52","Ni buena ni mala",0.19,0.183,0.201
"P52","Mala",0.006,0.029,0.066
"P52","Muy mala",0.031,0.035,0.053
"P52","No sabe",0.007,0.019,0.001
"P53","Muy buena",0.048,0.033,0.034
"P53","Buena",0.042,0.109,0.054
"P53","Ni buena ni mala",0.117,0.062,0.094
"P53","Mala",0.159,0.194,0.208
"P53","Muy mala",0.628,0.582,0.608
"P53","No sabe",0.006,0.02,0.002
"P54","Muy buena",0.117,0.103,0.068
"P54","Buena",0.286,0.165,0.127
"P54","Ni buena ni mala",0.199,0.29,0.306
"P54","Mala",0.12,0.182,0.218
"P54","Muy mala",0.235,0.204,0.252
"P54","No sabe",0.043,0.056,0.029
"P55","Muy buena",0.117,0.044,0.079
"P55","Buena",0.207,0.2,0.177
"P55","Ni buena ni mala",0.335,0.413,0.346
"P55","Mala",0.045,0.145,0.15
"P55","Muy mala",0.203,0.122,0.166
"P55","No sabe",0.093,0.076,0.082
"P56","Siempre",0.375,0.262,0.381
"P56","Casi siempre",0.439,0.411,0.377
"P56","Casi nunca",0.119,0.209,0.195
"P56","Nunca, pero esta es una excepción",0.067,0.118,0.047
"P57","Si",0.686,0.595,0.609
"P57","No",0.314,0.405,0.391
