"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior","Fernandez","Macri","Lavagna"
"Mauricio Macri","Mala",0.115,0.131,0.101,0.055,0.135,0.136,0.093,0.144,0.098,0.113,0.112,0.122,0.137,0.057,0.325
"Mauricio Macri","Muy mala",0.379,0.373,0.385,0.444,0.417,0.337,0.319,0.345,0.388,0.4,0.394,0.351,0.639,0.172,0.27
"Mauricio Macri","No sabe",0.006,0.003,0.008,0,0.009,0.006,0.004,0.012,0.003,0.004,0.005,0.008,0.006,0.004,0.018
"Javier Milei","Muy buena",0.174,0.233,0.12,0.23,0.2,0.144,0.125,0.225,0.155,0.15,0.171,0.179,0.085,0.195,0.173
"Javier Milei","Buena",0.141,0.159,0.125,0.114,0.15,0.143,0.14,0.149,0.141,0.132,0.139,0.145,0.036,0.213,0.198
"Javier Milei","Ni buena ni mala",0.228,0.203,0.25,0.171,0.18,0.275,0.295,0.224,0.256,0.191,0.227,0.229,0.11,0.327,0.337
"Javier Milei","Mala",0.104,0.088,0.12,0.059,0.102,0.116,0.125,0.105,0.092,0.122,0.105,0.104,0.116,0.115,0.077
"Javier Milei","Muy mala",0.337,0.312,0.36,0.426,0.353,0.304,0.29,0.269,0.346,0.393,0.345,0.323,0.644,0.139,0.192
"Javier Milei","No sabe",0.016,0.005,0.025,0,0.015,0.018,0.025,0.028,0.01,0.012,0.013,0.02,0.009,0.011,0.023
"Facundo Manes","Muy buena",0.069,0.075,0.065,0.017,0.077,0.086,0.07,0.093,0.058,0.063,0.056,0.095,0.056,0.088,0.136
"Facundo Manes","Buena",0.14,0.14,0.14,0.135,0.118,0.15,0.172,0.135,0.145,0.138,0.13,0.159,0.099,0.174,0.311
"Facundo Manes","Ni buena ni mala",0.33,0.307,0.35,0.264,0.312,0.362,0.365,0.322,0.331,0.335,0.325,0.338,0.39,0.301,0.254
"Facundo Manes","Mala",0.177,0.189,0.167,0.23,0.162,0.181,0.165,0.132,0.179,0.219,0.178,0.175,0.174,0.187,0.113
"Facundo Manes","Muy mala",0.225,0.25,0.201,0.334,0.256,0.164,0.171,0.212,0.241,0.214,0.246,0.185,0.218,0.224,0.131
"Facundo Manes","No sabe",0.059,0.039,0.077,0.02,0.075,0.057,0.057,0.106,0.046,0.031,0.065,0.048,0.063,0.026,0.055
"CFK","Muy buena",0.25,0.223,0.275,0.208,0.264,0.245,0.259,0.243,0.243,0.268,0.26,0.232,0.578,0.039,0.046
"CFK","Buena",0.06,0.063,0.056,0.054,0.066,0.062,0.048,0.059,0.054,0.068,0.06,0.059,0.106,0.024,0.03
"CFK","Ni buena ni mala",0.059,0.051,0.068,0.09,0.068,0.049,0.035,0.067,0.066,0.042,0.053,0.071,0.088,0.013,0.089
"CFK","Mala",0.047,0.054,0.041,0.016,0.061,0.043,0.049,0.06,0.042,0.042,0.045,0.052,0.033,0.053,0.087
"CFK","Muy mala",0.575,0.605,0.547,0.624,0.533,0.588,0.604,0.555,0.59,0.573,0.574,0.576,0.187,0.87,0.73
"CFK","No sabe",0.009,0.004,0.013,0.008,0.008,0.013,0.005,0.016,0.005,0.007,0.008,0.01,0.008,0.001,0.018
"Daniel Scioli","Muy buena",0.086,0.081,0.091,0.029,0.082,0.089,0.129,0.122,0.069,0.075,0.084,0.09,0.149,0.046,0.06
"Daniel Scioli","Buena",0.155,0.147,0.163,0.117,0.154,0.173,0.16,0.16,0.145,0.166,0.165,0.136,0.315,0.049,0.172
"Daniel Scioli","Ni buena ni mala",0.173,0.165,0.18,0.208,0.203,0.125,0.157,0.186,0.162,0.176,0.168,0.182,0.246,0.1,0.178
"Daniel Scioli","Mala",0.148,0.151,0.146,0.174,0.133,0.15,0.158,0.118,0.16,0.161,0.139,0.167,0.081,0.181,0.284
"Daniel Scioli","Muy mala",0.422,0.452,0.394,0.447,0.415,0.442,0.388,0.388,0.449,0.416,0.425,0.415,0.193,0.617,0.306
"Daniel Scioli","No sabe",0.016,0.004,0.026,0.025,0.013,0.021,0.008,0.026,0.015,0.006,0.019,0.01,0.016,0.007,0
"Sergio Massa","Muy buena",0.082,0.079,0.084,0.015,0.09,0.086,0.105,0.122,0.072,0.055,0.083,0.079,0.145,0.036,0.115
"Sergio Massa","Buena",0.144,0.128,0.158,0.127,0.122,0.161,0.175,0.114,0.14,0.179,0.141,0.149,0.263,0.055,0.133
"Sergio Massa","Ni buena ni mala",0.176,0.15,0.199,0.174,0.2,0.166,0.145,0.164,0.192,0.166,0.189,0.152,0.274,0.086,0.074
"Sergio Massa","Mala",0.136,0.15,0.124,0.123,0.132,0.135,0.155,0.159,0.122,0.134,0.127,0.153,0.104,0.156,0.252
"Sergio Massa","Muy mala",0.457,0.491,0.427,0.561,0.453,0.446,0.409,0.435,0.471,0.459,0.454,0.464,0.213,0.665,0.426
"Sergio Massa","No sabe",0.005,0.002,0.008,0,0.003,0.006,0.011,0.006,0.003,0.007,0.006,0.003,0.001,0.002,0
"Gerardo Morales","Muy buena",0.05,0.058,0.042,0.042,0.035,0.068,0.06,0.071,0.032,0.055,0.04,0.068,0.032,0.071,0.044
"Gerardo Morales","Buena",0.109,0.105,0.112,0.043,0.074,0.126,0.197,0.106,0.118,0.098,0.1,0.124,0.029,0.177,0.211
"Gerardo Morales","Ni buena ni mala",0.314,0.282,0.342,0.249,0.302,0.351,0.329,0.339,0.329,0.266,0.302,0.335,0.238,0.373,0.385
"Gerardo Morales","Mala",0.153,0.195,0.116,0.149,0.152,0.162,0.147,0.187,0.119,0.17,0.161,0.14,0.174,0.138,0.171
"Gerardo Morales","Muy mala",0.285,0.302,0.27,0.394,0.326,0.229,0.208,0.205,0.301,0.341,0.299,0.26,0.455,0.176,0.12
"Gerardo Morales","No sabe",0.089,0.058,0.118,0.123,0.111,0.064,0.059,0.092,0.101,0.07,0.098,0.073,0.072,0.065,0.069
"Alberto Fernandez","Muy buena",0.061,0.044,0.077,0.011,0.074,0.061,0.071,0.092,0.056,0.038,0.066,0.053,0.137,0.012,0.018
"Alberto Fernandez","Buena",0.127,0.121,0.134,0.095,0.123,0.146,0.133,0.124,0.118,0.144,0.137,0.11,0.25,0.039,0.048
"Alberto Fernandez","Ni buena ni mala",0.158,0.126,0.186,0.127,0.192,0.137,0.141,0.169,0.151,0.155,0.154,0.164,0.297,0.044,0.118
"Alberto Fernandez","Mala",0.132,0.14,0.124,0.147,0.132,0.12,0.137,0.135,0.129,0.134,0.121,0.151,0.133,0.136,0.179
"Alberto Fernandez","Muy mala",0.519,0.568,0.473,0.62,0.478,0.529,0.513,0.478,0.542,0.524,0.518,0.519,0.182,0.767,0.633
"Alberto Fernandez","No sabe",0.003,0.001,0.006,0,0.001,0.007,0.005,0.002,0.004,0.005,0.004,0.003,0.001,0.002,0.004
