"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior","Fernandez","Macri","Lavagna"
"CFK","No sabe",0.009,0.004,0.013,0.008,0.008,0.013,0.005,0.016,0.005,0.007,0.008,0.01,0.008,0.001,0.018
"Daniel Scioli","Positiva",0.241,0.228,0.254,0.146,0.236,0.262,0.289,0.282,0.214,0.241,0.249,0.226,0.464,0.095,0.232
"Daniel Scioli","Neutra",0.173,0.165,0.18,0.208,0.203,0.125,0.157,0.186,0.162,0.176,0.168,0.182,0.246,0.1,0.178
"Daniel Scioli","Negativa",0.57,0.603,0.54,0.621,0.548,0.592,0.546,0.506,0.609,0.577,0.564,0.582,0.274,0.798,0.59
"Daniel Scioli","No sabe",0.016,0.004,0.026,0.025,0.013,0.021,0.008,0.026,0.015,0.006,0.019,0.01,0.016,0.007,0
"Sergio Massa","Positiva",0.226,0.207,0.242,0.142,0.212,0.247,0.28,0.236,0.212,0.234,0.224,0.228,0.408,0.091,0.248
"Sergio Massa","Neutra",0.176,0.15,0.199,0.174,0.2,0.166,0.145,0.164,0.192,0.166,0.189,0.152,0.274,0.086,0.074
"Sergio Massa","Negativa",0.593,0.641,0.551,0.684,0.585,0.581,0.564,0.594,0.593,0.593,0.581,0.617,0.317,0.821,0.678
"Sergio Massa","No sabe",0.005,0.002,0.008,0,0.003,0.006,0.011,0.006,0.003,0.007,0.006,0.003,0.001,0.002,0
"Gerardo Morales","Positiva",0.159,0.163,0.154,0.085,0.109,0.194,0.257,0.177,0.15,0.153,0.14,0.192,0.061,0.248,0.255
"Gerardo Morales","Neutra",0.314,0.282,0.342,0.249,0.302,0.351,0.329,0.339,0.329,0.266,0.302,0.335,0.238,0.373,0.385
"Gerardo Morales","Negativa",0.438,0.497,0.386,0.543,0.478,0.391,0.355,0.392,0.42,0.511,0.46,0.4,0.629,0.314,0.291
"Gerardo Morales","No sabe",0.089,0.058,0.118,0.123,0.111,0.064,0.059,0.092,0.101,0.07,0.098,0.073,0.072,0.065,0.069
"Alberto Fernandez","Positiva",0.188,0.165,0.211,0.106,0.197,0.207,0.204,0.216,0.174,0.182,0.203,0.163,0.387,0.051,0.066
"Alberto Fernandez","Neutra",0.158,0.126,0.186,0.127,0.192,0.137,0.141,0.169,0.151,0.155,0.154,0.164,0.297,0.044,0.118
"Alberto Fernandez","Negativa",0.651,0.708,0.597,0.767,0.61,0.649,0.65,0.613,0.671,0.658,0.639,0.67,0.315,0.903,0.812
"Alberto Fernandez","No sabe",0.003,0.001,0.006,0,0.001,0.007,0.005,0.002,0.004,0.005,0.004,0.003,0.001,0.002,0.004
