"var","categoria","Sergio Massa por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","No sabe"
"P24","Javier Milei presidente - José Luis Espert gobernador por los liberales",0.034,0.176,0.327
"P24","A los candidatos de la izquierda",0.036,0.021,0.077
"P24","Otros candidatos",0.041,0.048,0.214
"P26","Cristina Fernández de Kirchner presidenta – Sergio Massa gobernador por el Frente de Todos",0.869,0.012,0.168
"P26","Mauricio Macri presidente – Cristian Ritondo gobernador por Juntos por el Cambio",0.011,0.538,0.172
"P26","Javier Milei presidente – José Luis Espert gobernador por los liberales",0.028,0.285,0.34
"P26","A los candidatos de la izquierda",0.032,0.016,0.065
"P26","Otro candidato",0.06,0.149,0.255
"P28","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.229,0.425,0.157
"P28","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos",0.656,0.152,0.193
"P28","Javier Milei presidente – José Luis Espert  gobernador por los liberales",0.04,0.311,0.368
"P28","A los candidatos de la izquierda",0.026,0.006,0.039
"P28","Otro candidato",0.049,0.106,0.243
"P30","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio",0.458,0.33,0.227
"P30","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos",0.427,0.322,0.207
"P30","Javier Milei presidente – José Luis Espert  gobernador por los liberales",0.033,0.246,0.343
"P30","A los candidatos de la izquierda",0.027,0.005,0.042
"P30","Otro candidato",0.055,0.097,0.181
"P31","Sergio Massa por el Frente de Todos",0.584,0.165,0.091
"P31","Patricia Bullrich por Juntos por el Cambio",0.191,0.499,0.152
"P31","Javier Milei por los liberales libertarios",0.025,0.228,0.337
"P31","Nicolás del Caño por la izquierda",0.029,0.009,0.059
"P31","Otro candidato",0.093,0.063,0.168
"P31","Aún no lo tengo decidido",0.078,0.036,0.193
"P33","Sergio Massa por el Frente de Todos",0.752,0.043,0.054
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.058,0.52,0.08
"P33","Javier Milei por los liberales libertarios",0.034,0.303,0.369
"P33","Nicolás del Caño por la izquierda",0.03,0.011,0.066
"P33","Otro candidato",0.085,0.071,0.231
"P33","Aún no lo tengo decidido",0.041,0.052,0.2
"P34","Cristina Fernández de Kirchner por el Frente de Todos",0.85,0.009,0.196
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.019,0.564,0.087
"P34","Javier Milei por los liberales libertarios",0.03,0.31,0.376
"P34","Nicolás del Caño por la izquierda",0.026,0.013,0.046
"P34","Otro candidato",0.044,0.067,0.183
"P34","Aún no lo tengo decidido",0.031,0.037,0.112
"P35","Sergio Massa por el Frente de Todos",0.402,0.324,0.136
"P35","Mauricio Macri por Juntos por el Cambio",0.423,0.292,0.093
"P35","Javier Milei por los liberales libertarios",0.03,0.255,0.341
"P35","Nicolás del Caño por la izquierda",0.034,0.008,0.072
"P35","Otro candidato",0.071,0.096,0.193
"P35","Aún no lo tengo decidido",0.04,0.025,0.165
"P36","Cristina Fernández de Kirchner por el Frente de Todos",0.859,0.067,0.225
"P36","Mauricio Macri por Juntos por el Cambio",0.081,0.775,0.304
"P36","No sabe",0.06,0.158,0.471
"P37","Alberto Fernández por el Frente de Todos",0.785,0.014,0.113
"P37","Horacio Rodríguez Larreta por Juntos por el Cambio",0.038,0.857,0.149
"P37","No sabe",0.177,0.129,0.738
"P38","Sergio Massa presidente por el Frente de Todos",0.911,0.019,0.071
"P38","Patricia Bullrich por Juntos por el Cambio",0.024,0.89,0.385
"P38","No sabe",0.065,0.091,0.544
"P39","Cristina Fernandez de Kirchner por el Frente de Todos",0.91,0.006,0.227
"P39","Horacio Rodríguez Larreta por Juntos por el Cambio",0.03,0.938,0.153
"P39","No sabe",0.06,0.056,0.62
"P40","Sergio Massa presidente por el Frente de Todos",0.94,0.025,0.066
"P40","Javier Milei por los liberales libertarios",0.03,0.646,0.332
"P40","No sabe",0.03,0.329,0.602
"P42","Sergio Massa por el Frente de Todos",0.961,0.024,0.08
"P42","Mauricio Macri por Juntos por el Cambio",0.013,0.889,0.308
"P42","No sabe",0.026,0.087,0.612
"P43","Horacio Rodríguez Larreta por Juntos por el Cambio",0.178,0.546,0.08
"P43","Javier Milei por los liberales libertarios",0.055,0.399,0.419
"P43","No sabe",0.767,0.055,0.501
"P44","Muy buena",0.126,0.06,0.028
"P44","Buena",0.389,0.069,0.107
"P44","Ni buena ni mala",0.356,0.025,0.185
"P44","Mala",0.089,0.099,0.11
"P44","Muy mala",0.036,0.744,0.545
"P44","No sabe",0.004,0.003,0.025
"P45","Muy buena",0.155,0.008,0.035
"P45","Buena",0.322,0.024,0.061
"P45","Ni buena ni mala",0.344,0.028,0.146
"P45","Mala",0.125,0.131,0.141
"P45","Muy mala",0.052,0.807,0.61
"P45","No sabe",0.002,0.002,0.007
"P46","Muy buena",0.671,0.007,0.138
"P46","Buena",0.135,0.006,0.056
"P46","Ni buena ni mala",0.115,0.015,0.066
"P46","Mala",0.027,0.051,0.066
"P46","Muy mala",0.051,0.92,0.642
"P46","No sabe",0.001,0.001,0.032
"P47","Muy buena",0.083,0.268,0.13
"P47","Buena",0.033,0.317,0.139
"P47","Ni buena ni mala",0.058,0.195,0.155
"P47","Mala",0.14,0.077,0.151
"P47","Muy mala",0.68,0.143,0.409
"P47","No sabe",0.006,0,0.016
"P48","Muy buena",0.024,0.297,0.066
"P48","Buena",0.028,0.374,0.092
"P48","Ni buena ni mala",0.114,0.224,0.264
"P48","Mala",0.203,0.079,0.139
"P48","Muy mala",0.606,0.025,0.405
"P48","No sabe",0.025,0.001,0.034
"P49","Muy buena",0.192,0.039,0.018
"P49","Buena",0.358,0.044,0.049
"P49","Ni buena ni mala",0.279,0.076,0.219
"P49","Mala",0.062,0.168,0.175
"P49","Muy mala",0.107,0.669,0.528
"P49","No sabe",0.002,0.004,0.011
"P50","Muy buena",0.049,0.489,0.2
"P50","Buena",0.048,0.259,0.148
"P50","Ni buena ni mala",0.069,0.104,0.226
"P50","Mala",0.094,0.062,0.113
"P50","Muy mala",0.722,0.085,0.292
"P50","No sabe",0.018,0.001,0.021
"P51","Muy buena",0.034,0.217,0.273
"P51","Buena",0.015,0.24,0.125
"P51","Ni buena ni mala",0.052,0.347,0.238
"P51","Mala",0.123,0.11,0.073
"P51","Muy mala",0.762,0.073,0.269
"P51","No sabe",0.014,0.013,0.022
"P52","Muy buena",0.025,0.359,0.101
"P52","Buena",0.01,0.318,0.142
"P52","Ni buena ni mala",0.046,0.216,0.247
"P52","Mala",0.133,0.057,0.113
"P52","Muy mala",0.764,0.043,0.374
"P52","No sabe",0.022,0.007,0.023
"P53","Muy buena",0.194,0.04,0.033
"P53","Buena",0.356,0.055,0.079
"P53","Ni buena ni mala",0.257,0.095,0.204
"P53","Mala",0.064,0.197,0.168
"P53","Muy mala",0.105,0.604,0.498
"P53","No sabe",0.024,0.009,0.018
"P54","Muy buena",0.06,0.095,0.037
"P54","Buena",0.113,0.169,0.122
"P54","Ni buena ni mala",0.395,0.321,0.265
"P54","Mala",0.165,0.189,0.171
"P54","Muy mala",0.183,0.197,0.325
"P54","No sabe",0.084,0.029,0.08
"P55","Muy buena",0.027,0.079,0.029
"P55","Buena",0.036,0.19,0.057
"P55","Ni buena ni mala",0.189,0.417,0.287
"P55","Mala",0.187,0.126,0.159
"P55","Muy mala",0.479,0.121,0.33
"P55","No sabe",0.082,0.067,0.138
"P56","Siempre",0.325,0.316,0.272
"P56","Casi siempre",0.393,0.417,0.344
"P56","Casi nunca",0.161,0.183,0.232
"P56","Nunca, pero esta es una excepción",0.121,0.084,0.152
"P57","Si",0.547,0.575,0.542
"P57","No",0.453,0.425,0.458
