"var","categoria","Cristina Fernández de Kirchner presidenta – Sergio Massa gobernador por el Frente de Todos","Mauricio Macri presidente – Cristian Ritondo gobernador por Juntos por el Cambio","Javier Milei presidente – José Luis Espert gobernador por los liberales","A los candidatos de la izquierda","Otro candidato"
"P35","Otro candidato",0.096,0.032,0.014,0.173,0.46
"P35","Aún no lo tengo decidido",0.092,0.036,0.021,0.018,0.186
"P36","Cristina Fernández de Kirchner por el Frente de Todos",0.905,0.08,0.041,0.374,0.146
"P36","Mauricio Macri por Juntos por el Cambio",0.065,0.908,0.48,0.209,0.303
"P36","No sabe",0.03,0.012,0.479,0.417,0.551
"P37","Alberto Fernández por el Frente de Todos",0.759,0.013,0.024,0.403,0.102
"P37","Horacio Rodríguez Larreta por Juntos por el Cambio",0.028,0.844,0.473,0.22,0.429
"P37","No sabe",0.213,0.143,0.503,0.377,0.469
"P38","Sergio Massa presidente por el Frente de Todos",0.826,0.019,0.034,0.3,0.164
"P38","Patricia Bullrich por Juntos por el Cambio",0.018,0.915,0.686,0.262,0.438
"P38","No sabe",0.156,0.066,0.28,0.438,0.398
"P39","Cristina Fernandez de Kirchner por el Frente de Todos",0.948,0.01,0.015,0.452,0.126
"P39","Horacio Rodríguez Larreta por Juntos por el Cambio",0.017,0.877,0.569,0.188,0.482
"P39","No sabe",0.035,0.113,0.416,0.36,0.392
"P40","Sergio Massa presidente por el Frente de Todos",0.869,0.028,0.016,0.296,0.167
"P40","Javier Milei por los liberales libertarios",0.011,0.509,0.874,0.139,0.193
"P40","No sabe",0.12,0.463,0.11,0.565,0.64
"P41","Sergio Massa por el Frente de Todos",0.856,0.012,0.041,0.307,0.133
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.016,0.832,0.565,0.208,0.433
"P41","No sabe",0.128,0.156,0.394,0.485,0.434
"P42","Sergio Massa por el Frente de Todos",0.891,0.024,0.043,0.347,0.149
"P42","Mauricio Macri por Juntos por el Cambio",0.016,0.944,0.636,0.19,0.346
"P42","No sabe",0.093,0.032,0.321,0.463,0.505
"P43","Horacio Rodríguez Larreta por Juntos por el Cambio",0.165,0.619,0.097,0.251,0.391
"P43","Javier Milei por los liberales libertarios",0.03,0.268,0.842,0.126,0.139
"P43","No sabe",0.805,0.113,0.061,0.623,0.47
"P44","Muy buena",0.125,0.081,0.008,0.041,0.05
"P44","Buena",0.399,0.052,0.127,0.071,0.048
"P44","Ni buena ni mala",0.361,0.042,0.029,0.292,0.182
"P44","Mala",0.084,0.083,0.077,0.214,0.166
"P44","Muy mala",0.027,0.741,0.757,0.329,0.517
"P44","No sabe",0.004,0.001,0.002,0.053,0.037
"P45","Muy buena",0.167,0.012,0.003,0.059,0.015
"P45","Buena",0.334,0.018,0.031,0.069,0.045
"P45","Ni buena ni mala",0.35,0.027,0.031,0.255,0.154
"P45","Mala",0.114,0.116,0.111,0.216,0.211
"P45","Muy mala",0.033,0.825,0.822,0.401,0.564
"P45","No sabe",0.002,0.002,0.002,0,0.011
"P46","Muy buena",0.729,0.006,0.006,0.151,0.061
"P46","Buena",0.139,0.006,0.011,0.107,0.05
"P46","Ni buena ni mala",0.094,0.013,0.028,0.211,0.083
"P46","Mala",0.016,0.038,0.057,0.111,0.101
"P46","Muy mala",0.016,0.934,0.887,0.386,0.69
"P46","No sabe",0.006,0.003,0.011,0.034,0.015
"P47","Muy buena",0.077,0.422,0.096,0.073,0.059
"P47","Buena",0.046,0.331,0.236,0.076,0.142
"P47","Ni buena ni mala",0.037,0.088,0.278,0.096,0.277
"P47","Mala",0.14,0.03,0.158,0.131,0.156
"P47","Muy mala",0.693,0.129,0.228,0.624,0.346
"P47","No sabe",0.007,0,0.004,0,0.02
"P48","Muy buena",0.025,0.327,0.118,0.028,0.18
"P48","Buena",0.026,0.376,0.192,0.114,0.233
"P48","Ni buena ni mala",0.107,0.192,0.285,0.13,0.298
"P48","Mala",0.191,0.052,0.162,0.178,0.11
"P48","Muy mala",0.62,0.049,0.223,0.55,0.169
"P48","No sabe",0.031,0.004,0.02,0,0.01
"P49","Muy buena",0.168,0.033,0.029,0.065,0.071
"P49","Buena",0.336,0.042,0.033,0.033,0.119
"P49","Ni buena ni mala",0.316,0.052,0.111,0.241,0.193
"P49","Mala",0.081,0.15,0.176,0.164,0.162
"P49","Muy mala",0.095,0.722,0.647,0.497,0.436
"P49","No sabe",0.004,0.001,0.004,0,0.019
"P50","Muy buena",0.038,0.567,0.309,0.211,0.216
"P50","Buena",0.049,0.248,0.247,0.073,0.156
"P50","Ni buena ni mala",0.073,0.053,0.225,0.096,0.22
"P50","Mala",0.091,0.039,0.082,0.097,0.158
"P50","Muy mala",0.731,0.089,0.134,0.523,0.224
"P50","No sabe",0.018,0.004,0.003,0,0.026
"P51","Muy buena",0.015,0.139,0.53,0.139,0.052
"P51","Buena",0.008,0.202,0.298,0.067,0.089
"P51","Ni buena ni mala",0.063,0.425,0.124,0.126,0.381
"P51","Mala",0.132,0.109,0.034,0.077,0.151
"P51","Muy mala",0.767,0.108,0.014,0.586,0.287
"P51","No sabe",0.015,0.017,0,0.005,0.04
"P52","Muy buena",0.016,0.391,0.217,0.146,0.151
"P52","Buena",0.008,0.345,0.2,0.059,0.213
"P52","Ni buena ni mala",0.056,0.196,0.262,0.103,0.244
"P52","Mala",0.12,0.026,0.126,0.075,0.129
"P52","Muy mala",0.774,0.035,0.186,0.614,0.24
"P52","No sabe",0.026,0.007,0.009,0.003,0.023
"P53","Muy buena",0.183,0.048,0.028,0.035,0.05
"P53","Buena",0.362,0.066,0.036,0.03,0.087
"P53","Ni buena ni mala",0.273,0.074,0.126,0.28,0.195
"P53","Mala",0.06,0.184,0.172,0.232,0.218
"P53","Muy mala",0.094,0.622,0.625,0.41,0.438
"P53","No sabe",0.028,0.006,0.013,0.013,0.012
"P54","Muy buena",0.049,0.069,0.064,0.033,0.133
"P54","Buena",0.121,0.154,0.129,0.195,0.161
"P54","Ni buena ni mala",0.388,0.305,0.274,0.293,0.343
"P54","Mala",0.174,0.182,0.197,0.098,0.159
"P54","Muy mala",0.191,0.255,0.272,0.281,0.154
"P54","No sabe",0.077,0.035,0.064,0.1,0.05
"P55","Muy buena",0.017,0.067,0.046,0.014,0.102
"P55","Buena",0.034,0.199,0.08,0.122,0.138
"P55","Ni buena ni mala",0.19,0.395,0.367,0.247,0.355
"P55","Mala",0.177,0.133,0.161,0.136,0.135
"P55","Muy mala",0.502,0.139,0.225,0.353,0.172
"P55","No sabe",0.08,0.067,0.121,0.128,0.098
"P56","Siempre",0.328,0.34,0.273,0.111,0.297
"P56","Casi siempre",0.389,0.419,0.359,0.534,0.362
"P56","Casi nunca",0.158,0.167,0.244,0.19,0.209
"P56","Nunca, pero esta es una excepción",0.125,0.074,0.124,0.165,0.132
"P57","Si",0.554,0.583,0.542,0.613,0.532
"P57","No",0.446,0.417,0.458,0.387,0.468
