"var","categoria","Si","No","No sabe"
"P25","Ni buena ni mala",0.333,0.24,0.51
"P25","Mala",0.135,0.24,0.171
"P25","Muy mala",0.031,0.221,0.071
"P25","No sabe",0.022,0,0.007
"P26","Muy buena",0.09,0.087,0.009
"P26","Buena",0.235,0.123,0.091
"P26","Ni buena ni mala",0.249,0.238,0.309
"P26","Mala",0.287,0.261,0.44
"P26","Muy mala",0.132,0.288,0.144
"P26","No sabe",0.007,0.003,0.007
"P27","Muy buena",0.128,0.098,0.053
"P27","Buena",0.159,0.161,0.097
"P27","Ni buena ni mala",0.427,0.315,0.464
"P27","Mala",0.152,0.176,0.251
"P27","Muy mala",0.101,0.236,0.098
"P27","No sabe",0.033,0.014,0.037
"P28","Muy buena",0.216,0.109,0.072
"P28","Buena",0.168,0.19,0.15
"P28","Ni buena ni mala",0.316,0.147,0.304
"P28","Mala",0.164,0.227,0.326
"P28","Muy mala",0.12,0.318,0.133
"P28","No sabe",0.016,0.009,0.015
"P29","Muy buena",0.271,0.213,0.206
"P29","Buena",0.097,0.091,0.077
"P29","Ni buena ni mala",0.109,0.035,0.075
"P29","Mala",0.228,0.258,0.222
"P29","Muy mala",0.282,0.399,0.419
"P29","No sabe",0.013,0.004,0.001
"P30","Muy buena",0.113,0.167,0.084
"P30","Buena",0.198,0.159,0.177
"P30","Ni buena ni mala",0.195,0.15,0.213
"P30","Mala",0.237,0.169,0.24
"P30","Muy mala",0.238,0.355,0.286
"P30","No sabe",0.019,0,0
"P31","Muy buena",0.18,0.097,0.082
"P31","Buena",0.172,0.116,0.158
"P31","Ni buena ni mala",0.202,0.147,0.177
"P31","Mala",0.19,0.206,0.158
"P31","Muy mala",0.243,0.425,0.424
"P31","No sabe",0.013,0.009,0.001
"P32","Muy buena",0.355,0.363,0.263
"P32","Buena",0.179,0.172,0.16
"P32","Ni buena ni mala",0.093,0.114,0.231
"P32","Mala",0.14,0.121,0.074
"P32","Muy mala",0.218,0.23,0.27
"P32","No sabe",0.015,0,0.002
"P33","Muy buena",0.254,0.251,0.181
"P33","Buena",0.225,0.261,0.278
"P33","Ni buena ni mala",0.159,0.158,0.194
"P33","Mala",0.128,0.105,0.106
"P33","Muy mala",0.23,0.225,0.241
"P33","No sabe",0.004,0,0
"P34","Muy buena",0.182,0.26,0.097
"P34","Buena",0.188,0.214,0.185
"P34","Ni buena ni mala",0.295,0.195,0.385
"P34","Mala",0.121,0.125,0.099
"P34","Muy mala",0.192,0.206,0.202
"P34","No sabe",0.022,0,0.032
"P35","Muy buena",0.328,0.421,0.303
"P35","Buena",0.18,0.087,0.199
"P35","Ni buena ni mala",0.201,0.098,0.176
"P35","Mala",0.091,0.142,0.086
"P35","Muy mala",0.183,0.25,0.216
"P35","No sabe",0.017,0.002,0.02
"P36","Muy buena",0.159,0.078,0.083
"P36","Buena",0.167,0.245,0.173
"P36","Ni buena ni mala",0.456,0.305,0.472
"P36","Mala",0.109,0.192,0.103
"P36","Muy mala",0.096,0.18,0.156
"P36","No sabe",0.013,0,0.013
"P37","Muy buena",0.143,0.137,0.057
"P37","Buena",0.15,0.154,0.116
"P37","Ni buena ni mala",0.324,0.237,0.433
"P37","Mala",0.145,0.127,0.112
"P37","Muy mala",0.222,0.333,0.258
"P37","No sabe",0.016,0.012,0.024
"P38","Muy buena",0.1,0.127,0.05
"P38","Buena",0.137,0.127,0.085
"P38","Ni buena ni mala",0.432,0.333,0.491
"P38","Mala",0.127,0.128,0.119
"P38","Muy mala",0.146,0.268,0.159
"P38","No sabe",0.058,0.017,0.096
