"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad"
"Victoria Villarruel","No sabe",0.015,0.012,0.018,0,0.002,0.035,0.04,0.037,0.01,0.004,0.005,0.007,0.087,0.001,0.034,0.002,0.014,0.016
"Karina Milei","Positiva",0.363,0.362,0.366,0.422,0.347,0.342,0.384,0.327,0.405,0.343,0.377,0.375,0.163,0.428,0.119,0.529,0.373,0.353
"Karina Milei","Neutra",0.303,0.319,0.285,0.245,0.302,0.375,0.247,0.411,0.284,0.245,0.29,0.337,0.303,0.389,0.187,0.38,0.295,0.312
"Karina Milei","Negativa",0.313,0.302,0.325,0.299,0.346,0.259,0.319,0.248,0.295,0.382,0.31,0.268,0.515,0.182,0.672,0.072,0.312,0.314
"Karina Milei","No sabe",0.021,0.017,0.024,0.034,0.005,0.024,0.05,0.014,0.016,0.03,0.023,0.02,0.019,0.001,0.022,0.019,0.02,0.021
"Marcos Koopmann","Positiva",0.239,0.225,0.256,0.216,0.227,0.27,0.251,0.314,0.246,0.174,0.166,0.536,0.234,0.099,0.262,0.222,0.202,0.276
"Marcos Koopmann","Neutra",0.416,0.399,0.437,0.386,0.406,0.439,0.448,0.382,0.402,0.459,0.46,0.323,0.39,0.37,0.415,0.419,0.413,0.419
"Marcos Koopmann","Negativa",0.315,0.355,0.266,0.387,0.354,0.249,0.211,0.256,0.329,0.343,0.358,0.102,0.323,0.496,0.284,0.337,0.36,0.27
"Marcos Koopmann","No sabe",0.03,0.021,0.041,0.011,0.013,0.042,0.09,0.048,0.023,0.024,0.016,0.039,0.053,0.035,0.039,0.022,0.025,0.035
"Patricia Bullrich","Positiva",0.48,0.489,0.469,0.45,0.492,0.471,0.494,0.449,0.524,0.452,0.487,0.483,0.284,0.743,0.157,0.706,0.517,0.443
"Patricia Bullrich","Neutra",0.169,0.172,0.166,0.246,0.15,0.176,0.124,0.239,0.146,0.144,0.174,0.229,0.116,0.069,0.11,0.204,0.126,0.211
"Patricia Bullrich","Negativa",0.349,0.339,0.361,0.304,0.358,0.346,0.382,0.312,0.325,0.404,0.339,0.288,0.589,0.188,0.731,0.088,0.353,0.346
"Patricia Bullrich","No sabe",0.002,0,0.004,0,0,0.007,0,0,0.005,0,0,0,0.011,0,0.002,0.002,0.004,0
"Javier Milei","Positiva",0.5,0.53,0.464,0.513,0.514,0.483,0.464,0.431,0.564,0.478,0.551,0.484,0.258,0.57,0.174,0.729,0.506,0.493
"Javier Milei","Neutra",0.14,0.114,0.17,0.229,0.104,0.142,0.147,0.21,0.127,0.103,0.12,0.162,0.129,0.08,0.13,0.133,0.132,0.148
"Javier Milei","Negativa",0.352,0.356,0.349,0.258,0.382,0.346,0.384,0.335,0.305,0.419,0.318,0.354,0.602,0.35,0.694,0.127,0.357,0.348
"Javier Milei","No sabe",0.008,0,0.017,0,0,0.029,0.005,0.024,0.004,0,0.011,0,0.011,0,0.002,0.011,0.005,0.011
"Toto Caputo","Positiva",0.256,0.289,0.217,0.234,0.198,0.322,0.36,0.247,0.254,0.265,0.287,0.271,0.068,0.304,0.072,0.384,0.269,0.243
"Toto Caputo","Neutra",0.34,0.297,0.391,0.352,0.397,0.265,0.269,0.404,0.364,0.265,0.32,0.43,0.244,0.411,0.2,0.435,0.327,0.353
"Toto Caputo","Negativa",0.386,0.395,0.376,0.414,0.393,0.369,0.361,0.328,0.372,0.447,0.381,0.291,0.629,0.254,0.705,0.167,0.381,0.392
"Toto Caputo","No sabe",0.018,0.019,0.016,0,0.012,0.044,0.01,0.021,0.01,0.023,0.012,0.008,0.059,0.031,0.023,0.014,0.023,0.012
"Ramon Rioseco","Positiva",0.317,0.306,0.329,0.278,0.272,0.358,0.434,0.376,0.304,0.285,0.305,0.3,0.696,0.17,0.424,0.249,0.268,0.364
"Ramon Rioseco","Neutra",0.279,0.259,0.302,0.151,0.292,0.334,0.297,0.308,0.297,0.236,0.282,0.305,0.219,0.337,0.307,0.252,0.263,0.295
"Ramon Rioseco","Negativa",0.39,0.423,0.352,0.571,0.428,0.284,0.232,0.304,0.381,0.467,0.398,0.385,0.085,0.457,0.259,0.483,0.453,0.329
"Ramon Rioseco","No sabe",0.014,0.012,0.017,0,0.008,0.024,0.037,0.012,0.018,0.012,0.015,0.01,0,0.036,0.01,0.016,0.016,0.012
"Omar Gutierrez","Positiva",0.232,0.211,0.256,0.215,0.199,0.28,0.273,0.358,0.235,0.133,0.205,0.368,0.24,0.127,0.261,0.205,0.222,0.241
"Omar Gutierrez","Neutra",0.266,0.292,0.234,0.323,0.25,0.241,0.29,0.226,0.25,0.313,0.27,0.298,0.227,0.294,0.252,0.274,0.297,0.235
"Omar Gutierrez","Negativa",0.496,0.493,0.501,0.462,0.549,0.464,0.425,0.412,0.504,0.551,0.514,0.334,0.533,0.579,0.484,0.514,0.478,0.515
"Omar Gutierrez","No sabe",0.006,0.004,0.009,0,0.002,0.015,0.012,0.004,0.011,0.003,0.011,0,0,0,0.003,0.007,0.003,0.009
"Mauricio Macri","Positiva",0.299,0.297,0.301,0.315,0.248,0.33,0.392,0.286,0.31,0.296,0.278,0.318,0.214,0.481,0.077,0.457,0.312,0.285
"Mauricio Macri","Neutra",0.192,0.187,0.197,0.156,0.231,0.149,0.184,0.226,0.202,0.154,0.226,0.149,0.128,0.153,0.083,0.258,0.187,0.196
"Mauricio Macri","Negativa",0.5,0.511,0.488,0.529,0.515,0.495,0.424,0.455,0.485,0.55,0.48,0.533,0.647,0.366,0.832,0.274,0.493,0.508
"Mauricio Macri","No sabe",0.009,0.005,0.014,0,0.006,0.026,0,0.033,0.003,0,0.016,0,0.011,0,0.008,0.011,0.008,0.011
"Sergio Massa","Positiva",0.29,0.291,0.288,0.264,0.244,0.34,0.38,0.375,0.239,0.284,0.301,0.311,0.451,0.118,0.618,0.084,0.296,0.283
"Sergio Massa","Neutra",0.183,0.164,0.207,0.145,0.224,0.155,0.148,0.214,0.204,0.137,0.189,0.147,0.278,0.088,0.17,0.173,0.158,0.209
"Sergio Massa","Negativa",0.519,0.541,0.492,0.591,0.528,0.481,0.467,0.39,0.557,0.571,0.498,0.538,0.271,0.794,0.21,0.73,0.545,0.493
"Sergio Massa","No sabe",0.008,0.004,0.013,0,0.004,0.024,0.005,0.021,0,0.008,0.012,0.004,0,0,0.002,0.013,0.001,0.015
"CFK","Positiva",0.33,0.321,0.339,0.338,0.302,0.326,0.415,0.373,0.311,0.317,0.317,0.289,0.615,0.157,0.701,0.083,0.309,0.349
"CFK","Neutra",0.084,0.067,0.104,0,0.095,0.118,0.092,0.17,0.06,0.047,0.092,0.065,0.13,0.053,0.046,0.102,0.08,0.088
"CFK","Negativa",0.579,0.61,0.543,0.628,0.6,0.555,0.493,0.457,0.614,0.631,0.58,0.64,0.255,0.79,0.251,0.804,0.609,0.55
"CFK","No sabe",0.007,0.002,0.014,0.034,0.003,0.001,0,0,0.015,0.005,0.011,0.006,0,0,0.002,0.011,0.002,0.013
