"var","categoria","Al gobierno provincial que se fue","Al gobierno provincial vigente","Al gobierno nacional que se fue","Al gobierno nacional que vigente","No sabe"
"P30","Ni buena ni mala",0.182,0.06,0.334,0.023,0.152
"P30","Mala",0.227,0.242,0.167,0.274,0.312
"P30","Muy mala",0.278,0.311,0.068,0.684,0.409
"P30","No sabe",0.015,0,0,0,0
"P31","Muy buena",0.128,0.084,0.029,0.378,0.279
"P31","Buena",0.14,0.252,0.088,0.358,0.229
"P31","Ni buena ni mala",0.17,0.23,0.213,0.187,0.185
"P31","Mala",0.208,0.186,0.176,0.017,0.144
"P31","Muy mala",0.343,0.248,0.489,0.06,0.15
"P31","No sabe",0.011,0,0.005,0,0.013
"P32","Muy buena",0.32,0.235,0.56,0.009,0.104
"P32","Buena",0.197,0.157,0.183,0,0.095
"P32","Ni buena ni mala",0.124,0.209,0.185,0.08,0.175
"P32","Mala",0.112,0.211,0.051,0.167,0.245
"P32","Muy mala",0.236,0.188,0.021,0.744,0.368
"P32","No sabe",0.011,0,0,0,0.013
"P33","Muy buena",0.246,0.194,0.315,0.004,0.1
"P33","Buena",0.231,0.131,0.447,0.014,0.165
"P33","Ni buena ni mala",0.167,0.368,0.186,0.031,0.133
"P33","Mala",0.12,0.103,0.038,0.244,0.199
"P33","Muy mala",0.234,0.204,0.014,0.707,0.39
"P33","No sabe",0.002,0,0,0,0.013
"P34","Muy buena",0.154,0.174,0.32,0,0.079
"P34","Buena",0.222,0.2,0.188,0,0.112
"P34","Ni buena ni mala",0.297,0.344,0.431,0.061,0.207
"P34","Mala",0.117,0.045,0.034,0.267,0.244
"P34","Muy mala",0.192,0.187,0.016,0.656,0.293
"P34","No sabe",0.018,0.05,0.011,0.016,0.065
"P35","Muy buena",0.372,0.165,0.445,0.041,0.149
"P35","Buena",0.171,0.299,0.21,0,0.08
"P35","Ni buena ni mala",0.156,0.102,0.252,0.105,0.262
"P35","Mala",0.095,0.237,0.027,0.176,0.168
"P35","Muy mala",0.192,0.18,0.054,0.662,0.31
"P35","No sabe",0.014,0.017,0.012,0.016,0.031
"P36","Muy buena",0.113,0.215,0.152,0.045,0.1
"P36","Buena",0.193,0.198,0.232,0.06,0.064
"P36","Ni buena ni mala",0.434,0.282,0.496,0.307,0.479
"P36","Mala",0.127,0.161,0.044,0.283,0.111
"P36","Muy mala",0.12,0.144,0.067,0.301,0.245
"P36","No sabe",0.013,0,0.009,0.004,0.001
"P37","Muy buena",0.114,0.065,0.194,0,0.06
"P37","Buena",0.136,0.129,0.214,0.006,0.128
"P37","Ni buena ni mala",0.361,0.299,0.435,0.069,0.16
"P37","Mala",0.13,0.191,0.056,0.234,0.219
"P37","Muy mala",0.244,0.316,0.083,0.668,0.385
"P37","No sabe",0.015,0,0.018,0.023,0.048
"P38","Muy buena",0.094,0.025,0.138,0,0.067
"P38","Buena",0.113,0.184,0.172,0,0.101
"P38","Ni buena ni mala",0.462,0.314,0.505,0.164,0.261
"P38","Mala",0.121,0.129,0.028,0.306,0.259
"P38","Muy mala",0.159,0.271,0.067,0.488,0.218
"P38","No sabe",0.051,0.077,0.09,0.042,0.094
