"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Capital","Interior","Fernandez","Macri","Lavagna","Schiaretti","Negri","Mestre","García Elorrio","Olivero"
"Martín Lousteau","No sabe",0.063,0.043,0.082,0.109,0.067,0.041,0.025,0.063,0.086,0.037,0.067,0.059,0.066,0.052,0.098,0.091,0.023,0.052,0,0.049
"Horacio Rodriguez Larreta","Positiva",0.325,0.304,0.344,0.237,0.303,0.364,0.436,0.337,0.289,0.355,0.295,0.347,0.125,0.455,0.324,0.301,0.462,0.512,0.299,0.069
"Horacio Rodriguez Larreta","Neutra",0.253,0.241,0.265,0.269,0.244,0.272,0.231,0.234,0.297,0.22,0.263,0.246,0.194,0.265,0.303,0.249,0.291,0.305,0.265,0.194
"Horacio Rodriguez Larreta","Negativa",0.396,0.435,0.359,0.469,0.421,0.335,0.322,0.391,0.386,0.412,0.409,0.386,0.651,0.26,0.335,0.411,0.231,0.17,0.422,0.729
"Horacio Rodriguez Larreta","No sabe",0.026,0.02,0.032,0.025,0.032,0.029,0.011,0.038,0.028,0.013,0.033,0.021,0.03,0.02,0.038,0.039,0.016,0.013,0.014,0.008
"Facundo Manes","Positiva",0.227,0.232,0.223,0.165,0.231,0.243,0.276,0.206,0.245,0.227,0.202,0.246,0.123,0.282,0.215,0.184,0.319,0.403,0.264,0.151
"Facundo Manes","Neutra",0.365,0.348,0.381,0.294,0.34,0.416,0.445,0.369,0.348,0.381,0.386,0.349,0.387,0.37,0.347,0.421,0.356,0.358,0.307,0.259
"Facundo Manes","Negativa",0.283,0.324,0.243,0.345,0.296,0.251,0.213,0.278,0.267,0.305,0.306,0.265,0.35,0.241,0.192,0.23,0.254,0.153,0.332,0.499
"Facundo Manes","No sabe",0.125,0.096,0.153,0.196,0.133,0.09,0.066,0.147,0.14,0.087,0.106,0.14,0.14,0.107,0.246,0.165,0.071,0.086,0.097,0.091
"Mauricio Macri","Positiva",0.369,0.347,0.388,0.372,0.319,0.392,0.45,0.343,0.379,0.38,0.365,0.371,0.15,0.543,0.182,0.314,0.624,0.532,0.269,0.088
"Mauricio Macri","Neutra",0.15,0.147,0.154,0.166,0.152,0.161,0.113,0.15,0.161,0.138,0.149,0.152,0.072,0.168,0.242,0.161,0.126,0.196,0.178,0.056
"Mauricio Macri","Negativa",0.469,0.496,0.444,0.462,0.514,0.426,0.43,0.488,0.449,0.476,0.473,0.466,0.768,0.283,0.556,0.511,0.239,0.266,0.553,0.848
"Mauricio Macri","No sabe",0.012,0.01,0.014,0,0.015,0.021,0.007,0.019,0.011,0.006,0.013,0.011,0.01,0.006,0.02,0.014,0.011,0.006,0,0.008
"Javier Milei","Positiva",0.314,0.36,0.272,0.374,0.355,0.256,0.221,0.352,0.333,0.257,0.288,0.335,0.13,0.38,0.388,0.338,0.294,0.313,0.396,0.135
"Javier Milei","Neutra",0.253,0.247,0.259,0.219,0.216,0.29,0.337,0.273,0.27,0.215,0.263,0.246,0.146,0.315,0.214,0.236,0.342,0.326,0.31,0.141
"Javier Milei","Negativa",0.403,0.374,0.429,0.366,0.402,0.425,0.418,0.345,0.364,0.501,0.415,0.392,0.705,0.277,0.325,0.388,0.348,0.321,0.264,0.709
"Javier Milei","No sabe",0.03,0.019,0.04,0.041,0.027,0.029,0.024,0.03,0.033,0.027,0.034,0.027,0.019,0.028,0.073,0.038,0.016,0.04,0.03,0.015
"Gerardo Morales","Positiva",0.186,0.194,0.18,0.096,0.156,0.236,0.307,0.194,0.181,0.186,0.174,0.196,0.066,0.248,0.198,0.144,0.301,0.377,0.187,0.086
"Gerardo Morales","Neutra",0.336,0.327,0.345,0.354,0.328,0.335,0.335,0.343,0.342,0.323,0.337,0.336,0.287,0.371,0.289,0.358,0.372,0.378,0.276,0.224
"Gerardo Morales","Negativa",0.343,0.383,0.304,0.35,0.37,0.325,0.291,0.308,0.322,0.4,0.354,0.334,0.531,0.255,0.204,0.315,0.256,0.148,0.422,0.589
"Gerardo Morales","No sabe",0.135,0.096,0.171,0.2,0.146,0.104,0.067,0.155,0.155,0.091,0.135,0.134,0.116,0.126,0.309,0.183,0.071,0.097,0.115,0.101
"Sergio Massa","Positiva",0.21,0.214,0.208,0.212,0.187,0.234,0.235,0.25,0.176,0.214,0.194,0.224,0.422,0.131,0.123,0.274,0.114,0.101,0.1,0.224
"Sergio Massa","Neutra",0.181,0.157,0.203,0.157,0.204,0.16,0.182,0.205,0.159,0.184,0.18,0.181,0.309,0.108,0.157,0.221,0.087,0.132,0.148,0.278
"Sergio Massa","Negativa",0.585,0.614,0.558,0.606,0.587,0.579,0.562,0.511,0.644,0.586,0.594,0.578,0.247,0.742,0.63,0.478,0.781,0.721,0.748,0.486
"Sergio Massa","No sabe",0.024,0.015,0.031,0.025,0.022,0.027,0.021,0.034,0.021,0.016,0.032,0.017,0.022,0.019,0.09,0.027,0.018,0.046,0.004,0.012
"CFK","Positiva",0.237,0.228,0.246,0.235,0.242,0.24,0.228,0.261,0.207,0.252,0.243,0.233,0.664,0.063,0.064,0.287,0.092,0.034,0.125,0.515
"CFK","Neutra",0.074,0.064,0.083,0.068,0.079,0.067,0.075,0.078,0.086,0.054,0.073,0.074,0.114,0.044,0.069,0.099,0.031,0.046,0.046,0.082
"CFK","Negativa",0.676,0.695,0.657,0.69,0.666,0.673,0.683,0.644,0.696,0.681,0.674,0.677,0.215,0.883,0.832,0.599,0.87,0.917,0.829,0.395
"CFK","No sabe",0.013,0.013,0.014,0.007,0.013,0.02,0.014,0.017,0.011,0.013,0.01,0.016,0.007,0.01,0.035,0.015,0.007,0.003,0,0.008
"Alberto Fernandez","Positiva",0.173,0.177,0.168,0.157,0.163,0.194,0.186,0.206,0.156,0.161,0.166,0.178,0.409,0.075,0.076,0.211,0.061,0.059,0.137,0.287
"Alberto Fernandez","Neutra",0.161,0.145,0.178,0.143,0.174,0.146,0.179,0.194,0.151,0.144,0.157,0.165,0.262,0.114,0.105,0.212,0.081,0.078,0.086,0.161
"Alberto Fernandez","Negativa",0.627,0.646,0.609,0.644,0.623,0.638,0.596,0.553,0.647,0.672,0.643,0.614,0.306,0.764,0.788,0.54,0.819,0.819,0.772,0.504
"Alberto Fernandez","No sabe",0.039,0.032,0.045,0.056,0.04,0.022,0.039,0.047,0.046,0.023,0.034,0.043,0.023,0.047,0.031,0.037,0.039,0.044,0.005,0.048
