"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No sabe"
"P27","No sabe",0,0.017,0.028,0.008,0.006,0.168
"P28","Muy buena",0.237,0.069,0.066,0.141,0.179,0
"P28","Buena",0.123,0.181,0.124,0.172,0.127,0.012
"P28","Ni buena ni mala",0.257,0.449,0.457,0.387,0.302,0.121
"P28","Mala",0.205,0.091,0.072,0.149,0.104,0.103
"P28","Muy mala",0.105,0.124,0.153,0.074,0.199,0.13
"P28","No sabe",0.073,0.086,0.128,0.077,0.089,0.634
"P29","Muy buena",0.32,0.078,0.034,0.016,0.022,0
"P29","Buena",0.225,0.422,0.162,0.058,0.022,0.109
"P29","Ni buena ni mala",0.199,0.262,0.357,0.129,0.041,0.165
"P29","Mala",0.143,0.102,0.211,0.43,0.073,0.016
"P29","Muy mala",0.103,0.116,0.195,0.362,0.822,0.283
"P29","No sabe",0.01,0.02,0.041,0.005,0.02,0.427
"P30","Muy buena",0.515,0.454,0.289,0.065,0.04,0.086
"P30","Buena",0.127,0.173,0.102,0.083,0.006,0.043
"P30","Ni buena ni mala",0.132,0.091,0.202,0.04,0.013,0.158
"P30","Mala",0.05,0.072,0.173,0.345,0.027,0.145
"P30","Muy mala",0.176,0.203,0.23,0.466,0.907,0.408
"P30","No sabe",0,0.007,0.004,0.001,0.007,0.16
"P31","Muy buena",0.146,0.104,0.066,0.175,0.263,0
"P31","Buena",0.15,0.135,0.162,0.2,0.231,0.05
"P31","Ni buena ni mala",0.063,0.079,0.179,0.183,0.147,0.283
"P31","Mala",0.095,0.145,0.203,0.249,0.09,0.104
"P31","Muy mala",0.546,0.533,0.387,0.193,0.263,0.318
"P31","No sabe",0,0.004,0.003,0,0.006,0.245
"P32","Muy buena",0.287,0.039,0.054,0.103,0.106,0
"P32","Buena",0.033,0.289,0.086,0.212,0.241,0.145
"P32","Ni buena ni mala",0.109,0.088,0.439,0.3,0.254,0.198
"P32","Mala",0.083,0.21,0.158,0.23,0.105,0
"P32","Muy mala",0.471,0.357,0.246,0.149,0.276,0.086
"P32","No sabe",0.017,0.017,0.017,0.006,0.018,0.571
"P34","Muy buena",0.44,0.128,0.11,0.242,0.425,0
"P34","Buena",0.102,0.199,0.091,0.194,0.173,0.201
"P34","Ni buena ni mala",0.043,0.064,0.347,0.141,0.092,0.102
"P34","Mala",0.03,0.186,0.117,0.261,0.038,0.113
"P34","Muy mala",0.385,0.411,0.323,0.158,0.268,0.116
"P34","No sabe",0,0.012,0.012,0.004,0.004,0.468
"P35","Muy buena",0.5,0.27,0.223,0.209,0.121,0.269
"P35","Buena",0.091,0.214,0.167,0.216,0.207,0.019
"P35","Ni buena ni mala",0.102,0.204,0.35,0.255,0.209,0.16
"P35","Mala",0.24,0.213,0.168,0.21,0.182,0
"P35","Muy mala",0.067,0.099,0.079,0.11,0.278,0.124
"P35","No sabe",0,0,0.013,0,0.003,0.428
"P36","Muy buena",0.087,0.054,0.053,0.187,0.278,0.14
"P36","Buena",0.08,0.13,0.098,0.139,0.107,0.061
"P36","Ni buena ni mala",0.167,0.176,0.351,0.306,0.261,0.106
"P36","Mala",0.104,0.194,0.128,0.192,0.106,0.097
"P36","Muy mala",0.552,0.415,0.341,0.167,0.228,0.102
"P36","No sabe",0.01,0.031,0.029,0.009,0.02,0.494
"P37","Muy buena",0.132,0.072,0.061,0.119,0.115,0.034
"P37","Buena",0.117,0.128,0.082,0.227,0.204,0.042
"P37","Ni buena ni mala",0.188,0.311,0.441,0.266,0.326,0.132
"P37","Mala",0.363,0.207,0.153,0.217,0.101,0.024
"P37","Muy mala",0.192,0.201,0.21,0.116,0.215,0.018
"P37","No sabe",0.008,0.081,0.053,0.055,0.039,0.75
