"var","categoria","Luis Juez gobernador – Rodrigo De Loredo vicegobernador por Juntos por el Cambio","Martín Llaryora gobernador – Alejandra Vigo vicegobernadora por Hacemos por Córdoba","A los candidatos  a gobernador y vicegobernador del Frente de Todos","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba","A los candidatos a gobernador y vicegobernador del Frente de Izquierda","Votaría en blanco","No sabe"
"P18","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.004,0.002,0,0.008,0.006,0.795,0,0.008
"P18","Votaría en blanco",0.02,0.006,0.004,0,0.007,0.01,0.629,0.049
"P18","No sabe",0.066,0.009,0.009,0.007,0.016,0.052,0.271,0.723
"P19","Luis Juez gobernador – Rodrigo De Loredo vicegobernador por Juntos por el Cambio",0.846,0.071,0.005,0.056,0.127,0.024,0.007,0.073
"P19","Martín Llaryora gobernador – Natalia de la Sota vicegobernadora por Hacemos por Córdoba",0.078,0.805,0.154,0.03,0.049,0.1,0.184,0.081
"P19","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.009,0.03,0.797,0.006,0,0.033,0,0.014
"P19","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.026,0.013,0.015,0.887,0.03,0.068,0.015,0.044
"P19","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.012,0.013,0.004,0.01,0.753,0,0,0.007
"P19","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.002,0.002,0.004,0.011,0,0.735,0,0.013
"P19","Votaría en blanco",0.012,0.022,0.004,0,0.023,0.011,0.512,0.041
"P19","No sabe",0.015,0.044,0.017,0,0.018,0.029,0.282,0.727
"P20","Rodrigo De Loredo gobernador – Luis Juez vicegobernador por Juntos por el Cambio",0.747,0.09,0.026,0.106,0.175,0.024,0.044,0.119
"P20","Martín Llaryora gobernador – Natalia de la Sota vicegobernadora por Hacemos por Córdo-ba",0.079,0.807,0.168,0.031,0.053,0.11,0.247,0.113
"P20","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.013,0.02,0.781,0.006,0,0.034,0.01,0.005
"P20","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.046,0.009,0.006,0.85,0.037,0.069,0.017,0.035
"P20","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.023,0.001,0,0,0.637,0.036,0,0.007
"P20","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.005,0.005,0.009,0,0,0.684,0,0
"P20","Votaría en blanco",0.036,0.039,0.005,0,0,0,0.412,0.033
"P20","No sabe",0.051,0.029,0.005,0.007,0.098,0.043,0.27,0.688
"P21","Lo votaría",0.531,0.178,0.016,0.149,0.24,0.024,0.129,0.143
"P21","Puede que lo vote",0.316,0.208,0.052,0.338,0.224,0.037,0.166,0.207
"P21","Nunca lo votaría",0.143,0.603,0.932,0.421,0.501,0.865,0.594,0.496
"P21","No sabe",0.01,0.011,0,0.092,0.035,0.074,0.111,0.154
"P22","Lo votaría",0.131,0.748,0.186,0.043,0.121,0.041,0.134,0.152
"P22","Puede que lo vote",0.179,0.135,0.346,0.271,0.294,0.238,0.463,0.28
"P22","Nunca lo votaría",0.68,0.107,0.468,0.682,0.559,0.644,0.33,0.417
"P22","No sabe",0.01,0.01,0,0.004,0.026,0.077,0.073,0.151
"P23","Lo votaría",0.582,0.129,0.108,0.103,0.146,0.017,0.042,0.079
"P23","Puede que lo vote",0.258,0.126,0.092,0.254,0.134,0.078,0.039,0.197
"P23","Nunca lo votaría",0.15,0.727,0.796,0.591,0.72,0.817,0.834,0.542
"P23","No sabe",0.01,0.018,0.004,0.052,0,0.088,0.085,0.182
"P24","Lo votaría",0.085,0.103,0.476,0.054,0.078,0.024,0.014,0.019
"P24","Puede que lo vote",0.102,0.201,0.291,0.067,0.119,0.353,0.105,0.152
"P24","Nunca lo votaría",0.811,0.687,0.233,0.872,0.803,0.595,0.85,0.75
"P24","No sabe",0.002,0.009,0,0.007,0,0.028,0.031,0.079
"P25","Muy buena",0.455,0.093,0.053,0.229,0.138,0.016,0.055,0.125
"P25","Buena",0.226,0.178,0.052,0.098,0.15,0.091,0.237,0.152
"P25","Ni buena ni mala",0.253,0.367,0.173,0.412,0.441,0.271,0.166,0.364
"P25","Mala",0.02,0.181,0.251,0.122,0.187,0.226,0.05,0.105
"P25","Muy mala",0.025,0.129,0.462,0.13,0.064,0.386,0.395,0.133
"P25","No sabe",0.021,0.052,0.009,0.009,0.02,0.01,0.097,0.121
"P26","Muy buena",0.446,0.067,0.009,0.089,0.133,0,0.018,0.057
"P26","Buena",0.337,0.096,0.049,0.131,0.111,0.098,0.035,0.116
"P26","Ni buena ni mala",0.138,0.183,0.106,0.347,0.231,0.01,0.185,0.292
"P26","Mala",0.047,0.3,0.163,0.231,0.415,0.247,0.139,0.161
"P26","Muy mala",0.028,0.329,0.665,0.195,0.11,0.635,0.538,0.232
"P26","No sabe",0.004,0.025,0.008,0.007,0,0.01,0.085,0.142
"P27","Muy buena",0.122,0.49,0.187,0.075,0.102,0.078,0.256,0.136
"P27","Buena",0.156,0.273,0.252,0.13,0.175,0.065,0.308,0.226
"P27","Ni buena ni mala",0.317,0.109,0.211,0.241,0.359,0.184,0.082,0.279
"P27","Mala",0.254,0.061,0.203,0.297,0.226,0.137,0.18,0.16
"P27","Muy mala",0.144,0.039,0.141,0.242,0.132,0.524,0.144,0.097
"P27","No sabe",0.007,0.028,0.006,0.015,0.006,0.012,0.03,0.102
"P28","Muy buena",0.16,0.1,0.043,0.14,0.449,0.012,0.191,0.037
"P28","Buena",0.185,0.099,0.08,0.073,0.183,0.054,0.088,0.246
"P28","Ni buena ni mala",0.369,0.455,0.247,0.339,0.283,0.095,0.207,0.319
"P28","Mala",0.091,0.081,0.166,0.145,0.074,0.183,0.28,0.119
"P28","Muy mala",0.108,0.105,0.383,0.187,0.011,0.575,0.1,0.079
"P28","No sabe",0.087,0.16,0.081,0.116,0,0.081,0.134,0.2
"P29","Muy buena",0.025,0.043,0.119,0.029,0.094,0.035,0.191,0.014
"P29","Buena",0.045,0.212,0.36,0.018,0.035,0.16,0.057,0.075
"P29","Ni buena ni mala",0.099,0.195,0.288,0.101,0.264,0.13,0.074,0.222
"P29","Mala",0.138,0.236,0.112,0.137,0.163,0.25,0.195,0.219
"P29","Muy mala",0.669,0.256,0.115,0.669,0.444,0.413,0.452,0.428
"P29","No sabe",0.024,0.058,0.006,0.046,0,0.012,0.031,0.042
"P30","Muy buena",0.013,0.278,0.771,0.015,0.107,0.244,0.107,0.086
"P30","Buena",0.035,0.149,0.068,0.003,0,0.147,0.066,0.086
"P30","Ni buena ni mala",0.043,0.09,0.09,0.072,0.127,0.13,0.037,0.108
"P30","Mala",0.113,0.15,0.04,0.125,0.133,0.053,0.043,0.228
"P30","Muy mala",0.793,0.314,0.031,0.778,0.633,0.414,0.716,0.467
"P30","No sabe",0.003,0.019,0,0.007,0,0.012,0.031,0.025
"P31","Muy buena",0.322,0.095,0.04,0.128,0.125,0.019,0.091,0.07
"P31","Buena",0.272,0.172,0.017,0.182,0.093,0,0.097,0.221
"P31","Ni buena ni mala",0.154,0.11,0.056,0.3,0.262,0.033,0.026,0.207
"P31","Mala",0.098,0.231,0.108,0.129,0.17,0.116,0.076,0.185
"P31","Muy mala",0.151,0.375,0.755,0.257,0.35,0.82,0.622,0.289
"P31","No sabe",0.003,0.017,0.024,0.004,0,0.012,0.088,0.028
"P32","Muy buena",0.17,0.058,0.004,0.023,0.177,0.018,0.064,0.028
"P32","Buena",0.362,0.134,0.01,0.108,0.12,0,0.035,0.181
"P32","Ni buena ni mala",0.275,0.268,0.093,0.343,0.34,0.034,0.156,0.38
"P32","Mala",0.107,0.201,0.173,0.159,0.109,0.159,0.088,0.138
"P32","Muy mala",0.072,0.286,0.684,0.312,0.234,0.777,0.625,0.227
"P32","No sabe",0.014,0.053,0.036,0.055,0.02,0.012,0.032,0.046
"P33","Muy buena",0.029,0.08,0.123,0.02,0.099,0.042,0.048,0.008
"P33","Buena",0.077,0.199,0.375,0.026,0.246,0.111,0.013,0.12
"P33","Ni buena ni mala",0.083,0.29,0.253,0.174,0.049,0.219,0.187,0.231
"P33","Mala",0.226,0.152,0.091,0.171,0.19,0.103,0.136,0.271
"P33","Muy mala",0.564,0.231,0.132,0.562,0.416,0.513,0.582,0.32
"P33","No sabe",0.021,0.048,0.026,0.047,0,0.012,0.034,0.05
"P34","Muy buena",0.507,0.169,0.015,0.224,0.258,0.03,0.056,0.169
"P34","Buena",0.223,0.118,0.014,0.24,0.216,0,0.169,0.134
"P34","Ni buena ni mala",0.078,0.172,0.069,0.274,0.091,0.032,0.218,0.281
"P34","Mala",0.078,0.158,0.134,0.101,0.184,0.12,0.06,0.118
"P34","Muy mala",0.102,0.346,0.768,0.147,0.251,0.806,0.462,0.263
"P34","No sabe",0.012,0.037,0,0.014,0,0.012,0.035,0.035
"P35","Muy buena",0.134,0.443,0.034,0.115,0.121,0.036,0.042,0.098
"P35","Buena",0.206,0.246,0.122,0.102,0.203,0.009,0.107,0.21
"P35","Ni buena ni mala",0.281,0.142,0.198,0.354,0.278,0.07,0.074,0.336
"P35","Mala",0.194,0.08,0.361,0.194,0.289,0.348,0.272,0.179
"P35","Muy mala",0.176,0.073,0.285,0.179,0.109,0.525,0.469,0.157
"P35","No sabe",0.009,0.016,0,0.056,0,0.012,0.036,0.02
"P36","Muy buena",0.212,0.111,0.028,0.506,0.104,0,0.178,0.044
"P36","Buena",0.138,0.107,0.014,0.113,0.103,0,0.094,0.181
"P36","Ni buena ni mala",0.347,0.246,0.098,0.239,0.239,0.044,0.249,0.244
"P36","Mala",0.143,0.157,0.081,0.069,0.234,0.052,0.152,0.189
"P36","Muy mala",0.135,0.348,0.779,0.026,0.169,0.892,0.28,0.279
"P36","No sabe",0.025,0.031,0,0.047,0.151,0.012,0.047,0.063
"P37","Muy buena",0.18,0.041,0.016,0.056,0.117,0.019,0.044,0.117
"P37","Buena",0.268,0.11,0.029,0.12,0.22,0.073,0.075,0.146
"P37","Ni buena ni mala",0.305,0.382,0.242,0.327,0.341,0.215,0.362,0.256
"P37","Mala",0.122,0.177,0.25,0.146,0.132,0.134,0.296,0.15
"P37","Muy mala",0.101,0.163,0.444,0.277,0.086,0.547,0.187,0.177
"P37","No sabe",0.024,0.127,0.019,0.074,0.104,0.012,0.036,0.154
"P38","Muy buena",0.098,0.014,0.01,0.025,0.103,0.019,0.028,0.072
"P38","Buena",0.206,0.075,0.004,0.041,0.192,0.031,0.061,0.094
"P38","Ni buena ni mala",0.357,0.392,0.208,0.361,0.322,0.074,0.278,0.275
"P38","Mala",0.116,0.134,0.128,0.095,0.132,0.131,0.301,0.119
"P38","Muy mala",0.135,0.18,0.625,0.302,0.077,0.649,0.252,0.2
"P38","No sabe",0.088,0.205,0.025,0.176,0.174,0.096,0.08,0.24
"P39","Muy buena",0.126,0.053,0.031,0.043,0.126,0.088,0.021,0.073
"P39","Buena",0.149,0.125,0.058,0.085,0.114,0.026,0.046,0.112
"P39","Ni buena ni mala",0.421,0.399,0.334,0.373,0.316,0.143,0.348,0.382
"P39","Mala",0.138,0.105,0.156,0.135,0.192,0.15,0.37,0.095
"P39","Muy mala",0.088,0.161,0.373,0.315,0.09,0.521,0.097,0.132
"P39","No sabe",0.078,0.157,0.048,0.049,0.162,0.072,0.118,0.206
"P42","A Rodrigo De Loredo por Juntos por el Cambio",0.748,0.182,0.074,0.283,0.222,0.04,0.299,0.326
"P42","A Daniel Passerini por Hacemos por Cordoba",0.08,0.67,0.235,0.153,0.182,0.142,0.136,0.244
"P42","Al candidato del frente de todos",0.037,0.052,0.635,0.05,0.028,0.045,0.197,0.029
"P42","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.021,0.009,0.006,0.483,0.05,0,0.037,0.087
"P42","A  Juan Pablo Quinteros por Encuentro Vecinal",0.047,0.009,0.028,0.006,0.465,0,0.043,0.023
"P42","Al candidato del frente de izquierda",0.008,0.007,0,0,0.009,0.681,0.106,0.018
"P42","Votaría en blanco",0.014,0.011,0.004,0,0,0.033,0.145,0.02
"P42","No sabe",0.045,0.06,0.018,0.025,0.044,0.059,0.037,0.253
"P44","A Luis Juez por Juntos por el Cambio",0.691,0.129,0.021,0.262,0.048,0,0.088,0.132
"P44","A Daniel Passerini por Hacemos por Cordoba",0.091,0.733,0.221,0.084,0.173,0.181,0.144,0.306
"P44","Al candidato del frente de todos",0.017,0.025,0.694,0,0,0.046,0,0.015
"P44","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.039,0.022,0.007,0.623,0.019,0.013,0.266,0.037
"P44","A  Juan Pablo Quinteros por Encuentro Vecinal",0.053,0.018,0.018,0.023,0.665,0,0.023,0.077
"P44","Al candidato del frente de izquierda",0.014,0.01,0.018,0,0,0.681,0.256,0
"P44","Votaría en blanco",0.019,0.013,0.007,0,0.041,0,0.223,0.06
"P44","No sabe",0.076,0.05,0.014,0.008,0.054,0.079,0,0.373
"P46","Lo votaría",0.717,0.152,0.017,0.249,0.275,0.066,0.072,0.245
"P46","Puede que lo vote",0.199,0.215,0.013,0.426,0.218,0.08,0.299,0.266
"P46","Nunca lo votaría",0.074,0.609,0.97,0.309,0.491,0.815,0.586,0.422
"P46","No sabe",0.01,0.024,0,0.016,0.016,0.039,0.043,0.067
"P47","Lo votaría",0.152,0.602,0.194,0.108,0.174,0.078,0.148,0.35
"P47","Puede que lo vote",0.137,0.189,0.33,0.171,0.142,0.259,0.078,0.183
"P47","Nunca lo votaría",0.702,0.176,0.476,0.699,0.667,0.628,0.736,0.427
"P47","No sabe",0.009,0.033,0,0.022,0.017,0.035,0.038,0.04
"P48","Lo votaría",0.544,0.164,0.087,0.082,0.04,0.067,0.055,0.174
"P48","Puede que lo vote",0.303,0.114,0.07,0.223,0.162,0.075,0.011,0.144
"P48","Nunca lo votaría",0.147,0.688,0.843,0.68,0.781,0.822,0.895,0.642
"P48","No sabe",0.006,0.034,0,0.015,0.017,0.036,0.039,0.04
"P49","Lo votaría",0.183,0.05,0.014,0.15,0.398,0,0.048,0.059
"P49","Puede que lo vote",0.227,0.26,0.198,0.261,0.317,0.043,0.284,0.355
"P49","Nunca lo votaría",0.578,0.658,0.771,0.58,0.236,0.867,0.588,0.539
"P49","No sabe",0.012,0.032,0.017,0.009,0.049,0.09,0.08,0.047
"P50","Lo votaría",0.039,0.134,0.294,0.102,0.111,0,0.065,0.102
"P50","Puede que lo vote",0.123,0.278,0.351,0.131,0.105,0.258,0.075,0.216
"P50","Nunca lo votaría",0.832,0.558,0.345,0.758,0.764,0.676,0.779,0.624
"P50","No sabe",0.006,0.03,0.01,0.009,0.02,0.066,0.081,0.058
"P51","Luis Juez gobernador – Rodrigo De Loredo intendente por Juntos por el Cambio",0.899,0.075,0.008,0.123,0.11,0.058,0.038,0.157
"P51","Martín Llaryora gobernador – Daniel Passerini intendente por Hacemos por Córdoba",0.058,0.824,0.175,0.042,0.111,0.153,0.251,0.201
"P51","A los candidatos a gobernador e intendente del Frente de Todos",0.003,0.035,0.784,0.062,0,0.054,0,0.018
"P51","A los candidatos a gobernador e intendente de los liberales libertarios con el apoyo de Ja-vier Milei",0.008,0.024,0,0.67,0.017,0,0.222,0.034
"P51","A Aurelio García Elorrio gobernador – Juan Pablo Quinteros intendente por Encuentro Veci-nal Córdoba",0.014,0.017,0,0.057,0.692,0,0.034,0.043
"P51","A los candidatos a gobernador e intendente del Frente de Izquierda",0.009,0.005,0.012,0,0,0.589,0.078,0.05
"P51","Votaría en blanco",0,0,0.013,0.017,0.039,0.04,0.243,0.081
"P51","No sabe",0.009,0.02,0.008,0.029,0.031,0.106,0.134,0.416
"P52","Rodrigo De Loredo gobernador – Luis Juez intendente por Juntos por el Cambio",0.745,0.077,0.047,0.155,0.123,0.077,0.057,0.125
"P52","Martín Llaryora gobernador – Daniel Passerini intendente por Hacemos por Córdoba",0.051,0.806,0.166,0.087,0.118,0.185,0.251,0.201
"P52","A los candidatos a gobernador e intendente del Frente de Todos",0.024,0.026,0.76,0.043,0.013,0.056,0,0.018
"P52","A los candidatos a gobernador e intendente de los liberales libertarios con el apoyo de Ja-vier Milei",0.04,0.013,0,0.654,0.035,0,0.256,0.042
"P52","A Aurelio García Elorrio gobernador – Juan Pablo Quinteros intendente por Encuentro Veci-nal Córdoba",0.048,0.024,0.014,0.015,0.624,0,0,0.087
"P52","A los candidatos a gobernador e intendente del Frente de Izquierda",0.013,0.003,0.013,0,0,0.615,0.019,0
"P52","Votaría en blanco",0.018,0,0,0.017,0.018,0.042,0.283,0.037
"P52","No sabe",0.061,0.051,0,0.029,0.069,0.025,0.134,0.49
