"var","categoria","A Juntos por el Cambio","Al Frente de Todos","A Hacemos por Córdoba","A los liberales libertarios de Milei","A Encuentro Vecinal Córdoba","Al Frente de Izquierda","No sabe"
"P32","Muy mala",0.063,0.499,0.285,0.33,0.311,0.503,0.247
"P32","No sabe",0.015,0.007,0.034,0.052,0.023,0.012,0.138
"P33","Muy buena",0.039,0.163,0.046,0,0.012,0.032,0.049
"P33","Buena",0.067,0.281,0.197,0.052,0.281,0.159,0.06
"P33","Ni buena ni mala",0.097,0.238,0.285,0.094,0.064,0.244,0.189
"P33","Mala",0.176,0.124,0.184,0.277,0.22,0.083,0.212
"P33","Muy mala",0.597,0.192,0.266,0.513,0.423,0.459,0.366
"P33","No sabe",0.024,0.002,0.022,0.064,0,0.023,0.124
"P34","Muy buena",0.566,0.127,0.181,0.195,0.174,0.017,0.152
"P34","Buena",0.209,0.09,0.084,0.285,0.246,0.131,0.172
"P34","Ni buena ni mala",0.073,0.087,0.173,0.252,0.082,0.138,0.232
"P34","Mala",0.045,0.141,0.159,0.11,0.247,0.123,0.144
"P34","Muy mala",0.094,0.555,0.379,0.147,0.239,0.584,0.211
"P34","No sabe",0.013,0,0.024,0.011,0.012,0.007,0.089
"P35","Muy buena",0.139,0.182,0.395,0.11,0.047,0.045,0.153
"P35","Buena",0.232,0.155,0.233,0.143,0.087,0.053,0.165
"P35","Ni buena ni mala",0.276,0.198,0.18,0.242,0.42,0.178,0.257
"P35","Mala",0.164,0.244,0.089,0.258,0.284,0.312,0.255
"P35","Muy mala",0.179,0.219,0.096,0.2,0.162,0.405,0.112
"P35","No sabe",0.01,0.002,0.007,0.047,0,0.007,0.058
"P36","Muy buena",0.179,0.087,0.111,0.533,0.079,0.011,0.129
"P36","Buena",0.142,0.063,0.079,0.144,0.118,0.122,0.132
"P36","Ni buena ni mala",0.356,0.144,0.282,0.134,0.26,0.265,0.269
"P36","Mala",0.157,0.1,0.168,0.07,0.172,0.051,0.175
"P36","Muy mala",0.132,0.596,0.347,0.079,0.195,0.538,0.2
"P36","No sabe",0.034,0.01,0.013,0.04,0.176,0.013,0.095
"P37","Muy buena",0.178,0.082,0.049,0.071,0.122,0.05,0.05
"P37","Buena",0.284,0.093,0.115,0.124,0.204,0.047,0.145
"P37","Ni buena ni mala",0.295,0.258,0.384,0.29,0.322,0.434,0.299
"P37","Mala",0.121,0.211,0.175,0.143,0.102,0.117,0.223
"P37","Muy mala",0.099,0.339,0.174,0.249,0.119,0.315,0.146
"P37","No sabe",0.023,0.017,0.103,0.123,0.131,0.037,0.137
"P38","Muy buena",0.109,0.021,0.023,0.014,0.017,0.112,0.046
"P38","Buena",0.209,0.107,0.062,0.05,0.106,0.019,0.151
"P38","Ni buena ni mala",0.384,0.268,0.402,0.239,0.39,0.274,0.248
"P38","Mala",0.083,0.106,0.142,0.184,0.197,0.118,0.152
"P38","Muy mala",0.141,0.429,0.179,0.336,0.134,0.381,0.122
"P38","No sabe",0.074,0.069,0.192,0.177,0.156,0.096,0.281
"P39","Muy buena",0.136,0.051,0.056,0.064,0.046,0.054,0.075
"P39","Buena",0.153,0.122,0.101,0.058,0.118,0.044,0.168
"P39","Ni buena ni mala",0.439,0.353,0.4,0.338,0.29,0.39,0.305
"P39","Mala",0.135,0.162,0.09,0.173,0.289,0.106,0.134
"P39","Muy mala",0.084,0.278,0.18,0.25,0.061,0.369,0.092
"P39","No sabe",0.053,0.034,0.173,0.117,0.196,0.037,0.226
