"var","categoria","A Rodrigo De Loredo con el apoyo de Mauricio Macri, Patricia Bullrich, Martín Lousteau y el radicalismo","A Luis Juez con el apoyo de Horacio Rodríguez Larreta","No sabe"
"P20","Rodrigo De Loredo gobernador – Luis Juez vicegobernador por Juntos por el Cambio",0.81,0.633,0.201
"P20","Martín Llaryora gobernador – Natalia de la Sota vicegobernadora por Hacemos por Córdo-ba",0.085,0.032,0.55
"P20","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.013,0.008,0
"P20","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.034,0.075,0.017
"P20","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.02,0.049,0.016
"P20","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0,0,0.011
"P20","Votaría en blanco",0.022,0.107,0.051
"P20","No sabe",0.016,0.096,0.154
"P21","Lo votaría",0.723,0.294,0.236
"P21","Puede que lo vote",0.204,0.439,0.252
"P21","Nunca lo votaría",0.073,0.25,0.494
"P21","No sabe",0,0.017,0.018
"P22","Lo votaría",0.214,0.038,0.539
"P22","Puede que lo vote",0.161,0.148,0.085
"P22","Nunca lo votaría",0.625,0.8,0.354
"P22","No sabe",0,0.014,0.022
"P23","Lo votaría",0.396,0.847,0.256
"P23","Puede que lo vote",0.346,0.092,0.058
"P23","Nunca lo votaría",0.246,0.053,0.631
"P23","No sabe",0.012,0.008,0.055
"P24","Lo votaría",0.092,0.057,0.152
"P24","Puede que lo vote",0.114,0.08,0.127
"P24","Nunca lo votaría",0.79,0.86,0.721
"P24","No sabe",0.004,0.003,0
"P25","Muy buena",0.552,0.322,0.103
"P25","Buena",0.174,0.273,0.237
"P25","Ni buena ni mala",0.265,0.315,0.335
"P25","Mala",0.003,0.044,0.248
"P25","Muy mala",0.002,0.004,0.041
"P25","No sabe",0.004,0.042,0.036
"P26","Muy buena",0.337,0.646,0.187
"P26","Buena",0.284,0.325,0.155
"P26","Ni buena ni mala",0.234,0.021,0.204
"P26","Mala",0.09,0.004,0.314
"P26","Muy mala",0.04,0.004,0.14
"P26","No sabe",0.015,0,0
"P27","Muy buena",0.102,0.093,0.379
"P27","Buena",0.19,0.122,0.197
"P27","Ni buena ni mala",0.319,0.262,0.133
"P27","Mala",0.231,0.298,0.221
"P27","Muy mala",0.148,0.221,0.07
"P27","No sabe",0.01,0.004,0
"P28","Muy buena",0.152,0.169,0.084
"P28","Buena",0.188,0.229,0.057
"P28","Ni buena ni mala",0.385,0.395,0.603
"P28","Mala",0.098,0.075,0.056
"P28","Muy mala",0.114,0.028,0.044
"P28","No sabe",0.063,0.104,0.156
"P29","Muy buena",0.036,0.048,0.084
"P29","Buena",0.025,0.018,0.111
"P29","Ni buena ni mala",0.084,0.063,0.175
"P29","Mala",0.096,0.17,0.194
"P29","Muy mala",0.729,0.682,0.4
"P29","No sabe",0.03,0.019,0.036
"P30","Muy buena",0.019,0.028,0.307
"P30","Buena",0,0.02,0
"P30","Ni buena ni mala",0.033,0.028,0.163
"P30","Mala",0.092,0.092,0.118
"P30","Muy mala",0.848,0.832,0.412
"P30","No sabe",0.008,0,0
"P31","Muy buena",0.437,0.347,0.119
"P31","Buena",0.257,0.253,0.243
"P31","Ni buena ni mala",0.095,0.193,0.288
"P31","Mala",0.059,0.077,0.073
"P31","Muy mala",0.149,0.13,0.255
"P31","No sabe",0.003,0,0.022
"P32","Muy buena",0.202,0.184,0.077
"P32","Buena",0.326,0.421,0.258
"P32","Ni buena ni mala",0.291,0.229,0.355
"P32","Mala",0.104,0.074,0.132
"P32","Muy mala",0.069,0.071,0.125
"P32","No sabe",0.008,0.021,0.053
"P33","Muy buena",0.029,0.021,0.141
"P33","Buena",0.065,0.068,0.135
"P33","Ni buena ni mala",0.11,0.07,0.258
"P33","Mala",0.158,0.233,0.145
"P33","Muy mala",0.614,0.592,0.29
"P33","No sabe",0.024,0.016,0.031
"P34","Muy buena",0.564,0.545,0.333
"P34","Buena",0.194,0.291,0.139
"P34","Ni buena ni mala",0.071,0.078,0.169
"P34","Mala",0.041,0.044,0.143
"P34","Muy mala",0.112,0.035,0.185
"P34","No sabe",0.018,0.007,0.031
"P35","Muy buena",0.155,0.079,0.434
"P35","Buena",0.236,0.211,0.183
"P35","Ni buena ni mala",0.27,0.299,0.13
"P35","Mala",0.134,0.232,0.143
"P35","Muy mala",0.187,0.17,0.11
"P35","No sabe",0.018,0.009,0
"P36","Muy buena",0.219,0.103,0.055
"P36","Buena",0.16,0.172,0.055
"P36","Ni buena ni mala",0.325,0.361,0.46
"P36","Mala",0.135,0.205,0.163
"P36","Muy mala",0.117,0.133,0.242
"P36","No sabe",0.044,0.026,0.025
"P37","Muy buena",0.215,0.126,0.136
"P37","Buena",0.286,0.307,0.163
"P37","Ni buena ni mala",0.236,0.357,0.571
"P37","Mala",0.121,0.116,0.076
"P37","Muy mala",0.105,0.075,0.039
"P37","No sabe",0.037,0.019,0.015
"P38","Muy buena",0.122,0.076,0.095
"P38","Buena",0.215,0.229,0.132
"P38","Ni buena ni mala",0.343,0.407,0.529
"P38","Mala",0.077,0.108,0.091
"P38","Muy mala",0.155,0.101,0.108
"P38","No sabe",0.088,0.079,0.045
"P39","Muy buena",0.171,0.088,0.113
"P39","Buena",0.138,0.167,0.095
"P39","Ni buena ni mala",0.43,0.398,0.482
"P39","Mala",0.13,0.167,0.102
"P39","Muy mala",0.074,0.118,0.087
"P39","No sabe",0.057,0.062,0.121
"P42","A Rodrigo De Loredo por Juntos por el Cambio",0.813,0.788,0.259
"P42","A Daniel Passerini por Hacemos por Cordoba",0.056,0.086,0.561
"P42","Al candidato del frente de todos",0.058,0.018,0
"P42","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.019,0.017,0.019
"P42","A  Juan Pablo Quinteros por Encuentro Vecinal",0.005,0.03,0.033
"P42","Al candidato del frente de izquierda",0.006,0,0
"P42","Votaría en blanco",0.005,0.018,0.047
"P42","No sabe",0.038,0.043,0.081
"P44","A Luis Juez por Juntos por el Cambio",0.636,0.776,0.24
"P44","A Daniel Passerini por Hacemos por Cordoba",0.136,0.055,0.48
"P44","Al candidato del frente de todos",0.049,0,0
"P44","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.051,0.042,0
"P44","A  Juan Pablo Quinteros por Encuentro Vecinal",0.038,0.053,0.052
"P44","Al candidato del frente de izquierda",0.006,0.005,0.019
"P44","Votaría en blanco",0.018,0.035,0.1
"P44","No sabe",0.066,0.034,0.109
"P46","Lo votaría",0.77,0.75,0.284
"P46","Puede que lo vote",0.156,0.186,0.325
"P46","Nunca lo votaría",0.065,0.045,0.391
"P46","No sabe",0.009,0.019,0
"P47","Lo votaría",0.188,0.111,0.495
"P47","Puede que lo vote",0.11,0.136,0.199
"P47","Nunca lo votaría",0.691,0.738,0.306
"P47","No sabe",0.011,0.015,0
"P48","Lo votaría",0.484,0.661,0.2
"P48","Puede que lo vote",0.281,0.235,0.166
"P48","Nunca lo votaría",0.23,0.086,0.634
"P48","No sabe",0.005,0.018,0
"P49","Lo votaría",0.172,0.104,0.076
"P49","Puede que lo vote",0.241,0.282,0.157
"P49","Nunca lo votaría",0.582,0.59,0.748
"P49","No sabe",0.005,0.024,0.019
"P50","Lo votaría",0.032,0.016,0.34
"P50","Puede que lo vote",0.085,0.161,0.041
"P50","Nunca lo votaría",0.878,0.808,0.598
"P50","No sabe",0.005,0.015,0.021
"P51","Luis Juez gobernador – Rodrigo De Loredo intendente por Juntos por el Cambio",0.858,0.946,0.27
"P51","Martín Llaryora gobernador – Daniel Passerini intendente por Hacemos por Córdoba",0.027,0.039,0.679
"P51","A los candidatos a gobernador e intendente del Frente de Todos",0.01,0,0
"P51","A los candidatos a gobernador e intendente de los liberales libertarios con el apoyo de Ja-vier Milei",0.019,0.006,0
"P51","A Aurelio García Elorrio gobernador – Juan Pablo Quinteros intendente por Encuentro Veci-nal Córdoba",0.036,0.004,0
"P51","A los candidatos a gobernador e intendente del Frente de Izquierda",0.007,0,0
"P51","Votaría en blanco",0.019,0,0.025
"P51","No sabe",0.024,0.005,0.026
"P52","Rodrigo De Loredo gobernador – Luis Juez intendente por Juntos por el Cambio",0.85,0.649,0.28
"P52","Martín Llaryora gobernador – Daniel Passerini intendente por Hacemos por Córdoba",0.031,0.03,0.661
"P52","A los candidatos a gobernador e intendente del Frente de Todos",0.009,0.006,0
"P52","A los candidatos a gobernador e intendente de los liberales libertarios con el apoyo de Ja-vier Milei",0.039,0.056,0
"P52","A Aurelio García Elorrio gobernador – Juan Pablo Quinteros intendente por Encuentro Veci-nal Córdoba",0.025,0.089,0
"P52","A los candidatos a gobernador e intendente del Frente de Izquierda",0.003,0,0
"P52","Votaría en blanco",0.009,0.049,0.026
"P52","No sabe",0.034,0.121,0.033
