"var","categoria","Lo votaría","Puede que lo vote","Nunca lo votaría","No sabe"
"P32","Muy buena",0.087,0.069,0.098,0.12
"P32","Buena",0.083,0.215,0.216,0.207
"P32","Ni buena ni mala",0.2,0.18,0.294,0
"P32","Mala",0.125,0.218,0.138,0.039
"P32","Muy mala",0.457,0.314,0.223,0.048
"P32","No sabe",0.048,0.004,0.031,0.586
"P33","Muy buena",0.149,0.045,0.039,0.121
"P33","Buena",0.252,0.225,0.106,0.207
"P33","Ni buena ni mala",0.2,0.353,0.143,0
"P33","Mala",0.1,0.171,0.2,0.039
"P33","Muy mala",0.257,0.206,0.481,0
"P33","No sabe",0.042,0,0.031,0.633
"P34","Muy buena",0.124,0.185,0.331,0.058
"P34","Buena",0.112,0.119,0.179,0.269
"P34","Ni buena ni mala",0.102,0.105,0.154,0
"P34","Mala",0.076,0.12,0.122,0.039
"P34","Muy mala",0.586,0.46,0.197,0
"P34","No sabe",0,0.011,0.017,0.634
"P35","Muy buena",0.159,0.159,0.217,0.065
"P35","Buena",0.104,0.229,0.197,0.186
"P35","Ni buena ni mala",0.236,0.234,0.237,0
"P35","Mala",0.172,0.253,0.177,0.043
"P35","Muy mala",0.289,0.114,0.166,0
"P35","No sabe",0.04,0.011,0.006,0.706
"P36","Muy buena",0.053,0.077,0.218,0
"P36","Buena",0.048,0.139,0.116,0.194
"P36","Ni buena ni mala",0.226,0.259,0.273,0
"P36","Mala",0.044,0.113,0.159,0
"P36","Muy mala",0.563,0.396,0.208,0.068
"P36","No sabe",0.066,0.016,0.026,0.738
"P37","Muy buena",0.064,0.034,0.117,0.169
"P37","Buena",0.101,0.21,0.17,0.07
"P37","Ni buena ni mala",0.333,0.288,0.328,0
"P37","Mala",0.181,0.139,0.16,0.044
"P37","Muy mala",0.264,0.229,0.167,0.064
"P37","No sabe",0.057,0.1,0.058,0.653
"P38","Muy buena",0.071,0.07,0.046,0.17
"P38","Buena",0.097,0.109,0.125,0
"P38","Ni buena ni mala",0.338,0.201,0.369,0.07
"P38","Mala",0.091,0.133,0.131,0.043
"P38","Muy mala",0.325,0.292,0.2,0.065
