"var","categoria","A Rodrigo De Loredo por Juntos por el Cambio","A Martín Llaryora por Hacemos por Córdoba","Al candidato del Frente de Todos","Al candidato de los liberales libertarios con el apoyo de Javier Milei","A Aurelio Garcia Elorrio por Encuentro Vecinal Cordoba","Al candidato del Frente de Izquierda","Votaría en blanco","No sabe"
"P17","No sabe",0.052,0.053,0.012,0.006,0.036,0,0.103,0.549
"P18","Rodrigo De Loredo gobernador – Luis Juez vicegobernador por Juntos por el Cambio",0.818,0.095,0.028,0.144,0.24,0.052,0.268,0.12
"P18","Martín Llaryora gobernador – Alejandra Vigo vicegobernadora por Hacemos por Córdoba",0.06,0.765,0.076,0.025,0.009,0,0,0.045
"P18","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.008,0.03,0.838,0.012,0.006,0.014,0.023,0.022
"P18","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.045,0.015,0.01,0.801,0.071,0.01,0.095,0.035
"P18","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.013,0.016,0.008,0.005,0.563,0.125,0.011,0.027
"P18","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.004,0.003,0.007,0.003,0.006,0.788,0.02,0.015
"P18","Votaría en blanco",0.011,0.02,0.005,0,0.013,0.011,0.448,0.086
"P18","No sabe",0.041,0.056,0.028,0.01,0.092,0,0.135,0.65
"P19","Luis Juez gobernador – Rodrigo De Loredo vicegobernador por Juntos por el Cambio",0.761,0.068,0.038,0.225,0.304,0.07,0.433,0.277
"P19","Martín Llaryora gobernador – Natalia de la Sota vicegobernadora por Hacemos por Córdoba",0.071,0.746,0.172,0.011,0.027,0.08,0.072,0.049
"P19","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.01,0.048,0.71,0,0.016,0.01,0.014,0.014
"P19","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.071,0.015,0.011,0.753,0.074,0.01,0.077,0.021
"P19","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.023,0.018,0.01,0.005,0.51,0.125,0,0.015
"P19","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.001,0.001,0.036,0,0.006,0.705,0.025,0.018
"P19","Votaría en blanco",0.023,0.029,0.01,0,0.017,0,0.285,0.051
"P19","No sabe",0.04,0.075,0.013,0.006,0.046,0,0.094,0.555
"P20","Rodrigo De Loredo gobernador – Luis Juez vicegobernador por Juntos por el Cambio",0.818,0.064,0.046,0.133,0.143,0.026,0.252,0.11
"P20","Martín Llaryora gobernador – Natalia de la Sota vicegobernadora por Hacemos por Córdo-ba",0.059,0.776,0.188,0.008,0.026,0.081,0.078,0.063
"P20","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.012,0.036,0.7,0.006,0.016,0.01,0,0.022
"P20","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.051,0.013,0.011,0.841,0.078,0.01,0.054,0.017
"P20","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.008,0.006,0.019,0.003,0.594,0.146,0.015,0.012
"P20","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.001,0.007,0.012,0,0,0.695,0.027,0.008
"P20","Votaría en blanco",0.018,0.043,0.01,0.003,0.008,0,0.447,0.068
"P20","No sabe",0.033,0.055,0.014,0.006,0.135,0.032,0.127,0.7
"P21","Lo votaría",0.684,0.119,0.033,0.04,0.131,0.01,0.224,0.043
"P21","Puede que lo vote",0.268,0.221,0.082,0.369,0.349,0.057,0.168,0.26
"P21","Nunca lo votaría",0.041,0.651,0.876,0.496,0.455,0.899,0.491,0.532
"P21","No sabe",0.007,0.009,0.009,0.095,0.065,0.034,0.117,0.165
"P22","Lo votaría",0.149,0.699,0.169,0.025,0.071,0.011,0,0.046
"P22","Puede que lo vote",0.154,0.189,0.352,0.284,0.31,0.137,0.16,0.312
"P22","Nunca lo votaría",0.689,0.103,0.47,0.687,0.562,0.817,0.719,0.491
"P22","No sabe",0.008,0.009,0.009,0.004,0.057,0.035,0.121,0.151
"P23","Lo votaría",0.443,0.148,0.163,0.238,0.329,0.116,0.497,0.304
"P23","Puede que lo vote",0.295,0.118,0.101,0.218,0.228,0.02,0.014,0.145
"P23","Nunca lo votaría",0.247,0.71,0.723,0.505,0.411,0.829,0.368,0.406
"P23","No sabe",0.015,0.024,0.013,0.039,0.032,0.035,0.121,0.145
"P24","Lo votaría",0.071,0.095,0.483,0.058,0.031,0.061,0.03,0.097
"P24","Puede que lo vote",0.107,0.198,0.286,0.061,0.193,0.181,0.057,0.141
"P24","Nunca lo votaría",0.812,0.699,0.231,0.874,0.776,0.731,0.88,0.72
"P24","No sabe",0.01,0.008,0,0.007,0,0.027,0.033,0.042
"P25","Muy buena",0.551,0.061,0.061,0.101,0.09,0,0.214,0.09
"P25","Buena",0.221,0.173,0.092,0.161,0.183,0.01,0.036,0.178
"P25","Ni buena ni mala",0.201,0.379,0.168,0.475,0.496,0.319,0.281,0.349
"P25","Mala",0.009,0.173,0.212,0.129,0.107,0.34,0.123,0.121
"P25","Muy mala",0.005,0.16,0.467,0.13,0.098,0.305,0.204,0.115
"P25","No sabe",0.013,0.054,0,0.004,0.026,0.026,0.142,0.147
"P26","Muy buena",0.373,0.056,0.037,0.179,0.26,0.092,0.492,0.225
"P26","Buena",0.3,0.115,0.083,0.178,0.184,0.017,0.116,0.19
"P26","Ni buena ni mala",0.174,0.201,0.09,0.286,0.201,0.033,0.04,0.199
"P26","Mala",0.086,0.286,0.145,0.172,0.226,0.343,0.055,0.093
"P26","Muy mala",0.061,0.312,0.641,0.174,0.129,0.505,0.205,0.191
"P26","No sabe",0.006,0.03,0.004,0.011,0,0.01,0.092,0.102
"P27","Muy buena",0.115,0.49,0.15,0.079,0.077,0.06,0.04,0.065
"P27","Buena",0.127,0.312,0.268,0.12,0.162,0.051,0.12,0.182
"P27","Ni buena ni mala",0.328,0.098,0.216,0.252,0.367,0.313,0.094,0.332
"P27","Mala",0.282,0.051,0.213,0.25,0.209,0.141,0.423,0.159
"P27","Muy mala",0.141,0.024,0.147,0.279,0.179,0.408,0.291,0.161
"P27","No sabe",0.007,0.025,0.006,0.02,0.006,0.027,0.032,0.101
"P28","Muy buena",0.176,0.113,0.048,0.068,0.506,0.023,0.083,0.031
"P28","Buena",0.158,0.11,0.136,0.087,0.239,0.078,0.234,0.173
"P28","Ni buena ni mala",0.347,0.449,0.233,0.369,0.164,0.236,0.267,0.374
"P28","Mala",0.119,0.076,0.15,0.173,0.069,0.135,0.091,0.093
"P28","Muy mala",0.114,0.106,0.358,0.184,0.022,0.457,0.106,0.114
"P28","No sabe",0.086,0.146,0.075,0.119,0,0.071,0.219,0.215
"P29","Muy buena",0.032,0.05,0.13,0.017,0.055,0.058,0.04,0
"P29","Buena",0.025,0.213,0.387,0.003,0.079,0.082,0,0.043
"P29","Ni buena ni mala",0.081,0.214,0.26,0.101,0.178,0.277,0.058,0.178
"P29","Mala",0.144,0.224,0.1,0.14,0.143,0.2,0.171,0.25
"P29","Muy mala",0.696,0.249,0.123,0.688,0.545,0.356,0.665,0.466
"P29","No sabe",0.022,0.05,0,0.051,0,0.027,0.066,0.063
"P30","Muy buena",0.02,0.265,0.732,0.008,0.049,0.171,0.073,0.039
"P30","Buena",0.017,0.142,0.13,0.004,0,0.119,0.019,0.074
"P30","Ni buena ni mala",0.033,0.1,0.056,0.063,0.031,0.267,0.077,0.128
"P30","Mala",0.104,0.153,0.034,0.121,0.165,0.048,0.082,0.235
"P30","Muy mala",0.817,0.328,0.048,0.8,0.755,0.384,0.716,0.502
"P30","No sabe",0.009,0.012,0,0.004,0,0.011,0.033,0.022
"P31","Muy buena",0.373,0.084,0.039,0.082,0.051,0.029,0.134,0.074
"P31","Buena",0.269,0.158,0.085,0.204,0.152,0.016,0.11,0.19
"P31","Ni buena ni mala",0.163,0.121,0.051,0.268,0.318,0.057,0.079,0.15
"P31","Mala",0.067,0.211,0.098,0.173,0.226,0.061,0.274,0.244
"P31","Muy mala",0.124,0.406,0.721,0.269,0.253,0.826,0.311,0.316
"P31","No sabe",0.004,0.02,0.006,0.004,0,0.011,0.092,0.026
"P32","Muy buena",0.173,0.058,0.007,0,0.168,0.033,0.047,0.118
"P32","Buena",0.362,0.115,0.065,0.161,0.164,0.017,0.147,0.155
"P32","Ni buena ni mala",0.259,0.273,0.11,0.296,0.407,0.07,0.409,0.365
"P32","Mala",0.125,0.197,0.151,0.145,0.088,0.098,0.105,0.093
"P32","Muy mala",0.071,0.301,0.655,0.332,0.173,0.771,0.259,0.206
"P32","No sabe",0.01,0.056,0.012,0.066,0,0.011,0.033,0.063
"P33","Muy buena",0.046,0.052,0.136,0.003,0.056,0.048,0.027,0.074
"P33","Buena",0.068,0.196,0.384,0.023,0.118,0.217,0,0.105
"P33","Ni buena ni mala",0.091,0.271,0.257,0.176,0.087,0.183,0.134,0.153
"P33","Mala",0.172,0.196,0.089,0.175,0.24,0.092,0.342,0.283
"P33","Muy mala",0.602,0.234,0.126,0.572,0.499,0.433,0.462,0.354
"P33","No sabe",0.021,0.051,0.008,0.051,0,0.027,0.035,0.031
"P34","Muy buena",0.545,0.147,0.025,0.226,0.24,0.05,0.273,0.158
"P34","Buena",0.193,0.106,0.074,0.29,0.134,0.195,0.319,0.178
"P34","Ni buena ni mala",0.096,0.186,0.064,0.188,0.138,0.017,0.096,0.268
"P34","Mala",0.056,0.166,0.111,0.127,0.211,0.074,0.104,0.132
"P34","Muy mala",0.099,0.358,0.726,0.154,0.267,0.653,0.173,0.247
"P34","No sabe",0.011,0.037,0,0.015,0.01,0.011,0.035,0.017
"P35","Muy buena",0.139,0.402,0.041,0.1,0.068,0.033,0.035,0.114
"P35","Buena",0.2,0.261,0.104,0.091,0.23,0.036,0.047,0.17
"P35","Ni buena ni mala",0.295,0.151,0.195,0.322,0.363,0.047,0.151,0.321
"P35","Mala",0.18,0.091,0.374,0.197,0.221,0.431,0.472,0.158
"P35","Muy mala",0.178,0.081,0.286,0.228,0.112,0.442,0.259,0.208
"P35","No sabe",0.008,0.014,0,0.062,0.006,0.011,0.036,0.029
"P36","Muy buena",0.197,0.134,0.013,0.546,0.16,0.028,0.022,0.089
"P36","Buena",0.125,0.1,0.072,0.102,0.131,0.017,0.12,0.229
"P36","Ni buena ni mala",0.364,0.249,0.083,0.224,0.328,0.028,0.328,0.158
"P36","Mala",0.144,0.163,0.082,0.057,0.074,0.162,0.216,0.183
"P36","Muy mala",0.139,0.325,0.75,0.02,0.15,0.754,0.268,0.299
"P36","No sabe",0.031,0.029,0,0.051,0.157,0.011,0.046,0.042
"P37","Muy buena",0.193,0.052,0.025,0.031,0.122,0.058,0.062,0.06
"P37","Buena",0.285,0.094,0.029,0.113,0.297,0.065,0.278,0.114
"P37","Ni buena ni mala",0.279,0.389,0.273,0.333,0.224,0.274,0.205,0.377
"P37","Mala",0.123,0.184,0.25,0.135,0.173,0.119,0.201,0.101
"P37","Muy mala",0.095,0.165,0.411,0.307,0.075,0.445,0.207,0.214
"P37","No sabe",0.025,0.116,0.012,0.081,0.109,0.039,0.047,0.134
"P38","Muy buena",0.11,0.013,0.072,0.009,0.044,0.017,0.054,0.025
"P38","Buena",0.202,0.072,0.011,0.042,0.215,0.049,0.265,0.097
"P38","Ni buena ni mala",0.346,0.416,0.205,0.308,0.274,0.174,0.218,0.295
"P38","Mala",0.101,0.134,0.14,0.162,0.173,0.134,0.115,0.105
"P38","Muy mala",0.148,0.18,0.548,0.322,0.101,0.497,0.258,0.207
"P38","No sabe",0.093,0.185,0.024,0.157,0.193,0.129,0.09,0.271
"P39","Muy buena",0.141,0.052,0.03,0.014,0.153,0.082,0.027,0.058
"P39","Buena",0.139,0.118,0.054,0.066,0.111,0.04,0.268,0.158
"P39","Ni buena ni mala",0.415,0.42,0.327,0.408,0.336,0.143,0.23,0.317
"P39","Mala",0.147,0.102,0.156,0.157,0.148,0.261,0.166,0.108
"P39","Muy mala",0.085,0.148,0.406,0.296,0.086,0.399,0.225,0.154
"P39","No sabe",0.073,0.16,0.027,0.059,0.166,0.075,0.084,0.205
"P42","A Rodrigo De Loredo por Juntos por el Cambio",0.79,0.183,0.107,0.335,0.313,0.057,0.303,0.275
"P42","A Daniel Passerini por Hacemos por Cordoba",0.097,0.65,0.18,0.11,0.112,0.077,0.07,0.156
"P42","Al candidato del frente de todos",0.051,0.069,0.593,0.011,0.027,0.011,0,0.022
"P42","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.005,0.013,0.011,0.496,0.113,0.011,0.044,0.11
"P42","A  Juan Pablo Quinteros por Encuentro Vecinal",0.008,0.015,0.083,0.014,0.349,0.151,0.242,0.03
"P42","Al candidato del frente de izquierda",0.003,0.009,0,0,0,0.598,0.05,0.072
"P42","Votaría en blanco",0.005,0.01,0.013,0.008,0,0.029,0.213,0.028
"P42","No sabe",0.041,0.051,0.013,0.026,0.086,0.066,0.078,0.307
"P44","A Luis Juez por Juntos por el Cambio",0.672,0.111,0.132,0.363,0.199,0.034,0.263,0.211
"P44","A Daniel Passerini por Hacemos por Cordoba",0.108,0.72,0.173,0.04,0.132,0.108,0.087,0.086
"P44","Al candidato del frente de todos",0.027,0.027,0.615,0,0,0.022,0,0.008
"P44","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.043,0.041,0.012,0.551,0.084,0.022,0.107,0.027
"P44","A  Juan Pablo Quinteros por Encuentro Vecinal",0.046,0.024,0.017,0.019,0.494,0.166,0.215,0.065
"P44","Al candidato del frente de izquierda",0.006,0.029,0.017,0.008,0.01,0.579,0.053,0.041
"P44","Votaría en blanco",0.018,0.008,0.017,0.019,0.02,0,0.259,0.07
"P44","No sabe",0.08,0.04,0.017,0,0.061,0.069,0.016,0.492
"P46","Lo votaría",0.793,0.094,0.07,0.27,0.272,0.079,0.273,0.31
"P46","Puede que lo vote",0.133,0.264,0.088,0.412,0.355,0.087,0.358,0.155
"P46","Nunca lo votaría",0.061,0.619,0.842,0.294,0.373,0.799,0.325,0.48
"P46","No sabe",0.013,0.023,0,0.024,0,0.035,0.044,0.055
"P47","Lo votaría",0.177,0.591,0.184,0.061,0.151,0.027,0.057,0.129
"P47","Puede que lo vote",0.123,0.181,0.374,0.144,0.184,0.191,0.118,0.199
"P47","Nunca lo votaría",0.687,0.198,0.442,0.766,0.665,0.752,0.783,0.647
"P47","No sabe",0.013,0.03,0,0.029,0,0.03,0.042,0.025
"P48","Lo votaría",0.506,0.166,0.104,0.244,0.255,0.115,0.267,0.156
"P48","Puede que lo vote",0.257,0.108,0.13,0.237,0.241,0.098,0.368,0.228
"P48","Nunca lo votaría",0.226,0.695,0.766,0.504,0.504,0.757,0.321,0.591
"P48","No sabe",0.011,0.031,0,0.015,0,0.03,0.044,0.025
"P49","Lo votaría",0.167,0.034,0.088,0.096,0.453,0.065,0.288,0.065
"P49","Puede que lo vote",0.218,0.26,0.204,0.354,0.378,0.089,0.231,0.241
"P49","Nunca lo votaría",0.594,0.674,0.685,0.532,0.169,0.8,0.416,0.668
"P49","No sabe",0.021,0.032,0.023,0.018,0,0.046,0.065,0.026
"P50","Lo votaría",0.047,0.135,0.262,0.07,0.087,0.052,0.036,0.078
"P50","Puede que lo vote",0.097,0.296,0.382,0.117,0.096,0.192,0.092,0.167
"P50","Nunca lo votaría",0.844,0.538,0.346,0.804,0.817,0.692,0.821,0.725
"P50","No sabe",0.012,0.031,0.01,0.009,0,0.064,0.051,0.03
"P51","Luis Juez gobernador – Rodrigo De Loredo intendente por Juntos por el Cambio",0.818,0.065,0.089,0.319,0.333,0.196,0.67,0.486
"P51","Martín Llaryora gobernador – Daniel Passerini intendente por Hacemos por Córdoba",0.056,0.837,0.068,0.033,0.051,0.055,0.027,0.067
"P51","A los candidatos a gobernador e intendente del Frente de Todos",0.009,0.026,0.793,0,0,0.03,0,0.011
"P51","A los candidatos a gobernador e intendente de los liberales libertarios con el apoyo de Ja-vier Milei",0.028,0.034,0.005,0.608,0.027,0,0,0
"P51","A Aurelio García Elorrio gobernador – Juan Pablo Quinteros intendente por Encuentro Veci-nal Córdoba",0.03,0.016,0,0.029,0.544,0,0,0.035
"P51","A los candidatos a gobernador e intendente del Frente de Izquierda",0.005,0.003,0.012,0,0.013,0.611,0.072,0.078
"P51","Votaría en blanco",0.013,0,0.025,0,0.016,0,0.154,0.057
"P51","No sabe",0.041,0.019,0.008,0.011,0.016,0.108,0.077,0.266
"P52","Rodrigo De Loredo gobernador – Luis Juez intendente por Juntos por el Cambio",0.807,0.059,0.051,0.193,0.174,0.161,0.158,0.186
"P52","Martín Llaryora gobernador – Daniel Passerini intendente por Hacemos por Córdoba",0.048,0.827,0.064,0.034,0.026,0.083,0.028,0.09
"P52","A los candidatos a gobernador e intendente del Frente de Todos",0.008,0.02,0.811,0.022,0.012,0.056,0,0.022
"P52","A los candidatos a gobernador e intendente de los liberales libertarios con el apoyo de Ja-vier Milei",0.038,0.025,0.016,0.721,0.015,0,0.093,0
"P52","A Aurelio García Elorrio gobernador – Juan Pablo Quinteros intendente por Encuentro Veci-nal Córdoba",0.022,0.017,0.026,0,0.704,0.035,0.242,0.061
"P52","A los candidatos a gobernador e intendente del Frente de Izquierda",0.007,0.003,0.012,0,0,0.639,0.072,0.009
"P52","Votaría en blanco",0.012,0,0,0,0.015,0,0.33,0.093
"P52","No sabe",0.058,0.049,0.02,0.03,0.054,0.026,0.077,0.539
