"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Julio Zamora a intendente por Unión por la Patria.","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora y Claudio Baumgarten a intendente por la Libertad Avanza","Myriam Bregman a presidenta, Rubén Sobrero a gobernador y Paula Akerfeld a intendenta por el Frente de Izquierda","Juan Schiaretti a presidente por Hacemos por Nuestro Pais","En blanco","No sabe"
"GOBERNADOR","Néstor Grindetti a gobernador por Juntos por el Cambio",0.04,0.85,0.126,0.088,0.049,0.534,0.23
"GOBERNADOR","Carolina Piparo a gobernadora por la Libertad Avanza",0.034,0.092,0.764,0.061,0.316,0,0.109
"GOBERNADOR","El candidato a gobernador de la Izquierda",0.011,0.002,0,0.668,0.248,0,0
"GOBERNADOR","En blanco",0.008,0.021,0.003,0.015,0.302,0.221,0
"GOBERNADOR","No sabe",0.02,0.026,0.032,0,0.069,0.192,0.661
"INTENDENTE","Julio Zamora a intendente por Unión por la Patria.",0.909,0.165,0.17,0.489,0.225,0.437,0.466
"INTENDENTE","Segundo Cernadas a intendente por Juntos por el Cambio",0.024,0.798,0.213,0.09,0.176,0.026,0.179
"INTENDENTE","Claudio Baumgarten a intendente por la Libertad Avanza",0.022,0.02,0.597,0,0,0.167,0
"INTENDENTE","Paula Akerfeld a intendenta por el Frente de Izquierda",0.012,0.01,0.006,0.421,0.249,0,0
"INTENDENTE","En blanco",0.002,0.006,0.005,0,0.295,0.37,0
"INTENDENTE","No sabe",0.031,0.001,0.009,0,0.055,0,0.355
"CORTA_PRESIDENTE","Si",0.103,0.137,0.151,0.574,0.833,0.851,0.328
"CORTA_PRESIDENTE","No",0.897,0.863,0.849,0.426,0.167,0.149,0.672
"CORTA_GOBERNADOR","Si",0.155,0.202,0.257,0.332,0.938,0.861,0.523
"CORTA_GOBERNADOR","No",0.845,0.798,0.743,0.668,0.062,0.139,0.477
"CORTA_INTENDENTE","Si",0.138,0.267,0.429,0.571,0.938,0.752,0.8
"CORTA_INTENDENTE","No",0.862,0.733,0.571,0.429,0.062,0.248,0.2
