"var","categoria","Tiene Decidido que va a ir a votar.","Tiene dudas sobre si va a ir a  votar","Tiene Decidido que no va a ir a votar"
"P23_imputada","Julio Zamora a intendente por Unión por la Patria.",0.504,0.361,0.599
"P23_imputada","Segundo Cernadas a intendente por Juntos por el Cambio",0.359,0.292,0.037
"P23_imputada","Claudio Baumgarten a intendente por la Libertad Avanza",0.072,0.23,0.198
"P23_imputada","Paula Akerfeld a intendenta por el Frente de Izquierda",0.032,0.117,0.166
"P23_imputada","En blanco",0.033,0,0
"PRESIDENTE_imputada","Sergio Massa a presidente por Unión por la Patria.",0.372,0.26,0.332
"PRESIDENTE_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.325,0.37,0.274
"PRESIDENTE_imputada","Javier Milei a presidente por la Libertad Avanza",0.255,0.36,0.373
"PRESIDENTE_imputada","Myriam Bregman a presidenta por el Frente de Izquierda",0.023,0,0
"PRESIDENTE_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.013,0.004,0
"PRESIDENTE_imputada","En blanco",0.012,0.006,0.021
"GOBERNADOR_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.376,0.21,0.095
"GOBERNADOR_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.333,0.447,0.681
"GOBERNADOR_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.249,0.165,0.203
"GOBERNADOR_imputada","El candidato a gobernador de la Izquierda",0.018,0.172,0
"GOBERNADOR_imputada","En blanco",0.024,0.006,0.021
"INTENDENTE_imputada","Julio Zamora a intendente por Unión por la Patria.",0.489,0.359,0.502
"INTENDENTE_imputada","Segundo Cernadas a intendente por Juntos por el Cambio",0.316,0.381,0.082
"INTENDENTE_imputada","Claudio Baumgarten a intendente por la Libertad Avanza",0.157,0.178,0.25
"INTENDENTE_imputada","Paula Akerfeld a intendenta por el Frente de Izquierda",0.019,0.076,0.144
"INTENDENTE_imputada","En blanco",0.019,0.006,0.022
