"var","categoria","Sergio Massa a presidente por Unión por la Patria.","Patricia Bullrich a presidenta por Juntos por el Cambio","Javier Milei a presidente por la Libertad Avanza","Myriam Bregman a presidenta por el Frente de Izquierda","Juan Schiaretti a presidente por Hacemos por Nuestro Pais","En blanco"
"P20_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.146,0.206,0.522,0.016,0,0
"P20_imputada","El candidato a gobernador de la Izquierda",0.056,0.007,0.097,0.256,0,0.098
"P20_imputada","En blanco",0.026,0.033,0.003,0,0.665,0.042
"P23_imputada","Julio Zamora a intendente por Unión por la Patria.",0.685,0.346,0.436,0.948,0.79,0.335
"P23_imputada","Segundo Cernadas a intendente por Juntos por el Cambio",0.132,0.516,0.363,0.018,0.183,0.092
"P23_imputada","Claudio Baumgarten a intendente por la Libertad Avanza",0.07,0.083,0.145,0,0,0
"P23_imputada","Paula Akerfeld a intendenta por el Frente de Izquierda",0.105,0.012,0.051,0.034,0,0
"P23_imputada","En blanco",0.008,0.043,0.005,0,0.027,0.573
"GOBERNADOR_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.908,0.018,0.054,0.223,0.082,0.297
"GOBERNADOR_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.025,0.859,0.161,0.31,0.131,0.248
"GOBERNADOR_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.045,0.103,0.717,0.011,0,0
"GOBERNADOR_imputada","El candidato a gobernador de la Izquierda",0.014,0.003,0.066,0.456,0,0.056
"GOBERNADOR_imputada","En blanco",0.008,0.017,0.002,0,0.787,0.399
"INTENDENTE_imputada","Julio Zamora a intendente por Unión por la Patria.",0.912,0.171,0.226,0.677,0.569,0.279
"INTENDENTE_imputada","Segundo Cernadas a intendente por Juntos por el Cambio",0.039,0.757,0.19,0.012,0.107,0.064
"INTENDENTE_imputada","Claudio Baumgarten a intendente por la Libertad Avanza",0.02,0.042,0.551,0,0,0
"INTENDENTE_imputada","Paula Akerfeld a intendenta por el Frente de Izquierda",0.027,0.008,0.03,0.311,0,0
"INTENDENTE_imputada","En blanco",0.002,0.022,0.003,0,0.324,0.657
