"var","categoria","Axel Kicillof a gobernador por Unión por la Patria.","Néstor Grindetti a gobernador por Juntos por el Cambio","Carolina Piparo a gobernadora por la Libertad Avanza","El candidato a gobernador de la Izquierda","En blanco","No sabe"
"P23","Julio Zamora a intendente por Unión por la Patria.",0.687,0.422,0.344,0.549,0.629,0.278
"P23","Segundo Cernadas a intendente por Juntos por el Cambio",0.09,0.469,0.491,0.047,0.024,0.172
"P23","Claudio Baumgarten a intendente por la Libertad Avanza",0.077,0.079,0.14,0,0,0.137
"P23","Paula Akerfeld a intendenta por el Frente de Izquierda",0.092,0.011,0.015,0.404,0,0
"P23","En blanco",0.006,0.007,0.004,0,0.347,0.147
"P23","No sabe",0.048,0.012,0.006,0,0,0.266
"P26","Totalmente seguro.",0.774,0.636,0.729,0.487,0.342,0.213
"P26","Bastante seguro",0.15,0.286,0.214,0.252,0.624,0.107
"P26","Algo seguro",0.053,0.055,0.053,0.04,0.018,0.337
"P26","Para nada seguro",0.023,0.023,0.004,0.221,0.016,0.343
"P27","Tiene Decidido que va a ir a votar.",0.953,0.886,0.943,0.561,0.977,0.701
"P27","Tiene dudas sobre si va a ir a  votar",0.043,0.083,0.048,0.439,0.023,0.277
"P27","Tiene Decidido que no va a ir a votar",0.004,0.031,0.009,0,0,0.022
"P28","Si",0.516,0.46,0.371,0.286,0.519,0.243
"P28","No",0.484,0.54,0.629,0.714,0.481,0.757
"PRESIDENTE","Sergio Massa a presidente por Unión por la Patria.",0.925,0.026,0.066,0.181,0.129,0.154
"PRESIDENTE","Patricia Bullrich a presidenta por Juntos por el Cambio",0.016,0.808,0.129,0.042,0.23,0.148
"PRESIDENTE","Javier Milei a presidente por la Libertad Avanza",0.044,0.124,0.802,0.426,0.016,0.123
"PRESIDENTE","Myriam Bregman a presidenta por el Frente de Izquierda",0.011,0.021,0,0.339,0,0
"PRESIDENTE","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.001,0.003,0,0,0.452,0.05
"PRESIDENTE","En blanco",0,0.009,0,0.012,0.173,0.005
"PRESIDENTE","No sabe",0.003,0.009,0.003,0,0,0.52
"INTENDENTE","Julio Zamora a intendente por Unión por la Patria.",0.92,0.209,0.166,0.448,0.423,0.224
"INTENDENTE","Segundo Cernadas a intendente por Juntos por el Cambio",0.021,0.738,0.229,0.035,0.013,0.148
"INTENDENTE","Claudio Baumgarten a intendente por la Libertad Avanza",0.02,0.039,0.59,0,0,0.122
"INTENDENTE","Paula Akerfeld a intendenta por el Frente de Izquierda",0.022,0.006,0.011,0.517,0,0
"INTENDENTE","En blanco",0.001,0.004,0.002,0,0.564,0.099
"INTENDENTE","No sabe",0.016,0.004,0.002,0,0,0.407
"CORTA_PRESIDENTE","Si",0.066,0.161,0.223,0.583,0.55,0.117
"CORTA_PRESIDENTE","No",0.934,0.839,0.777,0.417,0.45,0.883
"CORTA_GOBERNADOR","Si",0.08,0.224,0.228,0.458,0.721,0.54
"CORTA_GOBERNADOR","No",0.92,0.776,0.772,0.542,0.279,0.46
"CORTA_INTENDENTE","Si",0.128,0.289,0.38,0.609,0.601,0.52
"CORTA_INTENDENTE","No",0.872,0.711,0.62,0.391,0.399,0.48
