"var","categoria","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos","Javier Milei presidente – José Luis Espert  gobernador por los liberales","A los candidatos de la izquierda","Otro candidato"
"P23","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio",0.19,0.202,0.082,0.1,0.054
"P23","Alberto Fernández presidente – Gabriel Katopodis gobernador por el Frente de Todos",0.051,0.038,0.015,0.094,0.074
"P23","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos",0.378,0.387,0.016,0.025,0.042
"P23","Cristina Fernández de Kirchner presidenta  - Sergio Massa gobernador por el Frente de Todos",0.106,0.092,0.084,0.067,0.052
"P23","Javier Milei presidente - José Luis Espert gobernador por los liberales",0.017,0.014,0.657,0.007,0.016
"P23","A los candidatos de la izquierda",0.001,0.009,0.003,0.519,0.017
"P23","Otros candidatos",0.004,0.027,0.027,0.061,0.353
"P24","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio",0.294,0.302,0.068,0.077,0.07
"P24","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.137,0.115,0.074,0.134,0.275
"P24","Alberto Fernández presidente – Gabriel Katopodis gobernador por el Frente de Todos",0.129,0.09,0.046,0.028,0.05
"P24","Sergio Massa presidente – Axel Kicillof Gobernador",0.334,0.346,0.011,0.14,0.128
"P24","Javier Milei presidente - José Luis Espert gobernador por los liberales",0.031,0.052,0.722,0,0.028
"P24","A los candidatos de la izquierda",0.024,0.043,0.012,0.548,0.022
"P24","Otros candidatos",0.051,0.052,0.067,0.073,0.427
"P26","Cristina Fernández de Kirchner presidenta – Sergio Massa gobernador por el Frente de Todos",0.514,0.482,0.001,0.026,0.083
"P26","Mauricio Macri presidente – Cristian Ritondo gobernador por Juntos por el Cambio",0.326,0.325,0.081,0.012,0.153
"P26","Javier Milei presidente – José Luis Espert gobernador por los liberales",0.064,0.058,0.875,0.014,0.02
"P26","A los candidatos de la izquierda",0.024,0.013,0.012,0.711,0.008
"P26","Otro candidato",0.072,0.122,0.031,0.237,0.736
"P28","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.526,0.191,0.067,0.069,0.228
"P28","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos",0.324,0.653,0.006,0.047,0.106
